Provincia código	Provincia nombre	Año	Votos	Siglas	Diputados
22	Huesca	2008	174511	PSOE	3
22	Huesca	2008	137070	PP	1
22	Huesca	2008	23949	PAR	0
22	Huesca	2008	13996	CHA	0
22	Huesca	2008	10108	IU	0
22	Huesca	2008	4638	UPyD	0
22	Huesca	2008	2822	LV	0
22	Huesca	2008	275	C's	0
22	Huesca	2008	478	PACMA	0
22	Huesca	2008	305	PUM+J	0
22	Huesca	2008	222	pCUA	0
22	Huesca	2008	243	PSD-FIA	0
22	Huesca	2008	126	TA	0
22	Huesca	2008	244	FE de las JONS	0
22	Huesca	2008	291	PFyV	0
22	Huesca	2008	191	DN	0
22	Huesca	2008	283	POSI	0
22	Huesca	2008	77	AES	0
22	Huesca	2008	82	PH	0
22	Huesca	2008	39	CTC	0
44	Teruel	2008	107201	PSOE	3
44	Teruel	2008	95450	PP	1
44	Teruel	2008	21913	PAR	0
44	Teruel	2008	7786	CHA	0
44	Teruel	2008	6372	IU	0
44	Teruel	2008	2364	UPyD	0
44	Teruel	2008	648	LV	0
44	Teruel	2008	158	C's	0
44	Teruel	2008	327	PACMA	0
44	Teruel	2008	269	PUM+J	0
44	Teruel	2008	101	pCUA	0
44	Teruel	2008	89	PSD-FIA	0
44	Teruel	2008	151	FE de las JONS	0
44	Teruel	2008	39	PFyV	0
44	Teruel	2008	64	DN	0
44	Teruel	2008	70	POSI	0
44	Teruel	2008	359	AuN	0
44	Teruel	2008	79	AES	0
44	Teruel	2008	44	MCE	0
44	Teruel	2008	29	CTC	0
44	Teruel	2008	114	PCPE	0
50	Zaragoza	2008	711921	PSOE	3
50	Zaragoza	2008	558106	PP	1
50	Zaragoza	2008	86876	PAR	0
50	Zaragoza	2008	85500	CHA	0
50	Zaragoza	2008	43893	IU	0
50	Zaragoza	2008	18300	UPyD	0
50	Zaragoza	2008	7436	LV	0
50	Zaragoza	2008	2727	C's	0
50	Zaragoza	2008	2095	PACMA	0
50	Zaragoza	2008	1223	PUM+J	0
50	Zaragoza	2008	1292	pCUA	0
50	Zaragoza	2008	881	PSD-FIA	0
50	Zaragoza	2008	802	TA	0
50	Zaragoza	2008	513	FE de las JONS	0
50	Zaragoza	2008	472	PFyV	0
50	Zaragoza	2008	441	DN	0
50	Zaragoza	2008	291	POSI	0
50	Zaragoza	2008	217	AuN	0
50	Zaragoza	2008	538	FRENTE	0
50	Zaragoza	2008	305	AES	0
50	Zaragoza	2008	348	FA	0
50	Zaragoza	2008	256	PH	0
50	Zaragoza	2008	263	MCE	0
50	Zaragoza	2008	136	CTC	0
