Aragón	Edad (grandes grupos)	Sexo	Personas
Aragón	0 a 15	Hombres	2994
Aragón	0 a 15	Mujeres	2855
Aragón	16 a 64	Hombres	18244
Aragón	16 a 64	Mujeres	13560
Aragón	65 ó más	Hombres	273
Aragón	65 ó más	Mujeres	388
