Provincia código	Provincia nombre	Continente	Area nacionalidad, código	Area nacionalidad	Nivel estudios (agregado)	Grado de formación
44	Teruel	América	06	Resto de América	Primer grado	261
44	Teruel	América	06	Resto de América	Segundo grado	478
44	Teruel	América	06	Resto de América	Tercer grado	69
50	Zaragoza	América	06	Resto de América	Analfabetos	878
50	Zaragoza	América	06	Resto de América	Sin estudios	1099
50	Zaragoza	América	06	Resto de América	Primer grado	2292
50	Zaragoza	América	06	Resto de América	Segundo grado	5785
50	Zaragoza	América	06	Resto de América	Tercer grado	1214
22	Huesca	Asia	07	Asia	Analfabetos	15
22	Huesca	Asia	07	Asia	Sin estudios	11
22	Huesca	Asia	07	Asia	Primer grado	29
22	Huesca	Asia	07	Asia	Segundo grado	45
22	Huesca	Asia	07	Asia	Tercer grado	13
44	Teruel	Asia	07	Asia	Analfabetos	48
44	Teruel	Asia	07	Asia	Sin estudios	57
44	Teruel	Asia	07	Asia	Primer grado	41
44	Teruel	Asia	07	Asia	Segundo grado	52
44	Teruel	Asia	07	Asia	Tercer grado	3
50	Zaragoza	Asia	07	Asia	Analfabetos	78
50	Zaragoza	Asia	07	Asia	Sin estudios	95
50	Zaragoza	Asia	07	Asia	Primer grado	207
50	Zaragoza	Asia	07	Asia	Segundo grado	338
50	Zaragoza	Asia	07	Asia	Tercer grado	58
22	Huesca	Oceanía	08	Oceanía	Analfabetos	3
22	Huesca	Oceanía	08	Oceanía	Sin estudios	9
22	Huesca	Oceanía	08	Oceanía	Primer grado	4
22	Huesca	Oceanía	08	Oceanía	Segundo grado	8
22	Huesca	Oceanía	08	Oceanía	Tercer grado	1
44	Teruel	Oceanía	08	Oceanía	Sin estudios	1
44	Teruel	Oceanía	08	Oceanía	Segundo grado	1
50	Zaragoza	Oceanía	08	Oceanía	Primer grado	2
50	Zaragoza	Oceanía	08	Oceanía	Segundo grado	5
50	Zaragoza	Oceanía	08	Oceanía	Tercer grado	4
50	Zaragoza	 Apátridas y no consta	09	Apátridas y no consta	Analfabetos	1
50	Zaragoza	 Apátridas y no consta	09	Apátridas y no consta	Primer grado	6
50	Zaragoza	 Apátridas y no consta	09	Apátridas y no consta	Segundo grado	4
50	Zaragoza	 Apátridas y no consta	09	Apátridas y no consta	Tercer grado	2
