Municipio código	Municipio nombre	Edad (grupos quinquenales)	Sexo	Personas
22001	Abiego	00 a 04	Mujeres	7
22001	Abiego	05 a 09	Mujeres	7
22001	Abiego	10 a 14	Mujeres	8
22001	Abiego	15 a 19	Mujeres	12
22001	Abiego	20 a 24	Mujeres	7
22001	Abiego	25 a 29	Mujeres	6
22001	Abiego	30 a 34	Mujeres	5
22001	Abiego	35 a 39	Mujeres	13
22001	Abiego	40 a 44	Mujeres	3
22001	Abiego	45 a 49	Mujeres	9
22001	Abiego	50 a 54	Mujeres	5
22001	Abiego	55 a 59	Mujeres	9
22001	Abiego	60 a 64	Mujeres	4
22001	Abiego	65 a 69	Mujeres	6
22001	Abiego	70 a 74	Mujeres	14
22001	Abiego	75 a 79	Mujeres	13
22001	Abiego	80 a 84	Mujeres	9
22001	Abiego	85 a 90	Mujeres	6
22001	Abiego	90 ó más	Mujeres	5
22001	Abiego	00 a 04	Hombres	4
22001	Abiego	05 a 09	Hombres	4
22001	Abiego	10 a 14	Hombres	3
22001	Abiego	15 a 19	Hombres	4
22001	Abiego	20 a 24	Hombres	3
22001	Abiego	25 a 29	Hombres	7
22001	Abiego	30 a 34	Hombres	15
22001	Abiego	35 a 39	Hombres	15
22001	Abiego	40 a 44	Hombres	6
22001	Abiego	45 a 49	Hombres	11
22001	Abiego	50 a 54	Hombres	9
22001	Abiego	55 a 59	Hombres	9
22001	Abiego	60 a 64	Hombres	7
22001	Abiego	65 a 69	Hombres	9
22001	Abiego	70 a 74	Hombres	13
22001	Abiego	75 a 79	Hombres	14
22001	Abiego	80 a 84	Hombres	6
22001	Abiego	85 a 90	Hombres	1
22001	Abiego	90 ó más	Hombres	1
22002	Abizanda	00 a 04	Mujeres	3
22002	Abizanda	05 a 09	Mujeres	4
22002	Abizanda	10 a 14	Mujeres	1
22002	Abizanda	15 a 19	Mujeres	5
22002	Abizanda	20 a 24	Mujeres	6
22002	Abizanda	25 a 29	Mujeres	7
22002	Abizanda	30 a 34	Mujeres	3
22002	Abizanda	35 a 39	Mujeres	2
22002	Abizanda	40 a 44	Mujeres	4
22002	Abizanda	45 a 49	Mujeres	2
