Año	Código del municipio	Nombre del municipio	Superficie total regada	Superficie regada por aspersión	Superficie regada por riego localizado (goteo, microaspersión, etc.)	Superficie regada por gravedad	Superficie regada por otros métodos	Superficie regada con aguas subterráneas de pozo o sondeo	Superficie regada con aguas superficiales	Superficie regada con aguas depuradas	Superficie regada con concesión integrada en una Comunidad de Regantes	Superficie regada con concesión individual	Superficie regada con agua suficiente	Superficie regada con agua insuficiente	Superficie no regada, disponiendo la explotación de instalaciones y agua
1989	22001	Abiego	11,94	0	0	11,94	0	0	11,94				10,18	1,76	0
1989	22002	Abizanda	10,11	0	0	10,11	0	0	10,11				10,07	0,04	0
1989	22003	Adahuesca	12,95	0	0	12,95	0	2	10,95				12,95	0	0
1989	22004	Agüero	3,95	0	0	3,95	0	0	3,95				3,45	0,5	0
1989	22006	Aísa	51,8	0	0	51,7	0,1	0	51,8				33,82	17,98	0
1989	22007	Albalate de Cinca	2513,08	519	103,55	1890,53	0	5,4	2507,68				2379,83	133,25	239,75
1989	22008	Albalatillo	130,95	7	0,2	123,75	0	0	130,95				104,95	26	2,1
1989	22009	Albelda	2220,97	338,67	73,76	1808,54	0	0,18	2220,79				1783,2	437,77	15,99
1989	22011	Albero Alto	29	0	0	29	0	0	29				29	0	0
1989	22012	Albero Bajo	240,23	12	0	227,03	1,2	0	240,23				240,23	0	25,95
1989	22013	Alberuela de Tubo	1423,3	0	0	1423,3	0	0	1423,3				1402,8	20,5	28,2
1989	22014	Alcalá de Gurrea	197,19	0	0	197,19	0	0	197,19				142,28	54,91	21
1989	22015	Alcalá del Obispo	490,12	0	0,2	489,92	0	0	490,12				477,03	13,09	1,1
1989	22016	Alcampell	1234,36	206,68	16,65	1011,03	0	0,86	1233,5				920,92	313,44	3
1989	22017	Alcolea de Cinca	3635,69	113	0	3522,69	0	0	3635,69				3625,89	9,8	484,75
1989	22018	Alcubierre	459,88	47,5	0	408,88	3,5	0	459,88				459,88	0	0
1989	22019	Alerre	9,5	7	0	2,5	0	9,5	0				9,5	0	0
1989	22020	Alfántega	166,39	0	0	166,39	0	0	166,39				58,58	107,81	12,75
1989	22021	Almudévar	3327,29	45,92	51,24	3215,4	14,73	78,13	3249,16				1994,75	1332,54	101,92
1989	22022	Almunia de San Juan	852,08	151,5	0,4	700,18	0	0	852,08				660,83	191,25	5,25
1989	22023	Almuniente	2631,04	196,5	0	2434,54	0	0	2631,04				2576,04	55	4
1989	22024	Alquézar	1,14	0	0	1,14	0	0	1,14				1,14	0	0
1989	22025	Altorricón	2189,13	620,52	47,24	1521,37	0	0	2189,13				326,79	1862,34	41,25
1989	22027	Angüés	7,94	0,03	2,1	5,81	0	0	7,94				7,51	0,43	0
1989	22028	Ansó	4,8	0,5	0	4,3	0	0	4,8				4,3	0,5	0
1989	22029	Antillón	19,62	19	0	0,53	0,09	0,02	19,6				19,53	0,09	0
1989	22032	Aragüés del Puerto	2,91	0	0	2,88	0,03	0	2,91				0,86	2,05	0
1989	22035	Arén	26,21	24,95	0,05	1,21	0	8,33	17,88				2,77	23,44	11
1989	22036	Argavieso	240,43	0	0	240,43	0	0	240,43				229,93	10,5	0
1989	22037	Arguis	1,02	0	0	1,02	0	0	1,02				0,52	0,5	0
1989	22039	Ayerbe	48,83	0,1	0,4	48,33	0	0,14	48,69				7,31	41,52	6,5
1989	22040	Azanuy-Alins	72,6	14	0	58,6	0	0	72,6				70,6	2	0
1989	22041	Azara	1,55	0	0	1,55	0	0	1,55				0,12	1,43	0
1989	22042	Azlor	1,57	0,04	0,04	1,49	0	0,04	1,53				0,03	1,54	0
1989	22043	Baells	90,8	24	0	66,8	0	17	73,8				72,76	18,04	0
1989	22044	Bailo	34,75	5	0	29,75	0	0	34,75				28,65	6,1	26
1989	22045	Baldellou	0	0	0	0	0	0	0				0	0	0
1989	22046	Ballobar	334,26	20	2,3	311,96	0	0	334,26				314,26	20	0
1989	22047	Banastás	15	0	0	15	0	0	15				15	0	0
1989	22048	Barbastro	1866,54	890,33	273,53	702,58	0,1	12,44	1854,1				1825,03	41,51	0
1989	22049	Barbués	1217,19	4	0	1213,19	0	0	1217,19				1217,19	0	2
1989	22050	Barbuñales	3,73	1,5	0	2,23	0	0	3,73				3,72	0,01	0
1989	22051	Bárcabo	7,27	0,05	0,51	6,68	0,03	1,42	5,85				1,27	6	0
1989	22052	Belver de Cinca	4904,27	3492,65	120,6	1291,02	0	23,8	4880,47				1556,16	3348,11	98,94
1989	22053	Benabarre	100,87	18	30,96	51,89	0,02	2,34	98,53				97,49	3,38	7,67
1989	22054	Benasque	117,17	0	0	117,17	0	0	117,17				78,09	39,08	0
1989	22055	Berbegal	1041,19	540,52	0,5	500,09	0,08	0,55	1040,64				1037,19	4	0
1989	22057	Bielsa	22,87	0,2	0,05	22,62	0	0,04	22,83				22,69	0,18	15,6
1989	22058	Bierge	1,8	0	0	1,8	0	0	1,8				0,32	1,48	0
1989	22059	Biescas	364,07	0,3	0	363,77	0	0	364,07				215,96	148,11	0
1989	22060	Binaced	3606,49	1294,9	127,9	2169,74	13,95	0	3606,49				2539,59	1066,9	104,88
1989	22061	Binéfar	1337,95	241,29	16,42	1080,2	0,04	0	1337,95				1064,04	273,91	0
1989	22062	Bisaurri	17,93	2	0	15,93	0	0	17,93				5,9	12,03	0
1989	22063	Biscarrués	24,8	0	0	24,8	0	0	24,8				17,87	6,93	0
1989	22064	Blecua y Torres	100	0	0	100	0	0	100				100	0	0
1989	22066	Boltaña	173,18	28	0	145,18	0	0	173,18				154,18	19	0
1989	22067	Bonansa	7,29	0	0	7,29	0	0	7,29				7,29	0	0,01
1989	22068	Borau	10,34	0	0	10,34	0	0	10,34				9,26	1,08	0
1989	22069	Broto	194,76	0	0	194,76	0	0	194,76				141,87	52,89	2
1989	22072	Caldearenas	29,43	0	0	29,37	0,06	0	29,43				27,55	1,88	2
1989	22074	Campo	65,2	3	0	62,2	0	0	65,2				61,91	3,29	0
1989	22075	Camporrells	41,87	2	0,1	39,77	0	0,89	40,98				36,77	5,1	0,55
1989	22076	Canal de Berdún	12,72	0	0	12,71	0,01	0,4	12,32				11,04	1,68	22,52
1989	22077	Candasnos	7	0	0	7	0	0	7				7	0	0
1989	22078	Canfranc	0	0	0	0	0	0	0				0	0	0
1989	22079	Capdesaso	1114,33	5	5	1104,33	0	0	1114,33				1080,33	34	38,2
1989	22080	Capella	10,67	2,04	0,01	8,62	0	1,57	9,1				7,48	3,19	6,14
1989	22081	Casbas de Huesca	3,32	0,04	0	3,28	0	0,03	3,29				1,33	1,99	0
1989	22082	Castejón del Puente	1264,51	21	62	1181,51	0	0	1264,51				1120,81	143,7	80,25
1989	22083	Castejón de Monegros	658,3	625,3	0	33	0	0	658,3				499,8	158,5	1
1989	22084	Castejón de Sos	134,43	2,54	0,03	131,86	0	2,57	131,86				106,65	27,78	0
1989	22085	Castelflorite	1437,93	482,6	0	955,33	0	0	1437,93				1415,43	22,5	12
1989	22086	Castiello de Jaca	27,76	0,03	0	27,73	0	7,3	20,46				12,61	15,15	0
1989	22087	Castigaleu	0,16	0	0	0,06	0,1	0,07	0,09				0,04	0,12	0
1989	22088	Castillazuelo	51,63	1,05	0,99	48,6	0,99	2,52	49,11				49,33	2,3	0
1989	22089	Castillonroy	186,77	0	1	185,77	0	14,55	172,22				121,09	65,68	0,43
1989	22090	Colungo	17,6	1	0	16,6	0	0	17,6				2,8	14,8	0
1989	22094	Chalamera	206,79	0	0	206,79	0	0	206,79				206,79	0	5,7
1989	22095	Chía	0,36	0	0	0,36	0	0	0,36				0,26	0,1	0
1989	22096	Chimillas	31,29	21,52	0	9,77	0	0	31,29				31,29	0	0
1989	22099	Esplús	5818,39	4345,7	114,9	1357,79	0	0	5818,39				2510,62	3307,77	61,5
1989	22102	Estada	206,93	0	0	205,43	1,5	0	206,93				205,38	1,55	0
1989	22103	Estadilla	657,93	5	2	643,63	7,3	0	657,93				308,29	349,64	0
1989	22105	Estopiñán del Castillo	143,66	115,5	0,52	27,64	0	3,75	139,91				25,01	118,65	0
1989	22106	Fago	0,27	0	0	0,27	0	0	0,27				0,02	0,25	0
1989	22107	Fanlo	0,3	0	0	0,3	0	0	0,3				0	0,3	0
1989	22109	Fiscal	183,11	0,03	0,01	183,07	0	0	183,11				183,11	0	0,5
1989	22110	Fonz	1197,02	6	0	1179,02	12	0	1197,02				1193,02	4	13
1989	22111	Foradada del Toscar	72,39	10	0	61,83	0,56	29,51	42,88				48,94	23,45	1,56
1989	22112	Fraga	5477,55	217,88	802,46	4338,21	119	27,78	5449,77				5375,15	102,4	24,1
1989	22113	Fueva (La)	4,56	0	0	4,5	0,06	0	4,56				3,51	1,05	2
1989	22114	Gistaín	38,21	0	0	38,21	0	0,05	38,16				18,07	20,14	3,28
1989	22115	Grado (El)	256,48	57,8	15,64	183,04	0	0	256,48				253,83	2,65	5,9
1989	22116	Grañén	6551,44	339	0	6205,44	7	4,27	6547,17				6487,91	63,53	29,5
1989	22117	Graus	130,03	4,01	0,11	118,3	7,61	2,35	127,68				112,89	17,14	48,97
1989	22119	Gurrea de Gállego	3165,43	1,64	35,86	3127,93	0	0,05	3165,38				2798,45	366,98	53,08
1989	22122	Hoz de Jaca	0,43	0	0	0,43	0	0	0,43				0,18	0,25	2,6
1989	22124	Huerto	872,77	159,5	0	713,27	0	0	872,77				834,07	38,7	0
1989	22125	Huesca	2152,14	0	0	2145,64	6,5	16,2	2135,94				528,85	1623,29	2
