Municipio codigo	Municipio nombre	Grandes grupos, código	Grandes grupos	Sexo, código	Sexo	Total	Españoles	Extranjeros
22014	Alcalá de Gurrea	1	De 16 a 25	1	Hombre	3,4224183451	3,4224183451	0
22014	Alcalá de Gurrea	2	De 26 a 45	1	Hombre	38,4480965737	38,4480965737	0
22014	Alcalá de Gurrea	3	De 46 a 64	1	Hombre	41,1294850815	41,1294850815	0
22014	Alcalá de Gurrea	4	De 65 y más	1	Hombre	51,7088151953	51,7088151953	0
22014	Alcalá de Gurrea	5	De 65 y más	1	Hombre	3,2911848048	3,2911848048	0
22015	Alcalá del Obispo	0	Menor de 16	1	Hombre	10	10	0
22015	Alcalá del Obispo	1	De 16 a 25	1	Hombre	30,3457858837	30,3457858837	0
22015	Alcalá del Obispo	2	De 26 a 45	1	Hombre	40,9327061179	40,9327061179	0
22015	Alcalá del Obispo	3	De 46 a 64	1	Hombre	62,5782166797	62,5782166797	0
22015	Alcalá del Obispo	4	De 65 y más	1	Hombre	41,4815845522	41,4815845522	0
22015	Alcalá del Obispo	5	De 65 y más	1	Hombre	6,5184154475	6,5184154475	0
22016	Alcampell	0	Menor de 16	1	Hombre	29,8842447786	29,8842447786	0
22016	Alcampell	1	De 16 a 25	1	Hombre	39,7290799304	39,7290799304	0
22016	Alcampell	2	De 26 a 45	1	Hombre	77,3781363219	77,3781363219	0
22016	Alcampell	3	De 46 a 64	1	Hombre	87,6410174389	87,6410174389	0
22016	Alcampell	4	De 65 y más	1	Hombre	113,3768359758	113,3768359758	0
22016	Alcampell	5	De 65 y más	1	Hombre	27,6231640247	27,6231640247	0
22017	Alcolea de Cinca	0	Menor de 16	1	Hombre	79,5096683353	79,5096683353	0
22017	Alcolea de Cinca	1	De 16 a 25	1	Hombre	44,2400429382	38,0319626964	6,2080802418
22017	Alcolea de Cinca	2	De 26 a 45	1	Hombre	172,4444185546	132,1613779985	40,2830405561
22017	Alcolea de Cinca	3	De 46 a 64	1	Hombre	152,0050858519	152,0050858519	0
22017	Alcolea de Cinca	4	De 65 y más	1	Hombre	131,1067783572	131,1067783572	0
22017	Alcolea de Cinca	5	De 65 y más	1	Hombre	10,8932216435	10,8932216435	0
22018	Alcubierre	0	Menor de 16	1	Hombre	16,9999999999	12,2815599122	4,7184400877
22018	Alcubierre	1	De 16 a 25	1	Hombre	15,2909790215	10,9934363427	4,2975426788
22018	Alcubierre	2	De 26 a 45	1	Hombre	58,9435618327	54,225121745	4,7184400877
