Año	Municipio código	Municipio nombre	Superficie total agricultura ecológica	Superficie calificada agricultura ecológica	Superficie calificada en reconversión	Superficie calificada primer año prácticas	Superficie certificaciones privadas	Superficie sin clasificar
2011	22090	Colungo	15,19	15,19	0	0	0	0
2011	22094	Chalamera	1,63	0	0	0	1,63	0
2011	22095	Chía	0	0	0	0	0	0
2011	22096	Chimillas	0	0	0	0	0	0
2011	22099	Esplús	0	0	0	0	0	0
2011	22102	Estada	0	0	0	0	0	0
2011	22103	Estadilla	3,9	0	0	0	3,9	0
2011	22105	Estopiñán del Castillo	0	0	0	0	0	0
2011	22106	Fago	0	0	0	0	0	0
2011	22107	Fanlo	0	0	0	0	0	0
2011	22109	Fiscal	0	0	0	0	0	0
2011	22110	Fonz	52,88	0	0	0	52,88	0
2011	22111	Foradada del Toscar	0	0	0	0	0	0
2011	22112	Fraga	75,9232	12,6832	16,06	14,17	14,82	18,19
2011	22113	Fueva (La)	344,13	229,84	1,75	112,54	0	0
2011	22114	Gistaín	0	0	0	0	0	0
2011	22115	Grado (El)	17,6322	2,25	15,3822	0	0	0
2011	22116	Grañén	0	0	0	0	0	0
2011	22117	Graus	0	0	0	0	0	0
2011	22119	Gurrea de Gállego	123,73	72,07	51,66	0	0	0
2011	22122	Hoz de Jaca	0	0	0	0	0	0
2011	22124	Huerto	32,2	32,2	0	0	0	0
2011	22125	Huesca	245,48	199,5	22,15	23,83	0	0
2011	22126	Ibieca	0	0	0	0	0	0
2011	22127	Igriés	0	0	0	0	0	0
2011	22128	Ilche	8,6162	0	0	8,6162	0	0
2011	22129	Isábena	0	0	0	0	0	0
2011	22130	Jaca	803,55	0	0	6,62	0	796,93
2011	22131	Jasa	0	0	0	0	0	0
2011	22133	Labuerda	2,91	0	0	2,91	0	0
2011	22135	Laluenga	23,82	0	23,82	0	0	0
2011	22136	Lalueza	35,98	0	0	35,98	0	0
2011	22137	Lanaja	0	0	0	0	0	0
2011	22139	Laperdiguera	0	0	0	0	0	0
2011	22141	Lascellas-Ponzano	18,1284	0	1,26	16,8684	0	0
2011	22142	Lascuarre	0	0	0	0	0	0
2011	22143	Laspaúles	0	0	0	0	0	0
2011	22144	Laspuña	0	0	0	0	0	0
2011	22149	Loarre	82,11	9,17	72,94	0	0	0
2011	22150	Loporzano	0	0	0	0	0	0
2011	22151	Loscorrales	0	0	0	0	0	0
2011	22155	Monesma y Cajigar	0	0	0	0	0	0
2011	22156	Monflorite-Lascasas	0	0	0	0	0	0
2011	22157	Montanuy	0	0	0	0	0	0
2011	22158	Monzón	96,61	70	26,61	0	0	0
2011	22160	Naval	36,79	34,82	1,97	0	0	0
2011	22162	Novales	0	0	0	0	0	0
2011	22163	Nueno	0	0	0	0	0	0
2011	22164	Olvena	4,0418	4,0418	0	0	0	0
2011	22165	Ontiñena	0	0	0	0	0	0
2011	22167	Osso de Cinca	67,82	49,46	0	1,55	16,81	0
2011	22168	Palo	35,63	0	0	35,63	0	0
2011	22170	Panticosa	0	0	0	0	0	0
2011	22172	Peñalba	158,81	158,81	0	0	0	0
2011	22173	Peñas de Riglos (Las)	0	0	0	0	0	0
2011	22174	Peralta de Alcofea	16	14,72	1,28	0	0	0
2011	22175	Peralta de Calasanz	0	0	0	0	0	0
2011	22176	Peraltilla	0	0	0	0	0	0
2011	22177	Perarrúa	0	0	0	0	0	0
2011	22178	Pertusa	0	0	0	0	0	0
2011	22181	Piracés	0	0	0	0	0	0
2011	22182	Plan	0	0	0	0	0	0
2011	22184	Poleñino	0	0	0	0	0	0
2011	22186	Pozán de Vero	0,12	0	0,12	0	0	0
2011	22187	Puebla de Castro (La)	2,54	1,32	1,22	0	0	0
2011	22188	Puente de Montañana	0	0	0	0	0	0
2011	22189	Puértolas	0	0	0	0	0	0
2011	22190	Pueyo de Araguás (El)	89,03	0	0	89,03	0	0
2011	22193	Pueyo de Santa Cruz	0	0	0	0	0	0
2011	22195	Quicena	8,78	8,78	0	0	0	0
2011	22197	Robres	0	0	0	0	0	0
2011	22199	Sabiñánigo	12,03	12,03	0	0	0	0
2011	22200	Sahún	0	0	0	0	0	0
2011	22201	Salas Altas	30,853	0	30,853	0	0	0
2011	22202	Salas Bajas	34,46	0	34,46	0	0	0
2011	22203	Salillas	0	0	0	0	0	0
2011	22204	Sallent de Gállego	0	0	0	0	0	0
2011	22205	San Esteban de Litera	50,58	0	0	50,58	0	0
2011	22206	Sangarrén	0	0	0	0	0	0
2011	22207	San Juan de Plan	0	0	0	0	0	0
2011	22208	Santa Cilia	0	0	0	0	0	0
2011	22209	Santa Cruz de la Serós	0	0	0	0	0	0
2011	22212	Santaliestra y San Quílez	0	0	0	0	0	0
2011	22213	Sariñena	303,68	175,9	0,41	0	127,37	0
2011	22214	Secastilla	66,45	65,17	1,28	0	0	0
2011	22215	Seira	0	0	0	0	0	0
2011	22217	Sena	57,43	57,43	0	0	0	0
2011	22218	Senés de Alcubierre	0	0	0	0	0	0
2011	22220	Sesa	0	0	0	0	0	0
2011	22221	Sesué	0	0	0	0	0	0
2011	22222	Siétamo	0	0	0	0	0	0
2011	22223	Sopeira	0	0	0	0	0	0
2011	22225	Tamarite de Litera	32,74	32,74	0	0	0	0
2011	22226	Tardienta	202,29	7,86	0	0	194,43	0
2011	22227	Tella-Sin	0	0	0	0	0	0
2011	22228	Tierz	0	0	0	0	0	0
2011	22229	Tolva	0	0	0	0	0	0
2011	22230	Torla-Ordesa	0	0	0	0	0	0
2011	22232	Torralba de Aragón	162,9886	162,9886	0	0	0	0
2011	22233	Torre la Ribera	0	0	0	0	0	0
2011	22234	Torrente de Cinca	0	0	0	0	0	0
2011	22235	Torres de Alcanadre	0	0	0	0	0	0
2011	22236	Torres de Barbués	0	0	0	0	0	0
2011	22239	Tramaced	0	0	0	0	0	0
2011	22242	Valfarta	7,37	7,37	0	0	0	0
2011	22243	Valle de Bardají	0	0	0	0	0	0
2011	22244	Valle de Lierp	0	0	0	0	0	0
2011	22245	Velilla de Cinca	0	0	0	0	0	0
2011	22246	Beranuy	0	0	0	0	0	0
2011	22247	Viacamp y Litera	0	0	0	0	0	0
2011	22248	Vicién	0	0	0	0	0	0
2011	22249	Villanova	0	0	0	0	0	0
2011	22250	Villanúa	0	0	0	0	0	0
2011	22251	Villanueva de Sigena	64,8	64,8	0	0	0	0
2011	22252	Yebra de Basa	0	0	0	0	0	0
2011	22253	Yésero	0	0	0	0	0	0
2011	22254	Zaidín	14,27	0	0	14,27	0	0
2011	22901	Valle de Hecho	0	0	0	0	0	0
2011	22902	Puente la Reina de Jaca	0	0	0	0	0	0
2011	22903	San Miguel del Cinca	362,5873	121,4	180,7673	60,42	0	0
2011	22904	Sotonera (La)	0	0	0	0	0	0
2011	22905	Lupiñén-Ortilla	103,53	0	74,5	29,03	0	0
2011	22906	Santa María de Dulcis	5,32	2,61	2,71	0	0	0
2011	22907	Aínsa-Sobrarbe	164,55	0	6,48	156,69	0	1,38
2011	22908	Hoz y Costeán	334,1829	215,2029	118,4	0	0	0,58
2011	22909	Vencillón	0	0	0	0	0	0
2011	44001	Ababuj	0	0	0	0	0	0
2011	44002	Abejuela	0	0	0	0	0	0
2011	44003	Aguatón	0	0	0	0	0	0
2011	44004	Aguaviva	0	0	0	0	0	0
2011	44005	Aguilar del Alfambra	0	0	0	0	0	0
2011	44006	Alacón	294,2248	278,6809	11,314	2,01	0	2,2199
2011	44007	Alba	0	0	0	0	0	0
2011	44008	Albalate del Arzobispo	291,0641	268,5641	6,36	16,14	0	0
2011	44009	Albarracín	1024,41	220,26	804,15	0	0	0
2011	44010	Albentosa	0	0	0	0	0	0
2011	44011	Alcaine	0	0	0	0	0	0
2011	44012	Alcalá de la Selva	1,08	0	0	0	0	1,08
2011	44013	Alcañiz	753,685	697,4908	17,01	33,59	0	5,5942
2011	44014	Alcorisa	14,83	11,83	3	0	0	0
2011	44016	Alfambra	14,09	14,09	0	0	0	0
2011	44017	Aliaga	347,53	82,45	0	248,61	0	16,47
2011	44018	Almohaja	0	0	0	0	0	0
2011	44019	Alobras	0	0	0	0	0	0
2011	44020	Alpeñés	0	0	0	0	0	0
2011	44021	Allepuz	0	0	0	0	0	0
2011	44022	Alloza	9,6	8,24	1,36	0	0	0
2011	44023	Allueva	0	0	0	0	0	0
2011	44024	Anadón	0	0	0	0	0	0
2011	44025	Andorra	27,32	27,32	0	0	0	0
2011	44026	Arcos de las Salinas	0	0	0	0	0	0
2011	44027	Arens de Lledó	122,2575	120,4275	1,83	0	0	0
2011	44028	Argente	0	0	0	0	0	0
2011	44029	Ariño	9,54	9,54	0	0	0	0
2011	44031	Azaila	773,25	748,8	0	0	0	24,45
2011	44032	Bádenas	0	0	0	0	0	0
2011	44033	Báguena	0	0	0	0	0	0
2011	44034	Bañón	46,76	46,76	0	0	0	0
2011	44035	Barrachina	0	0	0	0	0	0
2011	44036	Bea	0	0	0	0	0	0
2011	44037	Beceite	8,17	8,17	0	0	0	0
2011	44038	Belmonte de San José	21,25	15,12	6,13	0	0	0
2011	44039	Bello	0	0	0	0	0	0
2011	44040	Berge	0	0	0	0	0	0
2011	44041	Bezas	0	0	0	0	0	0
2011	44042	Blancas	1,95	0,89	1,06	0	0	0
2011	44043	Blesa	5,94	5,94	0	0	0	0
2011	44044	Bordón	0	0	0	0	0	0
2011	44045	Bronchales	0	0	0	0	0	0
2011	44046	Bueña	0	0	0	0	0	0
2011	44047	Burbáguena	0	0	0	0	0	0
2011	44048	Cabra de Mora	0	0	0	0	0	0
2011	44049	Calaceite	305,3881	279,3481	24,89	1,15	0	0
2011	44050	Calamocha	0	0	0	0	0	0
2011	44051	Calanda	348,0105	338,6194	8,0611	0	0	1,33
2011	44052	Calomarde	0	0	0	0	0	0
2011	44053	Camañas	88,12	2,25	0	0	0	85,87
2011	44054	Camarena de la Sierra	0	0	0	0	0	0
2011	44055	Camarillas	0,43	0,43	0	0	0	0
2011	44056	Caminreal	0	0	0	0	0	0
2011	44059	Cantavieja	0	0	0	0	0	0
2011	44060	Cañada de Benatanduz	0	0	0	0	0	0
2011	44061	Cañada de Verich (La)	0	0	0	0	0	0
2011	44062	Cañada Vellida	5,53	5,53	0	0	0	0
2011	44063	Cañizar del Olivar	0	0	0	0	0	0
2011	44064	Cascante del Río	0	0	0	0	0	0
2011	44065	Castejón de Tornos	0	0	0	0	0	0
2011	44066	Castel de Cabra	0	0	0	0	0	0
2011	44067	Castelnou	239,11	239,11	0	0	0	0
2011	44068	Castelserás	31,6554	15,6854	5,33	10,64	0	0
2011	44070	Castellar (El)	87,314	0	87,314	0	0	0
2011	44071	Castellote	0	0	0	0	0	0
2011	44074	Cedrillas	33,61	0	0	0	0	33,61
2011	44075	Celadas	0	0	0	0	0	0
2011	44076	Cella	0	0	0	0	0	0
2011	44077	Cerollera (La)	0	0	0	0	0	0
2011	44080	Codoñera (La)	25,6932	10,46	15,2332	0	0	0
2011	44082	Corbalán	0	0	0	0	0	0
2011	44084	Cortes de Aragón	0	0	0	0	0	0
2011	44085	Cosa	0	0	0	0	0	0
2011	44086	Cretas	51,2494	33,5794	16,87	0,8	0	0
2011	44087	Crivillén	1,14	1,14	0	0	0	0
2011	44088	Cuba (La)	0	0	0	0	0	0
2011	44089	Cubla	0	0	0	0	0	0
2011	44090	Cucalón	0	0	0	0	0	0
2011	44092	Cuervo (El)	0	0	0	0	0	0
2011	44093	Cuevas de Almudén	0	0	0	0	0	0
2011	44094	Cuevas Labradas	96,94	0	96,94	0	0	0
2011	44096	Ejulve	0	0	0	0	0	0
2011	44097	Escorihuela	198,05	0	198,05	0	0	0
2011	44099	Escucha	7,43	0	0	0	0	7,43
2011	44100	Estercuel	0	0	0	0	0	0
2011	44101	Ferreruela de Huerva	0	0	0	0	0	0
2011	44102	Fonfría	0	0	0	0	0	0
2011	44103	Formiche Alto	0	0	0	0	0	0
2011	44105	Fórnoles	12,25	10,53	1,72	0	0	0
2011	44106	Fortanete	12,5	12,5	0	0	0	0
2011	44107	Foz-Calanda	30,91	30,91	0	0	0	0
2011	44108	Fresneda (La)	29,13	26,65	2,14	0,34	0	0
2011	44109	Frías de Albarracín	0	0	0	0	0	0
2011	44110	Fuenferrada	0	0	0	0	0	0
2011	44111	Fuentes Calientes	336,758	336,758	0	0	0	0
2011	44112	Fuentes Claras	0	0	0	0	0	0
2011	44113	Fuentes de Rubielos	0	0	0	0	0	0
2011	44114	Fuentespalda	26,58	20,99	5,59	0	0	0
2011	44115	Galve	95,58	95,58	0	0	0	0
2011	44116	Gargallo	0	0	0	0	0	0
2011	44117	Gea de Albarracín	0	0	0	0	0	0
2011	44118	Ginebrosa (La)	0	0	0	0	0	0
2011	44119	Griegos	0	0	0	0	0	0
2011	44120	Guadalaviar	0	0	0	0	0	0
2011	44121	Gúdar	78,37	0	0	0	0	78,37
2011	44122	Híjar	619,423	608,653	0,19	9,88	0	0,7
2011	44123	Hinojosa de Jarque	0	0	0	0	0	0
2011	44124	Hoz de la Vieja (La)	0	0	0	0	0	0
2011	44125	Huesa del Común	0	0	0	0	0	0
2011	44126	Iglesuela del Cid (La)	0	0	0	0	0	0
2011	44127	Jabaloyas	0	0	0	0	0	0
2011	44128	Jarque de la Val	0	0	0	0	0	0
2011	44129	Jatiel	0	0	0	0	0	0
2011	44130	Jorcas	0	0	0	0	0	0
2011	44131	Josa	0	0	0	0	0	0
2011	44132	Lagueruela	0	0	0	0	0	0
2011	44133	Lanzuela	0	0	0	0	0	0
2011	44135	Libros	0	0	0	0	0	0
2011	44136	Lidón	32,29	32,29	0	0	0	0
2011	44137	Linares de Mora	35,44	0	0	35,44	0	0
2011	44138	Loscos	10,11	10,11	0	0	0	0
2011	44141	Lledó	11,45	11,45	0	0	0	0
2011	44142	Maicas	0	0	0	0	0	0
2011	44143	Manzanera	1,0778	0	1,0778	0	0	0
2011	44144	Martín del Río	0	0	0	0	0	0
2011	44145	Mas de las Matas	0	0	0	0	0	0
2011	44146	Mata de los Olmos (La)	52,6	52,6	0	0	0	0
2011	44147	Mazaleón	554,7235	505,6712	26,7241	15,7317	3,74	2,8565
2011	44148	Mezquita de Jarque	0	0	0	0	0	0
2011	44149	Mirambel	0	0	0	0	0	0
2011	44150	Miravete de la Sierra	0	0	0	0	0	0
2011	44151	Molinos	0	0	0	0	0	0
2011	44152	Monforte de Moyuela	0	0	0	0	0	0
2011	44153	Monreal del Campo	1,93	0,4	1,53	0	0	0
2011	44154	Monroyo	2,26	2,26	0	0	0	0
2011	44155	Montalbán	0	0	0	0	0	0
2011	44156	Monteagudo del Castillo	0	0	0	0	0	0
2011	44157	Monterde de Albarracín	0	0	0	0	0	0
2011	44158	Mora de Rubielos	0	0	0	0	0	0
2011	44159	Moscardón	0	0	0	0	0	0
2011	44160	Mosqueruela	77,26	0	0	77,26	0	0
2011	44161	Muniesa	65,6351	63,2	2,4351	0	0	0
2011	44163	Noguera de Albarracín	0	0	0	0	0	0
2011	44164	Nogueras	0	0	0	0	0	0
2011	44165	Nogueruelas	0	0	0	0	0	0
2011	44167	Obón	0	0	0	0	0	0
2011	44168	Odón	0	0	0	0	0	0
2011	44169	Ojos Negros	146,82	146,82	0	0	0	0
2011	44171	Olba	0	0	0	0	0	0
2011	44172	Oliete	12,72	12,24	0	0,48	0	0
2011	44173	Olmos (Los)	24,9432	23,2	1,7432	0	0	0
2011	44174	Orihuela del Tremedal	0	0	0	0	0	0
2011	44175	Orrios	156,45	156,45	0	0	0	0
2011	44176	Palomar de Arroyos	0	0	0	0	0	0
2011	44177	Pancrudo	29,13	29,13	0	0	0	0
2011	44178	Parras de Castellote (Las)	0	0	0	0	0	0
2011	44179	Peñarroya de Tastavins	225,1914	224,99	0	0	0	0,2014
2011	44180	Peracense	0	0	0	0	0	0
2011	44181	Peralejos	135,26	0	135,26	0	0	0
2011	44182	Perales del Alfambra	680,08	674,39	5,69	0	0	0
2011	44183	Pitarque	0	0	0	0	0	0
2011	44184	Plou	0	0	0	0	0	0
2011	44185	Pobo (El)	0	0	0	0	0	0
2011	44187	Portellada (La)	57,4229	46,6789	10,024	0,72	0	0
2011	44189	Pozondón	0	0	0	0	0	0
2011	44190	Pozuel del Campo	0	0	0	0	0	0
2011	44191	Puebla de Híjar (La)	130,58	129,51	0,73	0,34	0	0
2011	44192	Puebla de Valverde (La)	130,2605	130,2605	0	0	0	0
2011	44193	Puertomingalvo	0	0	0	0	0	0
2011	44194	Ráfales	113,6315	49,4015	63,58	0,65	0	0
2011	44195	Rillo	62,47	62,47	0	0	0	0
2011	44196	Riodeva	0	0	0	0	0	0
2011	44197	Ródenas	0	0	0	0	0	0
2011	44198	Royuela	0	0	0	0	0	0
2011	44199	Rubiales	0	0	0	0	0	0
2011	44200	Rubielos de la Cérida	0	0	0	0	0	0
2011	44201	Rubielos de Mora	0	0	0	0	0	0
2011	44203	Salcedillo	0	0	0	0	0	0
2011	44204	Saldón	0	0	0	0	0	0
2011	44205	Samper de Calanda	1022,7543	575,4419	417,76	0,2724	0	29,28
2011	44206	San Agustín	0	0	0	0	0	0
2011	44207	San Martín del Río	36	36	0	0	0	0
2011	44208	Santa Cruz de Nogueras	0	0	0	0	0	0
2011	44209	Santa Eulalia	0	0	0	0	0	0
2011	44210	Sarrión	0	0	0	0	0	0
2011	44211	Segura de los Baños	0	0	0	0	0	0
2011	44212	Seno	0	0	0	0	0	0
2011	44213	Singra	3,21	0	0	3,21	0	0
2011	44215	Terriente	0	0	0	0	0	0
2011	44216	Teruel	11,15	11,15	0	0	0	0
2011	44217	Toril y Masegoso	0	0	0	0	0	0
2011	44218	Tormón	0	0	0	0	0	0
2011	44219	Tornos	0	0	0	0	0	0
2011	44220	Torralba de los Sisones	42,69	42,69	0	0	0	0
2011	44221	Torrecilla de Alcañiz	245,6361	125,5261	105,3	14,81	0	0
2011	44222	Torrecilla del Rebollar	2,12	0	0	2,12	0	0
2011	44223	Torre de Arcas	0	0	0	0	0	0
2011	44224	Torre de las Arcas	0	0	0	0	0	0
2011	44225	Torre del Compte	87,83	73,25	0	14,58	0	0
2011	44226	Torrelacárcel	0	0	0	0	0	0
2011	44227	Torre los Negros	249,46	0	0	249,46	0	0
2011	44228	Torremocha de Jiloca	0	0	0	0	0	0
2011	44229	Torres de Albarracín	0	0	0	0	0	0
2011	44230	Torrevelilla	19,54	15,54	4	0	0	0
2011	44231	Torrijas	0	0	0	0	0	0
2011	44232	Torrijo del Campo	0	0	0	0	0	0
2011	44234	Tramacastiel	0	0	0	0	0	0
2011	44235	Tramacastilla	0	0	0	0	0	0
2011	44236	Tronchón	138,27	138,27	0	0	0	0
2011	44237	Urrea de Gaén	1,56	1,56	0	0	0	0
2011	44238	Utrillas	0	0	0	0	0	0
2011	44239	Valacloche	0	0	0	0	0	0
2011	44240	Valbona	0	0	0	0	0	0
2011	44241	Valdealgorfa	143,4692	135,3992	6,9	1,17	0	0
2011	44243	Valdecuenca	0	0	0	0	0	0
2011	44244	Valdelinares	0	0	0	0	0	0
2011	44245	Valdeltormo	198,6583	190,847	2,64	3,4113	0	1,76
2011	44246	Valderrobres	225,8627	175,1927	32,84	17,72	0	0,11
2011	44247	Valjunquera	114,7462	113,3821	0	1,3641	0	0
2011	44249	Vallecillo (El)	0	0	0	0	0	0
2011	44250	Veguillas de la Sierra	0	0	0	0	0	0
2011	44251	Villafranca del Campo	471,68	0	13,52	230,6	0	227,56
2011	44252	Villahermosa del Campo	2,43	2,43	0	0	0	0
2011	44256	Villanueva del Rebollar de la Sierra	0	0	0	0	0	0
2011	44257	Villar del Cobo	0	0	0	0	0	0
2011	44258	Villar del Salz	0	0	0	0	0	0
2011	44260	Villarluengo	0	0	0	0	0	0
2011	44261	Villarquemado	0	0	0	0	0	0
2011	44262	Villarroya de los Pinares	0	0	0	0	0	0
2011	44263	Villastar	0	0	0	0	0	0
2011	44264	Villel	0	0	0	0	0	0
2011	44265	Vinaceite	149,16	148,48	0,68	0	0	0
2011	44266	Visiedo	73,76	73,76	0	0	0	0
2011	44267	Vivel del Río Martín	0	0	0	0	0	0
2011	44268	Zoma (La)	0	0	0	0	0	0
2011	50001	Abanto	0	0	0	0	0	0
2011	50002	Acered	42,51	33,84	7,67	1	0	0
2011	50003	Agón	1,18	1,18	0	0	0	0
2011	50004	Aguarón	0	0	0	0	0	0
2011	50005	Aguilón	10,95	10,95	0	0	0	0
2011	50006	Ainzón	7,17	2,27	0	4,9	0	0
2011	50007	Aladrén	0	0	0	0	0	0
2011	50008	Alagón	0,5644	0	0	0,5644	0	0
2011	50009	Alarba	4,64	1,32	3,32	0	0	0
2011	50010	Alberite de San Juan	15,54	14,48	0	1,06	0	0
2011	50011	Albeta	1,21	1,21	0	0	0	0
2011	50012	Alborge	0	0	0	0	0	0
2011	50013	Alcalá de Ebro	0	0	0	0	0	0
2011	50014	Alcalá de Moncayo	9,37	9,37	0	0	0	0
2011	50015	Alconchel de Ariza	0	0	0	0	0	0
2011	50016	Aldehuela de Liestos	0	0	0	0	0	0
2011	50017	Alfajarín	1354,11	347,15	15,42	0	991,54	0
2011	50018	Alfamén	536,86	482,65	49,39	1	0	3,82
2011	50019	Alforque	0	0	0	0	0	0
2011	50020	Alhama de Aragón	10,53	10,53	0	0	0	0
2011	50021	Almochuel	615,69	611,81	3,88	0	0	0
2011	50022	Almolda (La)	197,6344	137,06	0	56,59	0	3,9844
2011	50023	Almonacid de la Cuba	347,595	304,58	39,96	3,055	0	0
2011	50024	Almonacid de la Sierra	36,05	11,14	15,29	6,11	0	3,51
2011	50025	Almunia de Doña Godina (La)	51,35	2,29	49,06	0	0	0
2011	50026	Alpartir	0	0	0	0	0	0
2011	50027	Ambel	7,82	7,82	0	0	0	0
2011	50028	Anento	0	0	0	0	0	0
2011	50029	Aniñón	0	0	0	0	0	0
2011	50030	Añón de Moncayo	92,24	36,44	0	55,8	0	0
2011	50031	Aranda de Moncayo	0	0	0	0	0	0
2011	50032	Arándiga	0	0	0	0	0	0
2011	50033	Ardisa	0	0	0	0	0	0
2011	50034	Ariza	0	0	0	0	0	0
2011	50035	Artieda	0	0	0	0	0	0
2011	50036	Asín	0	0	0	0	0	0
2011	50037	Atea	8,57	1,48	7,09	0	0	0
2011	50038	Ateca	0	0	0	0	0	0
2011	50039	Azuara	679,13	678,05	1,08	0	0	0
2011	50040	Badules	7,65	0	7,65	0	0	0
2011	50041	Bagüés	0	0	0	0	0	0
2011	50042	Balconchán	8,7655	6,0855	1,66	1,02	0	0
2011	50043	Bárboles	0	0	0	0	0	0
2011	50044	Bardallur	2,31	2,31	0	0	0	0
2011	50045	Belchite	2594,97	2143,72	156,98	241,04	0	53,23
2011	50046	Belmonte de Gracián	0	0	0	0	0	0
2011	50047	Berdejo	470,75	470,75	0	0	0	0
2011	50048	Berrueco	0	0	0	0	0	0
2011	50050	Bijuesca	4,87	4,87	0	0	0	0
2011	50051	Biota	8,84	8,84	0	0	0	0
2011	50052	Bisimbre	0	0	0	0	0	0
2011	50053	Boquiñeni	108,76	103,37	1,67	0,31	0	3,41
2011	50054	Bordalba	0	0	0	0	0	0
2011	50055	Borja	969,968	880,518	4,06	85,39	0	0
2011	50056	Botorrita	40,05	40,05	0	0	0	0
2011	50057	Brea de Aragón	0	0	0	0	0	0
2011	50058	Bubierca	0	0	0	0	0	0
2011	50059	Bujaraloz	1924,01	1841,69	20,73	60,58	0	1,01
2011	50060	Bulbuente	0	0	0	0	0	0
2011	50061	Bureta	1,65	1,65	0	0	0	0
2011	50062	Burgo de Ebro (El)	0	0	0	0	0	0
2011	50063	Buste (El)	10,39	6,03	3,85	0,51	0	0
