Año	Municipio código	Municipio nombre	Superficie total agricultura ecológica	Superficie calificada agricultura ecológica	Superficie calificada en reconversión	Superficie calificada primer año prácticas	Superficie certificaciones privadas	Superficie sin clasificar
2011	22001	Abiego	0	0	0	0	0	0
2011	22002	Abizanda	0	0	0	0	0	0
2011	22003	Adahuesca	22,06	19,01	2,79	0,26	0	0
2011	22004	Agüero	0	0	0	0	0	0
2011	22006	Aísa	0	0	0	0	0	0
2011	22007	Albalate de Cinca	85,8151	72,8051	0	13,01	0	0
2011	22008	Albalatillo	0	0	0	0	0	0
2011	22009	Albelda	8,953	4,23	4,723	0	0	0
2011	22011	Albero Alto	0	0	0	0	0	0
2011	22012	Albero Bajo	6,5	6,5	0	0	0	0
2011	22013	Alberuela de Tubo	5,9	5,9	0	0	0	0
2011	22014	Alcalá de Gurrea	0	0	0	0	0	0
2011	22015	Alcalá del Obispo	3,06	0	0	3,06	0	0
2011	22016	Alcampell	0	0	0	0	0	0
2011	22017	Alcolea de Cinca	75,99	75,99	0	0	0	0
2011	22018	Alcubierre	0	0	0	0	0	0
2011	22019	Alerre	0	0	0	0	0	0
2011	22020	Alfántega	10,26	10,26	0	0	0	0
2011	22021	Almudévar	0	0	0	0	0	0
2011	22022	Almunia de San Juan	28,14	28,14	0	0	0	0
2011	22023	Almuniente	0	0	0	0	0	0
2011	22024	Alquézar	1,59	1,59	0	0	0	0
2011	22025	Altorricón	0	0	0	0	0	0
2011	22027	Angüés	0	0	0	0	0	0
2011	22028	Ansó	0	0	0	0	0	0
2011	22029	Antillón	0	0	0	0	0	0
2011	22032	Aragüés del Puerto	0	0	0	0	0	0
2011	22035	Arén	0	0	0	0	0	0
2011	22036	Argavieso	0	0	0	0	0	0
2011	22037	Arguis	0	0	0	0	0	0
2011	22039	Ayerbe	0	0	0	0	0	0
2011	22040	Azanuy-Alins	54,66	0	0	0	54,66	0
2011	22041	Azara	0	0	0	0	0	0
2011	22042	Azlor	0	0	0	0	0	0
2011	22043	Baells	0	0	0	0	0	0
2011	22044	Bailo	17,87	17,87	0	0	0	0
2011	22045	Baldellou	0	0	0	0	0	0
2011	22046	Ballobar	92,9	56,34	0	0	36,04	0,52
2011	22047	Banastás	0	0	0	0	0	0
2011	22048	Barbastro	65,05	44,22	20,83	0	0	0
2011	22049	Barbués	0	0	0	0	0	0
2011	22050	Barbuñales	17,71	0	17,71	0	0	0
2011	22051	Bárcabo	0	0	0	0	0	0
2011	22052	Belver de Cinca	0,95	0	0	0,95	0	0
2011	22053	Benabarre	0	0	0	0	0	0
2011	22054	Benasque	159,28	0	0	159,28	0	0
2011	22055	Berbegal	0	0	0	0	0	0
2011	22057	Bielsa	0	0	0	0	0	0
2011	22058	Bierge	0	0	0	0	0	0
2011	22059	Biescas	199,573	199,57	0,003	0	0	0
2011	22060	Binaced	58,8028	29,64	15,4487	13,7141	0	0
2011	22061	Binéfar	0	0	0	0	0	0
2011	22062	Bisaurri	0	0	0	0	0	0
2011	22063	Biscarrués	0	0	0	0	0	0
2011	22064	Blecua y Torres	0	0	0	0	0	0
2011	22066	Boltaña	0	0	0	0	0	0
2011	22067	Bonansa	0	0	0	0	0	0
2011	22068	Borau	0	0	0	0	0	0
2011	22069	Broto	0	0	0	0	0	0
2011	22072	Caldearenas	0	0	0	0	0	0
2011	22074	Campo	0	0	0	0	0	0
2011	22075	Camporrells	0	0	0	0	0	0
2011	22076	Canal de Berdún	0	0	0	0	0	0
2011	22077	Candasnos	19,88	0	0	19,88	0	0
2011	22078	Canfranc	0	0	0	0	0	0
2011	22079	Capdesaso	0	0	0	0	0	0
2011	22080	Capella	0,85	0	0	0,85	0	0
2011	22081	Casbas de Huesca	0	0	0	0	0	0
2011	22082	Castejón del Puente	0	0	0	0	0	0
2011	22083	Castejón de Monegros	1374,63	1361,28	0	13,35	0	0
2011	22084	Castejón de Sos	0	0	0	0	0	0
2011	22085	Castelflorite	0	0	0	0	0	0
2011	22086	Castiello de Jaca	0	0	0	0	0	0
2011	22087	Castigaleu	0	0	0	0	0	0
2011	22088	Castillazuelo	103,6921	78,5343	18,55	6,6078	0	0
2011	22089	Castillonroy	9,33	3,01	6,32	0	0	0
