Año	Comarca	Municipio	Entidad singular	Núcleo	Personas
2017	01-La Jacetania	22208-Santa Cilia	222080002 - Somanés	22208000201 - Somanés	18
2017	01-La Jacetania	22209-Santa Cruz de la Serós	222090001 - Binacua	22209000101 - Binacua	22
2017	01-La Jacetania	22209-Santa Cruz de la Serós	222090001 - Binacua	22209000199 - *Diseminado*	8
2017	01-La Jacetania	22209-Santa Cruz de la Serós	222090002 - Santa Cruz de la Serós	22209000201 - Santa Cruz de la Serós	147
2017	01-La Jacetania	22250-Villanúa	222500001 - Villanúa	22250000101 - Villanúa	414
2017	01-La Jacetania	22250-Villanúa	222500001 - Villanúa	22250000199 - *Diseminado*	36
2017	01-La Jacetania	22901-Valle de Hecho	229010001 - Embún	22901000101 - Embún	95
2017	01-La Jacetania	22901-Valle de Hecho	229010001 - Embún	22901000199 - *Diseminado*	23
2017	01-La Jacetania	22901-Valle de Hecho	229010002 - Hecho	22901000201 - Hecho	538
2017	01-La Jacetania	22901-Valle de Hecho	229010002 - Hecho	22901000299 - *Diseminado*	30
2017	01-La Jacetania	22901-Valle de Hecho	229010003 - Santa Lucía	22901000399 - *Diseminado*	5
2017	01-La Jacetania	22901-Valle de Hecho	229010004 - Siresa	22901000401 - Siresa	115
2017	01-La Jacetania	22901-Valle de Hecho	229010005 - Urdués	22901000501 - Urdués	46
2017	01-La Jacetania	22902-Puente la Reina de Jaca	229020001 - Javierregay	22902000101 - Javierregay	90
2017	01-La Jacetania	22902-Puente la Reina de Jaca	229020002 - Puente la Reina de Jaca	22902000201 - Puente la Reina de Jaca	71
2017	01-La Jacetania	22902-Puente la Reina de Jaca	229020003 - Santa Engracia de Jaca	22902000301 - Santa Engracia de Jaca	102
2017	01-La Jacetania	50035-Artieda	500350001 - Artieda	50035000101 - Artieda	74
2017	01-La Jacetania	50035-Artieda	500350001 - Artieda	50035000199 - *Diseminado*	1
2017	01-La Jacetania	50168-Mianos	501680001 - Mianos	50168000101 - Mianos	24
2017	01-La Jacetania	50168-Mianos	501680001 - Mianos	50168000199 - *Diseminado*	8
2017	01-La Jacetania	50232-Salvatierra de Esca	502320001 - Lorbés	50232000101 - Lorbés	1
2017	01-La Jacetania	50232-Salvatierra de Esca	502320002 - Salvatierra de Esca	50232000201 - Salvatierra de Esca	211
2017	01-La Jacetania	50245-Sigüés	502450001 - Asso-Veral	50245000101 - Asso-Veral	11
2017	01-La Jacetania	50245-Sigüés	502450002 - Escó	50245000299 - *Diseminado*	3
2017	01-La Jacetania	50245-Sigüés	502450003 - Sigüés	50245000301 - Sigüés	77
2017	01-La Jacetania	50245-Sigüés	502450003 - Sigüés	50245000399 - *Diseminado*	2
2017	01-La Jacetania	50245-Sigüés	502450004 - Tiermas	50245000499 - *Diseminado*	1
2017	02-Alto Gállego	22059-Biescas	220590001 - Aso de Sobremonte	22059000101 - Aso de Sobremonte	29
2017	02-Alto Gállego	22059-Biescas	220590002 - Barbenuta	22059000201 - Barbenuta	10
2017	02-Alto Gállego	22059-Biescas	220590003 - Betés de Sobremonte	22059000301 - Betés de Sobremonte	14
2017	02-Alto Gállego	22059-Biescas	220590004 - Biescas	22059000401 - Biescas	1117
2017	02-Alto Gállego	22059-Biescas	220590004 - Biescas	22059000499 - *Diseminado*	1
2017	02-Alto Gállego	22059-Biescas	220590005 - Escuer	22059000501 - Escuer	35
2017	02-Alto Gállego	22059-Biescas	220590006 - Espierre	22059000601 - Espierre	4
2017	02-Alto Gállego	22059-Biescas	220590007 - Gavín	22059000701 - Gavín	103
2017	02-Alto Gállego	22059-Biescas	220590008 - Javierre del Obispo	22059000801 - Javierre del Obispo	17
2017	02-Alto Gállego	22059-Biescas	220590009 - Oliván	22059000901 - Oliván	37
2017	02-Alto Gállego	22059-Biescas	220590010 - Orós Alto	22059001001 - Orós Alto	20
2017	02-Alto Gállego	22059-Biescas	220590011 - Orós Bajo	22059001101 - Orós Bajo	22
2017	02-Alto Gállego	22059-Biescas	220590012 - Piedrafita de Jaca	22059001201 - Piedrafita de Jaca	40
2017	02-Alto Gállego	22059-Biescas	220590013 - Yosa de Sobremonte	22059001301 - Yosa de Sobremonte	31
2017	02-Alto Gállego	22072-Caldearenas	220720001 - Anzánigo	22072000101 - Anzánigo	32
2017	02-Alto Gállego	22072-Caldearenas	220720002 - Aquilué	22072000201 - Aquilué	21
2017	02-Alto Gállego	22072-Caldearenas	220720003 - Caldearenas	22072000301 - Caldearenas	20
2017	02-Alto Gállego	22072-Caldearenas	220720003 - Caldearenas	22072000399 - *Diseminado*	20
2017	02-Alto Gállego	22072-Caldearenas	220720004 - Estallo	22072000401 - Estallo	9
2017	02-Alto Gállego	22072-Caldearenas	220720005 - Javierrelatre	22072000501 - Javierrelatre	61
2017	02-Alto Gállego	22072-Caldearenas	220720006 - Latre	22072000601 - Latre	26
2017	02-Alto Gállego	22072-Caldearenas	220720007 - San Vicente	22072000701 - San Vicente	21
2017	02-Alto Gállego	22072-Caldearenas	220720008 - Serué	22072000801 - Serué	17
2017	02-Alto Gállego	22072-Caldearenas	220720009 - Sieso de Jaca	22072000901 - Sieso de Jaca	1
2017	02-Alto Gállego	22122-Hoz de Jaca	221220001 - Hoz de Jaca	22122000101 - Hoz de Jaca	76
2017	02-Alto Gállego	22170-Panticosa	221700001 - Baños de Panticosa	22170000101 - Baños de Panticosa	2
2017	02-Alto Gállego	22170-Panticosa	221700002 - Panticosa	22170000201 - Panticosa	717
2017	02-Alto Gállego	22170-Panticosa	221700002 - Panticosa	22170000299 - *Diseminado*	4
2017	02-Alto Gállego	22170-Panticosa	221700003 - Pueyo de Jaca (El)	22170000301 - Pueyo de Jaca (El)	70
2017	02-Alto Gállego	22170-Panticosa	221700003 - Pueyo de Jaca (El)	22170000399 - *Diseminado*	2
2017	02-Alto Gállego	22199-Sabiñánigo	221990002 - Acumuer	22199000201 - Acumuer	13
2017	02-Alto Gállego	22199-Sabiñánigo	221990003 - Aineto	22199000301 - Aineto	25
2017	02-Alto Gállego	22199-Sabiñánigo	221990003 - Aineto	22199000399 - *Diseminado*	8
2017	02-Alto Gállego	22199-Sabiñánigo	221990004 - Allué	22199000401 - Allué	5
2017	02-Alto Gállego	22199-Sabiñánigo	221990005 - Arguisal	22199000501 - Arguisal	9
2017	02-Alto Gállego	22199-Sabiñánigo	221990005 - Arguisal	22199000599 - *Diseminado*	4
2017	02-Alto Gállego	22199-Sabiñánigo	221990006 - Arraso	22199000699 - *Diseminado*	5
2017	02-Alto Gállego	22199-Sabiñánigo	221990007 - Arto	22199000701 - Arto	11
2017	02-Alto Gállego	22199-Sabiñánigo	221990007 - Arto	22199000799 - *Diseminado*	4
2017	02-Alto Gállego	22199-Sabiñánigo	221990008 - Aurín	22199000801 - Aurín	36
2017	02-Alto Gállego	22199-Sabiñánigo	221990009 - Bara	22199000901 - Bara	10
2017	02-Alto Gállego	22199-Sabiñánigo	221990010 - Baranguá	22199001099 - *Diseminado*	2
2017	02-Alto Gállego	22199-Sabiñánigo	221990011 - Belarra	22199001101 - Belarra	7
2017	02-Alto Gállego	22199-Sabiñánigo	221990012 - Borrés	22199001201 - Borrés	15
2017	02-Alto Gállego	22199-Sabiñánigo	221990013 - Campares	22199001399 - *Diseminado*	1
2017	02-Alto Gállego	22199-Sabiñánigo	221990014 - Cartirana	22199001401 - Cartirana	45
2017	02-Alto Gállego	22199-Sabiñánigo	221990015 - Castiello de Guarga	22199001599 - *Diseminado*	5
2017	02-Alto Gállego	22199-Sabiñánigo	221990016 - Castillo de Lerés	22199001601 - Castillo de Lerés	6
2017	02-Alto Gállego	22199-Sabiñánigo	221990017 - Cerésola	22199001701 - Cerésola	5
2017	02-Alto Gállego	22199-Sabiñánigo	221990018 - Gésera	22199001801 - Gésera	8
2017	02-Alto Gállego	22199-Sabiñánigo	221990019 - Gillué	22199001901 - Gillué	10
2017	02-Alto Gállego	22199-Sabiñánigo	221990019 - Gillué	22199001999 - *Diseminado*	1
2017	02-Alto Gállego	22199-Sabiñánigo	221990020 - Grasa	22199002001 - Grasa	3
2017	02-Alto Gállego	22199-Sabiñánigo	221990021 - Hostal de Ipiés	22199002101 - Hostal de Ipiés	38
2017	02-Alto Gállego	22199-Sabiñánigo	221990022 - Ipiés	22199002201 - Ipiés	9
2017	02-Alto Gállego	22199-Sabiñánigo	221990023 - Isún de Basa	22199002301 - Isún de Basa	32
2017	02-Alto Gállego	22199-Sabiñánigo	221990024 - Laguarta	22199002401 - Laguarta	11
2017	02-Alto Gállego	22199-Sabiñánigo	221990025 - Lanave	22199002501 - Lanave	2
2017	02-Alto Gállego	22199-Sabiñánigo	221990026 - Lárrede	22199002601 - Lárrede	20
2017	02-Alto Gállego	22199-Sabiñánigo	221990027 - Larrés	22199002701 - Larrés	80
2017	02-Alto Gállego	22199-Sabiñánigo	221990028 - Lasaosa	22199002801 - Lasaosa	1
2017	02-Alto Gállego	22199-Sabiñánigo	221990029 - Lasieso	22199002901 - Lasieso	9
2017	02-Alto Gállego	22199-Sabiñánigo	221990029 - Lasieso	22199002999 - *Diseminado*	1
2017	02-Alto Gállego	22199-Sabiñánigo	221990030 - Latas	22199003001 - Latas	65
2017	02-Alto Gállego	22199-Sabiñánigo	221990031 - Latrás	22199003101 - Latrás	11
