Aragón	Edad (grupos quinquenales)	Sexo	Personas	Porcentaje
Aragón	90 ó más	Hombres	2755	0,2287797444808443674925158713352682037676
Aragón	90 ó más	Mujeres	6436	0,5344560564351050269262548631266011468052
Aragón	85 a 90	Hombres	6556	0,5444210543798242008279252459070846983304
Aragón	85 a 90	Mujeres	12815	1,06417873884646844624921629443247260664
Aragón	80 a 84	Hombres	13683	1,13625889064660380413796539654463696267
Aragón	80 a 84	Mujeres	21798	1,81014187665823793923842503207483713456
Aragón	75 a 79	Hombres	24467	2,03178003927870023210141046241742545974
Aragón	75 a 79	Mujeres	31578	2,62228920915285061222456122868424658387
Aragón	70 a 74	Hombres	31106	2,58309355057028852821132438974767794787
Aragón	70 a 74	Mujeres	36383	3,0213043351893142005372794725194421262
Aragón	65 a 69	Hombres	33638	2,79335500720386309753656946641588088506
Aragón	65 a 69	Mujeres	37276	3,0954605282279327196555432377108738888
Aragón	60 a 64	Hombres	27734	2,30307710832367974157438663361609015001
Aragón	60 a 64	Mujeres	29128	2,41883716778150081173212424691604074023
Aragón	55 a 59	Hombres	34122	2,83354716558089709893997334363049787621
Aragón	55 a 59	Mujeres	34469	2,86236261797104337680563686717072947937
Aragón	50 a 54	Hombres	36950	3,06838895047811229722267203115722690716
Aragón	50 a 54	Mujeres	36737	3,0507010791262357635472071017218686032
Aragón	45 a 49	Hombres	39825	3,30713369290367583861685828527297866245
Aragón	45 a 49	Mujeres	38697	3,21346271222331560394115668713643327811
Aragón	40 a 44	Hombres	45369	3,76751659794970167287402996973131874292
Aragón	40 a 44	Mujeres	43757	3,63365345889230743679492449438015636743
Aragón	35 a 39	Hombres	48409	4,01996321254925407838301300017023538156
Aragón	35 a 39	Mujeres	45472	3,77606988785225229713963038161790045797
Aragón	30 a 34	Hombres	47743	3,96465747395606266322874237573855167059
Aragón	30 a 34	Mujeres	44576	3,70166456986501579867382485685695660659
Aragón	25 a 29	Hombres	49439	4,10549611157476032103901711903605253215
Aragón	25 a 29	Mujeres	45255	3,75804984990221845766744310608985936897
Aragón	20 a 24	Hombres	42806	3,55468085018040798362418671084482422159
Aragón	20 a 24	Mujeres	40549	3,36725584717014818782360292804856275665
Aragón	15 a 19	Hombres	32446	2,69436936095298597011331033079641093991
Aragón	15 a 19	Mujeres	30327	2,51840410557915322429964748819770555922
Aragón	10 a 14	Hombres	27313	2,26811657386762330646935970736122702341
Aragón	10 a 14	Mujeres	25984	2,15775422162985845550836021806737169027
Aragón	05 a 09	Hombres	25179	2,09090569375070066391798806691496119879
Aragón	05 a 09	Mujeres	24226	2,01176700173972255784888911033328766043
Aragón	00 a 04	Hombres	25306	2,10145198324219512296392255535763962415
Aragón	00 a 04	Mujeres	23906	1,98519367388713809411110142291866485636
