Provincia código	Provincia nombre	Plazas garaje	Número de edificios
22	Huesca	00	38480
22	Huesca	01	11750
22	Huesca	02	6332
22	Huesca	03 a 05	2380
22	Huesca	06 a 10	624
22	Huesca	11 a 20	559
22	Huesca	21 a 50	363
22	Huesca	50 o más	63
44	Teruel	00	47659
44	Teruel	01	13570
44	Teruel	02	5848
44	Teruel	03 a 05	1750
44	Teruel	06 a 10	439
44	Teruel	11 a 20	187
44	Teruel	21 a 50	74
44	Teruel	50 o más	11
50	Zaragoza	00	94309
50	Zaragoza	01	30931
50	Zaragoza	02	9870
50	Zaragoza	03 a 05	1911
50	Zaragoza	06 a 10	1329
50	Zaragoza	11 a 20	1615
50	Zaragoza	21 a 50	1691
50	Zaragoza	50 o más	671
