Año	CCAA código	CCAA nombre	Contenedores de vidrio	Kg vidrio doméstico
2011	02	Aragón		
2012	02	Aragón		
2013	02	Aragón		
2014	02	Aragón		
2015	02	Aragón		
2016	02	Aragón		
2017	02	Aragón		
2018	02	Aragón		
