Municipio código	Municipio nombre	Sexo	Sector actividad	Rama actividad, código	Rama actividad, descripción	Personas residentes viviendas familiares
22248	Vicién	Mujeres	Servicios	16	Sanidad	3
22248	Vicién	Varones	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	6
22248	Vicién	Varones	Industria y energía	02	Extractivas, energía, gas y agua	1
22248	Vicién	Varones	Industria y energía	06	Química, plásticos y otros productos minerales no metálicos	1
22248	Vicién	Varones	Industria y energía	07	Metal	2
22248	Vicién	Varones	Construcción	09	Construcción	5
22248	Vicién	Varones	Servicios	10	Comercio y reparación	7
22248	Vicién	Varones	Servicios	11	Hostelería	1
22248	Vicién	Varones	Servicios	12	Transporte y comunicaciones	3
22248	Vicién	Varones	Servicios	13	Finanzas y servicios a empresas	6
22248	Vicién	Varones	Servicios	14	Administración pública	4
22248	Vicién	Varones	Servicios	16	Sanidad	2
22248	Vicién	Varones	Servicios	17	Actividades asociativas, recreativas, servicios personales, ...	1
22249	Villanova	Mujeres	Industria y energía	07	Metal	1
22249	Villanova	Mujeres	Servicios	10	Comercio y reparación	2
22249	Villanova	Mujeres	Servicios	11	Hostelería	7
22249	Villanova	Mujeres	Servicios	12	Transporte y comunicaciones	2
22249	Villanova	Mujeres	Servicios	14	Administración pública	1
22249	Villanova	Mujeres	Servicios	15	Educación	2
22249	Villanova	Mujeres	Servicios	16	Sanidad	8
22249	Villanova	Varones	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	4
22249	Villanova	Varones	Industria y energía	02	Extractivas, energía, gas y agua	1
22249	Villanova	Varones	Industria y energía	05	Madera y papel	1
22249	Villanova	Varones	Industria y energía	06	Química, plásticos y otros productos minerales no metálicos	2
22249	Villanova	Varones	Industria y energía	07	Metal	4
22249	Villanova	Varones	Construcción	09	Construcción	3
22249	Villanova	Varones	Servicios	10	Comercio y reparación	3
22249	Villanova	Varones	Servicios	11	Hostelería	3
22249	Villanova	Varones	Servicios	12	Transporte y comunicaciones	1
22249	Villanova	Varones	Servicios	13	Finanzas y servicios a empresas	8
22249	Villanova	Varones	Servicios	14	Administración pública	5
22249	Villanova	Varones	Servicios	15	Educación	1
22249	Villanova	Varones	Servicios	17	Actividades asociativas, recreativas, servicios personales, ...	8
22250	Villanúa	Mujeres	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	2
22250	Villanúa	Mujeres	Industria y energía	03	Alimentación, bebidas y tabaco	1
22250	Villanúa	Mujeres	Industria y energía	04	Textil y calzado	1
22250	Villanúa	Mujeres	Industria y energía	06	Química, plásticos y otros productos minerales no metálicos	3
22250	Villanúa	Mujeres	Construcción	09	Construcción	1
22250	Villanúa	Mujeres	Servicios	10	Comercio y reparación	12
22250	Villanúa	Mujeres	Servicios	11	Hostelería	15
22250	Villanúa	Mujeres	Servicios	12	Transporte y comunicaciones	5
22250	Villanúa	Mujeres	Servicios	13	Finanzas y servicios a empresas	3
22250	Villanúa	Mujeres	Servicios	14	Administración pública	3
22250	Villanúa	Mujeres	Servicios	15	Educación	5
22250	Villanúa	Mujeres	Servicios	16	Sanidad	6
22250	Villanúa	Mujeres	Servicios	17	Actividades asociativas, recreativas, servicios personales, ...	3
22250	Villanúa	Varones	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	5
22250	Villanúa	Varones	Industria y energía	02	Extractivas, energía, gas y agua	1
22250	Villanúa	Varones	Industria y energía	03	Alimentación, bebidas y tabaco	4
22250	Villanúa	Varones	Industria y energía	04	Textil y calzado	1
22250	Villanúa	Varones	Industria y energía	05	Madera y papel	2
22250	Villanúa	Varones	Industria y energía	06	Química, plásticos y otros productos minerales no metálicos	2
22250	Villanúa	Varones	Industria y energía	07	Metal	2
22250	Villanúa	Varones	Industria y energía	08	Manufactureras diversas	1
22250	Villanúa	Varones	Construcción	09	Construcción	21
22250	Villanúa	Varones	Servicios	10	Comercio y reparación	18
22250	Villanúa	Varones	Servicios	11	Hostelería	9
22250	Villanúa	Varones	Servicios	12	Transporte y comunicaciones	5
22250	Villanúa	Varones	Servicios	13	Finanzas y servicios a empresas	9
22250	Villanúa	Varones	Servicios	14	Administración pública	7
22250	Villanúa	Varones	Servicios	15	Educación	4
22250	Villanúa	Varones	Servicios	16	Sanidad	2
22250	Villanúa	Varones	Servicios	17	Actividades asociativas, recreativas, servicios personales, ...	4
22251	Villanueva de Sigena	Mujeres	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	7
22251	Villanueva de Sigena	Mujeres	Industria y energía	03	Alimentación, bebidas y tabaco	1
22251	Villanueva de Sigena	Mujeres	Industria y energía	04	Textil y calzado	1
22251	Villanueva de Sigena	Mujeres	Servicios	10	Comercio y reparación	7
22251	Villanueva de Sigena	Mujeres	Servicios	11	Hostelería	4
22251	Villanueva de Sigena	Mujeres	Servicios	12	Transporte y comunicaciones	2
22251	Villanueva de Sigena	Mujeres	Servicios	13	Finanzas y servicios a empresas	4
22251	Villanueva de Sigena	Mujeres	Servicios	14	Administración pública	5
22251	Villanueva de Sigena	Mujeres	Servicios	15	Educación	2
22251	Villanueva de Sigena	Mujeres	Servicios	16	Sanidad	1
22251	Villanueva de Sigena	Mujeres	Servicios	17	Actividades asociativas, recreativas, servicios personales, ...	1
22251	Villanueva de Sigena	Varones	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	58
22251	Villanueva de Sigena	Varones	Industria y energía	03	Alimentación, bebidas y tabaco	3
22251	Villanueva de Sigena	Varones	Industria y energía	06	Química, plásticos y otros productos minerales no metálicos	8
22251	Villanueva de Sigena	Varones	Industria y energía	07	Metal	6
22251	Villanueva de Sigena	Varones	Construcción	09	Construcción	30
22251	Villanueva de Sigena	Varones	Servicios	10	Comercio y reparación	4
22251	Villanueva de Sigena	Varones	Servicios	11	Hostelería	2
22251	Villanueva de Sigena	Varones	Servicios	12	Transporte y comunicaciones	3
22251	Villanueva de Sigena	Varones	Servicios	13	Finanzas y servicios a empresas	2
22251	Villanueva de Sigena	Varones	Servicios	14	Administración pública	8
22251	Villanueva de Sigena	Varones	Servicios	15	Educación	1
22251	Villanueva de Sigena	Varones	Servicios	16	Sanidad	3
22251	Villanueva de Sigena	Varones	Servicios	17	Actividades asociativas, recreativas, servicios personales, ...	2
22252	Yebra de Basa	Mujeres	Industria y energía	06	Química, plásticos y otros productos minerales no metálicos	3
22252	Yebra de Basa	Mujeres	Servicios	10	Comercio y reparación	4
22252	Yebra de Basa	Mujeres	Servicios	11	Hostelería	3
22252	Yebra de Basa	Mujeres	Servicios	12	Transporte y comunicaciones	1
22252	Yebra de Basa	Mujeres	Servicios	13	Finanzas y servicios a empresas	4
22252	Yebra de Basa	Mujeres	Servicios	14	Administración pública	2
22252	Yebra de Basa	Mujeres	Servicios	15	Educación	2
22252	Yebra de Basa	Mujeres	Servicios	17	Actividades asociativas, recreativas, servicios personales, ...	5
22252	Yebra de Basa	Varones	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	7
22252	Yebra de Basa	Varones	Industria y energía	05	Madera y papel	1
22252	Yebra de Basa	Varones	Industria y energía	06	Química, plásticos y otros productos minerales no metálicos	1
22252	Yebra de Basa	Varones	Industria y energía	07	Metal	4
22252	Yebra de Basa	Varones	Industria y energía	08	Manufactureras diversas	1
22252	Yebra de Basa	Varones	Construcción	09	Construcción	17
22252	Yebra de Basa	Varones	Servicios	10	Comercio y reparación	5
22252	Yebra de Basa	Varones	Servicios	11	Hostelería	4
22252	Yebra de Basa	Varones	Servicios	12	Transporte y comunicaciones	2
22252	Yebra de Basa	Varones	Servicios	13	Finanzas y servicios a empresas	2
22252	Yebra de Basa	Varones	Servicios	14	Administración pública	1
22252	Yebra de Basa	Varones	Servicios	16	Sanidad	1
22252	Yebra de Basa	Varones	Servicios	17	Actividades asociativas, recreativas, servicios personales, ...	1
22253	Yésero	Mujeres	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	1
22253	Yésero	Mujeres	Industria y energía	06	Química, plásticos y otros productos minerales no metálicos	3
22253	Yésero	Mujeres	Servicios	10	Comercio y reparación	1
22253	Yésero	Mujeres	Servicios	13	Finanzas y servicios a empresas	2
22253	Yésero	Mujeres	Servicios	14	Administración pública	1
22253	Yésero	Mujeres	Servicios	15	Educación	1
22253	Yésero	Mujeres	Servicios	16	Sanidad	1
22253	Yésero	Mujeres	Servicios	17	Actividades asociativas, recreativas, servicios personales, ...	1
22253	Yésero	Varones	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	2
22253	Yésero	Varones	Industria y energía	02	Extractivas, energía, gas y agua	1
22253	Yésero	Varones	Industria y energía	05	Madera y papel	1
22253	Yésero	Varones	Industria y energía	07	Metal	3
22253	Yésero	Varones	Industria y energía	08	Manufactureras diversas	2
22253	Yésero	Varones	Construcción	09	Construcción	7
22253	Yésero	Varones	Servicios	10	Comercio y reparación	5
22253	Yésero	Varones	Servicios	11	Hostelería	2
22253	Yésero	Varones	Servicios	13	Finanzas y servicios a empresas	1
22253	Yésero	Varones	Servicios	14	Administración pública	1
22253	Yésero	Varones	Servicios	15	Educación	1
22253	Yésero	Varones	Servicios	17	Actividades asociativas, recreativas, servicios personales, ...	1
22254	Zaidín	Mujeres	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	7
22254	Zaidín	Mujeres	Industria y energía	03	Alimentación, bebidas y tabaco	5
22254	Zaidín	Mujeres	Industria y energía	04	Textil y calzado	24
22254	Zaidín	Mujeres	Industria y energía	06	Química, plásticos y otros productos minerales no metálicos	11
22254	Zaidín	Mujeres	Industria y energía	07	Metal	1
22254	Zaidín	Mujeres	Industria y energía	08	Manufactureras diversas	1
22254	Zaidín	Mujeres	Construcción	09	Construcción	2
22254	Zaidín	Mujeres	Servicios	10	Comercio y reparación	53
22254	Zaidín	Mujeres	Servicios	11	Hostelería	7
22254	Zaidín	Mujeres	Servicios	12	Transporte y comunicaciones	2
22254	Zaidín	Mujeres	Servicios	13	Finanzas y servicios a empresas	17
22254	Zaidín	Mujeres	Servicios	14	Administración pública	7
22254	Zaidín	Mujeres	Servicios	15	Educación	5
22254	Zaidín	Mujeres	Servicios	16	Sanidad	5
22254	Zaidín	Mujeres	Servicios	17	Actividades asociativas, recreativas, servicios personales, ...	6
22254	Zaidín	Varones	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	281
22254	Zaidín	Varones	Industria y energía	02	Extractivas, energía, gas y agua	3
22254	Zaidín	Varones	Industria y energía	03	Alimentación, bebidas y tabaco	9
22254	Zaidín	Varones	Industria y energía	05	Madera y papel	3
22254	Zaidín	Varones	Industria y energía	06	Química, plásticos y otros productos minerales no metálicos	2
22254	Zaidín	Varones	Industria y energía	07	Metal	10
22254	Zaidín	Varones	Construcción	09	Construcción	68
22254	Zaidín	Varones	Servicios	10	Comercio y reparación	46
22254	Zaidín	Varones	Servicios	11	Hostelería	10
22254	Zaidín	Varones	Servicios	12	Transporte y comunicaciones	10
22254	Zaidín	Varones	Servicios	13	Finanzas y servicios a empresas	8
22254	Zaidín	Varones	Servicios	14	Administración pública	10
22254	Zaidín	Varones	Servicios	15	Educación	2
22254	Zaidín	Varones	Servicios	16	Sanidad	2
22254	Zaidín	Varones	Servicios	17	Actividades asociativas, recreativas, servicios personales, ...	8
22901	Valle de Hecho	Mujeres	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	6
22901	Valle de Hecho	Mujeres	Industria y energía	02	Extractivas, energía, gas y agua	3
22901	Valle de Hecho	Mujeres	Industria y energía	03	Alimentación, bebidas y tabaco	3
22901	Valle de Hecho	Mujeres	Industria y energía	04	Textil y calzado	1
22901	Valle de Hecho	Mujeres	Industria y energía	05	Madera y papel	1
22901	Valle de Hecho	Mujeres	Industria y energía	06	Química, plásticos y otros productos minerales no metálicos	2
22901	Valle de Hecho	Mujeres	Construcción	09	Construcción	3
22901	Valle de Hecho	Mujeres	Servicios	10	Comercio y reparación	16
22901	Valle de Hecho	Mujeres	Servicios	11	Hostelería	31
22901	Valle de Hecho	Mujeres	Servicios	12	Transporte y comunicaciones	3
22901	Valle de Hecho	Mujeres	Servicios	13	Finanzas y servicios a empresas	8
22901	Valle de Hecho	Mujeres	Servicios	14	Administración pública	8
22901	Valle de Hecho	Mujeres	Servicios	15	Educación	7
22901	Valle de Hecho	Mujeres	Servicios	16	Sanidad	9
22901	Valle de Hecho	Mujeres	Servicios	17	Actividades asociativas, recreativas, servicios personales, ...	6
22901	Valle de Hecho	Varones	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	58
22901	Valle de Hecho	Varones	Industria y energía	02	Extractivas, energía, gas y agua	4
22901	Valle de Hecho	Varones	Industria y energía	03	Alimentación, bebidas y tabaco	1
22901	Valle de Hecho	Varones	Industria y energía	05	Madera y papel	17
22901	Valle de Hecho	Varones	Industria y energía	06	Química, plásticos y otros productos minerales no metálicos	5
22901	Valle de Hecho	Varones	Industria y energía	07	Metal	3
22901	Valle de Hecho	Varones	Construcción	09	Construcción	69
22901	Valle de Hecho	Varones	Servicios	10	Comercio y reparación	27
22901	Valle de Hecho	Varones	Servicios	11	Hostelería	20
22901	Valle de Hecho	Varones	Servicios	12	Transporte y comunicaciones	19
22901	Valle de Hecho	Varones	Servicios	13	Finanzas y servicios a empresas	11
22901	Valle de Hecho	Varones	Servicios	14	Administración pública	20
22901	Valle de Hecho	Varones	Servicios	15	Educación	3
22901	Valle de Hecho	Varones	Servicios	16	Sanidad	5
22901	Valle de Hecho	Varones	Servicios	17	Actividades asociativas, recreativas, servicios personales, ...	3
22902	Puente la Reina de Jaca	Mujeres	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	1
22902	Puente la Reina de Jaca	Mujeres	Industria y energía	05	Madera y papel	4
22902	Puente la Reina de Jaca	Mujeres	Servicios	10	Comercio y reparación	2
22902	Puente la Reina de Jaca	Mujeres	Servicios	11	Hostelería	9
22902	Puente la Reina de Jaca	Mujeres	Servicios	14	Administración pública	6
22902	Puente la Reina de Jaca	Mujeres	Servicios	15	Educación	4
22902	Puente la Reina de Jaca	Mujeres	Servicios	16	Sanidad	2
22902	Puente la Reina de Jaca	Mujeres	Servicios	17	Actividades asociativas, recreativas, servicios personales, ...	3
22902	Puente la Reina de Jaca	Varones	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	27
22902	Puente la Reina de Jaca	Varones	Industria y energía	03	Alimentación, bebidas y tabaco	2
22902	Puente la Reina de Jaca	Varones	Industria y energía	05	Madera y papel	1
22902	Puente la Reina de Jaca	Varones	Industria y energía	07	Metal	1
22902	Puente la Reina de Jaca	Varones	Construcción	09	Construcción	14
22902	Puente la Reina de Jaca	Varones	Servicios	10	Comercio y reparación	7
22902	Puente la Reina de Jaca	Varones	Servicios	11	Hostelería	1
22902	Puente la Reina de Jaca	Varones	Servicios	12	Transporte y comunicaciones	3
22902	Puente la Reina de Jaca	Varones	Servicios	13	Finanzas y servicios a empresas	5
22902	Puente la Reina de Jaca	Varones	Servicios	14	Administración pública	4
22903	San Miguel del Cinca	Mujeres	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	12
22903	San Miguel del Cinca	Mujeres	Industria y energía	04	Textil y calzado	3
22903	San Miguel del Cinca	Mujeres	Industria y energía	05	Madera y papel	4
22903	San Miguel del Cinca	Mujeres	Industria y energía	06	Química, plásticos y otros productos minerales no metálicos	1
22903	San Miguel del Cinca	Mujeres	Industria y energía	07	Metal	5
22903	San Miguel del Cinca	Mujeres	Industria y energía	08	Manufactureras diversas	1
22903	San Miguel del Cinca	Mujeres	Construcción	09	Construcción	4
22903	San Miguel del Cinca	Mujeres	Servicios	10	Comercio y reparación	8
22903	San Miguel del Cinca	Mujeres	Servicios	11	Hostelería	11
22903	San Miguel del Cinca	Mujeres	Servicios	12	Transporte y comunicaciones	3
22903	San Miguel del Cinca	Mujeres	Servicios	13	Finanzas y servicios a empresas	4
22903	San Miguel del Cinca	Mujeres	Servicios	14	Administración pública	14
22903	San Miguel del Cinca	Mujeres	Servicios	15	Educación	9
22903	San Miguel del Cinca	Mujeres	Servicios	16	Sanidad	7
22903	San Miguel del Cinca	Mujeres	Servicios	17	Actividades asociativas, recreativas, servicios personales, ...	10
22903	San Miguel del Cinca	Varones	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	97
22903	San Miguel del Cinca	Varones	Industria y energía	02	Extractivas, energía, gas y agua	1
22903	San Miguel del Cinca	Varones	Industria y energía	03	Alimentación, bebidas y tabaco	1
22903	San Miguel del Cinca	Varones	Industria y energía	04	Textil y calzado	2
22903	San Miguel del Cinca	Varones	Industria y energía	05	Madera y papel	5
22903	San Miguel del Cinca	Varones	Industria y energía	06	Química, plásticos y otros productos minerales no metálicos	19
22903	San Miguel del Cinca	Varones	Industria y energía	07	Metal	14
22903	San Miguel del Cinca	Varones	Industria y energía	08	Manufactureras diversas	2
22903	San Miguel del Cinca	Varones	Construcción	09	Construcción	40
22903	San Miguel del Cinca	Varones	Servicios	10	Comercio y reparación	8
22903	San Miguel del Cinca	Varones	Servicios	11	Hostelería	4
22903	San Miguel del Cinca	Varones	Servicios	12	Transporte y comunicaciones	5
22903	San Miguel del Cinca	Varones	Servicios	13	Finanzas y servicios a empresas	9
22903	San Miguel del Cinca	Varones	Servicios	14	Administración pública	4
22903	San Miguel del Cinca	Varones	Servicios	15	Educación	3
22903	San Miguel del Cinca	Varones	Servicios	16	Sanidad	2
22903	San Miguel del Cinca	Varones	Servicios	17	Actividades asociativas, recreativas, servicios personales, ...	4
22904	Sotonera (La)	Mujeres	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	7
22904	Sotonera (La)	Mujeres	Industria y energía	03	Alimentación, bebidas y tabaco	3
22904	Sotonera (La)	Mujeres	Industria y energía	04	Textil y calzado	9
22904	Sotonera (La)	Mujeres	Industria y energía	05	Madera y papel	3
22904	Sotonera (La)	Mujeres	Industria y energía	06	Química, plásticos y otros productos minerales no metálicos	1
22904	Sotonera (La)	Mujeres	Construcción	09	Construcción	4
22904	Sotonera (La)	Mujeres	Servicios	10	Comercio y reparación	24
22904	Sotonera (La)	Mujeres	Servicios	11	Hostelería	7
22904	Sotonera (La)	Mujeres	Servicios	12	Transporte y comunicaciones	4
22904	Sotonera (La)	Mujeres	Servicios	13	Finanzas y servicios a empresas	9
22904	Sotonera (La)	Mujeres	Servicios	14	Administración pública	23
22904	Sotonera (La)	Mujeres	Servicios	15	Educación	13
22904	Sotonera (La)	Mujeres	Servicios	16	Sanidad	18
22904	Sotonera (La)	Mujeres	Servicios	17	Actividades asociativas, recreativas, servicios personales, ...	8
22904	Sotonera (La)	Varones	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	88
22904	Sotonera (La)	Varones	Industria y energía	02	Extractivas, energía, gas y agua	3
22904	Sotonera (La)	Varones	Industria y energía	03	Alimentación, bebidas y tabaco	8
22904	Sotonera (La)	Varones	Industria y energía	04	Textil y calzado	3
22904	Sotonera (La)	Varones	Industria y energía	05	Madera y papel	1
22904	Sotonera (La)	Varones	Industria y energía	07	Metal	9
22904	Sotonera (La)	Varones	Construcción	09	Construcción	56
22904	Sotonera (La)	Varones	Servicios	10	Comercio y reparación	16
22904	Sotonera (La)	Varones	Servicios	11	Hostelería	12
22904	Sotonera (La)	Varones	Servicios	12	Transporte y comunicaciones	17
22904	Sotonera (La)	Varones	Servicios	13	Finanzas y servicios a empresas	15
22904	Sotonera (La)	Varones	Servicios	14	Administración pública	18
22904	Sotonera (La)	Varones	Servicios	15	Educación	9
22904	Sotonera (La)	Varones	Servicios	16	Sanidad	6
22904	Sotonera (La)	Varones	Servicios	17	Actividades asociativas, recreativas, servicios personales, ...	8
22905	Lupiñén-Ortilla	Mujeres	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	3
22905	Lupiñén-Ortilla	Mujeres	Industria y energía	08	Manufactureras diversas	1
22905	Lupiñén-Ortilla	Mujeres	Servicios	10	Comercio y reparación	4
22905	Lupiñén-Ortilla	Mujeres	Servicios	12	Transporte y comunicaciones	1
22905	Lupiñén-Ortilla	Mujeres	Servicios	13	Finanzas y servicios a empresas	5
22905	Lupiñén-Ortilla	Mujeres	Servicios	14	Administración pública	9
22905	Lupiñén-Ortilla	Mujeres	Servicios	15	Educación	4
22905	Lupiñén-Ortilla	Mujeres	Servicios	16	Sanidad	7
22905	Lupiñén-Ortilla	Varones	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	49
22905	Lupiñén-Ortilla	Varones	Industria y energía	02	Extractivas, energía, gas y agua	3
22905	Lupiñén-Ortilla	Varones	Industria y energía	03	Alimentación, bebidas y tabaco	6
22905	Lupiñén-Ortilla	Varones	Industria y energía	05	Madera y papel	2
22905	Lupiñén-Ortilla	Varones	Industria y energía	06	Química, plásticos y otros productos minerales no metálicos	1
22905	Lupiñén-Ortilla	Varones	Industria y energía	07	Metal	4
22905	Lupiñén-Ortilla	Varones	Construcción	09	Construcción	6
22905	Lupiñén-Ortilla	Varones	Servicios	10	Comercio y reparación	8
22905	Lupiñén-Ortilla	Varones	Servicios	11	Hostelería	3
22905	Lupiñén-Ortilla	Varones	Servicios	12	Transporte y comunicaciones	1
22905	Lupiñén-Ortilla	Varones	Servicios	13	Finanzas y servicios a empresas	8
22905	Lupiñén-Ortilla	Varones	Servicios	14	Administración pública	5
22905	Lupiñén-Ortilla	Varones	Servicios	16	Sanidad	7
22905	Lupiñén-Ortilla	Varones	Servicios	17	Actividades asociativas, recreativas, servicios personales, ...	2
22906	Santa María de Dulcis	Mujeres	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	5
22906	Santa María de Dulcis	Mujeres	Industria y energía	03	Alimentación, bebidas y tabaco	1
22906	Santa María de Dulcis	Mujeres	Industria y energía	04	Textil y calzado	2
22906	Santa María de Dulcis	Mujeres	Construcción	09	Construcción	3
22906	Santa María de Dulcis	Mujeres	Servicios	10	Comercio y reparación	7
22906	Santa María de Dulcis	Mujeres	Servicios	11	Hostelería	5
22906	Santa María de Dulcis	Mujeres	Servicios	15	Educación	1
22906	Santa María de Dulcis	Mujeres	Servicios	16	Sanidad	1
22906	Santa María de Dulcis	Mujeres	Servicios	17	Actividades asociativas, recreativas, servicios personales, ...	2
22906	Santa María de Dulcis	Varones	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	14
22906	Santa María de Dulcis	Varones	Industria y energía	03	Alimentación, bebidas y tabaco	1
22906	Santa María de Dulcis	Varones	Industria y energía	04	Textil y calzado	1
22906	Santa María de Dulcis	Varones	Industria y energía	06	Química, plásticos y otros productos minerales no metálicos	3
22906	Santa María de Dulcis	Varones	Industria y energía	07	Metal	2
22906	Santa María de Dulcis	Varones	Industria y energía	08	Manufactureras diversas	1
22906	Santa María de Dulcis	Varones	Construcción	09	Construcción	16
22906	Santa María de Dulcis	Varones	Servicios	10	Comercio y reparación	2
22906	Santa María de Dulcis	Varones	Servicios	12	Transporte y comunicaciones	2
22906	Santa María de Dulcis	Varones	Servicios	15	Educación	3
22906	Santa María de Dulcis	Varones	Servicios	17	Actividades asociativas, recreativas, servicios personales, ...	1
22907	Aínsa-Sobrarbe	Mujeres	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	11
22907	Aínsa-Sobrarbe	Mujeres	Industria y energía	03	Alimentación, bebidas y tabaco	1
22907	Aínsa-Sobrarbe	Mujeres	Industria y energía	04	Textil y calzado	3
22907	Aínsa-Sobrarbe	Mujeres	Industria y energía	05	Madera y papel	2
22907	Aínsa-Sobrarbe	Mujeres	Industria y energía	06	Química, plásticos y otros productos minerales no metálicos	2
22907	Aínsa-Sobrarbe	Mujeres	Construcción	09	Construcción	4
22907	Aínsa-Sobrarbe	Mujeres	Servicios	10	Comercio y reparación	48
22907	Aínsa-Sobrarbe	Mujeres	Servicios	11	Hostelería	44
22907	Aínsa-Sobrarbe	Mujeres	Servicios	12	Transporte y comunicaciones	10
22907	Aínsa-Sobrarbe	Mujeres	Servicios	13	Finanzas y servicios a empresas	16
22907	Aínsa-Sobrarbe	Mujeres	Servicios	14	Administración pública	13
22907	Aínsa-Sobrarbe	Mujeres	Servicios	15	Educación	38
22907	Aínsa-Sobrarbe	Mujeres	Servicios	16	Sanidad	32
22907	Aínsa-Sobrarbe	Mujeres	Servicios	17	Actividades asociativas, recreativas, servicios personales, ...	9
22907	Aínsa-Sobrarbe	Varones	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	76
22907	Aínsa-Sobrarbe	Varones	Industria y energía	02	Extractivas, energía, gas y agua	8
22907	Aínsa-Sobrarbe	Varones	Industria y energía	03	Alimentación, bebidas y tabaco	5
22907	Aínsa-Sobrarbe	Varones	Industria y energía	04	Textil y calzado	1
22907	Aínsa-Sobrarbe	Varones	Industria y energía	05	Madera y papel	9
22907	Aínsa-Sobrarbe	Varones	Industria y energía	06	Química, plásticos y otros productos minerales no metálicos	14
22907	Aínsa-Sobrarbe	Varones	Industria y energía	07	Metal	10
22907	Aínsa-Sobrarbe	Varones	Industria y energía	08	Manufactureras diversas	2
22907	Aínsa-Sobrarbe	Varones	Construcción	09	Construcción	85
22907	Aínsa-Sobrarbe	Varones	Servicios	10	Comercio y reparación	38
22907	Aínsa-Sobrarbe	Varones	Servicios	11	Hostelería	55
22907	Aínsa-Sobrarbe	Varones	Servicios	12	Transporte y comunicaciones	19
22907	Aínsa-Sobrarbe	Varones	Servicios	13	Finanzas y servicios a empresas	29
22907	Aínsa-Sobrarbe	Varones	Servicios	14	Administración pública	37
22907	Aínsa-Sobrarbe	Varones	Servicios	15	Educación	29
22907	Aínsa-Sobrarbe	Varones	Servicios	16	Sanidad	3
22907	Aínsa-Sobrarbe	Varones	Servicios	17	Actividades asociativas, recreativas, servicios personales, ...	9
22908	Hoz y Costeán	Mujeres	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	4
22908	Hoz y Costeán	Mujeres	Industria y energía	07	Metal	1
22908	Hoz y Costeán	Mujeres	Servicios	10	Comercio y reparación	2
22908	Hoz y Costeán	Mujeres	Servicios	11	Hostelería	1
22908	Hoz y Costeán	Mujeres	Servicios	14	Administración pública	3
22908	Hoz y Costeán	Mujeres	Servicios	15	Educación	4
22908	Hoz y Costeán	Mujeres	Servicios	16	Sanidad	4
22908	Hoz y Costeán	Mujeres	Servicios	17	Actividades asociativas, recreativas, servicios personales, ...	1
22908	Hoz y Costeán	Varones	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	28
22908	Hoz y Costeán	Varones	Industria y energía	02	Extractivas, energía, gas y agua	1
22908	Hoz y Costeán	Varones	Industria y energía	03	Alimentación, bebidas y tabaco	2
22908	Hoz y Costeán	Varones	Industria y energía	06	Química, plásticos y otros productos minerales no metálicos	2
22908	Hoz y Costeán	Varones	Industria y energía	07	Metal	5
22908	Hoz y Costeán	Varones	Construcción	09	Construcción	4
22908	Hoz y Costeán	Varones	Servicios	10	Comercio y reparación	4
22908	Hoz y Costeán	Varones	Servicios	11	Hostelería	1
22908	Hoz y Costeán	Varones	Servicios	12	Transporte y comunicaciones	2
22908	Hoz y Costeán	Varones	Servicios	13	Finanzas y servicios a empresas	2
22908	Hoz y Costeán	Varones	Servicios	14	Administración pública	4
22908	Hoz y Costeán	Varones	Servicios	15	Educación	3
22908	Hoz y Costeán	Varones	Servicios	16	Sanidad	4
22908	Hoz y Costeán	Varones	Servicios	17	Actividades asociativas, recreativas, servicios personales, ...	1
22909	Vencillón	Mujeres	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	11
22909	Vencillón	Mujeres	Industria y energía	03	Alimentación, bebidas y tabaco	2
22909	Vencillón	Mujeres	Industria y energía	04	Textil y calzado	6
22909	Vencillón	Mujeres	Industria y energía	05	Madera y papel	1
