Municipio código	Municipio nombre	Sexo	Sector actividad	Rama actividad, código	Rama actividad, descripción	Personas residentes viviendas familiares
22006	Aísa	Mujeres	Servicios	12	Transporte y comunicaciones	2
22006	Aísa	Mujeres	Servicios	13	Finanzas y servicios a empresas	6
22006	Aísa	Mujeres	Servicios	14	Administración pública	4
22006	Aísa	Mujeres	Servicios	15	Educación	4
22006	Aísa	Mujeres	Servicios	16	Sanidad	6
22006	Aísa	Mujeres	Servicios	17	Actividades asociativas, recreativas, servicios personales, ...	9
22006	Aísa	Varones	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	13
22006	Aísa	Varones	Industria y energía	05	Madera y papel	1
22006	Aísa	Varones	Industria y energía	07	Metal	4
22006	Aísa	Varones	Construcción	09	Construcción	22
22006	Aísa	Varones	Servicios	10	Comercio y reparación	15
22006	Aísa	Varones	Servicios	11	Hostelería	10
22006	Aísa	Varones	Servicios	12	Transporte y comunicaciones	11
22006	Aísa	Varones	Servicios	13	Finanzas y servicios a empresas	11
22006	Aísa	Varones	Servicios	14	Administración pública	16
22006	Aísa	Varones	Servicios	15	Educación	2
22006	Aísa	Varones	Servicios	16	Sanidad	1
22006	Aísa	Varones	Servicios	17	Actividades asociativas, recreativas, servicios personales, ...	9
22007	Albalate de Cinca	Mujeres	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	6
22007	Albalate de Cinca	Mujeres	Industria y energía	04	Textil y calzado	27
22007	Albalate de Cinca	Mujeres	Industria y energía	06	Química, plásticos y otros productos minerales no metálicos	12
22007	Albalate de Cinca	Mujeres	Industria y energía	07	Metal	5
22007	Albalate de Cinca	Mujeres	Construcción	09	Construcción	4
22007	Albalate de Cinca	Mujeres	Servicios	10	Comercio y reparación	21
22007	Albalate de Cinca	Mujeres	Servicios	11	Hostelería	9
22007	Albalate de Cinca	Mujeres	Servicios	12	Transporte y comunicaciones	3
22007	Albalate de Cinca	Mujeres	Servicios	13	Finanzas y servicios a empresas	5
22007	Albalate de Cinca	Mujeres	Servicios	14	Administración pública	6
22007	Albalate de Cinca	Mujeres	Servicios	15	Educación	12
22007	Albalate de Cinca	Mujeres	Servicios	16	Sanidad	11
