Municipio código	Municipio nombre	Calefacción (agregado)	Calefacción (detalle)	Combustible usado	Número hogares
22009	Albelda	Con calefacción	Con calefacción colectiva	Madera	3
22009	Albelda	Con calefacción	Con calefacción individual	Gas	111
22009	Albelda	Con calefacción	Con calefacción individual	Electricidad	4
22009	Albelda	Con calefacción	Con calefacción individual	Derivados del petróleo	69
22009	Albelda	Con calefacción	Con calefacción individual	Madera	12
22009	Albelda	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Gas	8
22009	Albelda	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Electricidad	39
22009	Albelda	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Derivados del petróleo	5
22009	Albelda	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Madera	59
22009	Albelda	Sin calefacción	Sin ningún medio	 No aplicable	4
22011	Albero Alto	Con calefacción	Con calefacción colectiva	Madera	1
22011	Albero Alto	Con calefacción	Con calefacción individual	Derivados del petróleo	11
22011	Albero Alto	Con calefacción	Con calefacción individual	Madera	2
22011	Albero Alto	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Gas	2
22011	Albero Alto	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Electricidad	13
22011	Albero Alto	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Derivados del petróleo	1
22011	Albero Alto	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Madera	6
22011	Albero Alto	Sin calefacción	Sin ningún medio	 No aplicable	1
22012	Albero Bajo	Con calefacción	Con calefacción colectiva	Derivados del petróleo	1
22012	Albero Bajo	Con calefacción	Con calefacción individual	Gas	1
22012	Albero Bajo	Con calefacción	Con calefacción individual	Electricidad	2
22012	Albero Bajo	Con calefacción	Con calefacción individual	Derivados del petróleo	17
22012	Albero Bajo	Con calefacción	Con calefacción individual	Madera	2
22012	Albero Bajo	Con calefacción	Con calefacción individual	Derivados del carbón	1
22012	Albero Bajo	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Gas	3
22012	Albero Bajo	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Electricidad	1
22012	Albero Bajo	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Derivados del petróleo	1
22012	Albero Bajo	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Madera	2
22012	Albero Bajo	Sin calefacción	Sin ningún medio	 No aplicable	9
22013	Alberuela de Tubo	Con calefacción	Con calefacción individual	Electricidad	2
22013	Alberuela de Tubo	Con calefacción	Con calefacción individual	Derivados del petróleo	54
22013	Alberuela de Tubo	Con calefacción	Con calefacción individual	Madera	2
22013	Alberuela de Tubo	Con calefacción	Con calefacción individual	Otros	1
22013	Alberuela de Tubo	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Gas	1
22013	Alberuela de Tubo	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Electricidad	13
22013	Alberuela de Tubo	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Derivados del petróleo	5
22013	Alberuela de Tubo	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Madera	34
22013	Alberuela de Tubo	Sin calefacción	Sin ningún medio	 No aplicable	1
22014	Alcalá de Gurrea	Con calefacción	Con calefacción colectiva	Derivados del petróleo	3
22014	Alcalá de Gurrea	Con calefacción	Con calefacción individual	Gas	1
22014	Alcalá de Gurrea	Con calefacción	Con calefacción individual	Electricidad	4
22014	Alcalá de Gurrea	Con calefacción	Con calefacción individual	Derivados del petróleo	58
22014	Alcalá de Gurrea	Con calefacción	Con calefacción individual	Madera	2
22014	Alcalá de Gurrea	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Gas	6
22014	Alcalá de Gurrea	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Electricidad	30
22014	Alcalá de Gurrea	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Derivados del petróleo	8
22014	Alcalá de Gurrea	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Madera	14
22014	Alcalá de Gurrea	Sin calefacción	Sin ningún medio	 No aplicable	6
22015	Alcalá del Obispo	Con calefacción	Con calefacción colectiva	Gas	1
22015	Alcalá del Obispo	Con calefacción	Con calefacción colectiva	Derivados del petróleo	1
22015	Alcalá del Obispo	Con calefacción	Con calefacción individual	Gas	3
22015	Alcalá del Obispo	Con calefacción	Con calefacción individual	Electricidad	4
22015	Alcalá del Obispo	Con calefacción	Con calefacción individual	Derivados del petróleo	65
22015	Alcalá del Obispo	Con calefacción	Con calefacción individual	Madera	14
22015	Alcalá del Obispo	Con calefacción	Con calefacción individual	Derivados del carbón	1
22015	Alcalá del Obispo	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Gas	3
22015	Alcalá del Obispo	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Electricidad	18
22015	Alcalá del Obispo	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Derivados del petróleo	2
22015	Alcalá del Obispo	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Madera	27
22015	Alcalá del Obispo	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Derivados del carbón	1
22015	Alcalá del Obispo	Sin calefacción	Sin ningún medio	 No aplicable	5
22016	Alcampell	Con calefacción	Con calefacción colectiva	Gas	1
22016	Alcampell	Con calefacción	Con calefacción colectiva	Electricidad	1
22016	Alcampell	Con calefacción	Con calefacción colectiva	Derivados del petróleo	5
22016	Alcampell	Con calefacción	Con calefacción colectiva	Madera	3
22016	Alcampell	Con calefacción	Con calefacción individual	Gas	12
22016	Alcampell	Con calefacción	Con calefacción individual	Electricidad	5
22016	Alcampell	Con calefacción	Con calefacción individual	Derivados del petróleo	169
22016	Alcampell	Con calefacción	Con calefacción individual	Madera	25
22016	Alcampell	Con calefacción	Con calefacción individual	Otros	1
22016	Alcampell	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Gas	7
22016	Alcampell	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Electricidad	7
22016	Alcampell	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Derivados del petróleo	3
22016	Alcampell	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Madera	9
22016	Alcampell	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Otros	1
22016	Alcampell	Sin calefacción	Sin ningún medio	 No aplicable	81
22017	Alcolea de Cinca	Con calefacción	Con calefacción colectiva	Gas	1
22017	Alcolea de Cinca	Con calefacción	Con calefacción colectiva	Electricidad	2
22017	Alcolea de Cinca	Con calefacción	Con calefacción colectiva	Derivados del petróleo	34
22017	Alcolea de Cinca	Con calefacción	Con calefacción colectiva	Otros	2
22017	Alcolea de Cinca	Con calefacción	Con calefacción individual	Gas	60
22017	Alcolea de Cinca	Con calefacción	Con calefacción individual	Electricidad	16
22017	Alcolea de Cinca	Con calefacción	Con calefacción individual	Derivados del petróleo	166
22017	Alcolea de Cinca	Con calefacción	Con calefacción individual	Madera	7
22017	Alcolea de Cinca	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Gas	7
22017	Alcolea de Cinca	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Electricidad	36
22017	Alcolea de Cinca	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Derivados del petróleo	1
22017	Alcolea de Cinca	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Madera	4
22017	Alcolea de Cinca	Sin calefacción	Sin ningún medio	 No aplicable	77
22018	Alcubierre	Con calefacción	Con calefacción individual	Gas	7
22018	Alcubierre	Con calefacción	Con calefacción individual	Electricidad	16
22018	Alcubierre	Con calefacción	Con calefacción individual	Derivados del petróleo	87
22018	Alcubierre	Con calefacción	Con calefacción individual	Madera	4
22018	Alcubierre	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Gas	8
22018	Alcubierre	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Electricidad	12
22018	Alcubierre	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Madera	39
22018	Alcubierre	Sin calefacción	Sin ningún medio	 No aplicable	1
22019	Alerre	Con calefacción	Con calefacción colectiva	Madera	1
22019	Alerre	Con calefacción	Con calefacción individual	Gas	2
22019	Alerre	Con calefacción	Con calefacción individual	Electricidad	2
22019	Alerre	Con calefacción	Con calefacción individual	Derivados del petróleo	43
22019	Alerre	Con calefacción	Con calefacción individual	Madera	5
22019	Alerre	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Gas	1
22019	Alerre	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Electricidad	6
22019	Alerre	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Derivados del petróleo	3
22019	Alerre	Sin calefacción	Sin ningún medio	 No aplicable	3
22020	Alfántega	Con calefacción	Con calefacción individual	Gas	1
22020	Alfántega	Con calefacción	Con calefacción individual	Derivados del petróleo	21
22020	Alfántega	Con calefacción	Con calefacción individual	Madera	1
22020	Alfántega	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Gas	2
22020	Alfántega	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Electricidad	2
22020	Alfántega	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Madera	14
22021	Almudévar	Con calefacción	Con calefacción colectiva	Derivados del petróleo	23
22021	Almudévar	Con calefacción	Con calefacción individual	Gas	163
22021	Almudévar	Con calefacción	Con calefacción individual	Electricidad	38
22021	Almudévar	Con calefacción	Con calefacción individual	Derivados del petróleo	374
22021	Almudévar	Con calefacción	Con calefacción individual	Madera	27
22021	Almudévar	Con calefacción	Con calefacción individual	Derivados del carbón	4
22021	Almudévar	Con calefacción	Con calefacción individual	Otros	2
22021	Almudévar	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Gas	20
22021	Almudévar	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Electricidad	58
22021	Almudévar	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Derivados del petróleo	17
22021	Almudévar	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Madera	71
22021	Almudévar	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Otros	1
22021	Almudévar	Sin calefacción	Sin ningún medio	 No aplicable	22
22022	Almunia de San Juan	Con calefacción	Con calefacción colectiva	Gas	1
22022	Almunia de San Juan	Con calefacción	Con calefacción colectiva	Derivados del petróleo	2
22022	Almunia de San Juan	Con calefacción	Con calefacción individual	Gas	19
22022	Almunia de San Juan	Con calefacción	Con calefacción individual	Electricidad	5
22022	Almunia de San Juan	Con calefacción	Con calefacción individual	Derivados del petróleo	154
22022	Almunia de San Juan	Con calefacción	Con calefacción individual	Madera	4
22022	Almunia de San Juan	Con calefacción	Con calefacción individual	Otros	1
22022	Almunia de San Juan	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Gas	21
22022	Almunia de San Juan	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Electricidad	7
22022	Almunia de San Juan	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Derivados del petróleo	7
22022	Almunia de San Juan	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Madera	13
22022	Almunia de San Juan	Sin calefacción	Sin ningún medio	 No aplicable	3
22023	Almuniente	Con calefacción	Con calefacción colectiva	Derivados del petróleo	1
22023	Almuniente	Con calefacción	Con calefacción individual	Gas	1
22023	Almuniente	Con calefacción	Con calefacción individual	Electricidad	6
22023	Almuniente	Con calefacción	Con calefacción individual	Derivados del petróleo	149
22023	Almuniente	Con calefacción	Con calefacción individual	Madera	5
22023	Almuniente	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Gas	6
22023	Almuniente	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Electricidad	15
22023	Almuniente	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Madera	14
22023	Almuniente	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Derivados del carbón	1
22023	Almuniente	Sin calefacción	Sin ningún medio	 No aplicable	6
22024	Alquézar	Con calefacción	Con calefacción individual	Gas	3
22024	Alquézar	Con calefacción	Con calefacción individual	Electricidad	1
22024	Alquézar	Con calefacción	Con calefacción individual	Derivados del petróleo	58
22024	Alquézar	Con calefacción	Con calefacción individual	Madera	3
22024	Alquézar	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Gas	7
22024	Alquézar	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Electricidad	7
22024	Alquézar	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Madera	38
22024	Alquézar	Sin calefacción	Sin ningún medio	 No aplicable	1
22025	Altorricón	Con calefacción	Con calefacción colectiva	Gas	1
22025	Altorricón	Con calefacción	Con calefacción colectiva	Derivados del petróleo	7
22025	Altorricón	Con calefacción	Con calefacción colectiva	Madera	1
22025	Altorricón	Con calefacción	Con calefacción individual	Gas	99
22025	Altorricón	Con calefacción	Con calefacción individual	Electricidad	13
22025	Altorricón	Con calefacción	Con calefacción individual	Derivados del petróleo	202
22025	Altorricón	Con calefacción	Con calefacción individual	Madera	20
22025	Altorricón	Con calefacción	Con calefacción individual	Derivados del carbón	1
22025	Altorricón	Con calefacción	Con calefacción individual	Otros	2
22025	Altorricón	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Gas	42
22025	Altorricón	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Electricidad	36
22025	Altorricón	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Derivados del petróleo	20
22025	Altorricón	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Madera	48
22025	Altorricón	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Otros	2
22025	Altorricón	Sin calefacción	Sin ningún medio	 No aplicable	4
22027	Angüés	Con calefacción	Con calefacción colectiva	Gas	1
22027	Angüés	Con calefacción	Con calefacción colectiva	Derivados del petróleo	2
22027	Angüés	Con calefacción	Con calefacción individual	Gas	25
22027	Angüés	Con calefacción	Con calefacción individual	Derivados del petróleo	73
22027	Angüés	Con calefacción	Con calefacción individual	Madera	5
22027	Angüés	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Gas	2
22027	Angüés	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Electricidad	4
22027	Angüés	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Derivados del petróleo	1
22027	Angüés	Sin calefacción	Sin ningún medio	 No aplicable	59
22028	Ansó	Con calefacción	Con calefacción colectiva	Derivados del petróleo	12
22028	Ansó	Con calefacción	Con calefacción colectiva	Madera	1
22028	Ansó	Con calefacción	Con calefacción individual	Gas	3
22028	Ansó	Con calefacción	Con calefacción individual	Electricidad	5
22028	Ansó	Con calefacción	Con calefacción individual	Derivados del petróleo	82
22028	Ansó	Con calefacción	Con calefacción individual	Madera	14
22028	Ansó	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Gas	7
22028	Ansó	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Electricidad	32
22028	Ansó	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Derivados del petróleo	6
22028	Ansó	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Madera	35
22028	Ansó	Sin calefacción	Sin ningún medio	 No aplicable	7
22029	Antillón	Con calefacción	Con calefacción individual	Electricidad	1
22029	Antillón	Con calefacción	Con calefacción individual	Derivados del petróleo	12
22029	Antillón	Con calefacción	Con calefacción individual	Madera	10
22029	Antillón	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Electricidad	4
22029	Antillón	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Madera	6
22029	Antillón	Sin calefacción	Sin ningún medio	 No aplicable	15
22032	Aragüés del Puerto	Con calefacción	Con calefacción colectiva	Derivados del petróleo	1
22032	Aragüés del Puerto	Con calefacción	Con calefacción individual	Gas	1
22032	Aragüés del Puerto	Con calefacción	Con calefacción individual	Electricidad	2
22032	Aragüés del Puerto	Con calefacción	Con calefacción individual	Derivados del petróleo	19
22032	Aragüés del Puerto	Con calefacción	Con calefacción individual	Madera	4
22032	Aragüés del Puerto	Con calefacción	Con calefacción individual	Otros	1
22032	Aragüés del Puerto	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Gas	3
22032	Aragüés del Puerto	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Electricidad	11
22032	Aragüés del Puerto	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Derivados del petróleo	1
22032	Aragüés del Puerto	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Madera	3
22032	Aragüés del Puerto	Sin calefacción	Sin ningún medio	 No aplicable	16
22035	Arén	Con calefacción	Con calefacción colectiva	Derivados del petróleo	3
22035	Arén	Con calefacción	Con calefacción individual	Gas	7
22035	Arén	Con calefacción	Con calefacción individual	Electricidad	3
22035	Arén	Con calefacción	Con calefacción individual	Derivados del petróleo	65
22035	Arén	Con calefacción	Con calefacción individual	Madera	9
22035	Arén	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Electricidad	18
22035	Arén	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Derivados del petróleo	2
22035	Arén	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Madera	36
22036	Argavieso	Con calefacción	Con calefacción individual	Derivados del petróleo	28
22036	Argavieso	Con calefacción	Con calefacción individual	Madera	3
22036	Argavieso	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Electricidad	2
22036	Argavieso	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Madera	7
22037	Arguis	Con calefacción	Con calefacción individual	Gas	3
22037	Arguis	Con calefacción	Con calefacción individual	Electricidad	4
22037	Arguis	Con calefacción	Con calefacción individual	Derivados del petróleo	13
22037	Arguis	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Electricidad	4
22037	Arguis	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Madera	2
22037	Arguis	Sin calefacción	Sin ningún medio	 No aplicable	3
22039	Ayerbe	Con calefacción	Con calefacción colectiva	Gas	1
22039	Ayerbe	Con calefacción	Con calefacción colectiva	Derivados del petróleo	49
22039	Ayerbe	Con calefacción	Con calefacción colectiva	Madera	4
22039	Ayerbe	Con calefacción	Con calefacción individual	Gas	26
22039	Ayerbe	Con calefacción	Con calefacción individual	Electricidad	15
22039	Ayerbe	Con calefacción	Con calefacción individual	Derivados del petróleo	188
22039	Ayerbe	Con calefacción	Con calefacción individual	Madera	25
22039	Ayerbe	Con calefacción	Con calefacción individual	Derivados del carbón	1
22039	Ayerbe	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Gas	11
22039	Ayerbe	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Electricidad	31
22039	Ayerbe	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Derivados del petróleo	3
22039	Ayerbe	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Madera	17
22039	Ayerbe	Sin calefacción	Sin ningún medio	 No aplicable	76
22040	Azanuy-Alins	Con calefacción	Con calefacción individual	Derivados del petróleo	35
22040	Azanuy-Alins	Con calefacción	Con calefacción individual	Madera	1
22040	Azanuy-Alins	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Electricidad	1
22040	Azanuy-Alins	Sin calefacción	Sin ningún medio	 No aplicable	39
22041	Azara	Con calefacción	Con calefacción individual	Gas	28
22041	Azara	Con calefacción	Con calefacción individual	Electricidad	1
22041	Azara	Con calefacción	Con calefacción individual	Derivados del petróleo	18
22041	Azara	Con calefacción	Con calefacción individual	Madera	2
22041	Azara	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Gas	1
22041	Azara	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Electricidad	3
22041	Azara	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Derivados del petróleo	2
22041	Azara	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Madera	15
22041	Azara	Sin calefacción	Sin ningún medio	 No aplicable	1
22042	Azlor	Con calefacción	Con calefacción colectiva	Otros	1
22042	Azlor	Con calefacción	Con calefacción individual	Gas	1
22042	Azlor	Con calefacción	Con calefacción individual	Electricidad	1
22042	Azlor	Con calefacción	Con calefacción individual	Derivados del petróleo	19
22042	Azlor	Con calefacción	Con calefacción individual	Madera	11
22042	Azlor	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Gas	1
22042	Azlor	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Electricidad	2
22042	Azlor	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Madera	22
22042	Azlor	Sin calefacción	Sin ningún medio	 No aplicable	1
22043	Baells	Con calefacción	Con calefacción colectiva	Derivados del petróleo	2
22043	Baells	Con calefacción	Con calefacción individual	Derivados del petróleo	17
22043	Baells	Con calefacción	Con calefacción individual	Madera	3
22043	Baells	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Gas	2
22043	Baells	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Electricidad	8
22043	Baells	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Derivados del petróleo	2
22043	Baells	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Madera	23
22043	Baells	Sin calefacción	Sin ningún medio	 No aplicable	4
22044	Bailo	Con calefacción	Con calefacción colectiva	Derivados del petróleo	1
22044	Bailo	Con calefacción	Con calefacción individual	Gas	2
22044	Bailo	Con calefacción	Con calefacción individual	Electricidad	11
22044	Bailo	Con calefacción	Con calefacción individual	Derivados del petróleo	43
22044	Bailo	Con calefacción	Con calefacción individual	Madera	7
22044	Bailo	Con calefacción	Con calefacción individual	Derivados del carbón	1
22044	Bailo	Con calefacción	Con calefacción individual	Otros	1
