Municipio código	Municipio nombre	Calefacción (agregado)	Calefacción (detalle)	Combustible usado	Número hogares
22001	Abiego	Con calefacción	Con calefacción individual	Gas	31
22001	Abiego	Con calefacción	Con calefacción individual	Electricidad	2
22001	Abiego	Con calefacción	Con calefacción individual	Derivados del petróleo	35
22001	Abiego	Con calefacción	Con calefacción individual	Madera	10
22001	Abiego	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Electricidad	4
22001	Abiego	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Derivados del petróleo	1
22001	Abiego	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Madera	19
22001	Abiego	Sin calefacción	Sin ningún medio	 No aplicable	2
22002	Abizanda	Con calefacción	Con calefacción colectiva	Derivados del petróleo	4
22002	Abizanda	Con calefacción	Con calefacción individual	Derivados del petróleo	9
22002	Abizanda	Con calefacción	Con calefacción individual	Madera	2
22002	Abizanda	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Derivados del petróleo	2
22002	Abizanda	Sin calefacción	Sin ningún medio	 No aplicable	29
22003	Adahuesca	Con calefacción	Con calefacción individual	Electricidad	1
22003	Adahuesca	Con calefacción	Con calefacción individual	Derivados del petróleo	48
22003	Adahuesca	Con calefacción	Con calefacción individual	Madera	1
22003	Adahuesca	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Electricidad	12
22003	Adahuesca	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Derivados del petróleo	1
22003	Adahuesca	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Madera	2
22003	Adahuesca	Sin calefacción	Sin ningún medio	 No aplicable	2
22004	Agüero	Con calefacción	Con calefacción individual	Gas	1
22004	Agüero	Con calefacción	Con calefacción individual	Derivados del petróleo	23
22004	Agüero	Con calefacción	Con calefacción individual	Madera	3
22004	Agüero	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Gas	5
22004	Agüero	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Electricidad	4
22004	Agüero	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Madera	27
22004	Agüero	Sin calefacción	Sin ningún medio	 No aplicable	9
22006	Aísa	Con calefacción	Con calefacción colectiva	Gas	1
22006	Aísa	Con calefacción	Con calefacción colectiva	Electricidad	1
22006	Aísa	Con calefacción	Con calefacción colectiva	Derivados del petróleo	4
22006	Aísa	Con calefacción	Con calefacción individual	Gas	15
22006	Aísa	Con calefacción	Con calefacción individual	Electricidad	11
22006	Aísa	Con calefacción	Con calefacción individual	Derivados del petróleo	45
22006	Aísa	Con calefacción	Con calefacción individual	Madera	3
22006	Aísa	Con calefacción	Con calefacción individual	Derivados del carbón	1
22006	Aísa	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Gas	11
22006	Aísa	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Electricidad	19
22006	Aísa	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Derivados del petróleo	3
22006	Aísa	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Madera	7
22006	Aísa	Sin calefacción	Sin ningún medio	 No aplicable	28
22007	Albalate de Cinca	Con calefacción	Con calefacción colectiva	Gas	4
22007	Albalate de Cinca	Con calefacción	Con calefacción colectiva	Derivados del petróleo	7
22007	Albalate de Cinca	Con calefacción	Con calefacción individual	Gas	28
22007	Albalate de Cinca	Con calefacción	Con calefacción individual	Electricidad	23
22007	Albalate de Cinca	Con calefacción	Con calefacción individual	Derivados del petróleo	169
22007	Albalate de Cinca	Con calefacción	Con calefacción individual	Madera	9
22007	Albalate de Cinca	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Gas	7
22007	Albalate de Cinca	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Electricidad	7
22007	Albalate de Cinca	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Derivados del petróleo	1
22007	Albalate de Cinca	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Madera	7
22007	Albalate de Cinca	Sin calefacción	Sin ningún medio	 No aplicable	136
22008	Albalatillo	Con calefacción	Con calefacción individual	Electricidad	1
22008	Albalatillo	Con calefacción	Con calefacción individual	Derivados del petróleo	64
22008	Albalatillo	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Gas	2
22008	Albalatillo	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Electricidad	2
22008	Albalatillo	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Derivados del petróleo	9
22008	Albalatillo	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Madera	19
22008	Albalatillo	Sin calefacción	Sin ningún medio	 No aplicable	4
22009	Albelda	Con calefacción	Con calefacción colectiva	Gas	4
22009	Albelda	Con calefacción	Con calefacción colectiva	Derivados del petróleo	9
