Aragón	Tipo hogar 1	Tipo de hogar 2	Número hogares
Aragón	1- Hogar unipersonal	1- Hogar unipersonal	99734
Aragón	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	3765
Aragón	2- Hogar multipersonal	3- Hogar multipersonal, una familia	338361
Aragón	2- Hogar multipersonal	4- Hogar multipersonal, más de un familia	1383
