Provincia codigo	Provincia nombre	Personas	Sexo	Jefe explotación
22	Huesca	14176	Hombres	1
22	Huesca	2104	Mujeres	1
44	Teruel	9763	Hombres	1
44	Teruel	2058	Mujeres	1
50	Zaragoza	21288	Hombres	1
50	Zaragoza	3385	Mujeres	1
