Provincia código	Provincia nombre	Contaminación	Ruidos exteriores	Número hogares
22	Huesca	Con contaminación o malos olores	Con ruidos exteriores	3358
22	Huesca	Con contaminación o malos olores	Sin ruidos exteriores	3300
22	Huesca	Sin contaminación o malos olores	Con ruidos exteriores	8935
22	Huesca	Sin contaminación o malos olores	Sin ruidos exteriores	58193
44	Teruel	Con contaminación o malos olores	Con ruidos exteriores	1726
44	Teruel	Con contaminación o malos olores	Sin ruidos exteriores	2491
44	Teruel	Sin contaminación o malos olores	Con ruidos exteriores	4201
44	Teruel	Sin contaminación o malos olores	Sin ruidos exteriores	42652
50	Zaragoza	Con contaminación o malos olores	Con ruidos exteriores	43058
50	Zaragoza	Con contaminación o malos olores	Sin ruidos exteriores	26114
50	Zaragoza	Sin contaminación o malos olores	Con ruidos exteriores	48711
50	Zaragoza	Sin contaminación o malos olores	Sin ruidos exteriores	200504
