Mes y año	Mes (código)	Mes nombre	Año	Provincia código	Provincia nombre	CIF	Sexo	Temporalidad	Días duración contrato	Número de contratos	Duración contrato	Duración contrato * 1.00 / Número de contratos
Mayo 2019	201905	Mayo	2019	50	Zaragoza	Otros	Hombres	Temporal	1	9160	564584	61,63580786026200873362445414847161572052
Mayo 2019	201905	Mayo	2019	50	Zaragoza	Otros	Mujeres	Temporal	0	5725	0	0
Mayo 2019	201905	Mayo	2019	50	Zaragoza	Otros	Mujeres	Temporal	1	9452	425918	45,06115107913669064748201438848920863309
Abril 2019	201904	Abril	2019	22	Huesca	A través de una ETT	Hombres	Temporal	0	280	0	0
Abril 2019	201904	Abril	2019	22	Huesca	A través de una ETT	Hombres	Temporal	1	136	3424	25,17647058823529411764705882352941176471
Abril 2019	201904	Abril	2019	22	Huesca	A través de una ETT	Mujeres	Temporal	0	139	0	0
Abril 2019	201904	Abril	2019	22	Huesca	A través de una ETT	Mujeres	Temporal	1	99	1956	19,75757575757575757575757575757575757576
Abril 2019	201904	Abril	2019	22	Huesca	Otros	Hombres	Temporal	0	1676	0	0
Abril 2019	201904	Abril	2019	22	Huesca	Otros	Hombres	Temporal	1	2011	103490	51,46195922426653406265539532570860268523
Abril 2019	201904	Abril	2019	22	Huesca	Otros	Mujeres	Temporal	0	1024	0	0
Abril 2019	201904	Abril	2019	22	Huesca	Otros	Mujeres	Temporal	1	1925	69181	35,93818181818181818181818181818181818182
Abril 2019	201904	Abril	2019	44	Teruel	A través de una ETT	Hombres	Temporal	0	90	0	0
Abril 2019	201904	Abril	2019	44	Teruel	A través de una ETT	Hombres	Temporal	1	751	4381	5,83355525965379494007989347536617842876
Abril 2019	201904	Abril	2019	44	Teruel	A través de una ETT	Mujeres	Temporal	0	51	0	0
Abril 2019	201904	Abril	2019	44	Teruel	A través de una ETT	Mujeres	Temporal	1	231	1312	5,67965367965367965367965367965367965368
Abril 2019	201904	Abril	2019	44	Teruel	Otros	Hombres	Temporal	0	514	0	0
Abril 2019	201904	Abril	2019	44	Teruel	Otros	Hombres	Temporal	1	925	50524	54,62054054054054054054054054054054054054
Abril 2019	201904	Abril	2019	44	Teruel	Otros	Mujeres	Temporal	0	360	0	0
Abril 2019	201904	Abril	2019	44	Teruel	Otros	Mujeres	Temporal	1	1057	42394	40,1078524124881740775780510879848628193
Abril 2019	201904	Abril	2019	50	Zaragoza	A través de una ETT	Hombres	Temporal	0	1264	0	0
Abril 2019	201904	Abril	2019	50	Zaragoza	A través de una ETT	Hombres	Temporal	1	4375	52181	11,92708571428571428571428571428571428571
Abril 2019	201904	Abril	2019	50	Zaragoza	A través de una ETT	Mujeres	Temporal	0	901	0	0
Abril 2019	201904	Abril	2019	50	Zaragoza	A través de una ETT	Mujeres	Temporal	1	2686	27367	10,18875651526433358153387937453462397617
Abril 2019	201904	Abril	2019	50	Zaragoza	Otros	Hombres	Temporal	0	4459	0	0
Abril 2019	201904	Abril	2019	50	Zaragoza	Otros	Hombres	Temporal	1	6487	433430	66,81516879913673500847849545244334823493
Abril 2019	201904	Abril	2019	50	Zaragoza	Otros	Mujeres	Temporal	0	3454	0	0
Abril 2019	201904	Abril	2019	50	Zaragoza	Otros	Mujeres	Temporal	1	7213	371942	51,56550672397060862331900734784417024816
Marzo 2019	201903	Marzo	2019	22	Huesca	A través de una ETT	Hombres	Temporal	0	223	0	0
Marzo 2019	201903	Marzo	2019	22	Huesca	A través de una ETT	Hombres	Temporal	1	216	4149	19,20833333333333333333333333333333333333
Marzo 2019	201903	Marzo	2019	22	Huesca	A través de una ETT	Mujeres	Temporal	0	103	0	0
Marzo 2019	201903	Marzo	2019	22	Huesca	A través de una ETT	Mujeres	Temporal	1	116	2160	18,62068965517241379310344827586206896552
Marzo 2019	201903	Marzo	2019	22	Huesca	Otros	Hombres	Temporal	0	1290	0	0
Marzo 2019	201903	Marzo	2019	22	Huesca	Otros	Hombres	Temporal	1	2114	114689	54,25212866603595080416272469252601702933
Marzo 2019	201903	Marzo	2019	22	Huesca	Otros	Mujeres	Temporal	0	849	0	0
Marzo 2019	201903	Marzo	2019	22	Huesca	Otros	Mujeres	Temporal	1	1857	74494	40,11523963381798599892299407646742057081
Marzo 2019	201903	Marzo	2019	44	Teruel	A través de una ETT	Hombres	Temporal	0	62	0	0
Marzo 2019	201903	Marzo	2019	44	Teruel	A través de una ETT	Hombres	Temporal	1	720	5067	7,0375
Marzo 2019	201903	Marzo	2019	44	Teruel	A través de una ETT	Mujeres	Temporal	0	22	0	0
Marzo 2019	201903	Marzo	2019	44	Teruel	A través de una ETT	Mujeres	Temporal	1	218	1084	4,97247706422018348623853211009174311927
Marzo 2019	201903	Marzo	2019	44	Teruel	Otros	Hombres	Temporal	0	506	0	0
