Mes y año	Mes (código)	Mes nombre	Año	Provincia código	Provincia nombre	Sector código	Sector descripción	Sexo	Temporalidad	Días duración contrato	Número de contratos	Duración contrato	Duración media contrato
Diciembre 2017	201712	Diciembre	2017	44	Teruel	2	Industria y energía	Hombres	Temporal	1	931	20203	21,70032223415682062298603651987110633727
Diciembre 2017	201712	Diciembre	2017	44	Teruel	2	Industria y energía	Mujeres	Temporal	0	33	0	0
Diciembre 2017	201712	Diciembre	2017	44	Teruel	2	Industria y energía	Mujeres	Temporal	1	207	3248	15,69082125603864734299516908212560386473
Diciembre 2017	201712	Diciembre	2017	44	Teruel	3	Construcción	Hombres	Temporal	0	66	0	0
Diciembre 2017	201712	Diciembre	2017	44	Teruel	3	Construcción	Hombres	Temporal	1	28	2954	105,5
Diciembre 2017	201712	Diciembre	2017	44	Teruel	3	Construcción	Mujeres	Temporal	0	2	0	0
Diciembre 2017	201712	Diciembre	2017	44	Teruel	3	Construcción	Mujeres	Temporal	1	6	488	81,33333333333333333333333333333333333333
Diciembre 2017	201712	Diciembre	2017	44	Teruel	4	Servicios	Hombres	Temporal	0	142	0	0
Diciembre 2017	201712	Diciembre	2017	44	Teruel	4	Servicios	Hombres	Temporal	1	464	24608	53,03448275862068965517241379310344827586
Diciembre 2017	201712	Diciembre	2017	44	Teruel	4	Servicios	Mujeres	Temporal	0	273	0	0
Diciembre 2017	201712	Diciembre	2017	44	Teruel	4	Servicios	Mujeres	Temporal	1	871	23289	26,73823191733639494833524684270952927669
Diciembre 2017	201712	Diciembre	2017	50	Zaragoza	1	Agricultura, ganadería y pesca	Hombres	Temporal	0	626	0	0
Diciembre 2017	201712	Diciembre	2017	50	Zaragoza	1	Agricultura, ganadería y pesca	Hombres	Temporal	1	228	8233	36,10964912280701754385964912280701754386
Diciembre 2017	201712	Diciembre	2017	50	Zaragoza	1	Agricultura, ganadería y pesca	Mujeres	Temporal	0	99	0	0
Diciembre 2017	201712	Diciembre	2017	50	Zaragoza	1	Agricultura, ganadería y pesca	Mujeres	Temporal	1	52	2657	51,09615384615384615384615384615384615385
Diciembre 2017	201712	Diciembre	2017	50	Zaragoza	2	Industria y energía	Hombres	Temporal	0	1076	0	0
Diciembre 2017	201712	Diciembre	2017	50	Zaragoza	2	Industria y energía	Hombres	Temporal	1	3536	112879	31,92279411764705882352941176470588235294
Diciembre 2017	201712	Diciembre	2017	50	Zaragoza	2	Industria y energía	Mujeres	Temporal	0	865	0	0
Diciembre 2017	201712	Diciembre	2017	50	Zaragoza	2	Industria y energía	Mujeres	Temporal	1	1918	45105	23,51668404588112617309697601668404588113
Diciembre 2017	201712	Diciembre	2017	50	Zaragoza	3	Construcción	Hombres	Temporal	0	598	0	0
Diciembre 2017	201712	Diciembre	2017	50	Zaragoza	3	Construcción	Hombres	Temporal	1	204	17161	84,12254901960784313725490196078431372549
