Mes y año	Sector código	Sector descripción	Número Empresas	Régimen	'Aragón'
Diciembre 2018	1	Agricultura, ganadería y pesca	3894	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Diciembre 2018	2	Industria y energía	4383	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Diciembre 2018	3	Construcción	3890	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Diciembre 2018	4	Servicios	30402	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Septiembre 2018	1	Agricultura, ganadería y pesca	4061	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Septiembre 2018	2	Industria y energía	4405	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Septiembre 2018	3	Construcción	3973	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Septiembre 2018	4	Servicios	30236	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Junio 2018	1	Agricultura, ganadería y pesca	4615	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Junio 2018	2	Industria y energía	4430	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Junio 2018	3	Construcción	4013	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Junio 2018	4	Servicios	30534	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Marzo 2018	1	Agricultura, ganadería y pesca	3739	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Marzo 2018	2	Industria y energía	4370	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Marzo 2018	3	Construcción	3847	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Marzo 2018	4	Servicios	30366	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Marzo 2018		Sin clasificar	1	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Diciembre 2017	1	Agricultura, ganadería y pesca	3781	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Diciembre 2017	2	Industria y energía	4375	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Diciembre 2017	3	Construcción	3761	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Diciembre 2017	4	Servicios	30352	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Septiembre 2017	1	Agricultura, ganadería y pesca	3886	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Septiembre 2017	2	Industria y energía	4377	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Septiembre 2017	3	Construcción	3864	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Septiembre 2017	4	Servicios	30139	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Junio 2017	1	Agricultura, ganadería y pesca	4511	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Junio 2017	2	Industria y energía	4390	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Junio 2017	3	Construcción	3884	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Junio 2017	4	Servicios	30168	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Marzo 2017	1	Agricultura, ganadería y pesca	3712	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Marzo 2017	2	Industria y energía	4365	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Marzo 2017	3	Construcción	3762	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Marzo 2017	4	Servicios	30229	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Diciembre 2016	1	Agricultura, ganadería y pesca	3797	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Diciembre 2016	2	Industria y energía	4385	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Diciembre 2016	3	Construcción	3694	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Diciembre 2016	4	Servicios	30371	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Septiembre 2016	1	Agricultura, ganadería y pesca	3935	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Septiembre 2016	2	Industria y energía	4375	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Septiembre 2016	3	Construcción	3796	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Septiembre 2016	4	Servicios	29966	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Junio 2016	1	Agricultura, ganadería y pesca	4487	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Junio 2016	2	Industria y energía	4427	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Junio 2016	3	Construcción	3926	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Junio 2016	4	Servicios	30147	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Marzo 2016	1	Agricultura, ganadería y pesca	3574	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Marzo 2016	2	Industria y energía	4385	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Marzo 2016	3	Construcción	3758	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Marzo 2016	4	Servicios	30053	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Marzo 2016		Sin clasificar	2	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Diciembre 2015	1	Agricultura, ganadería y pesca	3612	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Diciembre 2015	2	Industria y energía	4409	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Diciembre 2015	3	Construcción	3659	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Diciembre 2015	4	Servicios	30237	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Diciembre 2015		Sin clasificar	2	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Septiembre 2015	1	Agricultura, ganadería y pesca	3795	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Septiembre 2015	2	Industria y energía	4398	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Septiembre 2015	3	Construcción	3822	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Septiembre 2015	4	Servicios	29665	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Septiembre 2015		Sin clasificar	2	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Junio 2015	1	Agricultura, ganadería y pesca	4324	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Junio 2015	2	Industria y energía	4415	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Junio 2015	3	Construcción	3822	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Junio 2015	4	Servicios	29967	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Junio 2015		Sin clasificar	1	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Marzo 2015	1	Agricultura, ganadería y pesca	3417	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Marzo 2015	2	Industria y energía	4375	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Marzo 2015	3	Construcción	3639	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Marzo 2015	4	Servicios	29810	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Marzo 2015		Sin clasificar	1	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Diciembre 2014	1	Agricultura, ganadería y pesca	3495	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Diciembre 2014	2	Industria y energía	4372	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Diciembre 2014	3	Construcción	3565	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Diciembre 2014	4	Servicios	29950	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Diciembre 2014		Sin clasificar	1	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Septiembre 2014	1	Agricultura, ganadería y pesca	3702	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Septiembre 2014	2	Industria y energía	4416	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Septiembre 2014	3	Construcción	3712	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Septiembre 2014	4	Servicios	29604	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Septiembre 2014		Sin clasificar	1	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Junio 2014	1	Agricultura, ganadería y pesca	4262	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Junio 2014	2	Industria y energía	4417	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Junio 2014	3	Construcción	3780	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Junio 2014	4	Servicios	29811	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Junio 2014		Sin clasificar	1	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Marzo 2014	1	Agricultura, ganadería y pesca	3324	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Marzo 2014	2	Industria y energía	4399	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Marzo 2014	3	Construcción	3700	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Marzo 2014	4	Servicios	29518	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Marzo 2014		Sin clasificar	1	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Diciembre 2013	1	Agricultura, ganadería y pesca	3305	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Diciembre 2013	2	Industria y energía	4429	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Diciembre 2013	3	Construcción	3610	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Diciembre 2013	4	Servicios	29760	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Diciembre 2013		Sin clasificar	1	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Septiembre 2013	1	Agricultura, ganadería y pesca	3645	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Septiembre 2013	2	Industria y energía	4450	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Septiembre 2013	3	Construcción	3859	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Septiembre 2013	4	Servicios	29405	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Septiembre 2013		Sin clasificar	1	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Junio 2013	1	Agricultura, ganadería y pesca	3982	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Junio 2013	2	Industria y energía	4485	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Junio 2013	3	Construcción	3962	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Junio 2013	4	Servicios	29943	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Junio 2013		Sin clasificar	1	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Marzo 2013	1	Agricultura, ganadería y pesca	3091	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Marzo 2013	2	Industria y energía	4495	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Marzo 2013	3	Construcción	3897	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Marzo 2013	4	Servicios	29813	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Marzo 2013		Sin clasificar	2	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Diciembre 2012	1	Agricultura, ganadería y pesca	3047	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Diciembre 2012	2	Industria y energía	4586	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Diciembre 2012	3	Construcción	4028	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Diciembre 2012	4	Servicios	30047	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Diciembre 2012		Sin clasificar	2	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Septiembre 2012	1	Agricultura, ganadería y pesca	3456	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Septiembre 2012	2	Industria y energía	4657	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Septiembre 2012	3	Construcción	4352	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Septiembre 2012	4	Servicios	30006	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Septiembre 2012		Sin clasificar	3	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Junio 2012	1	Agricultura, ganadería y pesca	3885	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Junio 2012	2	Industria y energía	4699	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Junio 2012	3	Construcción	4572	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Junio 2012	4	Servicios	30327	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Junio 2012		Sin clasificar	3	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Marzo 2012	1	Agricultura, ganadería y pesca	3096	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Marzo 2012	2	Industria y energía	4736	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Marzo 2012	3	Construcción	4566	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Marzo 2012	4	Servicios	30176	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Marzo 2012		Sin clasificar	3	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Aragón
Diciembre 2011	1	Agricultura, ganadería y pesca	960	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Aragón
Diciembre 2011	2	Industria y energía	4825	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Aragón
Diciembre 2011	3	Construcción	4657	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Aragón
Diciembre 2011	4	Servicios	30368	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Aragón
Diciembre 2011		Sin clasificar	3	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Aragón
Septiembre 2011	1	Agricultura, ganadería y pesca	978	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Aragón
Septiembre 2011	2	Industria y energía	4868	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Aragón
Septiembre 2011	3	Construcción	5013	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Aragón
Septiembre 2011	4	Servicios	30220	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Aragón
Septiembre 2011		Sin clasificar	3	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Aragón
Junio 2011	1	Agricultura, ganadería y pesca	968	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Aragón
Junio 2011	2	Industria y energía	4938	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Aragón
Junio 2011	3	Construcción	5143	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Aragón
Junio 2011	4	Servicios	35055	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Aragón
Marzo 2011	1	Agricultura, ganadería y pesca	915	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Aragón
Marzo 2011	2	Industria y energía	4966	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Aragón
Marzo 2011	3	Construcción	5134	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Aragón
Marzo 2011	4	Servicios	34956	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Aragón
Diciembre 2010	1	Agricultura, ganadería y pesca	921	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Aragón
Diciembre 2010	2	Industria y energía	5009	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Aragón
Diciembre 2010	3	Construcción	5168	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Aragón
Diciembre 2010	4	Servicios	35084	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Aragón
Septiembre 2010	1	Agricultura, ganadería y pesca	941	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Aragón
Septiembre 2010	2	Industria y energía	5040	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Aragón
Septiembre 2010	3	Construcción	5482	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Aragón
Septiembre 2010	4	Servicios	34832	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Aragón
Junio 2010	1	Agricultura, ganadería y pesca	948	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Aragón
Junio 2010	2	Industria y energía	5108	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Aragón
Junio 2010	3	Construcción	5744	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Aragón
Junio 2010	4	Servicios	35008	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Aragón
Marzo 2010	1	Agricultura, ganadería y pesca	915	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Aragón
Marzo 2010	2	Industria y energía	5116	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Aragón
Marzo 2010	3	Construcción	5638	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Aragón
Marzo 2010	4	Servicios	34911	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Aragón
