Municipio código	Municipio nombre	Explotaciones	Porcentaje de SAU en propiedad del titular
22017	Alcolea de Cinca	26	b) < 10% de la SAU en propiedad
22017	Alcolea de Cinca	4	c) >=10% a < 25%  de la SAU en propiedad
22017	Alcolea de Cinca	11	d) >=25% a < 50%  de la SAU en propiedad
22017	Alcolea de Cinca	17	e) >=50% a < 75%  de la SAU en propiedad
22017	Alcolea de Cinca	12	f) >= 75% a < 90%  de la SAU en propiedad
22017	Alcolea de Cinca	86	g) >= 90%  de la SAU en propiedad
22018	Alcubierre	7	a) No hay SAU
22018	Alcubierre	10	b) < 10% de la SAU en propiedad
22018	Alcubierre	6	c) >=10% a < 25%  de la SAU en propiedad
22018	Alcubierre	9	d) >=25% a < 50%  de la SAU en propiedad
22018	Alcubierre	5	e) >=50% a < 75%  de la SAU en propiedad
22018	Alcubierre	5	f) >= 75% a < 90%  de la SAU en propiedad
22018	Alcubierre	37	g) >= 90%  de la SAU en propiedad
22019	Alerre	2	b) < 10% de la SAU en propiedad
22019	Alerre	1	d) >=25% a < 50%  de la SAU en propiedad
22019	Alerre	2	e) >=50% a < 75%  de la SAU en propiedad
22019	Alerre	9	g) >= 90%  de la SAU en propiedad
22020	Alfántega	4	a) No hay SAU
22020	Alfántega	1	b) < 10% de la SAU en propiedad
22020	Alfántega	1	c) >=10% a < 25%  de la SAU en propiedad
22020	Alfántega	2	d) >=25% a < 50%  de la SAU en propiedad
22020	Alfántega	1	e) >=50% a < 75%  de la SAU en propiedad
22020	Alfántega	2	f) >= 75% a < 90%  de la SAU en propiedad
22020	Alfántega	12	g) >= 90%  de la SAU en propiedad
22021	Almudévar	5	a) No hay SAU
22021	Almudévar	38	b) < 10% de la SAU en propiedad
22021	Almudévar	5	c) >=10% a < 25%  de la SAU en propiedad
22021	Almudévar	19	d) >=25% a < 50%  de la SAU en propiedad
22021	Almudévar	23	e) >=50% a < 75%  de la SAU en propiedad
22021	Almudévar	24	f) >= 75% a < 90%  de la SAU en propiedad
22021	Almudévar	217	g) >= 90%  de la SAU en propiedad
