Municipio código	Municipio nombre	Explotaciones	Porcentaje de SAU en propiedad del titular
22223	Sopeira	6	b) < 10% de la SAU en propiedad
22223	Sopeira	3	d) >=25% a < 50%  de la SAU en propiedad
22223	Sopeira	2	e) >=50% a < 75%  de la SAU en propiedad
22223	Sopeira	9	g) >= 90%  de la SAU en propiedad
22225	Tamarite de Litera	26	a) No hay SAU
22225	Tamarite de Litera	73	b) < 10% de la SAU en propiedad
22225	Tamarite de Litera	10	c) >=10% a < 25%  de la SAU en propiedad
22225	Tamarite de Litera	21	d) >=25% a < 50%  de la SAU en propiedad
22225	Tamarite de Litera	37	e) >=50% a < 75%  de la SAU en propiedad
22225	Tamarite de Litera	17	f) >= 75% a < 90%  de la SAU en propiedad
22225	Tamarite de Litera	296	g) >= 90%  de la SAU en propiedad
22226	Tardienta	1	a) No hay SAU
22226	Tardienta	16	b) < 10% de la SAU en propiedad
22226	Tardienta	7	c) >=10% a < 25%  de la SAU en propiedad
22226	Tardienta	8	d) >=25% a < 50%  de la SAU en propiedad
22226	Tardienta	6	e) >=50% a < 75%  de la SAU en propiedad
22226	Tardienta	4	f) >= 75% a < 90%  de la SAU en propiedad
22226	Tardienta	36	g) >= 90%  de la SAU en propiedad
22227	Tella-Sin	3	a) No hay SAU
22227	Tella-Sin	4	b) < 10% de la SAU en propiedad
22227	Tella-Sin	1	c) >=10% a < 25%  de la SAU en propiedad
22227	Tella-Sin	2	d) >=25% a < 50%  de la SAU en propiedad
22227	Tella-Sin	3	e) >=50% a < 75%  de la SAU en propiedad
22227	Tella-Sin	1	f) >= 75% a < 90%  de la SAU en propiedad
22227	Tella-Sin	8	g) >= 90%  de la SAU en propiedad
22228	Tierz	1	a) No hay SAU
22228	Tierz	5	b) < 10% de la SAU en propiedad
22228	Tierz	2	d) >=25% a < 50%  de la SAU en propiedad
22228	Tierz	3	e) >=50% a < 75%  de la SAU en propiedad
22228	Tierz	2	f) >= 75% a < 90%  de la SAU en propiedad
22228	Tierz	3	g) >= 90%  de la SAU en propiedad
22229	Tolva	1	a) No hay SAU
22229	Tolva	13	b) < 10% de la SAU en propiedad
22229	Tolva	4	c) >=10% a < 25%  de la SAU en propiedad
22229	Tolva	1	d) >=25% a < 50%  de la SAU en propiedad
22229	Tolva	5	e) >=50% a < 75%  de la SAU en propiedad
22229	Tolva	36	g) >= 90%  de la SAU en propiedad
22230	Torla	4	a) No hay SAU
22230	Torla	8	b) < 10% de la SAU en propiedad
22230	Torla	4	c) >=10% a < 25%  de la SAU en propiedad
22230	Torla	3	d) >=25% a < 50%  de la SAU en propiedad
22230	Torla	2	e) >=50% a < 75%  de la SAU en propiedad
22230	Torla	2	f) >= 75% a < 90%  de la SAU en propiedad
22230	Torla	12	g) >= 90%  de la SAU en propiedad
22232	Torralba de Aragón	8	b) < 10% de la SAU en propiedad
22232	Torralba de Aragón	3	c) >=10% a < 25%  de la SAU en propiedad
22232	Torralba de Aragón	4	d) >=25% a < 50%  de la SAU en propiedad
22232	Torralba de Aragón	6	e) >=50% a < 75%  de la SAU en propiedad
22232	Torralba de Aragón	1	f) >= 75% a < 90%  de la SAU en propiedad
22232	Torralba de Aragón	24	g) >= 90%  de la SAU en propiedad
22233	Torre la Ribera	1	b) < 10% de la SAU en propiedad
22233	Torre la Ribera	2	d) >=25% a < 50%  de la SAU en propiedad
22233	Torre la Ribera	1	e) >=50% a < 75%  de la SAU en propiedad
22233	Torre la Ribera	1	f) >= 75% a < 90%  de la SAU en propiedad
22233	Torre la Ribera	18	g) >= 90%  de la SAU en propiedad
22234	Torrente de Cinca	3	a) No hay SAU
22234	Torrente de Cinca	17	b) < 10% de la SAU en propiedad
22234	Torrente de Cinca	4	c) >=10% a < 25%  de la SAU en propiedad
22234	Torrente de Cinca	6	d) >=25% a < 50%  de la SAU en propiedad
22234	Torrente de Cinca	7	e) >=50% a < 75%  de la SAU en propiedad
22234	Torrente de Cinca	6	f) >= 75% a < 90%  de la SAU en propiedad
22234	Torrente de Cinca	49	g) >= 90%  de la SAU en propiedad
22235	Torres de Alcanadre	3	a) No hay SAU
22235	Torres de Alcanadre	1	b) < 10% de la SAU en propiedad
22235	Torres de Alcanadre	2	d) >=25% a < 50%  de la SAU en propiedad
22235	Torres de Alcanadre	2	e) >=50% a < 75%  de la SAU en propiedad
22235	Torres de Alcanadre	4	f) >= 75% a < 90%  de la SAU en propiedad
22235	Torres de Alcanadre	11	g) >= 90%  de la SAU en propiedad
22236	Torres de Barbués	4	a) No hay SAU
22236	Torres de Barbués	7	b) < 10% de la SAU en propiedad
22236	Torres de Barbués	3	d) >=25% a < 50%  de la SAU en propiedad
22236	Torres de Barbués	4	e) >=50% a < 75%  de la SAU en propiedad
22236	Torres de Barbués	4	f) >= 75% a < 90%  de la SAU en propiedad
22236	Torres de Barbués	24	g) >= 90%  de la SAU en propiedad
22239	Tramaced	5	a) No hay SAU
22239	Tramaced	8	b) < 10% de la SAU en propiedad
22239	Tramaced	1	c) >=10% a < 25%  de la SAU en propiedad
22239	Tramaced	3	e) >=50% a < 75%  de la SAU en propiedad
22239	Tramaced	1	f) >= 75% a < 90%  de la SAU en propiedad
22239	Tramaced	11	g) >= 90%  de la SAU en propiedad
22242	Valfarta	6	b) < 10% de la SAU en propiedad
22242	Valfarta	3	c) >=10% a < 25%  de la SAU en propiedad
22242	Valfarta	1	d) >=25% a < 50%  de la SAU en propiedad
22242	Valfarta	4	e) >=50% a < 75%  de la SAU en propiedad
22242	Valfarta	2	f) >= 75% a < 90%  de la SAU en propiedad
22242	Valfarta	14	g) >= 90%  de la SAU en propiedad
22243	Valle de Bardají	16	b) < 10% de la SAU en propiedad
22243	Valle de Bardají	4	c) >=10% a < 25%  de la SAU en propiedad
22243	Valle de Bardají	3	d) >=25% a < 50%  de la SAU en propiedad
22243	Valle de Bardají	6	g) >= 90%  de la SAU en propiedad
22244	Valle de Lierp	12	b) < 10% de la SAU en propiedad
22244	Valle de Lierp	5	c) >=10% a < 25%  de la SAU en propiedad
22244	Valle de Lierp	1	d) >=25% a < 50%  de la SAU en propiedad
22244	Valle de Lierp	4	e) >=50% a < 75%  de la SAU en propiedad
22244	Valle de Lierp	1	f) >= 75% a < 90%  de la SAU en propiedad
22244	Valle de Lierp	11	g) >= 90%  de la SAU en propiedad
22245	Velilla de Cinca	9	b) < 10% de la SAU en propiedad
22245	Velilla de Cinca	1	c) >=10% a < 25%  de la SAU en propiedad
22245	Velilla de Cinca	3	d) >=25% a < 50%  de la SAU en propiedad
22245	Velilla de Cinca	2	e) >=50% a < 75%  de la SAU en propiedad
22245	Velilla de Cinca	6	f) >= 75% a < 90%  de la SAU en propiedad
22245	Velilla de Cinca	32	g) >= 90%  de la SAU en propiedad
22246	Veracruz	4	b) < 10% de la SAU en propiedad
22246	Veracruz	1	d) >=25% a < 50%  de la SAU en propiedad
22246	Veracruz	15	g) >= 90%  de la SAU en propiedad
22247	Viacamp y Litera	19	b) < 10% de la SAU en propiedad
22247	Viacamp y Litera	2	c) >=10% a < 25%  de la SAU en propiedad
22247	Viacamp y Litera	6	d) >=25% a < 50%  de la SAU en propiedad
22247	Viacamp y Litera	3	e) >=50% a < 75%  de la SAU en propiedad
22247	Viacamp y Litera	1	f) >= 75% a < 90%  de la SAU en propiedad
22247	Viacamp y Litera	11	g) >= 90%  de la SAU en propiedad
22248	Vicién	5	b) < 10% de la SAU en propiedad
22248	Vicién	2	d) >=25% a < 50%  de la SAU en propiedad
22248	Vicién	1	e) >=50% a < 75%  de la SAU en propiedad
22248	Vicién	3	g) >= 90%  de la SAU en propiedad
22249	Villanova	1	a) No hay SAU
22249	Villanova	2	b) < 10% de la SAU en propiedad
22249	Villanova	1	c) >=10% a < 25%  de la SAU en propiedad
22249	Villanova	1	f) >= 75% a < 90%  de la SAU en propiedad
22249	Villanova	3	g) >= 90%  de la SAU en propiedad
22250	Villanúa	2	b) < 10% de la SAU en propiedad
22250	Villanúa	1	c) >=10% a < 25%  de la SAU en propiedad
22250	Villanúa	2	d) >=25% a < 50%  de la SAU en propiedad
22250	Villanúa	2	e) >=50% a < 75%  de la SAU en propiedad
22250	Villanúa	6	g) >= 90%  de la SAU en propiedad
22251	Villanueva de Sigena	5	a) No hay SAU
22251	Villanueva de Sigena	20	b) < 10% de la SAU en propiedad
22251	Villanueva de Sigena	3	c) >=10% a < 25%  de la SAU en propiedad
22251	Villanueva de Sigena	7	d) >=25% a < 50%  de la SAU en propiedad
22251	Villanueva de Sigena	8	e) >=50% a < 75%  de la SAU en propiedad
22251	Villanueva de Sigena	7	f) >= 75% a < 90%  de la SAU en propiedad
22251	Villanueva de Sigena	72	g) >= 90%  de la SAU en propiedad
22252	Yebra de Basa	2	b) < 10% de la SAU en propiedad
22252	Yebra de Basa	2	c) >=10% a < 25%  de la SAU en propiedad
22252	Yebra de Basa	3	d) >=25% a < 50%  de la SAU en propiedad
22252	Yebra de Basa	1	e) >=50% a < 75%  de la SAU en propiedad
22252	Yebra de Basa	2	f) >= 75% a < 90%  de la SAU en propiedad
22252	Yebra de Basa	16	g) >= 90%  de la SAU en propiedad
22253	Yésero	1	b) < 10% de la SAU en propiedad
22253	Yésero	2	g) >= 90%  de la SAU en propiedad
22254	Zaidín	17	a) No hay SAU
22254	Zaidín	55	b) < 10% de la SAU en propiedad
22254	Zaidín	8	c) >=10% a < 25%  de la SAU en propiedad
22254	Zaidín	20	d) >=25% a < 50%  de la SAU en propiedad
22254	Zaidín	13	e) >=50% a < 75%  de la SAU en propiedad
22254	Zaidín	14	f) >= 75% a < 90%  de la SAU en propiedad
22254	Zaidín	197	g) >= 90%  de la SAU en propiedad
22901	Valle de Hecho	2	a) No hay SAU
22901	Valle de Hecho	8	b) < 10% de la SAU en propiedad
22901	Valle de Hecho	2	c) >=10% a < 25%  de la SAU en propiedad
22901	Valle de Hecho	7	d) >=25% a < 50%  de la SAU en propiedad
22901	Valle de Hecho	4	e) >=50% a < 75%  de la SAU en propiedad
22901	Valle de Hecho	5	f) >= 75% a < 90%  de la SAU en propiedad
22901	Valle de Hecho	36	g) >= 90%  de la SAU en propiedad
22902	Puente la Reina de Jaca	1	a) No hay SAU
22902	Puente la Reina de Jaca	2	b) < 10% de la SAU en propiedad
22902	Puente la Reina de Jaca	1	c) >=10% a < 25%  de la SAU en propiedad
22902	Puente la Reina de Jaca	4	d) >=25% a < 50%  de la SAU en propiedad
22902	Puente la Reina de Jaca	4	e) >=50% a < 75%  de la SAU en propiedad
22902	Puente la Reina de Jaca	3	f) >= 75% a < 90%  de la SAU en propiedad
22902	Puente la Reina de Jaca	32	g) >= 90%  de la SAU en propiedad
22903	San Miguel del Cinca	7	a) No hay SAU
22903	San Miguel del Cinca	31	b) < 10% de la SAU en propiedad
22903	San Miguel del Cinca	5	c) >=10% a < 25%  de la SAU en propiedad
22903	San Miguel del Cinca	17	d) >=25% a < 50%  de la SAU en propiedad
22903	San Miguel del Cinca	32	e) >=50% a < 75%  de la SAU en propiedad
22903	San Miguel del Cinca	14	f) >= 75% a < 90%  de la SAU en propiedad
22903	San Miguel del Cinca	95	g) >= 90%  de la SAU en propiedad
22904	Sotonera (La)	3	a) No hay SAU
22904	Sotonera (La)	18	b) < 10% de la SAU en propiedad
22904	Sotonera (La)	5	c) >=10% a < 25%  de la SAU en propiedad
22904	Sotonera (La)	6	d) >=25% a < 50%  de la SAU en propiedad
22904	Sotonera (La)	17	e) >=50% a < 75%  de la SAU en propiedad
22904	Sotonera (La)	8	f) >= 75% a < 90%  de la SAU en propiedad
22904	Sotonera (La)	165	g) >= 90%  de la SAU en propiedad
22905	Lupiñén-Ortilla	3	a) No hay SAU
22905	Lupiñén-Ortilla	14	b) < 10% de la SAU en propiedad
22905	Lupiñén-Ortilla	3	c) >=10% a < 25%  de la SAU en propiedad
22905	Lupiñén-Ortilla	5	d) >=25% a < 50%  de la SAU en propiedad
22905	Lupiñén-Ortilla	6	e) >=50% a < 75%  de la SAU en propiedad
22905	Lupiñén-Ortilla	5	f) >= 75% a < 90%  de la SAU en propiedad
22905	Lupiñén-Ortilla	35	g) >= 90%  de la SAU en propiedad
22906	Santa María de Dulcis	5	b) < 10% de la SAU en propiedad
22906	Santa María de Dulcis	1	c) >=10% a < 25%  de la SAU en propiedad
22906	Santa María de Dulcis	4	e) >=50% a < 75%  de la SAU en propiedad
22906	Santa María de Dulcis	5	f) >= 75% a < 90%  de la SAU en propiedad
22906	Santa María de Dulcis	45	g) >= 90%  de la SAU en propiedad
22907	Aínsa-Sobrarbe	22	b) < 10% de la SAU en propiedad
22907	Aínsa-Sobrarbe	8	c) >=10% a < 25%  de la SAU en propiedad
22907	Aínsa-Sobrarbe	11	d) >=25% a < 50%  de la SAU en propiedad
22907	Aínsa-Sobrarbe	14	e) >=50% a < 75%  de la SAU en propiedad
22907	Aínsa-Sobrarbe	12	f) >= 75% a < 90%  de la SAU en propiedad
22907	Aínsa-Sobrarbe	66	g) >= 90%  de la SAU en propiedad
22908	Hoz y Costeán	2	a) No hay SAU
22908	Hoz y Costeán	10	b) < 10% de la SAU en propiedad
22908	Hoz y Costeán	4	c) >=10% a < 25%  de la SAU en propiedad
22908	Hoz y Costeán	1	d) >=25% a < 50%  de la SAU en propiedad
22908	Hoz y Costeán	5	e) >=50% a < 75%  de la SAU en propiedad
22908	Hoz y Costeán	76	g) >= 90%  de la SAU en propiedad
22909	Vencillón	2	a) No hay SAU
22909	Vencillón	11	b) < 10% de la SAU en propiedad
22909	Vencillón	4	c) >=10% a < 25%  de la SAU en propiedad
22909	Vencillón	2	d) >=25% a < 50%  de la SAU en propiedad
22909	Vencillón	3	e) >=50% a < 75%  de la SAU en propiedad
22909	Vencillón	48	g) >= 90%  de la SAU en propiedad
44001	Ababuj	4	b) < 10% de la SAU en propiedad
44001	Ababuj	2	c) >=10% a < 25%  de la SAU en propiedad
44001	Ababuj	5	d) >=25% a < 50%  de la SAU en propiedad
44001	Ababuj	2	e) >=50% a < 75%  de la SAU en propiedad
44001	Ababuj	3	f) >= 75% a < 90%  de la SAU en propiedad
44001	Ababuj	5	g) >= 90%  de la SAU en propiedad
44002	Abejuela	1	b) < 10% de la SAU en propiedad
44002	Abejuela	10	g) >= 90%  de la SAU en propiedad
44003	Aguatón	1	b) < 10% de la SAU en propiedad
44003	Aguatón	1	d) >=25% a < 50%  de la SAU en propiedad
44003	Aguatón	4	e) >=50% a < 75%  de la SAU en propiedad
44003	Aguatón	1	f) >= 75% a < 90%  de la SAU en propiedad
44003	Aguatón	2	g) >= 90%  de la SAU en propiedad
44004	Aguaviva	5	a) No hay SAU
44004	Aguaviva	4	b) < 10% de la SAU en propiedad
44004	Aguaviva	3	c) >=10% a < 25%  de la SAU en propiedad
44004	Aguaviva	5	d) >=25% a < 50%  de la SAU en propiedad
44004	Aguaviva	2	e) >=50% a < 75%  de la SAU en propiedad
44004	Aguaviva	23	g) >= 90%  de la SAU en propiedad
44005	Aguilar del Alfambra	1	a) No hay SAU
44005	Aguilar del Alfambra	4	b) < 10% de la SAU en propiedad
44005	Aguilar del Alfambra	1	c) >=10% a < 25%  de la SAU en propiedad
44005	Aguilar del Alfambra	3	d) >=25% a < 50%  de la SAU en propiedad
44005	Aguilar del Alfambra	3	e) >=50% a < 75%  de la SAU en propiedad
44005	Aguilar del Alfambra	9	g) >= 90%  de la SAU en propiedad
44006	Alacón	3	a) No hay SAU
44006	Alacón	5	b) < 10% de la SAU en propiedad
44006	Alacón	2	c) >=10% a < 25%  de la SAU en propiedad
44006	Alacón	4	d) >=25% a < 50%  de la SAU en propiedad
44006	Alacón	7	e) >=50% a < 75%  de la SAU en propiedad
44006	Alacón	49	g) >= 90%  de la SAU en propiedad
44007	Alba	1	a) No hay SAU
44007	Alba	9	b) < 10% de la SAU en propiedad
44007	Alba	2	c) >=10% a < 25%  de la SAU en propiedad
44007	Alba	9	d) >=25% a < 50%  de la SAU en propiedad
44007	Alba	12	e) >=50% a < 75%  de la SAU en propiedad
44007	Alba	4	f) >= 75% a < 90%  de la SAU en propiedad
44007	Alba	26	g) >= 90%  de la SAU en propiedad
44008	Albalate del Arzobispo	5	a) No hay SAU
44008	Albalate del Arzobispo	30	b) < 10% de la SAU en propiedad
44008	Albalate del Arzobispo	11	c) >=10% a < 25%  de la SAU en propiedad
44008	Albalate del Arzobispo	14	d) >=25% a < 50%  de la SAU en propiedad
44008	Albalate del Arzobispo	20	e) >=50% a < 75%  de la SAU en propiedad
44008	Albalate del Arzobispo	19	f) >= 75% a < 90%  de la SAU en propiedad
44008	Albalate del Arzobispo	238	g) >= 90%  de la SAU en propiedad
44009	Albarracín	2	a) No hay SAU
44009	Albarracín	25	b) < 10% de la SAU en propiedad
44009	Albarracín	3	c) >=10% a < 25%  de la SAU en propiedad
44009	Albarracín	1	d) >=25% a < 50%  de la SAU en propiedad
44009	Albarracín	3	e) >=50% a < 75%  de la SAU en propiedad
44009	Albarracín	2	f) >= 75% a < 90%  de la SAU en propiedad
44009	Albarracín	19	g) >= 90%  de la SAU en propiedad
44010	Albentosa	1	a) No hay SAU
44010	Albentosa	5	b) < 10% de la SAU en propiedad
44010	Albentosa	3	c) >=10% a < 25%  de la SAU en propiedad
44010	Albentosa	5	d) >=25% a < 50%  de la SAU en propiedad
44010	Albentosa	4	e) >=50% a < 75%  de la SAU en propiedad
44010	Albentosa	1	f) >= 75% a < 90%  de la SAU en propiedad
44010	Albentosa	34	g) >= 90%  de la SAU en propiedad
44011	Alcaine	5	b) < 10% de la SAU en propiedad
44011	Alcaine	4	g) >= 90%  de la SAU en propiedad
44012	Alcalá de la Selva	14	b) < 10% de la SAU en propiedad
44012	Alcalá de la Selva	2	d) >=25% a < 50%  de la SAU en propiedad
44012	Alcalá de la Selva	2	e) >=50% a < 75%  de la SAU en propiedad
44012	Alcalá de la Selva	1	f) >= 75% a < 90%  de la SAU en propiedad
44012	Alcalá de la Selva	17	g) >= 90%  de la SAU en propiedad
44013	Alcañiz	22	a) No hay SAU
44013	Alcañiz	76	b) < 10% de la SAU en propiedad
44013	Alcañiz	26	c) >=10% a < 25%  de la SAU en propiedad
44013	Alcañiz	21	d) >=25% a < 50%  de la SAU en propiedad
44013	Alcañiz	49	e) >=50% a < 75%  de la SAU en propiedad
44013	Alcañiz	21	f) >= 75% a < 90%  de la SAU en propiedad
44013	Alcañiz	405	g) >= 90%  de la SAU en propiedad
44014	Alcorisa	2	a) No hay SAU
44014	Alcorisa	24	b) < 10% de la SAU en propiedad
44014	Alcorisa	9	c) >=10% a < 25%  de la SAU en propiedad
44014	Alcorisa	5	d) >=25% a < 50%  de la SAU en propiedad
44014	Alcorisa	17	e) >=50% a < 75%  de la SAU en propiedad
44014	Alcorisa	7	f) >= 75% a < 90%  de la SAU en propiedad
44014	Alcorisa	288	g) >= 90%  de la SAU en propiedad
44016	Alfambra	5	a) No hay SAU
44016	Alfambra	21	b) < 10% de la SAU en propiedad
44016	Alfambra	10	c) >=10% a < 25%  de la SAU en propiedad
44016	Alfambra	15	d) >=25% a < 50%  de la SAU en propiedad
44016	Alfambra	14	e) >=50% a < 75%  de la SAU en propiedad
44016	Alfambra	4	f) >= 75% a < 90%  de la SAU en propiedad
44016	Alfambra	44	g) >= 90%  de la SAU en propiedad
44017	Aliaga	1	a) No hay SAU
44017	Aliaga	11	b) < 10% de la SAU en propiedad
44017	Aliaga	9	c) >=10% a < 25%  de la SAU en propiedad
44017	Aliaga	2	d) >=25% a < 50%  de la SAU en propiedad
44017	Aliaga	5	e) >=50% a < 75%  de la SAU en propiedad
44017	Aliaga	4	f) >= 75% a < 90%  de la SAU en propiedad
44017	Aliaga	21	g) >= 90%  de la SAU en propiedad
44018	Almohaja	1	a) No hay SAU
44018	Almohaja	2	b) < 10% de la SAU en propiedad
44018	Almohaja	1	c) >=10% a < 25%  de la SAU en propiedad
44018	Almohaja	1	d) >=25% a < 50%  de la SAU en propiedad
44018	Almohaja	1	g) >= 90%  de la SAU en propiedad
44019	Alobras	2	b) < 10% de la SAU en propiedad
44019	Alobras	1	d) >=25% a < 50%  de la SAU en propiedad
44019	Alobras	3	e) >=50% a < 75%  de la SAU en propiedad
44019	Alobras	3	f) >= 75% a < 90%  de la SAU en propiedad
44019	Alobras	3	g) >= 90%  de la SAU en propiedad
44020	Alpeñés	1	b) < 10% de la SAU en propiedad
44020	Alpeñés	1	c) >=10% a < 25%  de la SAU en propiedad
44020	Alpeñés	3	d) >=25% a < 50%  de la SAU en propiedad
44020	Alpeñés	1	e) >=50% a < 75%  de la SAU en propiedad
44020	Alpeñés	2	f) >= 75% a < 90%  de la SAU en propiedad
44020	Alpeñés	4	g) >= 90%  de la SAU en propiedad
44021	Allepuz	3	a) No hay SAU
44021	Allepuz	15	b) < 10% de la SAU en propiedad
44021	Allepuz	1	c) >=10% a < 25%  de la SAU en propiedad
44021	Allepuz	6	e) >=50% a < 75%  de la SAU en propiedad
44021	Allepuz	2	f) >= 75% a < 90%  de la SAU en propiedad
44021	Allepuz	15	g) >= 90%  de la SAU en propiedad
44022	Alloza	16	b) < 10% de la SAU en propiedad
44022	Alloza	3	c) >=10% a < 25%  de la SAU en propiedad
44022	Alloza	4	d) >=25% a < 50%  de la SAU en propiedad
44022	Alloza	8	e) >=50% a < 75%  de la SAU en propiedad
44022	Alloza	4	f) >= 75% a < 90%  de la SAU en propiedad
44022	Alloza	178	g) >= 90%  de la SAU en propiedad
44023	Allueva	1	d) >=25% a < 50%  de la SAU en propiedad
44024	Anadón	2	c) >=10% a < 25%  de la SAU en propiedad
44024	Anadón	1	d) >=25% a < 50%  de la SAU en propiedad
44024	Anadón	2	g) >= 90%  de la SAU en propiedad
44025	Andorra	2	a) No hay SAU
44025	Andorra	16	b) < 10% de la SAU en propiedad
44025	Andorra	9	c) >=10% a < 25%  de la SAU en propiedad
44025	Andorra	16	d) >=25% a < 50%  de la SAU en propiedad
44025	Andorra	18	e) >=50% a < 75%  de la SAU en propiedad
44025	Andorra	10	f) >= 75% a < 90%  de la SAU en propiedad
44025	Andorra	194	g) >= 90%  de la SAU en propiedad
44026	Arcos de las Salinas	5	b) < 10% de la SAU en propiedad
44026	Arcos de las Salinas	8	g) >= 90%  de la SAU en propiedad
44027	Arens de Lledó	2	a) No hay SAU
44027	Arens de Lledó	7	b) < 10% de la SAU en propiedad
44027	Arens de Lledó	1	c) >=10% a < 25%  de la SAU en propiedad
44027	Arens de Lledó	1	d) >=25% a < 50%  de la SAU en propiedad
44027	Arens de Lledó	2	e) >=50% a < 75%  de la SAU en propiedad
44027	Arens de Lledó	4	f) >= 75% a < 90%  de la SAU en propiedad
44027	Arens de Lledó	45	g) >= 90%  de la SAU en propiedad
44028	Argente	2	a) No hay SAU
44028	Argente	13	b) < 10% de la SAU en propiedad
44028	Argente	6	c) >=10% a < 25%  de la SAU en propiedad
44028	Argente	8	d) >=25% a < 50%  de la SAU en propiedad
44028	Argente	10	e) >=50% a < 75%  de la SAU en propiedad
44028	Argente	7	f) >= 75% a < 90%  de la SAU en propiedad
44028	Argente	22	g) >= 90%  de la SAU en propiedad
44029	Ariño	2	b) < 10% de la SAU en propiedad
44029	Ariño	2	d) >=25% a < 50%  de la SAU en propiedad
44029	Ariño	4	e) >=50% a < 75%  de la SAU en propiedad
44029	Ariño	1	f) >= 75% a < 90%  de la SAU en propiedad
44029	Ariño	30	g) >= 90%  de la SAU en propiedad
44031	Azaila	12	b) < 10% de la SAU en propiedad
44031	Azaila	5	c) >=10% a < 25%  de la SAU en propiedad
44031	Azaila	1	d) >=25% a < 50%  de la SAU en propiedad
44031	Azaila	4	e) >=50% a < 75%  de la SAU en propiedad
44031	Azaila	2	f) >= 75% a < 90%  de la SAU en propiedad
44031	Azaila	14	g) >= 90%  de la SAU en propiedad
44032	Bádenas	1	c) >=10% a < 25%  de la SAU en propiedad
44032	Bádenas	2	d) >=25% a < 50%  de la SAU en propiedad
44032	Bádenas	5	g) >= 90%  de la SAU en propiedad
44033	Báguena	1	a) No hay SAU
44033	Báguena	1	c) >=10% a < 25%  de la SAU en propiedad
44033	Báguena	2	d) >=25% a < 50%  de la SAU en propiedad
44033	Báguena	8	e) >=50% a < 75%  de la SAU en propiedad
44033	Báguena	4	f) >= 75% a < 90%  de la SAU en propiedad
44033	Báguena	97	g) >= 90%  de la SAU en propiedad
44034	Bañón	1	a) No hay SAU
44034	Bañón	7	b) < 10% de la SAU en propiedad
44034	Bañón	5	c) >=10% a < 25%  de la SAU en propiedad
44034	Bañón	4	d) >=25% a < 50%  de la SAU en propiedad
44034	Bañón	4	e) >=50% a < 75%  de la SAU en propiedad
44034	Bañón	7	f) >= 75% a < 90%  de la SAU en propiedad
44034	Bañón	13	g) >= 90%  de la SAU en propiedad
44035	Barrachina	1	a) No hay SAU
44035	Barrachina	3	b) < 10% de la SAU en propiedad
44035	Barrachina	1	c) >=10% a < 25%  de la SAU en propiedad
44035	Barrachina	1	d) >=25% a < 50%  de la SAU en propiedad
44035	Barrachina	4	e) >=50% a < 75%  de la SAU en propiedad
44035	Barrachina	2	f) >= 75% a < 90%  de la SAU en propiedad
44035	Barrachina	6	g) >= 90%  de la SAU en propiedad
44036	Bea	1	b) < 10% de la SAU en propiedad
44036	Bea	1	c) >=10% a < 25%  de la SAU en propiedad
44036	Bea	1	d) >=25% a < 50%  de la SAU en propiedad
44036	Bea	2	g) >= 90%  de la SAU en propiedad
44037	Beceite	5	a) No hay SAU
44037	Beceite	2	b) < 10% de la SAU en propiedad
44037	Beceite	1	c) >=10% a < 25%  de la SAU en propiedad
44037	Beceite	2	e) >=50% a < 75%  de la SAU en propiedad
44037	Beceite	50	g) >= 90%  de la SAU en propiedad
44038	Belmonte de San José	4	b) < 10% de la SAU en propiedad
44038	Belmonte de San José	2	c) >=10% a < 25%  de la SAU en propiedad
44038	Belmonte de San José	2	e) >=50% a < 75%  de la SAU en propiedad
44038	Belmonte de San José	2	f) >= 75% a < 90%  de la SAU en propiedad
44038	Belmonte de San José	38	g) >= 90%  de la SAU en propiedad
44039	Bello	1	a) No hay SAU
44039	Bello	8	b) < 10% de la SAU en propiedad
44039	Bello	4	c) >=10% a < 25%  de la SAU en propiedad
44039	Bello	5	d) >=25% a < 50%  de la SAU en propiedad
44039	Bello	9	e) >=50% a < 75%  de la SAU en propiedad
44039	Bello	15	f) >= 75% a < 90%  de la SAU en propiedad
44039	Bello	44	g) >= 90%  de la SAU en propiedad
44040	Berge	1	a) No hay SAU
44040	Berge	3	b) < 10% de la SAU en propiedad
44040	Berge	2	c) >=10% a < 25%  de la SAU en propiedad
44040	Berge	3	d) >=25% a < 50%  de la SAU en propiedad
44040	Berge	2	e) >=50% a < 75%  de la SAU en propiedad
44040	Berge	2	f) >= 75% a < 90%  de la SAU en propiedad
44040	Berge	32	g) >= 90%  de la SAU en propiedad
44041	Bezas	2	b) < 10% de la SAU en propiedad
44041	Bezas	1	g) >= 90%  de la SAU en propiedad
44042	Blancas	1	a) No hay SAU
44042	Blancas	7	b) < 10% de la SAU en propiedad
44042	Blancas	1	c) >=10% a < 25%  de la SAU en propiedad
44042	Blancas	8	d) >=25% a < 50%  de la SAU en propiedad
44042	Blancas	7	e) >=50% a < 75%  de la SAU en propiedad
44042	Blancas	6	f) >= 75% a < 90%  de la SAU en propiedad
44042	Blancas	11	g) >= 90%  de la SAU en propiedad
44043	Blesa	7	b) < 10% de la SAU en propiedad
44043	Blesa	3	c) >=10% a < 25%  de la SAU en propiedad
44043	Blesa	4	d) >=25% a < 50%  de la SAU en propiedad
44043	Blesa	4	e) >=50% a < 75%  de la SAU en propiedad
44043	Blesa	10	g) >= 90%  de la SAU en propiedad
44044	Bordón	4	a) No hay SAU
44044	Bordón	3	b) < 10% de la SAU en propiedad
