Municipio código	Municipio nombre	Nivel estudios (agregado)	Personas residentes viviendas familiares	Nivel estudios (detalle)
22001	Abiego	Analfabetos	1	No sabe leer o escribir
22001	Abiego	Sin estudios	25	Sin estudios
22001	Abiego	Primer grado	105	Primer grado
22001	Abiego	Segundo grado	10	FP Grado Superior
22001	Abiego	Segundo grado	6	FP Grado Medio
22001	Abiego	Segundo grado	60	ESO, EGB, Bachillerato Ele.
22001	Abiego	Segundo grado	28	Bachillerato Superior
22001	Abiego	Tercer grado	11	Diplomatura
22001	Abiego	Tercer grado	8	Licenciatura
22002	Abizanda	Analfabetos	2	No sabe leer o escribir
22002	Abizanda	Primer grado	59	Primer grado
22002	Abizanda	Segundo grado	11	Bachillerato Superior
22002	Abizanda	Segundo grado	6	FP Grado Medio
22002	Abizanda	Segundo grado	4	FP Grado Superior
22002	Abizanda	Segundo grado	15	ESO, EGB, Bachillerato Ele.
22002	Abizanda	Tercer grado	1	Doctorado
22002	Abizanda	Tercer grado	3	Licenciatura
22002	Abizanda	Tercer grado	19	Diplomatura
22003	Adahuesca	Sin estudios	7	Sin estudios
22003	Adahuesca	Primer grado	64	Primer grado
22003	Adahuesca	Segundo grado	1	FP Grado Medio
22003	Adahuesca	Segundo grado	36	ESO, EGB, Bachillerato Ele.
22003	Adahuesca	Segundo grado	25	Bachillerato Superior
22003	Adahuesca	Segundo grado	1	FP Grado Superior
22003	Adahuesca	Tercer grado	7	Diplomatura
22003	Adahuesca	Tercer grado	3	Licenciatura
22004	Agüero	Analfabetos	2	No sabe leer o escribir
22004	Agüero	Sin estudios	17	Sin estudios
22004	Agüero	Primer grado	76	Primer grado
22004	Agüero	Segundo grado	2	FP Grado Superior
22004	Agüero	Segundo grado	22	ESO, EGB, Bachillerato Ele.
22004	Agüero	Segundo grado	12	Bachillerato Superior
22004	Agüero	Segundo grado	3	FP Grado Medio
22004	Agüero	Tercer grado	1	Doctorado
22004	Agüero	Tercer grado	4	Licenciatura
22004	Agüero	Tercer grado	5	Diplomatura
22006	Aísa	Analfabetos	1	No sabe leer o escribir
22006	Aísa	Sin estudios	8	Sin estudios
22006	Aísa	Primer grado	42	Primer grado
22006	Aísa	Segundo grado	10	FP Grado Medio
22006	Aísa	Segundo grado	186	ESO, EGB, Bachillerato Ele.
22006	Aísa	Segundo grado	14	FP Grado Superior
22006	Aísa	Segundo grado	59	Bachillerato Superior
22006	Aísa	Tercer grado	1	Doctorado
22006	Aísa	Tercer grado	21	Licenciatura
22006	Aísa	Tercer grado	21	Diplomatura
22007	Albalate de Cinca	Analfabetos	15	No sabe leer o escribir
22007	Albalate de Cinca	Sin estudios	153	Sin estudios
22007	Albalate de Cinca	Primer grado	201	Primer grado
22007	Albalate de Cinca	Segundo grado	97	Bachillerato Superior
22007	Albalate de Cinca	Segundo grado	44	FP Grado Superior
22007	Albalate de Cinca	Segundo grado	55	FP Grado Medio
22007	Albalate de Cinca	Segundo grado	419	ESO, EGB, Bachillerato Ele.
22007	Albalate de Cinca	Tercer grado	43	Diplomatura
22007	Albalate de Cinca	Tercer grado	3	Doctorado
22007	Albalate de Cinca	Tercer grado	36	Licenciatura
22008	Albalatillo	Analfabetos	3	No sabe leer o escribir
22008	Albalatillo	Sin estudios	67	Sin estudios
22008	Albalatillo	Primer grado	82	Primer grado
22008	Albalatillo	Segundo grado	19	Bachillerato Superior
22008	Albalatillo	Segundo grado	12	FP Grado Superior
22008	Albalatillo	Segundo grado	8	FP Grado Medio
22008	Albalatillo	Segundo grado	38	ESO, EGB, Bachillerato Ele.
22008	Albalatillo	Tercer grado	5	Licenciatura
22008	Albalatillo	Tercer grado	9	Diplomatura
22009	Albelda	Analfabetos	8	No sabe leer o escribir
22009	Albelda	Sin estudios	40	Sin estudios
22009	Albelda	Primer grado	324	Primer grado
22009	Albelda	Segundo grado	44	FP Grado Superior
22009	Albelda	Segundo grado	70	Bachillerato Superior
22009	Albelda	Segundo grado	22	FP Grado Medio
22009	Albelda	Segundo grado	236	ESO, EGB, Bachillerato Ele.
22009	Albelda	Tercer grado	1	Doctorado
22009	Albelda	Tercer grado	18	Licenciatura
22009	Albelda	Tercer grado	36	Diplomatura
22011	Albero Alto	Sin estudios	10	Sin estudios
22011	Albero Alto	Primer grado	34	Primer grado
22011	Albero Alto	Segundo grado	21	ESO, EGB, Bachillerato Ele.
22011	Albero Alto	Segundo grado	2	FP Grado Superior
22011	Albero Alto	Segundo grado	10	Bachillerato Superior
22011	Albero Alto	Segundo grado	3	FP Grado Medio
22011	Albero Alto	Tercer grado	9	Diplomatura
22011	Albero Alto	Tercer grado	3	Licenciatura
22012	Albero Bajo	Analfabetos	1	No sabe leer o escribir
22012	Albero Bajo	Sin estudios	3	Sin estudios
22012	Albero Bajo	Primer grado	47	Primer grado
22012	Albero Bajo	Segundo grado	1	FP Grado Superior
22012	Albero Bajo	Segundo grado	27	ESO, EGB, Bachillerato Ele.
22012	Albero Bajo	Segundo grado	11	Bachillerato Superior
22012	Albero Bajo	Segundo grado	7	FP Grado Medio
22012	Albero Bajo	Tercer grado	2	Diplomatura
22012	Albero Bajo	Tercer grado	3	Licenciatura
22013	Alberuela de Tubo	Sin estudios	3	Sin estudios
22013	Alberuela de Tubo	Primer grado	25	Primer grado
22013	Alberuela de Tubo	Segundo grado	12	FP Grado Superior
22013	Alberuela de Tubo	Segundo grado	30	FP Grado Medio
22013	Alberuela de Tubo	Segundo grado	210	ESO, EGB, Bachillerato Ele.
22013	Alberuela de Tubo	Segundo grado	13	Bachillerato Superior
22013	Alberuela de Tubo	Tercer grado	8	Licenciatura
22013	Alberuela de Tubo	Tercer grado	1	Doctorado
22013	Alberuela de Tubo	Tercer grado	18	Diplomatura
22014	Alcalá de Gurrea	Analfabetos	3	No sabe leer o escribir
22014	Alcalá de Gurrea	Sin estudios	21	Sin estudios
22014	Alcalá de Gurrea	Primer grado	119	Primer grado
22014	Alcalá de Gurrea	Segundo grado	8	FP Grado Medio
22014	Alcalá de Gurrea	Segundo grado	6	FP Grado Superior
22014	Alcalá de Gurrea	Segundo grado	17	Bachillerato Superior
22014	Alcalá de Gurrea	Segundo grado	96	ESO, EGB, Bachillerato Ele.
22014	Alcalá de Gurrea	Tercer grado	11	Licenciatura
22014	Alcalá de Gurrea	Tercer grado	17	Diplomatura
22015	Alcalá del Obispo	Analfabetos	1	No sabe leer o escribir
22015	Alcalá del Obispo	Sin estudios	27	Sin estudios
22015	Alcalá del Obispo	Primer grado	159	Primer grado
22015	Alcalá del Obispo	Segundo grado	80	ESO, EGB, Bachillerato Ele.
22015	Alcalá del Obispo	Segundo grado	13	FP Grado Medio
22015	Alcalá del Obispo	Segundo grado	32	Bachillerato Superior
22015	Alcalá del Obispo	Segundo grado	8	FP Grado Superior
22015	Alcalá del Obispo	Tercer grado	11	Licenciatura
22015	Alcalá del Obispo	Tercer grado	16	Diplomatura
22016	Alcampell	Analfabetos	6	No sabe leer o escribir
22016	Alcampell	Sin estudios	58	Sin estudios
22016	Alcampell	Primer grado	382	Primer grado
22016	Alcampell	Segundo grado	26	FP Grado Superior
22016	Alcampell	Segundo grado	71	Bachillerato Superior
22016	Alcampell	Segundo grado	24	FP Grado Medio
22016	Alcampell	Segundo grado	187	ESO, EGB, Bachillerato Ele.
22016	Alcampell	Tercer grado	1	Doctorado
22016	Alcampell	Tercer grado	35	Diplomatura
22016	Alcampell	Tercer grado	22	Licenciatura
22017	Alcolea de Cinca	Analfabetos	5	No sabe leer o escribir
22017	Alcolea de Cinca	Sin estudios	265	Sin estudios
22017	Alcolea de Cinca	Primer grado	311	Primer grado
22017	Alcolea de Cinca	Segundo grado	79	Bachillerato Superior
22017	Alcolea de Cinca	Segundo grado	51	FP Grado Medio
22017	Alcolea de Cinca	Segundo grado	42	FP Grado Superior
22017	Alcolea de Cinca	Segundo grado	230	ESO, EGB, Bachillerato Ele.
22017	Alcolea de Cinca	Tercer grado	62	Diplomatura
22017	Alcolea de Cinca	Tercer grado	29	Licenciatura
22018	Alcubierre	Analfabetos	4	No sabe leer o escribir
22018	Alcubierre	Sin estudios	38	Sin estudios
22018	Alcubierre	Primer grado	205	Primer grado
22018	Alcubierre	Segundo grado	6	FP Grado Medio
22018	Alcubierre	Segundo grado	9	FP Grado Superior
22018	Alcubierre	Segundo grado	37	Bachillerato Superior
22018	Alcubierre	Segundo grado	78	ESO, EGB, Bachillerato Ele.
22018	Alcubierre	Tercer grado	17	Licenciatura
22018	Alcubierre	Tercer grado	17	Diplomatura
22018	Alcubierre	Tercer grado	1	Doctorado
22019	Alerre	Analfabetos	1	No sabe leer o escribir
22019	Alerre	Sin estudios	15	Sin estudios
22019	Alerre	Primer grado	32	Primer grado
22019	Alerre	Segundo grado	7	FP Grado Medio
22019	Alerre	Segundo grado	33	ESO, EGB, Bachillerato Ele.
22019	Alerre	Segundo grado	29	Bachillerato Superior
22019	Alerre	Segundo grado	7	FP Grado Superior
22019	Alerre	Tercer grado	29	Diplomatura
22019	Alerre	Tercer grado	21	Licenciatura
22019	Alerre	Tercer grado	2	Doctorado
22020	Alfántega	Analfabetos	1	No sabe leer o escribir
22020	Alfántega	Sin estudios	5	Sin estudios
22020	Alfántega	Primer grado	54	Primer grado
22020	Alfántega	Segundo grado	3	FP Grado Medio
22020	Alfántega	Segundo grado	10	Bachillerato Superior
22020	Alfántega	Segundo grado	18	ESO, EGB, Bachillerato Ele.
22020	Alfántega	Segundo grado	6	FP Grado Superior
22020	Alfántega	Tercer grado	2	Licenciatura
22020	Alfántega	Tercer grado	4	Diplomatura
22021	Almudévar	Analfabetos	17	No sabe leer o escribir
22021	Almudévar	Sin estudios	265	Sin estudios
22021	Almudévar	Primer grado	752	Primer grado
22021	Almudévar	Segundo grado	209	Bachillerato Superior
22021	Almudévar	Segundo grado	505	ESO, EGB, Bachillerato Ele.
22021	Almudévar	Segundo grado	41	FP Grado Superior
22021	Almudévar	Segundo grado	45	FP Grado Medio
22021	Almudévar	Tercer grado	60	Licenciatura
22021	Almudévar	Tercer grado	1	Doctorado
22021	Almudévar	Tercer grado	120	Diplomatura
22022	Almunia de San Juan	Analfabetos	11	No sabe leer o escribir
22022	Almunia de San Juan	Sin estudios	25	Sin estudios
22022	Almunia de San Juan	Primer grado	133	Primer grado
22022	Almunia de San Juan	Segundo grado	289	ESO, EGB, Bachillerato Ele.
22022	Almunia de San Juan	Segundo grado	44	Bachillerato Superior
22022	Almunia de San Juan	Segundo grado	35	FP Grado Superior
22022	Almunia de San Juan	Segundo grado	26	FP Grado Medio
22022	Almunia de San Juan	Tercer grado	20	Licenciatura
22022	Almunia de San Juan	Tercer grado	26	Diplomatura
22023	Almuniente	Analfabetos	2	No sabe leer o escribir
22023	Almuniente	Sin estudios	19	Sin estudios
22023	Almuniente	Primer grado	255	Primer grado
22023	Almuniente	Segundo grado	23	FP Grado Medio
22023	Almuniente	Segundo grado	12	FP Grado Superior
22023	Almuniente	Segundo grado	154	ESO, EGB, Bachillerato Ele.
22023	Almuniente	Segundo grado	38	Bachillerato Superior
22023	Almuniente	Tercer grado	6	Licenciatura
22023	Almuniente	Tercer grado	25	Diplomatura
22024	Alquézar	Sin estudios	12	Sin estudios
22024	Alquézar	Primer grado	129	Primer grado
22024	Alquézar	Segundo grado	43	Bachillerato Superior
22024	Alquézar	Segundo grado	3	FP Grado Superior
22024	Alquézar	Segundo grado	4	FP Grado Medio
22024	Alquézar	Segundo grado	64	ESO, EGB, Bachillerato Ele.
22024	Alquézar	Tercer grado	9	Diplomatura
22024	Alquézar	Tercer grado	2	Licenciatura
22025	Altorricón	Analfabetos	9	No sabe leer o escribir
22025	Altorricón	Sin estudios	186	Sin estudios
22025	Altorricón	Primer grado	461	Primer grado
22025	Altorricón	Segundo grado	298	ESO, EGB, Bachillerato Ele.
22025	Altorricón	Segundo grado	77	Bachillerato Superior
22025	Altorricón	Segundo grado	53	FP Grado Superior
22025	Altorricón	Segundo grado	63	FP Grado Medio
22025	Altorricón	Tercer grado	58	Licenciatura
22025	Altorricón	Tercer grado	2	Doctorado
22025	Altorricón	Tercer grado	60	Diplomatura
22027	Angüés	Analfabetos	1	No sabe leer o escribir
22027	Angüés	Sin estudios	51	Sin estudios
22027	Angüés	Primer grado	173	Primer grado
22027	Angüés	Segundo grado	23	Bachillerato Superior
22027	Angüés	Segundo grado	10	FP Grado Medio
22027	Angüés	Segundo grado	72	ESO, EGB, Bachillerato Ele.
22027	Angüés	Segundo grado	17	FP Grado Superior
22027	Angüés	Tercer grado	9	Licenciatura
22027	Angüés	Tercer grado	22	Diplomatura
22028	Ansó	Analfabetos	2	No sabe leer o escribir
22028	Ansó	Sin estudios	41	Sin estudios
22028	Ansó	Primer grado	143	Primer grado
22028	Ansó	Segundo grado	13	FP Grado Medio
22028	Ansó	Segundo grado	63	Bachillerato Superior
22028	Ansó	Segundo grado	19	FP Grado Superior
22028	Ansó	Segundo grado	95	ESO, EGB, Bachillerato Ele.
22028	Ansó	Tercer grado	2	Doctorado
22028	Ansó	Tercer grado	42	Diplomatura
22028	Ansó	Tercer grado	23	Licenciatura
22029	Antillón	Analfabetos	2	No sabe leer o escribir
22029	Antillón	Sin estudios	19	Sin estudios
22029	Antillón	Primer grado	37	Primer grado
22029	Antillón	Segundo grado	18	Bachillerato Superior
22029	Antillón	Segundo grado	5	FP Grado Medio
22029	Antillón	Segundo grado	47	ESO, EGB, Bachillerato Ele.
22029	Antillón	Segundo grado	1	FP Grado Superior
22029	Antillón	Tercer grado	14	Diplomatura
22029	Antillón	Tercer grado	4	Licenciatura
22032	Aragüés del Puerto	Sin estudios	12	Sin estudios
22032	Aragüés del Puerto	Primer grado	42	Primer grado
22032	Aragüés del Puerto	Segundo grado	7	FP Grado Superior
22032	Aragüés del Puerto	Segundo grado	36	ESO, EGB, Bachillerato Ele.
22032	Aragüés del Puerto	Segundo grado	4	FP Grado Medio
22032	Aragüés del Puerto	Segundo grado	21	Bachillerato Superior
22032	Aragüés del Puerto	Tercer grado	8	Diplomatura
22032	Aragüés del Puerto	Tercer grado	8	Licenciatura
22032	Aragüés del Puerto	Tercer grado	3	Doctorado
22035	Arén	Analfabetos	2	No sabe leer o escribir
22035	Arén	Sin estudios	47	Sin estudios
22035	Arén	Primer grado	130	Primer grado
22035	Arén	Segundo grado	35	Bachillerato Superior
22035	Arén	Segundo grado	66	ESO, EGB, Bachillerato Ele.
22035	Arén	Segundo grado	5	FP Grado Medio
22035	Arén	Segundo grado	6	FP Grado Superior
22035	Arén	Tercer grado	23	Diplomatura
22035	Arén	Tercer grado	8	Licenciatura
22035	Arén	Tercer grado	1	Doctorado
22036	Argavieso	Analfabetos	1	No sabe leer o escribir
22036	Argavieso	Sin estudios	4	Sin estudios
22036	Argavieso	Primer grado	67	Primer grado
22036	Argavieso	Segundo grado	5	Bachillerato Superior
22036	Argavieso	Segundo grado	2	FP Grado Medio
22036	Argavieso	Segundo grado	26	ESO, EGB, Bachillerato Ele.
22036	Argavieso	Tercer grado	1	Doctorado
22036	Argavieso	Tercer grado	1	Licenciatura
22036	Argavieso	Tercer grado	3	Diplomatura
22037	Arguis	Sin estudios	8	Sin estudios
22037	Arguis	Primer grado	15	Primer grado
22037	Arguis	Segundo grado	5	FP Grado Superior
22037	Arguis	Segundo grado	7	Bachillerato Superior
22037	Arguis	Segundo grado	14	ESO, EGB, Bachillerato Ele.
22037	Arguis	Tercer grado	4	Licenciatura
22037	Arguis	Tercer grado	2	Doctorado
22037	Arguis	Tercer grado	9	Diplomatura
22039	Ayerbe	Analfabetos	10	No sabe leer o escribir
22039	Ayerbe	Sin estudios	37	Sin estudios
22039	Ayerbe	Primer grado	404	Primer grado
22039	Ayerbe	Segundo grado	114	Bachillerato Superior
22039	Ayerbe	Segundo grado	40	FP Grado Superior
22039	Ayerbe	Segundo grado	39	FP Grado Medio
22039	Ayerbe	Segundo grado	253	ESO, EGB, Bachillerato Ele.
22039	Ayerbe	Tercer grado	2	Doctorado
22039	Ayerbe	Tercer grado	60	Diplomatura
22039	Ayerbe	Tercer grado	42	Licenciatura
22040	Azanuy-Alins	Sin estudios	45	Sin estudios
22040	Azanuy-Alins	Primer grado	55	Primer grado
22040	Azanuy-Alins	Segundo grado	12	Bachillerato Superior
22040	Azanuy-Alins	Segundo grado	19	ESO, EGB, Bachillerato Ele.
22040	Azanuy-Alins	Segundo grado	10	FP Grado Medio
22040	Azanuy-Alins	Segundo grado	15	FP Grado Superior
22040	Azanuy-Alins	Tercer grado	8	Diplomatura
22040	Azanuy-Alins	Tercer grado	3	Licenciatura
22041	Azara	Analfabetos	2	No sabe leer o escribir
22041	Azara	Sin estudios	21	Sin estudios
22041	Azara	Primer grado	86	Primer grado
22041	Azara	Segundo grado	5	FP Grado Superior
22041	Azara	Segundo grado	8	FP Grado Medio
22041	Azara	Segundo grado	45	ESO, EGB, Bachillerato Ele.
22041	Azara	Segundo grado	10	Bachillerato Superior
22041	Azara	Tercer grado	12	Diplomatura
22041	Azara	Tercer grado	2	Licenciatura
22042	Azlor	Sin estudios	5	Sin estudios
22042	Azlor	Primer grado	85	Primer grado
22042	Azlor	Segundo grado	6	FP Grado Medio
22042	Azlor	Segundo grado	4	FP Grado Superior
22042	Azlor	Segundo grado	10	Bachillerato Superior
22042	Azlor	Segundo grado	35	ESO, EGB, Bachillerato Ele.
22042	Azlor	Tercer grado	8	Diplomatura
22042	Azlor	Tercer grado	1	Licenciatura
22043	Baells	Sin estudios	30	Sin estudios
22043	Baells	Primer grado	41	Primer grado
22043	Baells	Segundo grado	42	ESO, EGB, Bachillerato Ele.
22043	Baells	Segundo grado	17	Bachillerato Superior
22043	Baells	Tercer grado	6	Diplomatura
22043	Baells	Tercer grado	2	Licenciatura
22044	Bailo	Analfabetos	3	No sabe leer o escribir
22044	Bailo	Sin estudios	11	Sin estudios
22044	Bailo	Primer grado	124	Primer grado
22044	Bailo	Segundo grado	14	FP Grado Superior
22044	Bailo	Segundo grado	24	Bachillerato Superior
22044	Bailo	Segundo grado	25	FP Grado Medio
22044	Bailo	Segundo grado	54	ESO, EGB, Bachillerato Ele.
22044	Bailo	Tercer grado	14	Licenciatura
22044	Bailo	Tercer grado	13	Diplomatura
22045	Baldellou	Sin estudios	11	Sin estudios
22045	Baldellou	Primer grado	63	Primer grado
22045	Baldellou	Segundo grado	7	Bachillerato Superior
22045	Baldellou	Segundo grado	39	ESO, EGB, Bachillerato Ele.
22045	Baldellou	Segundo grado	1	FP Grado Medio
22045	Baldellou	Tercer grado	4	Diplomatura
22046	Ballobar	Analfabetos	3	No sabe leer o escribir
22046	Ballobar	Sin estudios	136	Sin estudios
22046	Ballobar	Primer grado	311	Primer grado
22046	Ballobar	Segundo grado	23	FP Grado Superior
22046	Ballobar	Segundo grado	82	Bachillerato Superior
22046	Ballobar	Segundo grado	242	ESO, EGB, Bachillerato Ele.
22046	Ballobar	Segundo grado	43	FP Grado Medio
22046	Ballobar	Tercer grado	11	Licenciatura
22046	Ballobar	Tercer grado	29	Diplomatura
22047	Banastás	Analfabetos	2	No sabe leer o escribir
22047	Banastás	Sin estudios	11	Sin estudios
22047	Banastás	Primer grado	25	Primer grado
22047	Banastás	Segundo grado	4	FP Grado Medio
22047	Banastás	Segundo grado	27	Bachillerato Superior
22047	Banastás	Segundo grado	39	ESO, EGB, Bachillerato Ele.
22047	Banastás	Segundo grado	6	FP Grado Superior
22047	Banastás	Tercer grado	21	Licenciatura
22047	Banastás	Tercer grado	20	Diplomatura
22047	Banastás	Tercer grado	2	Doctorado
22048	Barbastro	Analfabetos	171	No sabe leer o escribir
22048	Barbastro	Sin estudios	1123	Sin estudios
22048	Barbastro	Primer grado	3197	Primer grado
22048	Barbastro	Segundo grado	3632	ESO, EGB, Bachillerato Ele.
22048	Barbastro	Segundo grado	1379	Bachillerato Superior
22048	Barbastro	Segundo grado	716	FP Grado Medio
22048	Barbastro	Segundo grado	626	FP Grado Superior
22048	Barbastro	Tercer grado	938	Diplomatura
22048	Barbastro	Tercer grado	47	Doctorado
22048	Barbastro	Tercer grado	557	Licenciatura
22049	Barbués	Sin estudios	7	Sin estudios
22049	Barbués	Primer grado	51	Primer grado
22049	Barbués	Segundo grado	24	ESO, EGB, Bachillerato Ele.
22049	Barbués	Segundo grado	2	FP Grado Superior
22049	Barbués	Segundo grado	1	FP Grado Medio
22049	Barbués	Segundo grado	7	Bachillerato Superior
22049	Barbués	Tercer grado	1	Licenciatura
22049	Barbués	Tercer grado	6	Diplomatura
22050	Barbuñales	Sin estudios	32	Sin estudios
22050	Barbuñales	Primer grado	19	Primer grado
22050	Barbuñales	Segundo grado	11	Bachillerato Superior
22050	Barbuñales	Segundo grado	6	FP Grado Superior
22050	Barbuñales	Segundo grado	19	ESO, EGB, Bachillerato Ele.
22050	Barbuñales	Tercer grado	3	Licenciatura
22050	Barbuñales	Tercer grado	5	Diplomatura
22051	Bárcabo	Analfabetos	1	No sabe leer o escribir
22051	Bárcabo	Sin estudios	2	Sin estudios
22051	Bárcabo	Primer grado	36	Primer grado
22051	Bárcabo	Segundo grado	5	FP Grado Superior
22051	Bárcabo	Segundo grado	5	Bachillerato Superior
22051	Bárcabo	Segundo grado	34	ESO, EGB, Bachillerato Ele.
22051	Bárcabo	Segundo grado	6	FP Grado Medio
22051	Bárcabo	Tercer grado	6	Diplomatura
22051	Bárcabo	Tercer grado	6	Licenciatura
22052	Belver de Cinca	Analfabetos	1	No sabe leer o escribir
22052	Belver de Cinca	Sin estudios	17	Sin estudios
22052	Belver de Cinca	Primer grado	333	Primer grado
22052	Belver de Cinca	Segundo grado	18	FP Grado Medio
22052	Belver de Cinca	Segundo grado	25	FP Grado Superior
22052	Belver de Cinca	Segundo grado	89	Bachillerato Superior
22052	Belver de Cinca	Segundo grado	616	ESO, EGB, Bachillerato Ele.
22052	Belver de Cinca	Tercer grado	55	Diplomatura
22052	Belver de Cinca	Tercer grado	17	Licenciatura
22053	Benabarre	Analfabetos	6	No sabe leer o escribir
22053	Benabarre	Sin estudios	88	Sin estudios
22053	Benabarre	Primer grado	317	Primer grado
22053	Benabarre	Segundo grado	98	Bachillerato Superior
22053	Benabarre	Segundo grado	278	ESO, EGB, Bachillerato Ele.
22053	Benabarre	Segundo grado	51	FP Grado Medio
22053	Benabarre	Segundo grado	53	FP Grado Superior
22053	Benabarre	Tercer grado	33	Licenciatura
22053	Benabarre	Tercer grado	44	Diplomatura
22053	Benabarre	Tercer grado	1	Doctorado
22054	Benasque	Analfabetos	6	No sabe leer o escribir
22054	Benasque	Sin estudios	45	Sin estudios
22054	Benasque	Primer grado	175	Primer grado
22054	Benasque	Segundo grado	78	FP Grado Superior
22054	Benasque	Segundo grado	83	FP Grado Medio
22054	Benasque	Segundo grado	258	Bachillerato Superior
22054	Benasque	Segundo grado	366	ESO, EGB, Bachillerato Ele.
22054	Benasque	Tercer grado	120	Licenciatura
22054	Benasque	Tercer grado	10	Doctorado
22054	Benasque	Tercer grado	124	Diplomatura
22055	Berbegal	Analfabetos	3	No sabe leer o escribir
22055	Berbegal	Sin estudios	51	Sin estudios
22055	Berbegal	Primer grado	164	Primer grado
22055	Berbegal	Segundo grado	9	FP Grado Superior
22055	Berbegal	Segundo grado	40	Bachillerato Superior
22055	Berbegal	Segundo grado	62	ESO, EGB, Bachillerato Ele.
22055	Berbegal	Segundo grado	26	FP Grado Medio
22055	Berbegal	Tercer grado	26	Diplomatura
22055	Berbegal	Tercer grado	14	Licenciatura
22057	Bielsa	Sin estudios	66	Sin estudios
22057	Bielsa	Primer grado	101	Primer grado
22057	Bielsa	Segundo grado	124	ESO, EGB, Bachillerato Ele.
22057	Bielsa	Segundo grado	9	FP Grado Medio
22057	Bielsa	Segundo grado	6	FP Grado Superior
22057	Bielsa	Segundo grado	55	Bachillerato Superior
22057	Bielsa	Tercer grado	24	Diplomatura
22057	Bielsa	Tercer grado	17	Licenciatura
22058	Bierge	Sin estudios	7	Sin estudios
22058	Bierge	Primer grado	82	Primer grado
22058	Bierge	Segundo grado	2	FP Grado Medio
22058	Bierge	Segundo grado	22	Bachillerato Superior
22058	Bierge	Segundo grado	3	FP Grado Superior
22058	Bierge	Segundo grado	76	ESO, EGB, Bachillerato Ele.
22058	Bierge	Tercer grado	3	Licenciatura
22058	Bierge	Tercer grado	2	Doctorado
22058	Bierge	Tercer grado	10	Diplomatura
22059	Biescas	Analfabetos	4	No sabe leer o escribir
22059	Biescas	Sin estudios	65	Sin estudios
22059	Biescas	Primer grado	342	Primer grado
22059	Biescas	Segundo grado	300	ESO, EGB, Bachillerato Ele.
22059	Biescas	Segundo grado	112	Bachillerato Superior
22059	Biescas	Segundo grado	70	FP Grado Medio
22059	Biescas	Segundo grado	49	FP Grado Superior
22059	Biescas	Tercer grado	5	Doctorado
22059	Biescas	Tercer grado	81	Diplomatura
22059	Biescas	Tercer grado	55	Licenciatura
22060	Binaced	Analfabetos	21	No sabe leer o escribir
22060	Binaced	Sin estudios	243	Sin estudios
22060	Binaced	Primer grado	432	Primer grado
22060	Binaced	Segundo grado	89	FP Grado Superior
22060	Binaced	Segundo grado	370	ESO, EGB, Bachillerato Ele.
22060	Binaced	Segundo grado	95	FP Grado Medio
22060	Binaced	Segundo grado	85	Bachillerato Superior
22060	Binaced	Tercer grado	4	Doctorado
22060	Binaced	Tercer grado	61	Diplomatura
22060	Binaced	Tercer grado	41	Licenciatura
22061	Binéfar	Analfabetos	118	No sabe leer o escribir
22061	Binéfar	Sin estudios	1534	Sin estudios
22061	Binéfar	Primer grado	1993	Primer grado
22061	Binéfar	Segundo grado	348	FP Grado Superior
22061	Binéfar	Segundo grado	639	Bachillerato Superior
22061	Binéfar	Segundo grado	280	FP Grado Medio
22061	Binéfar	Segundo grado	1438	ESO, EGB, Bachillerato Ele.
22061	Binéfar	Tercer grado	255	Licenciatura
22061	Binéfar	Tercer grado	549	Diplomatura
22061	Binéfar	Tercer grado	14	Doctorado
22062	Bisaurri	Analfabetos	3	No sabe leer o escribir
22062	Bisaurri	Sin estudios	52	Sin estudios
22062	Bisaurri	Primer grado	60	Primer grado
22062	Bisaurri	Segundo grado	5	FP Grado Medio
22062	Bisaurri	Segundo grado	22	Bachillerato Superior
22062	Bisaurri	Segundo grado	6	FP Grado Superior
22062	Bisaurri	Segundo grado	43	ESO, EGB, Bachillerato Ele.
22062	Bisaurri	Tercer grado	10	Diplomatura
22062	Bisaurri	Tercer grado	9	Licenciatura
22063	Biscarrués	Analfabetos	1	No sabe leer o escribir
22063	Biscarrués	Sin estudios	11	Sin estudios
22063	Biscarrués	Primer grado	98	Primer grado
22063	Biscarrués	Segundo grado	7	FP Grado Medio
22063	Biscarrués	Segundo grado	26	Bachillerato Superior
22063	Biscarrués	Segundo grado	9	FP Grado Superior
22063	Biscarrués	Segundo grado	37	ESO, EGB, Bachillerato Ele.
22063	Biscarrués	Tercer grado	6	Licenciatura
22063	Biscarrués	Tercer grado	11	Diplomatura
22064	Blecua y Torres	Sin estudios	50	Sin estudios
22064	Blecua y Torres	Primer grado	51	Primer grado
22064	Blecua y Torres	Segundo grado	2	FP Grado Medio
22064	Blecua y Torres	Segundo grado	12	Bachillerato Superior
22064	Blecua y Torres	Segundo grado	40	ESO, EGB, Bachillerato Ele.
22064	Blecua y Torres	Segundo grado	3	FP Grado Superior
22064	Blecua y Torres	Tercer grado	1	Doctorado
22064	Blecua y Torres	Tercer grado	8	Licenciatura
22064	Blecua y Torres	Tercer grado	16	Diplomatura
22066	Boltaña	Analfabetos	3	No sabe leer o escribir
22066	Boltaña	Sin estudios	51	Sin estudios
22066	Boltaña	Primer grado	163	Primer grado
22066	Boltaña	Segundo grado	44	FP Grado Superior
22066	Boltaña	Segundo grado	17	FP Grado Medio
