Mes y año	Mes (código)	Provincia código	Provincia nombre	Sexo	Número de contratos	Temporalidad
Junio 2018	201806	50	Zaragoza	Hombres	2260	Indefinido
Junio 2018	201806	50	Zaragoza	Mujeres	1858	Indefinido
Junio 2018	201806	50	Zaragoza	Hombres	25787	Temporal
Junio 2018	201806	50	Zaragoza	Mujeres	19497	Temporal
Mayo 2018	201805	22	Huesca	Hombres	918	Indefinido
Mayo 2018	201805	22	Huesca	Mujeres	533	Indefinido
Mayo 2018	201805	22	Huesca	Hombres	6805	Temporal
Mayo 2018	201805	22	Huesca	Mujeres	3883	Temporal
Mayo 2018	201805	44	Teruel	Hombres	321	Indefinido
Mayo 2018	201805	44	Teruel	Mujeres	207	Indefinido
Mayo 2018	201805	44	Teruel	Hombres	2472	Temporal
Mayo 2018	201805	44	Teruel	Mujeres	1743	Temporal
Mayo 2018	201805	50	Zaragoza	Hombres	2333	Indefinido
Mayo 2018	201805	50	Zaragoza	Mujeres	1949	Indefinido
Mayo 2018	201805	50	Zaragoza	Hombres	24430	Temporal
Mayo 2018	201805	50	Zaragoza	Mujeres	19549	Temporal
Abril 2018	201804	22	Huesca	Hombres	579	Indefinido
Abril 2018	201804	22	Huesca	Mujeres	394	Indefinido
Abril 2018	201804	22	Huesca	Hombres	3389	Temporal
Abril 2018	201804	22	Huesca	Mujeres	2675	Temporal
Abril 2018	201804	44	Teruel	Hombres	373	Indefinido
Abril 2018	201804	44	Teruel	Mujeres	188	Indefinido
Abril 2018	201804	44	Teruel	Hombres	2294	Temporal
Abril 2018	201804	44	Teruel	Mujeres	1602	Temporal
Abril 2018	201804	50	Zaragoza	Hombres	2165	Indefinido
Abril 2018	201804	50	Zaragoza	Mujeres	1848	Indefinido
Abril 2018	201804	50	Zaragoza	Hombres	16433	Temporal
Abril 2018	201804	50	Zaragoza	Mujeres	15240	Temporal
Marzo 2018	201803	22	Huesca	Hombres	578	Indefinido
Marzo 2018	201803	22	Huesca	Mujeres	422	Indefinido
Marzo 2018	201803	22	Huesca	Hombres	3046	Temporal
Marzo 2018	201803	22	Huesca	Mujeres	2556	Temporal
Marzo 2018	201803	44	Teruel	Hombres	314	Indefinido
Marzo 2018	201803	44	Teruel	Mujeres	224	Indefinido
Marzo 2018	201803	44	Teruel	Hombres	2316	Temporal
Marzo 2018	201803	44	Teruel	Mujeres	1677	Temporal
Marzo 2018	201803	50	Zaragoza	Hombres	2208	Indefinido
Marzo 2018	201803	50	Zaragoza	Mujeres	1826	Indefinido
Marzo 2018	201803	50	Zaragoza	Hombres	15310	Temporal
Marzo 2018	201803	50	Zaragoza	Mujeres	13953	Temporal
Febrero 2018	201802	22	Huesca	Hombres	456	Indefinido
Febrero 2018	201802	22	Huesca	Mujeres	281	Indefinido
Febrero 2018	201802	22	Huesca	Hombres	3038	Temporal
Febrero 2018	201802	22	Huesca	Mujeres	2553	Temporal
Febrero 2018	201802	44	Teruel	Hombres	259	Indefinido
Febrero 2018	201802	44	Teruel	Mujeres	160	Indefinido
Febrero 2018	201802	44	Teruel	Hombres	1962	Temporal
Febrero 2018	201802	44	Teruel	Mujeres	1293	Temporal
Febrero 2018	201802	50	Zaragoza	Hombres	2058	Indefinido
Febrero 2018	201802	50	Zaragoza	Mujeres	1668	Indefinido
Febrero 2018	201802	50	Zaragoza	Hombres	15068	Temporal
Febrero 2018	201802	50	Zaragoza	Mujeres	13945	Temporal
Enero 2018	201801	22	Huesca	Hombres	504	Indefinido
Enero 2018	201801	22	Huesca	Mujeres	303	Indefinido
Enero 2018	201801	22	Huesca	Hombres	3185	Temporal
Enero 2018	201801	22	Huesca	Mujeres	2800	Temporal
Enero 2018	201801	44	Teruel	Hombres	247	Indefinido
Enero 2018	201801	44	Teruel	Mujeres	153	Indefinido
Enero 2018	201801	44	Teruel	Hombres	1911	Temporal
Enero 2018	201801	44	Teruel	Mujeres	1307	Temporal
Enero 2018	201801	50	Zaragoza	Hombres	2067	Indefinido
Enero 2018	201801	50	Zaragoza	Mujeres	1629	Indefinido
Enero 2018	201801	50	Zaragoza	Hombres	17615	Temporal
Enero 2018	201801	50	Zaragoza	Mujeres	14650	Temporal
Diciembre 2017	201712	22	Huesca	Hombres	416	Indefinido
Diciembre 2017	201712	22	Huesca	Mujeres	259	Indefinido
Diciembre 2017	201712	22	Huesca	Hombres	3226	Temporal
Diciembre 2017	201712	22	Huesca	Mujeres	3024	Temporal
Diciembre 2017	201712	44	Teruel	Hombres	251	Indefinido
Diciembre 2017	201712	44	Teruel	Mujeres	136	Indefinido
Diciembre 2017	201712	44	Teruel	Hombres	1781	Temporal
Diciembre 2017	201712	44	Teruel	Mujeres	1401	Temporal
Diciembre 2017	201712	50	Zaragoza	Hombres	1526	Indefinido
Diciembre 2017	201712	50	Zaragoza	Mujeres	1259	Indefinido
Diciembre 2017	201712	50	Zaragoza	Hombres	14892	Temporal
Diciembre 2017	201712	50	Zaragoza	Mujeres	14072	Temporal
Noviembre 2017	201711	22	Huesca	Hombres	514	Indefinido
Noviembre 2017	201711	22	Huesca	Mujeres	289	Indefinido
Noviembre 2017	201711	22	Huesca	Hombres	2946	Temporal
Noviembre 2017	201711	22	Huesca	Mujeres	2487	Temporal
Noviembre 2017	201711	44	Teruel	Hombres	253	Indefinido
Noviembre 2017	201711	44	Teruel	Mujeres	155	Indefinido
Noviembre 2017	201711	44	Teruel	Hombres	2170	Temporal
Noviembre 2017	201711	44	Teruel	Mujeres	1581	Temporal
Noviembre 2017	201711	50	Zaragoza	Hombres	1981	Indefinido
Noviembre 2017	201711	50	Zaragoza	Mujeres	1685	Indefinido
Noviembre 2017	201711	50	Zaragoza	Hombres	18059	Temporal
Noviembre 2017	201711	50	Zaragoza	Mujeres	16396	Temporal
Octubre 2017	201710	22	Huesca	Hombres	456	Indefinido
Octubre 2017	201710	22	Huesca	Mujeres	380	Indefinido
Octubre 2017	201710	22	Huesca	Hombres	3539	Temporal
Octubre 2017	201710	22	Huesca	Mujeres	3205	Temporal
Octubre 2017	201710	44	Teruel	Hombres	252	Indefinido
Octubre 2017	201710	44	Teruel	Mujeres	188	Indefinido
Octubre 2017	201710	44	Teruel	Hombres	2897	Temporal
Octubre 2017	201710	44	Teruel	Mujeres	1804	Temporal
Octubre 2017	201710	50	Zaragoza	Hombres	2062	Indefinido
Octubre 2017	201710	50	Zaragoza	Mujeres	2164	Indefinido
Octubre 2017	201710	50	Zaragoza	Hombres	22178	Temporal
Octubre 2017	201710	50	Zaragoza	Mujeres	19782	Temporal
Septiembre 2017	201709	22	Huesca	Hombres	433	Indefinido
Septiembre 2017	201709	22	Huesca	Mujeres	356	Indefinido
Septiembre 2017	201709	22	Huesca	Hombres	3930	Temporal
Septiembre 2017	201709	22	Huesca	Mujeres	3275	Temporal
Septiembre 2017	201709	44	Teruel	Hombres	232	Indefinido
Septiembre 2017	201709	44	Teruel	Mujeres	183	Indefinido
Septiembre 2017	201709	44	Teruel	Hombres	2816	Temporal
Septiembre 2017	201709	44	Teruel	Mujeres	2092	Temporal
Septiembre 2017	201709	50	Zaragoza	Hombres	2222	Indefinido
Septiembre 2017	201709	50	Zaragoza	Mujeres	2113	Indefinido
Septiembre 2017	201709	50	Zaragoza	Hombres	23432	Temporal
Septiembre 2017	201709	50	Zaragoza	Mujeres	19745	Temporal
Agosto 2017	201708	22	Huesca	Hombres	292	Indefinido
Agosto 2017	201708	22	Huesca	Mujeres	208	Indefinido
Agosto 2017	201708	22	Huesca	Hombres	4970	Temporal
Agosto 2017	201708	22	Huesca	Mujeres	3255	Temporal
Agosto 2017	201708	44	Teruel	Hombres	191	Indefinido
Agosto 2017	201708	44	Teruel	Mujeres	117	Indefinido
Agosto 2017	201708	44	Teruel	Hombres	2101	Temporal
Agosto 2017	201708	44	Teruel	Mujeres	1515	Temporal
Agosto 2017	201708	50	Zaragoza	Hombres	1386	Indefinido
Agosto 2017	201708	50	Zaragoza	Mujeres	957	Indefinido
Agosto 2017	201708	50	Zaragoza	Hombres	21446	Temporal
Agosto 2017	201708	50	Zaragoza	Mujeres	15472	Temporal
Julio 2017	201707	22	Huesca	Hombres	445	Indefinido
Julio 2017	201707	22	Huesca	Mujeres	326	Indefinido
Julio 2017	201707	22	Huesca	Hombres	6512	Temporal
Julio 2017	201707	22	Huesca	Mujeres	4487	Temporal
Julio 2017	201707	44	Teruel	Hombres	207	Indefinido
Julio 2017	201707	44	Teruel	Mujeres	135	Indefinido
Julio 2017	201707	44	Teruel	Hombres	2686	Temporal
Julio 2017	201707	44	Teruel	Mujeres	2102	Temporal
Julio 2017	201707	50	Zaragoza	Hombres	1772	Indefinido
Julio 2017	201707	50	Zaragoza	Mujeres	1252	Indefinido
Julio 2017	201707	50	Zaragoza	Hombres	21941	Temporal
Julio 2017	201707	50	Zaragoza	Mujeres	16706	Temporal
Junio 2017	201706	22	Huesca	Hombres	624	Indefinido
Junio 2017	201706	22	Huesca	Mujeres	381	Indefinido
Junio 2017	201706	22	Huesca	Hombres	6737	Temporal
Junio 2017	201706	22	Huesca	Mujeres	4676	Temporal
Junio 2017	201706	44	Teruel	Hombres	267	Indefinido
Junio 2017	201706	44	Teruel	Mujeres	143	Indefinido
Junio 2017	201706	44	Teruel	Hombres	2692	Temporal
Junio 2017	201706	44	Teruel	Mujeres	1887	Temporal
Junio 2017	201706	50	Zaragoza	Hombres	2089	Indefinido
Junio 2017	201706	50	Zaragoza	Mujeres	1720	Indefinido
Junio 2017	201706	50	Zaragoza	Hombres	25506	Temporal
Junio 2017	201706	50	Zaragoza	Mujeres	19482	Temporal
Mayo 2017	201705	22	Huesca	Hombres	638	Indefinido
Mayo 2017	201705	22	Huesca	Mujeres	458	Indefinido
Mayo 2017	201705	22	Huesca	Hombres	7845	Temporal
Mayo 2017	201705	22	Huesca	Mujeres	4602	Temporal
Mayo 2017	201705	44	Teruel	Hombres	251	Indefinido
Mayo 2017	201705	44	Teruel	Mujeres	164	Indefinido
Mayo 2017	201705	44	Teruel	Hombres	2973	Temporal
Mayo 2017	201705	44	Teruel	Mujeres	1888	Temporal
Mayo 2017	201705	50	Zaragoza	Hombres	2169	Indefinido
Mayo 2017	201705	50	Zaragoza	Mujeres	1741	Indefinido
Mayo 2017	201705	50	Zaragoza	Hombres	25665	Temporal
Mayo 2017	201705	50	Zaragoza	Mujeres	19729	Temporal
Abril 2017	201704	22	Huesca	Hombres	512	Indefinido
Abril 2017	201704	22	Huesca	Mujeres	391	Indefinido
Abril 2017	201704	22	Huesca	Hombres	4102	Temporal
Abril 2017	201704	22	Huesca	Mujeres	2927	Temporal
Abril 2017	201704	44	Teruel	Hombres	215	Indefinido
Abril 2017	201704	44	Teruel	Mujeres	135	Indefinido
Abril 2017	201704	44	Teruel	Hombres	2747	Temporal
Abril 2017	201704	44	Teruel	Mujeres	1868	Temporal
Abril 2017	201704	50	Zaragoza	Hombres	1738	Indefinido
Abril 2017	201704	50	Zaragoza	Mujeres	1497	Indefinido
Abril 2017	201704	50	Zaragoza	Hombres	16604	Temporal
Abril 2017	201704	50	Zaragoza	Mujeres	13857	Temporal
Marzo 2017	201703	22	Huesca	Hombres	492	Indefinido
Marzo 2017	201703	22	Huesca	Mujeres	317	Indefinido
Marzo 2017	201703	22	Huesca	Hombres	3312	Temporal
Marzo 2017	201703	22	Huesca	Mujeres	2702	Temporal
Marzo 2017	201703	44	Teruel	Hombres	266	Indefinido
Marzo 2017	201703	44	Teruel	Mujeres	174	Indefinido
Marzo 2017	201703	44	Teruel	Hombres	2083	Temporal
Marzo 2017	201703	44	Teruel	Mujeres	1391	Temporal
Marzo 2017	201703	50	Zaragoza	Hombres	2046	Indefinido
Marzo 2017	201703	50	Zaragoza	Mujeres	1909	Indefinido
Marzo 2017	201703	50	Zaragoza	Hombres	16747	Temporal
Marzo 2017	201703	50	Zaragoza	Mujeres	14348	Temporal
Febrero 2017	201702	22	Huesca	Hombres	337	Indefinido
Febrero 2017	201702	22	Huesca	Mujeres	302	Indefinido
Febrero 2017	201702	22	Huesca	Hombres	2865	Temporal
Febrero 2017	201702	22	Huesca	Mujeres	2427	Temporal
Febrero 2017	201702	44	Teruel	Hombres	215	Indefinido
Febrero 2017	201702	44	Teruel	Mujeres	138	Indefinido
Febrero 2017	201702	44	Teruel	Hombres	1586	Temporal
Febrero 2017	201702	44	Teruel	Mujeres	1157	Temporal
Febrero 2017	201702	50	Zaragoza	Hombres	1714	Indefinido
Febrero 2017	201702	50	Zaragoza	Mujeres	1425	Indefinido
Febrero 2017	201702	50	Zaragoza	Hombres	14374	Temporal
Febrero 2017	201702	50	Zaragoza	Mujeres	12276	Temporal
Enero 2017	201701	22	Huesca	Hombres	346	Indefinido
Enero 2017	201701	22	Huesca	Mujeres	279	Indefinido
Enero 2017	201701	22	Huesca	Hombres	2996	Temporal
Enero 2017	201701	22	Huesca	Mujeres	2516	Temporal
Enero 2017	201701	44	Teruel	Hombres	190	Indefinido
Enero 2017	201701	44	Teruel	Mujeres	129	Indefinido
Enero 2017	201701	44	Teruel	Hombres	1593	Temporal
Enero 2017	201701	44	Teruel	Mujeres	1154	Temporal
Enero 2017	201701	50	Zaragoza	Hombres	1676	Indefinido
Enero 2017	201701	50	Zaragoza	Mujeres	1418	Indefinido
Enero 2017	201701	50	Zaragoza	Hombres	16153	Temporal
Enero 2017	201701	50	Zaragoza	Mujeres	13615	Temporal
Diciembre 2016	201612	22	Huesca	Hombres	335	Indefinido
Diciembre 2016	201612	22	Huesca	Mujeres	271	Indefinido
Diciembre 2016	201612	22	Huesca	Hombres	2914	Temporal
Diciembre 2016	201612	22	Huesca	Mujeres	3052	Temporal
Diciembre 2016	201612	44	Teruel	Hombres	167	Indefinido
Diciembre 2016	201612	44	Teruel	Mujeres	75	Indefinido
Diciembre 2016	201612	44	Teruel	Hombres	1771	Temporal
Diciembre 2016	201612	44	Teruel	Mujeres	1349	Temporal
Diciembre 2016	201612	50	Zaragoza	Hombres	1259	Indefinido
Diciembre 2016	201612	50	Zaragoza	Mujeres	1213	Indefinido
Diciembre 2016	201612	50	Zaragoza	Hombres	14561	Temporal
Diciembre 2016	201612	50	Zaragoza	Mujeres	13768	Temporal
Noviembre 2016	201611	22	Huesca	Hombres	380	Indefinido
Noviembre 2016	201611	22	Huesca	Mujeres	311	Indefinido
Noviembre 2016	201611	22	Huesca	Hombres	2835	Temporal
Noviembre 2016	201611	22	Huesca	Mujeres	2467	Temporal
Noviembre 2016	201611	44	Teruel	Hombres	192	Indefinido
Noviembre 2016	201611	44	Teruel	Mujeres	132	Indefinido
Noviembre 2016	201611	44	Teruel	Hombres	1550	Temporal
Noviembre 2016	201611	44	Teruel	Mujeres	1291	Temporal
Noviembre 2016	201611	50	Zaragoza	Hombres	1457	Indefinido
Noviembre 2016	201611	50	Zaragoza	Mujeres	1429	Indefinido
Noviembre 2016	201611	50	Zaragoza	Hombres	18004	Temporal
Noviembre 2016	201611	50	Zaragoza	Mujeres	16350	Temporal
Octubre 2016	201610	22	Huesca	Hombres	414	Indefinido
Octubre 2016	201610	22	Huesca	Mujeres	321	Indefinido
Octubre 2016	201610	22	Huesca	Hombres	3215	Temporal
Octubre 2016	201610	22	Huesca	Mujeres	2817	Temporal
Octubre 2016	201610	44	Teruel	Hombres	162	Indefinido
Octubre 2016	201610	44	Teruel	Mujeres	181	Indefinido
Octubre 2016	201610	44	Teruel	Hombres	2188	Temporal
Octubre 2016	201610	44	Teruel	Mujeres	1642	Temporal
Octubre 2016	201610	50	Zaragoza	Hombres	1657	Indefinido
Octubre 2016	201610	50	Zaragoza	Mujeres	1647	Indefinido
Octubre 2016	201610	50	Zaragoza	Hombres	19923	Temporal
Octubre 2016	201610	50	Zaragoza	Mujeres	17321	Temporal
Septiembre 2016	201609	22	Huesca	Hombres	432	Indefinido
Septiembre 2016	201609	22	Huesca	Mujeres	311	Indefinido
Septiembre 2016	201609	22	Huesca	Hombres	4155	Temporal
Septiembre 2016	201609	22	Huesca	Mujeres	3183	Temporal
Septiembre 2016	201609	44	Teruel	Hombres	171	Indefinido
Septiembre 2016	201609	44	Teruel	Mujeres	129	Indefinido
Septiembre 2016	201609	44	Teruel	Hombres	2412	Temporal
Septiembre 2016	201609	44	Teruel	Mujeres	1753	Temporal
Septiembre 2016	201609	50	Zaragoza	Hombres	1954	Indefinido
Septiembre 2016	201609	50	Zaragoza	Mujeres	1917	Indefinido
Septiembre 2016	201609	50	Zaragoza	Hombres	21844	Temporal
Septiembre 2016	201609	50	Zaragoza	Mujeres	17116	Temporal
Agosto 2016	201608	22	Huesca	Hombres	270	Indefinido
Agosto 2016	201608	22	Huesca	Mujeres	184	Indefinido
Agosto 2016	201608	22	Huesca	Hombres	5157	Temporal
Agosto 2016	201608	22	Huesca	Mujeres	3160	Temporal
Agosto 2016	201608	44	Teruel	Hombres	185	Indefinido
Agosto 2016	201608	44	Teruel	Mujeres	93	Indefinido
Agosto 2016	201608	44	Teruel	Hombres	1801	Temporal
Agosto 2016	201608	44	Teruel	Mujeres	1484	Temporal
Agosto 2016	201608	50	Zaragoza	Hombres	1183	Indefinido
Agosto 2016	201608	50	Zaragoza	Mujeres	927	Indefinido
Agosto 2016	201608	50	Zaragoza	Hombres	18762	Temporal
Agosto 2016	201608	50	Zaragoza	Mujeres	13701	Temporal
Julio 2016	201607	22	Huesca	Hombres	430	Indefinido
Julio 2016	201607	22	Huesca	Mujeres	262	Indefinido
Julio 2016	201607	22	Huesca	Hombres	5952	Temporal
Julio 2016	201607	22	Huesca	Mujeres	4388	Temporal
Julio 2016	201607	44	Teruel	Hombres	191	Indefinido
Julio 2016	201607	44	Teruel	Mujeres	149	Indefinido
Julio 2016	201607	44	Teruel	Hombres	2328	Temporal
Julio 2016	201607	44	Teruel	Mujeres	1845	Temporal
Julio 2016	201607	50	Zaragoza	Hombres	1656	Indefinido
Julio 2016	201607	50	Zaragoza	Mujeres	1126	Indefinido
Julio 2016	201607	50	Zaragoza	Hombres	20492	Temporal
Julio 2016	201607	50	Zaragoza	Mujeres	15786	Temporal
Junio 2016	201606	22	Huesca	Hombres	452	Indefinido
Junio 2016	201606	22	Huesca	Mujeres	372	Indefinido
Junio 2016	201606	22	Huesca	Hombres	5856	Temporal
Junio 2016	201606	22	Huesca	Mujeres	4476	Temporal
Junio 2016	201606	44	Teruel	Hombres	155	Indefinido
Junio 2016	201606	44	Teruel	Mujeres	116	Indefinido
Junio 2016	201606	44	Teruel	Hombres	2064	Temporal
Junio 2016	201606	44	Teruel	Mujeres	1498	Temporal
Junio 2016	201606	50	Zaragoza	Hombres	1842	Indefinido
Junio 2016	201606	50	Zaragoza	Mujeres	1505	Indefinido
Junio 2016	201606	50	Zaragoza	Hombres	24490	Temporal
Junio 2016	201606	50	Zaragoza	Mujeres	17389	Temporal
Mayo 2016	201605	22	Huesca	Hombres	577	Indefinido
Mayo 2016	201605	22	Huesca	Mujeres	405	Indefinido
Mayo 2016	201605	22	Huesca	Hombres	6401	Temporal
Mayo 2016	201605	22	Huesca	Mujeres	3767	Temporal
Mayo 2016	201605	44	Teruel	Hombres	201	Indefinido
Mayo 2016	201605	44	Teruel	Mujeres	167	Indefinido
Mayo 2016	201605	44	Teruel	Hombres	2084	Temporal
Mayo 2016	201605	44	Teruel	Mujeres	1563	Temporal
Mayo 2016	201605	50	Zaragoza	Hombres	1633	Indefinido
Mayo 2016	201605	50	Zaragoza	Mujeres	1470	Indefinido
Mayo 2016	201605	50	Zaragoza	Hombres	21922	Temporal
Mayo 2016	201605	50	Zaragoza	Mujeres	16653	Temporal
Abril 2016	201604	22	Huesca	Hombres	453	Indefinido
Abril 2016	201604	22	Huesca	Mujeres	311	Indefinido
Abril 2016	201604	22	Huesca	Hombres	3197	Temporal
Abril 2016	201604	22	Huesca	Mujeres	2511	Temporal
Abril 2016	201604	44	Teruel	Hombres	226	Indefinido
Abril 2016	201604	44	Teruel	Mujeres	123	Indefinido
Abril 2016	201604	44	Teruel	Hombres	1702	Temporal
Abril 2016	201604	44	Teruel	Mujeres	1173	Temporal
Abril 2016	201604	50	Zaragoza	Hombres	1741	Indefinido
Abril 2016	201604	50	Zaragoza	Mujeres	1403	Indefinido
Abril 2016	201604	50	Zaragoza	Hombres	15527	Temporal
Abril 2016	201604	50	Zaragoza	Mujeres	12458	Temporal
Marzo 2016	201603	22	Huesca	Hombres	385	Indefinido
Marzo 2016	201603	22	Huesca	Mujeres	304	Indefinido
Marzo 2016	201603	22	Huesca	Hombres	3016	Temporal
Marzo 2016	201603	22	Huesca	Mujeres	2746	Temporal
Marzo 2016	201603	44	Teruel	Hombres	184	Indefinido
Marzo 2016	201603	44	Teruel	Mujeres	136	Indefinido
Marzo 2016	201603	44	Teruel	Hombres	1634	Temporal
Marzo 2016	201603	44	Teruel	Mujeres	1354	Temporal
Marzo 2016	201603	50	Zaragoza	Hombres	1770	Indefinido
Marzo 2016	201603	50	Zaragoza	Mujeres	1440	Indefinido
Marzo 2016	201603	50	Zaragoza	Hombres	14052	Temporal
Marzo 2016	201603	50	Zaragoza	Mujeres	12746	Temporal
Febrero 2016	201602	22	Huesca	Hombres	350	Indefinido
Febrero 2016	201602	22	Huesca	Mujeres	277	Indefinido
Febrero 2016	201602	22	Huesca	Hombres	2753	Temporal
Febrero 2016	201602	22	Huesca	Mujeres	2339	Temporal
Febrero 2016	201602	44	Teruel	Hombres	169	Indefinido
Febrero 2016	201602	44	Teruel	Mujeres	102	Indefinido
Febrero 2016	201602	44	Teruel	Hombres	1650	Temporal
Febrero 2016	201602	44	Teruel	Mujeres	1098	Temporal
Febrero 2016	201602	50	Zaragoza	Hombres	1341	Indefinido
Febrero 2016	201602	50	Zaragoza	Mujeres	1240	Indefinido
Febrero 2016	201602	50	Zaragoza	Hombres	13781	Temporal
Febrero 2016	201602	50	Zaragoza	Mujeres	11712	Temporal
Enero 2016	201601	22	Huesca	Hombres	326	Indefinido
Enero 2016	201601	22	Huesca	Mujeres	221	Indefinido
Enero 2016	201601	22	Huesca	Hombres	2732	Temporal
Enero 2016	201601	22	Huesca	Mujeres	2301	Temporal
Enero 2016	201601	44	Teruel	Hombres	164	Indefinido
Enero 2016	201601	44	Teruel	Mujeres	117	Indefinido
Enero 2016	201601	44	Teruel	Hombres	1485	Temporal
Enero 2016	201601	44	Teruel	Mujeres	960	Temporal
Enero 2016	201601	50	Zaragoza	Hombres	1329	Indefinido
Enero 2016	201601	50	Zaragoza	Mujeres	1258	Indefinido
Enero 2016	201601	50	Zaragoza	Hombres	13456	Temporal
Enero 2016	201601	50	Zaragoza	Mujeres	11350	Temporal
Diciembre 2015	201512	22	Huesca	Hombres	308	Indefinido
Diciembre 2015	201512	22	Huesca	Mujeres	227	Indefinido
Diciembre 2015	201512	22	Huesca	Hombres	2890	Temporal
Diciembre 2015	201512	22	Huesca	Mujeres	2924	Temporal
Diciembre 2015	201512	44	Teruel	Hombres	115	Indefinido
Diciembre 2015	201512	44	Teruel	Mujeres	97	Indefinido
Diciembre 2015	201512	44	Teruel	Hombres	1361	Temporal
Diciembre 2015	201512	44	Teruel	Mujeres	1324	Temporal
Diciembre 2015	201512	50	Zaragoza	Hombres	1073	Indefinido
Diciembre 2015	201512	50	Zaragoza	Mujeres	1051	Indefinido
Diciembre 2015	201512	50	Zaragoza	Hombres	13338	Temporal
Diciembre 2015	201512	50	Zaragoza	Mujeres	12655	Temporal
Noviembre 2015	201511	22	Huesca	Hombres	365	Indefinido
Noviembre 2015	201511	22	Huesca	Mujeres	229	Indefinido
Noviembre 2015	201511	22	Huesca	Hombres	2594	Temporal
Noviembre 2015	201511	22	Huesca	Mujeres	2119	Temporal
Noviembre 2015	201511	44	Teruel	Hombres	184	Indefinido
Noviembre 2015	201511	44	Teruel	Mujeres	104	Indefinido
Noviembre 2015	201511	44	Teruel	Hombres	1475	Temporal
Noviembre 2015	201511	44	Teruel	Mujeres	1022	Temporal
Noviembre 2015	201511	50	Zaragoza	Hombres	1508	Indefinido
Noviembre 2015	201511	50	Zaragoza	Mujeres	1169	Indefinido
Noviembre 2015	201511	50	Zaragoza	Hombres	14758	Temporal
Noviembre 2015	201511	50	Zaragoza	Mujeres	12793	Temporal
Octubre 2015	201510	22	Huesca	Hombres	361	Indefinido
Octubre 2015	201510	22	Huesca	Mujeres	332	Indefinido
Octubre 2015	201510	22	Huesca	Hombres	3150	Temporal
Octubre 2015	201510	22	Huesca	Mujeres	2631	Temporal
Octubre 2015	201510	44	Teruel	Hombres	216	Indefinido
Octubre 2015	201510	44	Teruel	Mujeres	140	Indefinido
Octubre 2015	201510	44	Teruel	Hombres	1951	Temporal
Octubre 2015	201510	44	Teruel	Mujeres	1576	Temporal
Octubre 2015	201510	50	Zaragoza	Hombres	1607	Indefinido
Octubre 2015	201510	50	Zaragoza	Mujeres	1526	Indefinido
Octubre 2015	201510	50	Zaragoza	Hombres	17833	Temporal
Octubre 2015	201510	50	Zaragoza	Mujeres	15435	Temporal
Septiembre 2015	201509	22	Huesca	Hombres	329	Indefinido
Septiembre 2015	201509	22	Huesca	Mujeres	343	Indefinido
Septiembre 2015	201509	22	Huesca	Hombres	3492	Temporal
Septiembre 2015	201509	22	Huesca	Mujeres	2778	Temporal
Septiembre 2015	201509	44	Teruel	Hombres	141	Indefinido
Septiembre 2015	201509	44	Teruel	Mujeres	132	Indefinido
Septiembre 2015	201509	44	Teruel	Hombres	2074	Temporal
Septiembre 2015	201509	44	Teruel	Mujeres	1637	Temporal
Septiembre 2015	201509	50	Zaragoza	Hombres	1586	Indefinido
Septiembre 2015	201509	50	Zaragoza	Mujeres	1547	Indefinido
Septiembre 2015	201509	50	Zaragoza	Hombres	20100	Temporal
Septiembre 2015	201509	50	Zaragoza	Mujeres	15508	Temporal
Agosto 2015	201508	22	Huesca	Hombres	218	Indefinido
Agosto 2015	201508	22	Huesca	Mujeres	139	Indefinido
Agosto 2015	201508	22	Huesca	Hombres	4230	Temporal
Agosto 2015	201508	22	Huesca	Mujeres	2516	Temporal
Agosto 2015	201508	44	Teruel	Hombres	103	Indefinido
Agosto 2015	201508	44	Teruel	Mujeres	80	Indefinido
Agosto 2015	201508	44	Teruel	Hombres	1799	Temporal
Agosto 2015	201508	44	Teruel	Mujeres	1357	Temporal
Agosto 2015	201508	50	Zaragoza	Hombres	855	Indefinido
Agosto 2015	201508	50	Zaragoza	Mujeres	678	Indefinido
Agosto 2015	201508	50	Zaragoza	Hombres	16530	Temporal
Agosto 2015	201508	50	Zaragoza	Mujeres	11455	Temporal
Julio 2015	201507	22	Huesca	Hombres	390	Indefinido
Julio 2015	201507	22	Huesca	Mujeres	317	Indefinido
Julio 2015	201507	22	Huesca	Hombres	6275	Temporal
Julio 2015	201507	22	Huesca	Mujeres	4526	Temporal
Julio 2015	201507	44	Teruel	Hombres	171	Indefinido
Julio 2015	201507	44	Teruel	Mujeres	116	Indefinido
Julio 2015	201507	44	Teruel	Hombres	2253	Temporal
Julio 2015	201507	44	Teruel	Mujeres	1799	Temporal
Julio 2015	201507	50	Zaragoza	Hombres	1355	Indefinido
Julio 2015	201507	50	Zaragoza	Mujeres	1188	Indefinido
Julio 2015	201507	50	Zaragoza	Hombres	19947	Temporal
Julio 2015	201507	50	Zaragoza	Mujeres	15065	Temporal
Junio 2015	201506	22	Huesca	Hombres	400	Indefinido
Junio 2015	201506	22	Huesca	Mujeres	304	Indefinido
Junio 2015	201506	22	Huesca	Hombres	5324	Temporal
Junio 2015	201506	22	Huesca	Mujeres	4054	Temporal
Junio 2015	201506	44	Teruel	Hombres	180	Indefinido
Junio 2015	201506	44	Teruel	Mujeres	118	Indefinido
Junio 2015	201506	44	Teruel	Hombres	2127	Temporal
Junio 2015	201506	44	Teruel	Mujeres	1460	Temporal
