Mes y año	Mes (código)	Provincia código	Provincia nombre	Sexo	Número de contratos	Temporalidad
Noviembre 2020	202011	22	Huesca	Hombres	431	Indefinido
Noviembre 2020	202011	22	Huesca	Mujeres	248	Indefinido
Noviembre 2020	202011	22	Huesca	Hombres	2314	Temporal
Noviembre 2020	202011	22	Huesca	Mujeres	1701	Temporal
Noviembre 2020	202011	44	Teruel	Hombres	197	Indefinido
Noviembre 2020	202011	44	Teruel	Mujeres	120	Indefinido
Noviembre 2020	202011	44	Teruel	Hombres	2113	Temporal
Noviembre 2020	202011	44	Teruel	Mujeres	1208	Temporal
Noviembre 2020	202011	50	Zaragoza	Hombres	1371	Indefinido
Noviembre 2020	202011	50	Zaragoza	Mujeres	1042	Indefinido
Noviembre 2020	202011	50	Zaragoza	Hombres	14219	Temporal
Noviembre 2020	202011	50	Zaragoza	Mujeres	12568	Temporal
Octubre 2020	202010	22	Huesca	Hombres	407	Indefinido
Octubre 2020	202010	22	Huesca	Mujeres	282	Indefinido
Octubre 2020	202010	22	Huesca	Hombres	2790	Temporal
Octubre 2020	202010	22	Huesca	Mujeres	2492	Temporal
Octubre 2020	202010	44	Teruel	Hombres	251	Indefinido
Octubre 2020	202010	44	Teruel	Mujeres	160	Indefinido
Octubre 2020	202010	44	Teruel	Hombres	2047	Temporal
Octubre 2020	202010	44	Teruel	Mujeres	1432	Temporal
Octubre 2020	202010	50	Zaragoza	Hombres	1650	Indefinido
Octubre 2020	202010	50	Zaragoza	Mujeres	1396	Indefinido
Octubre 2020	202010	50	Zaragoza	Hombres	16267	Temporal
Octubre 2020	202010	50	Zaragoza	Mujeres	14548	Temporal
Septiembre 2020	202009	22	Huesca	Hombres	563	Indefinido
Septiembre 2020	202009	22	Huesca	Mujeres	406	Indefinido
Septiembre 2020	202009	22	Huesca	Hombres	2710	Temporal
Septiembre 2020	202009	22	Huesca	Mujeres	2449	Temporal
Septiembre 2020	202009	44	Teruel	Hombres	302	Indefinido
Septiembre 2020	202009	44	Teruel	Mujeres	167	Indefinido
Septiembre 2020	202009	44	Teruel	Hombres	2289	Temporal
Septiembre 2020	202009	44	Teruel	Mujeres	1680	Temporal
Septiembre 2020	202009	50	Zaragoza	Hombres	1776	Indefinido
Septiembre 2020	202009	50	Zaragoza	Mujeres	1680	Indefinido
Septiembre 2020	202009	50	Zaragoza	Hombres	18555	Temporal
Septiembre 2020	202009	50	Zaragoza	Mujeres	15354	Temporal
Agosto 2020	202008	22	Huesca	Hombres	376	Indefinido
Agosto 2020	202008	22	Huesca	Mujeres	246	Indefinido
Agosto 2020	202008	22	Huesca	Hombres	3279	Temporal
Agosto 2020	202008	22	Huesca	Mujeres	2207	Temporal
Agosto 2020	202008	44	Teruel	Hombres	182	Indefinido
Agosto 2020	202008	44	Teruel	Mujeres	98	Indefinido
Agosto 2020	202008	44	Teruel	Hombres	1356	Temporal
Agosto 2020	202008	44	Teruel	Mujeres	1106	Temporal
Agosto 2020	202008	50	Zaragoza	Hombres	1148	Indefinido
Agosto 2020	202008	50	Zaragoza	Mujeres	954	Indefinido
Agosto 2020	202008	50	Zaragoza	Hombres	13890	Temporal
Agosto 2020	202008	50	Zaragoza	Mujeres	11129	Temporal
Julio 2020	202007	22	Huesca	Hombres	605	Indefinido
Julio 2020	202007	22	Huesca	Mujeres	427	Indefinido
Julio 2020	202007	22	Huesca	Hombres	5182	Temporal
Julio 2020	202007	22	Huesca	Mujeres	3952	Temporal
Julio 2020	202007	44	Teruel	Hombres	227	Indefinido
Julio 2020	202007	44	Teruel	Mujeres	153	Indefinido
Julio 2020	202007	44	Teruel	Hombres	2225	Temporal
Julio 2020	202007	44	Teruel	Mujeres	1782	Temporal
Julio 2020	202007	50	Zaragoza	Hombres	1411	Indefinido
Julio 2020	202007	50	Zaragoza	Mujeres	1117	Indefinido
Julio 2020	202007	50	Zaragoza	Hombres	17159	Temporal
Julio 2020	202007	50	Zaragoza	Mujeres	12952	Temporal
Junio 2020	202006	22	Huesca	Hombres	452	Indefinido
Junio 2020	202006	22	Huesca	Mujeres	384	Indefinido
Junio 2020	202006	22	Huesca	Hombres	4385	Temporal
Junio 2020	202006	22	Huesca	Mujeres	2763	Temporal
Junio 2020	202006	44	Teruel	Hombres	172	Indefinido
Junio 2020	202006	44	Teruel	Mujeres	90	Indefinido
Junio 2020	202006	44	Teruel	Hombres	1241	Temporal
Junio 2020	202006	44	Teruel	Mujeres	950	Temporal
Junio 2020	202006	50	Zaragoza	Hombres	1393	Indefinido
Junio 2020	202006	50	Zaragoza	Mujeres	1073	Indefinido
Junio 2020	202006	50	Zaragoza	Hombres	15526	Temporal
Junio 2020	202006	50	Zaragoza	Mujeres	10444	Temporal
Mayo 2020	202005	22	Huesca	Hombres	415	Indefinido
Mayo 2020	202005	22	Huesca	Mujeres	295	Indefinido
Mayo 2020	202005	22	Huesca	Hombres	4283	Temporal
Mayo 2020	202005	22	Huesca	Mujeres	1786	Temporal
Mayo 2020	202005	44	Teruel	Hombres	146	Indefinido
Mayo 2020	202005	44	Teruel	Mujeres	73	Indefinido
Mayo 2020	202005	44	Teruel	Hombres	1256	Temporal
Mayo 2020	202005	44	Teruel	Mujeres	665	Temporal
Mayo 2020	202005	50	Zaragoza	Hombres	920	Indefinido
Mayo 2020	202005	50	Zaragoza	Mujeres	749	Indefinido
Mayo 2020	202005	50	Zaragoza	Hombres	11879	Temporal
Mayo 2020	202005	50	Zaragoza	Mujeres	7568	Temporal
Abril 2020	202004	22	Huesca	Hombres	386	Indefinido
Abril 2020	202004	22	Huesca	Mujeres	209	Indefinido
Abril 2020	202004	22	Huesca	Hombres	2278	Temporal
Abril 2020	202004	22	Huesca	Mujeres	1128	Temporal
Abril 2020	202004	44	Teruel	Hombres	94	Indefinido
Abril 2020	202004	44	Teruel	Mujeres	53	Indefinido
Abril 2020	202004	44	Teruel	Hombres	518	Temporal
Abril 2020	202004	44	Teruel	Mujeres	541	Temporal
Abril 2020	202004	50	Zaragoza	Hombres	768	Indefinido
Abril 2020	202004	50	Zaragoza	Mujeres	432	Indefinido
Abril 2020	202004	50	Zaragoza	Hombres	7544	Temporal
Abril 2020	202004	50	Zaragoza	Mujeres	5019	Temporal
Marzo 2020	202003	22	Huesca	Hombres	689	Indefinido
Marzo 2020	202003	22	Huesca	Mujeres	354	Indefinido
Marzo 2020	202003	22	Huesca	Hombres	2405	Temporal
Marzo 2020	202003	22	Huesca	Mujeres	2004	Temporal
Marzo 2020	202003	44	Teruel	Hombres	266	Indefinido
Marzo 2020	202003	44	Teruel	Mujeres	184	Indefinido
Marzo 2020	202003	44	Teruel	Hombres	1553	Temporal
Marzo 2020	202003	44	Teruel	Mujeres	1056	Temporal
Marzo 2020	202003	50	Zaragoza	Hombres	1552	Indefinido
Marzo 2020	202003	50	Zaragoza	Mujeres	1234	Indefinido
Marzo 2020	202003	50	Zaragoza	Hombres	11994	Temporal
Marzo 2020	202003	50	Zaragoza	Mujeres	10623	Temporal
Febrero 2020	202002	22	Huesca	Hombres	612	Indefinido
Febrero 2020	202002	22	Huesca	Mujeres	350	Indefinido
Febrero 2020	202002	22	Huesca	Hombres	3787	Temporal
Febrero 2020	202002	22	Huesca	Mujeres	2909	Temporal
Febrero 2020	202002	44	Teruel	Hombres	320	Indefinido
Febrero 2020	202002	44	Teruel	Mujeres	152	Indefinido
Febrero 2020	202002	44	Teruel	Hombres	2229	Temporal
Febrero 2020	202002	44	Teruel	Mujeres	1714	Temporal
Febrero 2020	202002	50	Zaragoza	Hombres	1813	Indefinido
Febrero 2020	202002	50	Zaragoza	Mujeres	1425	Indefinido
Febrero 2020	202002	50	Zaragoza	Hombres	15491	Temporal
Febrero 2020	202002	50	Zaragoza	Mujeres	14081	Temporal
Enero 2020	202001	22	Huesca	Hombres	596	Indefinido
Enero 2020	202001	22	Huesca	Mujeres	371	Indefinido
Enero 2020	202001	22	Huesca	Hombres	3818	Temporal
Enero 2020	202001	22	Huesca	Mujeres	2988	Temporal
Enero 2020	202001	44	Teruel	Hombres	283	Indefinido
Enero 2020	202001	44	Teruel	Mujeres	157	Indefinido
