CCAA código	CCAA nombre	Explotaciones	Porcentaje SAU régimen tenencia código	Porcentaje SAU régimen tenencia
02	Aragón	1477	0	Si no hay SAU
02	Aragón	28870	1	Toda la SAU en propiedad
02	Aragón	4413	2	Toda la SAU en arrendamiento
02	Aragón	1942	3	Todo la SAU en aparcería u otro régimen de tenencia
02	Aragón	6865	4	Más del 50% de la SAU en propiedad
02	Aragón	5391	5	Más del 50% de la SAU en arrendamiento
02	Aragón	1865	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
02	Aragón	1951	7	Ningún régimen superior al 50%
