Municipio código	Municipio nombre	REGTENEN ORDEN	Régimen de tenencia (agregado)	Régimen de tenencia (detalle)	Número hogares
22016	Alcampell		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	1
22016	Alcampell		Otra forma	Otra forma	17
22017	Alcolea de Cinca		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	10
22017	Alcolea de Cinca		Otra forma	Otra forma	14
22018	Alcubierre		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	10
22018	Alcubierre		Otra forma	Otra forma	1
22019	Alerre		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	1
22019	Alerre		Otra forma	Otra forma	6
22020	Alfántega		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	1
22021	Almudévar		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	27
22021	Almudévar		Otra forma	Otra forma	18
22022	Almunia de San Juan		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	8
22022	Almunia de San Juan		Otra forma	Otra forma	7
22023	Almuniente		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	12
22023	Almuniente		Otra forma	Otra forma	1
22024	Alquézar		Otra forma	Otra forma	2
22025	Altorricón		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	19
22025	Altorricón		Otra forma	Otra forma	8
22027	Angüés		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	13
22027	Angüés		Otra forma	Otra forma	15
22028	Ansó		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	13
22028	Ansó		Otra forma	Otra forma	10
22029	Antillón		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	1
22029	Antillón		Otra forma	Otra forma	2
22032	Aragüés del Puerto		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	4
22032	Aragüés del Puerto		Otra forma	Otra forma	4
22035	Arén		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	2
22035	Arén		Otra forma	Otra forma	3
22037	Arguis		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	1
22039	Ayerbe		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	19
22039	Ayerbe		Otra forma	Otra forma	25
22041	Azara		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	2
22041	Azara		Otra forma	Otra forma	7
22042	Azlor		Otra forma	Otra forma	4
22043	Baells		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	1
22043	Baells		Otra forma	Otra forma	1
22044	Bailo		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	3
22044	Bailo		Otra forma	Otra forma	5
22046	Ballobar		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	1
22046	Ballobar		Otra forma	Otra forma	1
22047	Banastás		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	1
22047	Banastás		Otra forma	Otra forma	3
22048	Barbastro		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	140
22048	Barbastro		Otra forma	Otra forma	92
22049	Barbués		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	1
22050	Barbuñales		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	2
22050	Barbuñales		Otra forma	Otra forma	16
22051	Bárcabo		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	2
22051	Bárcabo		Otra forma	Otra forma	2
22052	Belver de Cinca		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	11
22052	Belver de Cinca		Otra forma	Otra forma	2
22053	Benabarre		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	15
22053	Benabarre		Otra forma	Otra forma	18
22054	Benasque		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	84
22054	Benasque		Otra forma	Otra forma	12
22055	Berbegal		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	7
22055	Berbegal		Otra forma	Otra forma	9
22057	Bielsa		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	10
22057	Bielsa		Otra forma	Otra forma	5
22058	Bierge		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	2
22058	Bierge		Otra forma	Otra forma	3
22059	Biescas		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	11
22059	Biescas		Otra forma	Otra forma	19
22060	Binaced		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	20
22060	Binaced		Otra forma	Otra forma	8
22061	Binéfar		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	99
22061	Binéfar		Otra forma	Otra forma	56
22062	Bisaurri		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	2
22062	Bisaurri		Otra forma	Otra forma	9
22063	Biscarrués		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	1
22063	Biscarrués		Otra forma	Otra forma	1
22064	Blecua y Torres		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	1
22064	Blecua y Torres		Otra forma	Otra forma	8
22066	Boltaña		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	33
22066	Boltaña		Otra forma	Otra forma	3
22067	Bonansa		Otra forma	Otra forma	4
22068	Borau		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	1
22068	Borau		Otra forma	Otra forma	2
22069	Broto		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	3
22069	Broto		Otra forma	Otra forma	4
22072	Caldearenas		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	4
22072	Caldearenas		Otra forma	Otra forma	2
22074	Campo		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	6
22074	Campo		Otra forma	Otra forma	3
22075	Camporrells		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	2
22075	Camporrells		Otra forma	Otra forma	1
22076	Canal de Berdún		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	5
22076	Canal de Berdún		Otra forma	Otra forma	6
22077	Candasnos		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	11
22077	Candasnos		Otra forma	Otra forma	11
22078	Canfranc		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	19
22078	Canfranc		Otra forma	Otra forma	16
22079	Capdesaso		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	1
22080	Capella		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	9
22081	Casbas de Huesca		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	4
22081	Casbas de Huesca		Otra forma	Otra forma	1
22083	Castejón de Monegros		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	4
22083	Castejón de Monegros		Otra forma	Otra forma	3
22084	Castejón de Sos		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	14
22084	Castejón de Sos		Otra forma	Otra forma	10
22085	Castelflorite		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	1
22086	Castiello de Jaca		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	5
22086	Castiello de Jaca		Otra forma	Otra forma	2
22087	Castigaleu		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	1
22088	Castillazuelo		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	1
22088	Castillazuelo		Otra forma	Otra forma	3
22089	Castillonroy		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	2
22089	Castillonroy		Otra forma	Otra forma	12
22090	Colungo		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	2
22090	Colungo		Otra forma	Otra forma	1
22094	Chalamera		Otra forma	Otra forma	2
22095	Chía		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	1
22095	Chía		Otra forma	Otra forma	1
22096	Chimillas		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	3
22096	Chimillas		Otra forma	Otra forma	3
22099	Esplús		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	14
22099	Esplús		Otra forma	Otra forma	1
22102	Estada		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	1
22102	Estada		Otra forma	Otra forma	7
22103	Estadilla		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	26
22103	Estadilla		Otra forma	Otra forma	15
22105	Estopiñán del Castillo		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	6
22105	Estopiñán del Castillo		Otra forma	Otra forma	2
22106	Fago		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	3
22107	Fanlo		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	3
22107	Fanlo		Otra forma	Otra forma	3
22109	Fiscal		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	8
22109	Fiscal		Otra forma	Otra forma	3
22110	Fonz		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	14
22110	Fonz		Otra forma	Otra forma	27
22111	Foradada del Toscar		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	1
22111	Foradada del Toscar		Otra forma	Otra forma	1
22112	Fraga		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	104
22112	Fraga		Otra forma	Otra forma	48
22113	Fueva (La)		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	5
22113	Fueva (La)		Otra forma	Otra forma	11
22114	Gistaín		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	1
22115	Grado (El)		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	12
22115	Grado (El)		Otra forma	Otra forma	34
22116	Grañén		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	14
22116	Grañén		Otra forma	Otra forma	40
22117	Graus		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	47
22117	Graus		Otra forma	Otra forma	48
22119	Gurrea de Gállego		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	13
22119	Gurrea de Gállego		Otra forma	Otra forma	8
22124	Huerto		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	4
22124	Huerto		Otra forma	Otra forma	2
22125	Huesca		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	402
22125	Huesca		Otra forma	Otra forma	241
22126	Ibieca		Otra forma	Otra forma	4
22127	Igriés		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	3
22127	Igriés		Otra forma	Otra forma	1
22128	Ilche		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	8
22128	Ilche		Otra forma	Otra forma	1
22129	Isábena		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	3
22129	Isábena		Otra forma	Otra forma	14
22130	Jaca		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	207
22130	Jaca		Otra forma	Otra forma	99
22131	Jasa		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	1
22131	Jasa		Otra forma	Otra forma	5
22133	Labuerda		Otra forma	Otra forma	9
22135	Laluenga		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	1
22135	Laluenga		Otra forma	Otra forma	23
22136	Lalueza		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	13
22136	Lalueza		Otra forma	Otra forma	8
22137	Lanaja		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	9
22137	Lanaja		Otra forma	Otra forma	74
22139	Laperdiguera		Otra forma	Otra forma	2
22141	Lascellas-Ponzano		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	2
22141	Lascellas-Ponzano		Otra forma	Otra forma	9
22142	Lascuarre		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	3
22142	Lascuarre		Otra forma	Otra forma	3
22143	Laspaúles		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	3
22143	Laspaúles		Otra forma	Otra forma	8
22144	Laspuña		Otra forma	Otra forma	3
22149	Loarre		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	2
22149	Loarre		Otra forma	Otra forma	2
22150	Loporzano		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	5
22150	Loporzano		Otra forma	Otra forma	9
22151	Loscorrales		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	2
22151	Loscorrales		Otra forma	Otra forma	1
22155	Monesma y Cajigar		Otra forma	Otra forma	1
22156	Monflorite-Lascasas		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	1
22157	Montanuy		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	4
22157	Montanuy		Otra forma	Otra forma	4
22158	Monzón		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	141
22158	Monzón		Otra forma	Otra forma	150
22160	Naval		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	15
22160	Naval		Otra forma	Otra forma	3
22162	Novales		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	2
22162	Novales		Otra forma	Otra forma	2
22163	Nueno		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	5
22163	Nueno		Otra forma	Otra forma	4
22164	Olvena		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	1
22164	Olvena		Otra forma	Otra forma	4
22165	Ontiñena		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	2
22165	Ontiñena		Otra forma	Otra forma	4
22167	Osso de Cinca		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	5
22167	Osso de Cinca		Otra forma	Otra forma	27
22168	Palo		Otra forma	Otra forma	1
22170	Panticosa		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	25
22170	Panticosa		Otra forma	Otra forma	11
22172	Peñalba		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	1
22173	Peñas de Riglos (Las)		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	5
22173	Peñas de Riglos (Las)		Otra forma	Otra forma	5
22174	Peralta de Alcofea		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	15
22175	Peralta de Calasanz		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	4
22175	Peralta de Calasanz		Otra forma	Otra forma	2
22176	Peraltilla		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	1
22176	Peraltilla		Otra forma	Otra forma	3
22177	Perarrúa		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	6
22177	Perarrúa		Otra forma	Otra forma	4
22178	Pertusa		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	3
22178	Pertusa		Otra forma	Otra forma	8
22181	Piracés		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	1
22181	Piracés		Otra forma	Otra forma	1
22182	Plan		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	1
22184	Poleñino		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	3
22184	Poleñino		Otra forma	Otra forma	6
22186	Pozán de Vero		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	2
22187	Puebla de Castro (La)		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	6
22187	Puebla de Castro (La)		Otra forma	Otra forma	5
22189	Puértolas		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	4
22189	Puértolas		Otra forma	Otra forma	5
22190	Pueyo de Araguás (El)		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	2
22190	Pueyo de Araguás (El)		Otra forma	Otra forma	1
22197	Robres		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	4
22199	Sabiñánigo		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	101
22199	Sabiñánigo		Otra forma	Otra forma	109
22200	Sahún		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	1
22200	Sahún		Otra forma	Otra forma	4
22201	Salas Altas		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	2
22201	Salas Altas		Otra forma	Otra forma	1
22203	Salillas		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	4
22203	Salillas		Otra forma	Otra forma	1
22204	Sallent de Gállego		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	27
22204	Sallent de Gállego		Otra forma	Otra forma	18
22205	San Esteban de Litera		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	14
22205	San Esteban de Litera		Otra forma	Otra forma	15
22206	Sangarrén		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	1
22206	Sangarrén		Otra forma	Otra forma	2
22208	Santa Cilia		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	3
22212	Santaliestra y San Quílez		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	5
22213	Sariñena		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	43
22213	Sariñena		Otra forma	Otra forma	9
22214	Secastilla		Otra forma	Otra forma	3
22215	Seira		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	4
22215	Seira		Otra forma	Otra forma	3
22217	Sena		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	4
22217	Sena		Otra forma	Otra forma	6
22220	Sesa		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	7
22220	Sesa		Otra forma	Otra forma	3
22221	Sesué		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	1
22221	Sesué		Otra forma	Otra forma	1
22222	Siétamo		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	2
22222	Siétamo		Otra forma	Otra forma	5
22225	Tamarite de Litera		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	49
22225	Tamarite de Litera		Otra forma	Otra forma	65
22226	Tardienta		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	9
22226	Tardienta		Otra forma	Otra forma	15
22227	Tella-Sin		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	4
22227	Tella-Sin		Otra forma	Otra forma	2
22228	Tierz		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	1
22228	Tierz		Otra forma	Otra forma	7
22229	Tolva		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	3
22230	Torla		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	9
22230	Torla		Otra forma	Otra forma	6
22232	Torralba de Aragón		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	1
22233	Torre la Ribera		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	1
22233	Torre la Ribera		Otra forma	Otra forma	8
22234	Torrente de Cinca		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	10
