Municipio código	Municipio nombre	REGTENEN ORDEN	Régimen de tenencia (agregado)	Régimen de tenencia (detalle)	Número hogares
22001	Abiego		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	1
22001	Abiego		Otra forma	Otra forma	2
22002	Abizanda		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	3
22003	Adahuesca		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	1
22003	Adahuesca		Otra forma	Otra forma	2
22004	Agüero		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	5
22006	Aísa		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	8
22006	Aísa		Otra forma	Otra forma	10
22007	Albalate de Cinca		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	7
22007	Albalate de Cinca		Otra forma	Otra forma	8
22008	Albalatillo		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	6
22008	Albalatillo		Otra forma	Otra forma	16
22009	Albelda		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	7
22009	Albelda		Otra forma	Otra forma	39
22011	Albero Alto		Otra forma	Otra forma	3
22013	Alberuela de Tubo		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	1
22013	Alberuela de Tubo		Otra forma	Otra forma	2
22014	Alcalá de Gurrea		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	5
22014	Alcalá de Gurrea		Otra forma	Otra forma	25
22015	Alcalá del Obispo		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	4
22015	Alcalá del Obispo		Otra forma	Otra forma	5
