Provincia codigo	Provincia nombre	Explotaciones	Cursos jefe explotación
22	Huesca	2793	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22	Huesca	13487	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
44	Teruel	1737	El jefe de explotación ha realizado algún curso en los últimos 12 meses
44	Teruel	10084	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
50	Zaragoza	2873	El jefe de explotación ha realizado algún curso en los últimos 12 meses
50	Zaragoza	21800	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
