Aragón	Tipo local	Actividad del local	Número de locales
Aragón	No aplicable	Inactivo	15190
Aragón	Equipamientos de salud(ambulatorio, centro de salud, hospital,...)	Activo	1799
Aragón	Equipamientos educativos(colegio, facultad, guardería, escuela,...)	Activo	1651
Aragón	Equipamientos de bienestar social(club de ancianos, centro de servicios sociales, centro de día,...)	Activo	1569
Aragón	Equipamientos culturales o deportivos(teatro, cine, museo, sala de exposiciones, polideportivo,...)	Activo	1759
Aragón	Local comercial	Activo	29623
Aragón	Oficinas(incluye también el resto de servicios)	Activo	17208
Aragón	Local industrial	Activo	7485
Aragón	Local agrario	Activo	643
