Año	Código del municipio	Nombre del municipio	Número total de explotaciones	Explotaciones cuyo titular es persona física	Explotaciones cuyo titular es una sociedad	Explotaciones cuyo titular es una entidad pública	Explotaciones cuyo titular es una cooperativa de producción	Explotaciones con otra condición jurídica	Explotaciones con experiencia práctica exclusiva del titular	Explotaciones con formación universitaria del titular	Explotaciones con formación profesional del titular	Explotaciones con otra formación agrícola del titular
1989	22001	Abiego	86	83	0	2	0	1	86	0	0	0
1989	22002	Abizanda	48	39	3	3	0	3	43	3	2	0
1989	22003	Adahuesca	69	66	0	2	0	1	68	1	0	0
1989	22004	Agüero	66	59	3	3	0	1	65	1	0	0
1989	22006	Aísa	50	45	0	5	0	0	49	1	0	0
1989	22007	Albalate de Cinca	294	288	3	2	0	1	289	1	1	3
1989	22008	Albalatillo	24	23	0	1	0	0	24	0	0	0
1989	22009	Albelda	282	280	1	1	0	0	249	0	16	17
1989	22011	Albero Alto	24	23	0	0	0	1	24	0	0	0
1989	22012	Albero Bajo	38	36	2	0	0	0	32	0	4	2
1989	22013	Alberuela de Tubo	74	72	0	2	0	0	72	1	1	0
1989	22014	Alcalá de Gurrea	38	31	3	1	0	3	37	1	0	0
1989	22015	Alcalá del Obispo	104	99	2	3	0	0	103	1	0	0
1989	22016	Alcampell	243	238	1	2	0	2	240	0	1	2
1989	22017	Alcolea de Cinca	295	290	1	3	0	1	289	2	2	2
1989	22018	Alcubierre	125	123	1	1	0	0	122	0	1	2
1989	22019	Alerre	18	17	0	1	0	0	17	1	0	0
1989	22020	Alfántega	31	29	0	2	0	0	28	1	2	0
1989	22021	Almudévar	537	525	6	3	0	3	527	9	1	0
1989	22022	Almunia de San Juan	107	104	2	1	0	0	102	3	2	0
1989	22023	Almuniente	128	125	0	1	0	2	126	1	0	1
1989	22024	Alquézar	100	96	0	3	1	0	99	1	0	0
1989	22025	Altorricón	298	292	4	1	0	1	286	2	3	7
1989	22027	Angüés	113	107	2	4	0	0	113	0	0	0
1989	22028	Ansó	27	25	0	1	0	1	27	0	0	0
1989	22029	Antillón	39	38	1	0	0	0	39	0	0	0
1989	22032	Aragüés del Puerto	25	23	0	2	0	0	25	0	0	0
1989	22035	Arén	92	77	11	2	0	2	91	1	0	0
1989	22036	Argavieso	41	40	0	1	0	0	40	0	1	0
1989	22037	Arguis	20	15	0	5	0	0	19	1	0	0
1989	22039	Ayerbe	226	215	7	3	0	1	221	3	2	0
1989	22040	Azanuy-Alins	98	96	0	2	0	0	96	2	0	0
1989	22041	Azara	61	59	0	2	0	0	61	0	0	0
1989	22042	Azlor	58	56	1	1	0	0	58	0	0	0
1989	22043	Baells	56	53	0	1	0	2	55	1	0	0
1989	22044	Bailo	100	90	1	5	0	4	96	3	0	1
1989	22045	Baldellou	75	71	0	4	0	0	72	1	0	2
1989	22046	Ballobar	179	176	0	2	0	1	165	1	4	9
1989	22047	Banastás	7	6	0	1	0	0	6	0	0	1
1989	22048	Barbastro	666	652	6	2	0	6	662	2	1	1
1989	22049	Barbués	46	45	0	1	0	0	46	0	0	0
1989	22050	Barbuñales	31	31	0	0	0	0	31	0	0	0
1989	22051	Bárcabo	48	39	8	1	0	0	46	1	0	1
1989	22052	Belver de Cinca	258	254	1	2	0	1	242	6	1	9
1989	22053	Benabarre	225	205	2	2	0	16	214	3	5	3
1989	22054	Benasque	61	57	2	1	0	1	61	0	0	0
1989	22055	Berbegal	91	88	1	1	0	1	86	1	4	0
1989	22057	Bielsa	95	89	3	1	0	2	95	0	0	0
1989	22058	Bierge	179	171	5	3	0	0	179	0	0	0
1989	22059	Biescas	200	177	2	10	0	11	195	4	1	0
1989	22060	Binaced	236	230	4	2	0	0	227	3	4	2
1989	22061	Binéfar	179	174	4	1	0	0	176	2	1	0
1989	22062	Bisaurri	71	54	13	4	0	0	71	0	0	0
1989	22063	Biscarrués	70	70	0	0	0	0	69	0	1	0
1989	22064	Blecua y Torres	59	55	0	2	0	2	58	0	1	0
1989	22066	Boltaña	88	82	1	3	0	2	86	0	2	0
1989	22067	Bonansa	20	15	4	1	0	0	18	1	1	0
1989	22068	Borau	30	28	0	2	0	0	29	1	0	0
1989	22069	Broto	149	141	0	7	0	1	143	1	1	4
1989	22072	Caldearenas	63	57	0	3	0	3	60	2	1	0
1989	22074	Campo	40	35	2	2	0	1	38	1	0	1
1989	22075	Camporrells	126	123	1	2	0	0	126	0	0	0
1989	22076	Canal de Berdún	118	115	0	2	0	1	116	1	0	1
1989	22077	Candasnos	93	91	1	1	0	0	91	0	1	1
1989	22078	Canfranc	5	3	0	2	0	0	4	1	0	0
1989	22079	Capdesaso	46	44	0	2	0	0	45	1	0	0
1989	22080	Capella	155	144	9	2	0	0	152	2	1	0
1989	22081	Casbas de Huesca	149	141	2	2	0	4	149	0	0	0
1989	22082	Castejón del Puente	81	79	0	1	0	1	74	3	2	2
1989	22083	Castejón de Monegros	171	167	1	3	0	0	163	1	6	1
1989	22084	Castejón de Sos	68	59	0	3	0	6	68	0	0	0
1989	22085	Castelflorite	54	52	0	1	0	1	50	1	3	0
1989	22086	Castiello de Jaca	23	21	0	2	0	0	22	1	0	0
1989	22087	Castigaleu	24	23	1	0	0	0	23	0	0	1
1989	22088	Castillazuelo	90	89	0	1	0	0	90	0	0	0
1989	22089	Castillonroy	99	97	0	2	0	0	93	1	3	2
1989	22090	Colungo	67	65	1	1	0	0	66	1	0	0
1989	22094	Chalamera	39	37	0	2	0	0	37	1	0	1
1989	22095	Chía	27	24	1	2	0	0	26	0	1	0
1989	22096	Chimillas	20	19	0	1	0	0	19	0	1	0
1989	22099	Esplús	167	159	6	1	0	1	155	4	7	1
1989	22102	Estada	66	63	1	1	0	1	65	1	0	0
1989	22103	Estadilla	174	166	3	2	2	1	129	2	6	37
1989	22105	Estopiñán del Castillo	105	101	1	2	0	1	99	2	2	2
1989	22106	Fago	8	8	0	0	0	0	8	0	0	0
1989	22107	Fanlo	26	13	0	6	0	7	18	1	7	0
1989	22109	Fiscal	89	82	3	2	0	2	88	1	0	0
1989	22110	Fonz	224	220	2	2	0	0	220	1	3	0
1989	22111	Foradada del Toscar	67	55	2	2	0	8	66	1	0	0
1989	22112	Fraga	1166	1153	3	2	0	8	1142	4	12	8
1989	22113	Fueva (La)	257	226	2	7	0	22	248	4	4	1
1989	22114	Gistaín	67	66	0	1	0	0	67	0	0	0
1989	22115	Grado (El)	226	214	5	3	0	4	221	2	2	1
1989	22116	Grañén	264	253	7	1	0	3	251	1	2	10
1989	22117	Graus	486	451	21	5	0	9	475	0	10	1
1989	22119	Gurrea de Gállego	300	290	7	3	0	0	269	3	21	7
1989	22122	Hoz de Jaca	19	18	0	1	0	0	19	0	0	0
1989	22124	Huerto	92	86	1	3	0	2	86	2	4	0
1989	22125	Huesca	229	215	7	3	1	3	222	5	1	1
1989	22126	Ibieca	33	31	2	0	0	0	32	0	1	0
1989	22127	Igriés	32	25	1	4	0	2	31	1	0	0
1989	22128	Ilche	84	81	0	1	1	1	76	2	6	0
1989	22129	Isábena	66	59	0	2	0	5	52	1	4	9
1989	22130	Jaca	327	317	2	2	1	5	322	2	1	2
1989	22131	Jasa	14	13	0	1	0	0	14	0	0	0
1989	22133	Labuerda	48	45	0	3	0	0	47	0	1	0
1989	22135	Laluenga	79	78	0	0	0	1	76	1	2	0
1989	22136	Lalueza	312	305	1	2	0	4	291	3	4	14
1989	22137	Lanaja	295	290	1	2	0	2	292	1	0	2
1989	22139	Laperdiguera	25	24	0	1	0	0	22	0	1	2
1989	22141	Lascellas-Ponzano	51	51	0	0	0	0	51	0	0	0
1989	22142	Lascuarre	44	41	1	2	0	0	43	1	0	0
1989	22143	Laspaúles	74	62	9	3	0	0	73	0	1	0
1989	22144	Laspuña	64	62	0	2	0	0	62	0	2	0
1989	22149	Loarre	133	126	2	2	0	3	132	1	0	0
1989	22150	Loporzano	186	174	2	6	0	4	183	2	0	1
1989	22151	Loscorrales	48	47	1	0	0	0	48	0	0	0
1989	22155	Monesma y Cajigar	32	27	1	2	0	2	29	1	2	0
1989	22156	Monflorite-Lascasas	45	41	2	1	0	1	43	1	0	1
1989	22157	Montanuy	102	85	10	2	0	5	101	0	1	0
1989	22158	Monzón	829	806	12	6	1	4	792	3	16	18
1989	22160	Naval	94	85	2	5	0	2	90	2	2	0
1989	22162	Novales	38	37	0	0	0	1	38	0	0	0
1989	22163	Nueno	86	76	1	8	0	1	86	0	0	0
1989	22164	Olvena	30	28	1	1	0	0	29	1	0	0
1989	22165	Ontiñena	135	133	0	2	0	0	129	1	2	3
