Municipio codigo	Municipio nombre	Estado del edificio	Estado del edificio, código	Nº edificios
22001	Abiego	Bueno	4	198
22001	Abiego	Deficiente	3	16
22001	Abiego	Malo	2	2
22002	Abizanda	Bueno	4	53
22002	Abizanda	Deficiente	3	5
22002	Abizanda	Malo	2	3
22003	Adahuesca	Bueno	4	73
22003	Adahuesca	Deficiente	3	31
22003	Adahuesca	Malo	2	8
22003	Adahuesca	Ruinoso	1	1
22004	Agüero	Bueno	4	176
22004	Agüero	Deficiente	3	48
22004	Agüero	Malo	2	8
22004	Agüero	Ruinoso	1	3
22006	Aísa	Bueno	4	173
22006	Aísa	Deficiente	3	18
22006	Aísa	Malo	2	2
22007	Albalate de Cinca	Bueno	4	455
22007	Albalate de Cinca	Deficiente	3	29
22007	Albalate de Cinca	Malo	2	3
22007	Albalate de Cinca	Ruinoso	1	1
22008	Albalatillo	Bueno	4	120
22008	Albalatillo	Deficiente	3	11
22008	Albalatillo	Ruinoso	1	1
22009	Albelda	Bueno	4	330
22009	Albelda	Deficiente	3	59
22009	Albelda	Malo	2	14
22009	Albelda	Ruinoso	1	3
22011	Albero Alto	Bueno	4	55
22011	Albero Alto	Deficiente	3	5
22011	Albero Alto	Malo	2	2
22012	Albero Bajo	Bueno	4	49
22012	Albero Bajo	Deficiente	3	5
22013	Alberuela de Tubo	Bueno	4	156
22013	Alberuela de Tubo	Deficiente	3	3
22013	Alberuela de Tubo	Ruinoso	1	1
22014	Alcalá de Gurrea	Bueno	4	164
22014	Alcalá de Gurrea	Deficiente	3	33
22014	Alcalá de Gurrea	Malo	2	11
22015	Alcalá del Obispo	Bueno	4	200
22015	Alcalá del Obispo	Deficiente	3	13
22015	Alcalá del Obispo	Malo	2	4
22015	Alcalá del Obispo	Ruinoso	1	1
22016	Alcampell	Bueno	4	435
22016	Alcampell	Deficiente	3	58
22016	Alcampell	Malo	2	27
22016	Alcampell	Ruinoso	1	2
22017	Alcolea de Cinca	Bueno	4	449
22017	Alcolea de Cinca	Deficiente	3	19
22017	Alcolea de Cinca	Malo	2	29
22017	Alcolea de Cinca	Ruinoso	1	3
22018	Alcubierre	Bueno	4	241
22018	Alcubierre	Deficiente	3	18
22018	Alcubierre	Malo	2	10
22018	Alcubierre	Ruinoso	1	7
22019	Alerre	Bueno	4	92
22019	Alerre	Deficiente	3	7
22020	Alfántega	Bueno	4	85
22020	Alfántega	Deficiente	3	28
22020	Alfántega	Malo	2	5
22020	Alfántega	Ruinoso	1	2
22021	Almudévar	Bueno	4	1122
22021	Almudévar	Deficiente	3	94
22021	Almudévar	Malo	2	17
22021	Almudévar	Ruinoso	1	9
22022	Almunia de San Juan	Bueno	4	286
22022	Almunia de San Juan	Deficiente	3	107
22022	Almunia de San Juan	Malo	2	24
22022	Almunia de San Juan	Ruinoso	1	4
22023	Almuniente	Bueno	4	255
22023	Almuniente	Deficiente	3	14
22023	Almuniente	Malo	2	6
22023	Almuniente	Ruinoso	1	2
22024	Alquézar	Bueno	4	156
22024	Alquézar	Deficiente	3	36
22024	Alquézar	Malo	2	4
22025	Altorricón	Bueno	4	482
22025	Altorricón	Deficiente	3	44
22025	Altorricón	Malo	2	3
22027	Angüés	Bueno	4	279
22027	Angüés	Deficiente	3	21
22027	Angüés	Malo	2	7
22027	Angüés	Ruinoso	1	2
22028	Ansó	Bueno	4	315
22028	Ansó	Deficiente	3	27
22028	Ansó	Malo	2	14
22028	Ansó	Ruinoso	1	6
22029	Antillón	Bueno	4	52
22029	Antillón	Deficiente	3	4
22029	Antillón	Malo	2	3
22032	Aragüés del Puerto	Bueno	4	116
22032	Aragüés del Puerto	Deficiente	3	13
22032	Aragüés del Puerto	Malo	2	1
22035	Arén	Bueno	4	221
22035	Arén	Deficiente	3	29
22036	Argavieso	Bueno	4	50
22036	Argavieso	Deficiente	3	2
22037	Arguis	Bueno	4	163
22037	Arguis	Deficiente	3	3
22039	Ayerbe	Bueno	4	546
22039	Ayerbe	Deficiente	3	18
22039	Ayerbe	Malo	2	4
22039	Ayerbe	Ruinoso	1	3
22040	Azanuy-Alins	Bueno	4	186
22040	Azanuy-Alins	Deficiente	3	9
22040	Azanuy-Alins	Malo	2	2
22040	Azanuy-Alins	Ruinoso	1	1
22041	Azara	Bueno	4	58
22041	Azara	Deficiente	3	31
22041	Azara	Malo	2	10
22042	Azlor	Bueno	4	61
22042	Azlor	Deficiente	3	28
22042	Azlor	Malo	2	10
22042	Azlor	Ruinoso	1	1
22043	Baells	Bueno	4	99
22043	Baells	Deficiente	3	8
22043	Baells	Malo	2	2
22044	Bailo	Bueno	4	194
22044	Bailo	Deficiente	3	2
22045	Baldellou	Bueno	4	139
22045	Baldellou	Deficiente	3	10
22045	Baldellou	Malo	2	2
22045	Baldellou	Ruinoso	1	1
22046	Ballobar	Bueno	4	431
22046	Ballobar	Deficiente	3	40
22046	Ballobar	Malo	2	14
22046	Ballobar	Ruinoso	1	5
22047	Banastás	Bueno	4	115
22048	Barbastro	Bueno	4	1900
22048	Barbastro	Deficiente	3	178
22048	Barbastro	Malo	2	45
22048	Barbastro	Ruinoso	1	4
22049	Barbués	Bueno	4	50
22049	Barbués	Deficiente	3	4
22049	Barbués	Malo	2	3
22049	Barbués	Ruinoso	1	2
22050	Barbuñales	Bueno	4	91
22050	Barbuñales	Deficiente	3	2
22051	Bárcabo	Bueno	4	30
22051	Bárcabo	Deficiente	3	21
22051	Bárcabo	Malo	2	5
22052	Belver de Cinca	Bueno	4	552
22052	Belver de Cinca	Deficiente	3	38
22052	Belver de Cinca	Malo	2	1
22052	Belver de Cinca	Ruinoso	1	6
22053	Benabarre	Bueno	4	611
22053	Benabarre	Deficiente	3	60
22053	Benabarre	Malo	2	16
22053	Benabarre	Ruinoso	1	4
22054	Benasque	Bueno	4	562
22054	Benasque	Deficiente	3	46
22054	Benasque	Malo	2	23
22054	Benasque	Ruinoso	1	2
22055	Berbegal	Bueno	4	258
22055	Berbegal	Deficiente	3	7
22055	Berbegal	Malo	2	6
22055	Berbegal	Ruinoso	1	7
22057	Bielsa	Bueno	4	328
22057	Bielsa	Deficiente	3	16
22058	Bierge	Bueno	4	182
22058	Bierge	Deficiente	3	43
22058	Bierge	Malo	2	5
22058	Bierge	Ruinoso	1	1
22059	Biescas	Bueno	4	865
22059	Biescas	Deficiente	3	46
22059	Biescas	Malo	2	4
22059	Biescas	Ruinoso	1	3
22060	Binaced	Bueno	4	558
22060	Binaced	Deficiente	3	70
22060	Binaced	Malo	2	27
22060	Binaced	Ruinoso	1	5
22061	Binéfar	Bueno	4	1877
22061	Binéfar	Deficiente	3	83
22061	Binéfar	Malo	2	25
22061	Binéfar	Ruinoso	1	13
22062	Bisaurri	Bueno	4	100
22062	Bisaurri	Deficiente	3	10
22062	Bisaurri	Malo	2	4
22062	Bisaurri	Ruinoso	1	5
22063	Biscarrués	Bueno	4	105
22063	Biscarrués	Deficiente	3	34
22063	Biscarrués	Malo	2	10
22063	Biscarrués	Ruinoso	1	1
22064	Blecua y Torres	Bueno	4	136
22064	Blecua y Torres	Deficiente	3	4
22064	Blecua y Torres	Malo	2	3
22064	Blecua y Torres	Ruinoso	1	1
22066	Boltaña	Bueno	4	338
22066	Boltaña	Deficiente	3	21
22066	Boltaña	Malo	2	11
22066	Boltaña	Ruinoso	1	1
22067	Bonansa	Bueno	4	62
22067	Bonansa	Deficiente	3	3
22068	Borau	Bueno	4	77
22068	Borau	Deficiente	3	6
22069	Broto	Bueno	4	325
22069	Broto	Deficiente	3	14
22069	Broto	Malo	2	4
22069	Broto	Ruinoso	1	1
22072	Caldearenas	Bueno	4	173
22072	Caldearenas	Deficiente	3	7
22072	Caldearenas	Malo	2	2
22072	Caldearenas	Ruinoso	1	1
22074	Campo	Bueno	4	274
22074	Campo	Deficiente	3	8
22074	Campo	Ruinoso	1	1
22075	Camporrells	Bueno	4	189
22075	Camporrells	Deficiente	3	13
22075	Camporrells	Malo	2	4
22075	Camporrells	Ruinoso	1	4
22076	Canal de Berdún	Bueno	4	339
22076	Canal de Berdún	Deficiente	3	13
22076	Canal de Berdún	Malo	2	5
22076	Canal de Berdún	Ruinoso	1	1
22077	Candasnos	Bueno	4	231
22077	Candasnos	Deficiente	3	32
22077	Candasnos	Malo	2	9
22077	Candasnos	Ruinoso	1	3
22078	Canfranc	Bueno	4	131
22078	Canfranc	Deficiente	3	4
22078	Canfranc	Malo	2	3
22078	Canfranc	Ruinoso	1	1
22079	Capdesaso	Bueno	4	67
22079	Capdesaso	Deficiente	3	34
22079	Capdesaso	Malo	2	4
22080	Capella	Bueno	4	202
22080	Capella	Deficiente	3	12
22080	Capella	Malo	2	8
22081	Casbas de Huesca	Bueno	4	284
22081	Casbas de Huesca	Deficiente	3	27
22081	Casbas de Huesca	Malo	2	11
22081	Casbas de Huesca	Ruinoso	1	9
22082	Castejón del Puente	Bueno	4	159
22082	Castejón del Puente	Deficiente	3	10
22082	Castejón del Puente	Malo	2	1
22082	Castejón del Puente	Ruinoso	1	2
22083	Castejón de Monegros	Bueno	4	338
22083	Castejón de Monegros	Deficiente	3	18
22083	Castejón de Monegros	Malo	2	2
22083	Castejón de Monegros	Ruinoso	1	1
22084	Castejón de Sos	Bueno	4	304
22084	Castejón de Sos	Deficiente	3	12
22084	Castejón de Sos	Malo	2	3
22084	Castejón de Sos	Ruinoso	1	3
22085	Castelflorite	Bueno	4	43
22085	Castelflorite	Deficiente	3	14
22085	Castelflorite	Ruinoso	1	2
22086	Castiello de Jaca	Bueno	4	245
22086	Castiello de Jaca	Deficiente	3	5
22086	Castiello de Jaca	Ruinoso	1	1
22087	Castigaleu	Bueno	4	40
22087	Castigaleu	Deficiente	3	6
22087	Castigaleu	Malo	2	1
22088	Castillazuelo	Bueno	4	124
22088	Castillazuelo	Deficiente	3	15
22088	Castillazuelo	Malo	2	5
22089	Castillonroy	Bueno	4	276
