Aragón	Número habitaciones	Número habitaciones
Aragón	01	694
Aragón	02	4134
Aragón	03	20485
Aragón	04	81638
Aragón	05	176843
Aragón	06	105024
Aragón	07	29209
Aragón	08	13152
Aragón	09	5427
Aragón	10 o más	6637
