Año	Residencia área código	Residencia continente nombre	Residencia área nombre	Inscripción comarca código	Inscripción comarca nombre	Sexo	Personas
2009	04	África	Resto de África	15	Ribera Alta del Ebro	Hombre	2
2009	04	África	Resto de África	15	Ribera Alta del Ebro	Mujer	1
2009	04	África	Resto de África	17	Central	Hombre	67
2009	04	África	Resto de África	17	Central	Mujer	55
2009	04	África	Resto de África	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Hombre	1
2009	04	África	Resto de África	20	Comunidad de Calatayud	Hombre	2
2009	04	África	Resto de África	20	Comunidad de Calatayud	Mujer	1
2009	04	África	Resto de África	21	Campo de Cariñena	Hombre	4
2009	04	África	Resto de África	26	Cuencas Mineras	Hombre	1
2009	04	África	Resto de África	27	Andorra-Sierra de Arcos	Hombre	3
2009	04	África	Resto de África	27	Andorra-Sierra de Arcos	Mujer	2
2009	04	África	Resto de África	29	Comunidad de Teruel	Hombre	1
2009	04	África	Resto de África	29	Comunidad de Teruel	Mujer	3
2009	04	África	Resto de África	33	Matarraña / Matarranya	Hombre	1
2009	05	América	América del Norte	01	La Jacetania	Hombre	20
2009	05	América	América del Norte	01	La Jacetania	Mujer	22
2009	05	América	América del Norte	02	Alto Gállego	Hombre	3
2009	05	América	América del Norte	02	Alto Gállego	Mujer	3
2009	05	América	América del Norte	03	Sobrarbe	Hombre	4
2009	05	América	América del Norte	03	Sobrarbe	Mujer	5
2009	05	América	América del Norte	04	La Ribagorza	Hombre	3
2009	05	América	América del Norte	04	La Ribagorza	Mujer	6
2009	05	América	América del Norte	05	Cinco Villas	Hombre	15
2009	05	América	América del Norte	05	Cinco Villas	Mujer	15
2009	05	América	América del Norte	06	Hoya de Huesca / Plana de Uesca	Hombre	25
2009	05	América	América del Norte	06	Hoya de Huesca / Plana de Uesca	Mujer	35
2009	05	América	América del Norte	07	Somontano de Barbastro	Hombre	10
2009	05	América	América del Norte	07	Somontano de Barbastro	Mujer	9
2009	05	América	América del Norte	08	Cinca Medio	Hombre	6
2009	05	América	América del Norte	08	Cinca Medio	Mujer	11
2009	05	América	América del Norte	09	La Litera / La Llitera	Hombre	6
2009	05	América	América del Norte	09	La Litera / La Llitera	Mujer	3
2009	05	América	América del Norte	10	Los Monegros	Hombre	13
2009	05	América	América del Norte	10	Los Monegros	Mujer	6
2009	05	América	América del Norte	11	Bajo Cinca / Baix Cinca	Mujer	5
2009	05	América	América del Norte	12	Tarazona y el Moncayo	Hombre	2
2009	05	América	América del Norte	12	Tarazona y el Moncayo	Mujer	8
2009	05	América	América del Norte	13	Campo de Borja	Hombre	3
2009	05	América	América del Norte	13	Campo de Borja	Mujer	10
2009	05	América	América del Norte	14	Aranda	Hombre	2
2009	05	América	América del Norte	14	Aranda	Mujer	2
2009	05	América	América del Norte	15	Ribera Alta del Ebro	Hombre	6
2009	05	América	América del Norte	15	Ribera Alta del Ebro	Mujer	5
2009	05	América	América del Norte	16	Valdejalón	Hombre	5
2009	05	América	América del Norte	16	Valdejalón	Mujer	12
2009	05	América	América del Norte	17	Central	Hombre	504
2009	05	América	América del Norte	17	Central	Mujer	744
2009	05	América	América del Norte	18	Ribera Baja del Ebro	Hombre	1
2009	05	América	América del Norte	18	Ribera Baja del Ebro	Mujer	5
2009	05	América	América del Norte	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Mujer	4
2009	05	América	América del Norte	20	Comunidad de Calatayud	Hombre	11
2009	05	América	América del Norte	20	Comunidad de Calatayud	Mujer	30
2009	05	América	América del Norte	21	Campo de Cariñena	Hombre	2
2009	05	América	América del Norte	21	Campo de Cariñena	Mujer	7
2009	05	América	América del Norte	22	Campo de Belchite	Mujer	3
2009	05	América	América del Norte	23	Bajo Martín	Mujer	1
2009	05	América	América del Norte	24	Campo de Daroca	Hombre	2
2009	05	América	América del Norte	24	Campo de Daroca	Mujer	4
2009	05	América	América del Norte	25	Jiloca	Hombre	14
2009	05	América	América del Norte	25	Jiloca	Mujer	16
2009	05	América	América del Norte	26	Cuencas Mineras	Hombre	3
2009	05	América	América del Norte	26	Cuencas Mineras	Mujer	3
2009	05	América	América del Norte	27	Andorra-Sierra de Arcos	Hombre	4
2009	05	América	América del Norte	27	Andorra-Sierra de Arcos	Mujer	3
2009	05	América	América del Norte	28	Bajo Aragón	Hombre	7
2009	05	América	América del Norte	28	Bajo Aragón	Mujer	7
2009	05	América	América del Norte	29	Comunidad de Teruel	Hombre	66
2009	05	América	América del Norte	29	Comunidad de Teruel	Mujer	64
2009	05	América	América del Norte	30	Maestrazgo	Hombre	1
2009	05	América	América del Norte	30	Maestrazgo	Mujer	1
2009	05	América	América del Norte	31	Sierra de Albarracín	Hombre	2
2009	05	América	América del Norte	31	Sierra de Albarracín	Mujer	1
2009	05	América	América del Norte	32	Gúdar-Javalambre	Hombre	1
2009	05	América	América del Norte	32	Gúdar-Javalambre	Mujer	3
2009	05	América	América del Norte	33	Matarraña / Matarranya	Hombre	1
2009	05	América	América del Norte	33	Matarraña / Matarranya	Mujer	4
2009	06	América	Resto de América	01	La Jacetania	Hombre	176
2009	06	América	Resto de América	01	La Jacetania	Mujer	225
2009	06	América	Resto de América	02	Alto Gállego	Hombre	38
2009	06	América	Resto de América	02	Alto Gállego	Mujer	57
