Comarca codigo	Comarca nombre	Personalidad jurídica	Explotaciones
01	La Jacetania	Entidad pública	28
01	La Jacetania	Otras condiciones jurídicas	20
01	La Jacetania	Persona física	633
01	La Jacetania	Sociedad cooperativa	7
01	La Jacetania	Sociedad mercantil	11
02	Alto Gállego	Entidad pública	19
02	Alto Gállego	Otras condiciones jurídicas	28
02	Alto Gállego	Persona física	376
02	Alto Gállego	Sociedad cooperativa	3
02	Alto Gállego	Sociedad mercantil	9
03	Sobrarbe	Entidad pública	28
03	Sobrarbe	Otras condiciones jurídicas	62
03	Sobrarbe	Persona física	698
03	Sobrarbe	Sociedad cooperativa	1
03	Sobrarbe	Sociedad mercantil	23
04	La Ribagorza	Entidad pública	38
04	La Ribagorza	Otras condiciones jurídicas	144
04	La Ribagorza	Persona física	1286
04	La Ribagorza	Sociedad cooperativa	5
04	La Ribagorza	Sociedad mercantil	113
05	Cinco Villas	Entidad pública	12
05	Cinco Villas	Otras condiciones jurídicas	344
05	Cinco Villas	Persona física	2976
05	Cinco Villas	Sociedad cooperativa	50
05	Cinco Villas	Sociedad mercantil	109
06	Hoya de Huesca / Plana de Uesca	Entidad pública	20
06	Hoya de Huesca / Plana de Uesca	Otras condiciones jurídicas	144
06	Hoya de Huesca / Plana de Uesca	Persona física	2263
06	Hoya de Huesca / Plana de Uesca	Sociedad cooperativa	12
06	Hoya de Huesca / Plana de Uesca	Sociedad mercantil	108
07	Somontano de Barbastro	Entidad pública	13
07	Somontano de Barbastro	Otras condiciones jurídicas	89
07	Somontano de Barbastro	Persona física	1912
07	Somontano de Barbastro	Sociedad cooperativa	8
07	Somontano de Barbastro	Sociedad mercantil	65
08	Cinca Medio	Entidad pública	14
08	Cinca Medio	Otras condiciones jurídicas	133
08	Cinca Medio	Persona física	1336
08	Cinca Medio	Sociedad cooperativa	5
08	Cinca Medio	Sociedad mercantil	96
09	La Litera / La Llitera	Entidad pública	6
09	La Litera / La Llitera	Otras condiciones jurídicas	182
09	La Litera / La Llitera	Persona física	1781
09	La Litera / La Llitera	Sociedad cooperativa	4
09	La Litera / La Llitera	Sociedad mercantil	139
10	Los Monegros	Entidad pública	9
10	Los Monegros	Otras condiciones jurídicas	216
10	Los Monegros	Persona física	2925
10	Los Monegros	Sociedad cooperativa	23
10	Los Monegros	Sociedad mercantil	126
11	Bajo Cinca / Baix Cinca	Entidad pública	10
11	Bajo Cinca / Baix Cinca	Otras condiciones jurídicas	169
11	Bajo Cinca / Baix Cinca	Persona física	2101
11	Bajo Cinca / Baix Cinca	Sociedad cooperativa	9
11	Bajo Cinca / Baix Cinca	Sociedad mercantil	116
12	Tarazona y el Moncayo	Entidad pública	2
12	Tarazona y el Moncayo	Otras condiciones jurídicas	17
12	Tarazona y el Moncayo	Persona física	783
12	Tarazona y el Moncayo	Sociedad cooperativa	2
12	Tarazona y el Moncayo	Sociedad mercantil	18
13	Campo de Borja	Entidad pública	3
13	Campo de Borja	Otras condiciones jurídicas	75
13	Campo de Borja	Persona física	1657
13	Campo de Borja	Sociedad cooperativa	7
13	Campo de Borja	Sociedad mercantil	32
14	Aranda	Entidad pública	10
14	Aranda	Otras condiciones jurídicas	6
14	Aranda	Persona física	666
14	Aranda	Sociedad mercantil	3
15	Ribera Alta del Ebro	Entidad pública	6
15	Ribera Alta del Ebro	Otras condiciones jurídicas	72
15	Ribera Alta del Ebro	Persona física	988
15	Ribera Alta del Ebro	Sociedad cooperativa	11
15	Ribera Alta del Ebro	Sociedad mercantil	30
16	Valdejalón	Entidad pública	8
16	Valdejalón	Otras condiciones jurídicas	137
16	Valdejalón	Persona física	2312
16	Valdejalón	Sociedad cooperativa	9
16	Valdejalón	Sociedad mercantil	49
17	D.C. Zaragoza	Entidad pública	10
17	D.C. Zaragoza	Otras condiciones jurídicas	147
17	D.C. Zaragoza	Persona física	2350
17	D.C. Zaragoza	Sociedad cooperativa	20
17	D.C. Zaragoza	Sociedad mercantil	82
18	Ribera Baja del Ebro	Entidad pública	1
18	Ribera Baja del Ebro	Otras condiciones jurídicas	70
18	Ribera Baja del Ebro	Persona física	974
18	Ribera Baja del Ebro	Sociedad cooperativa	9
18	Ribera Baja del Ebro	Sociedad mercantil	25
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Entidad pública	2
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Otras condiciones jurídicas	51
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Persona física	1492
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Sociedad cooperativa	7
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Sociedad mercantil	65
20	Comunidad de Calatayud	Entidad pública	16
20	Comunidad de Calatayud	Otras condiciones jurídicas	48
20	Comunidad de Calatayud	Persona física	3236
20	Comunidad de Calatayud	Sociedad cooperativa	12
20	Comunidad de Calatayud	Sociedad mercantil	43
21	Campo de Cariñena	Entidad pública	4
21	Campo de Cariñena	Otras condiciones jurídicas	53
21	Campo de Cariñena	Persona física	1883
21	Campo de Cariñena	Sociedad cooperativa	6
21	Campo de Cariñena	Sociedad mercantil	30
22	Campo de Belchite	Entidad pública	4
22	Campo de Belchite	Otras condiciones jurídicas	48
22	Campo de Belchite	Persona física	1046
22	Campo de Belchite	Sociedad cooperativa	5
22	Campo de Belchite	Sociedad mercantil	27
23	Bajo Martín	Entidad pública	7
23	Bajo Martín	Otras condiciones jurídicas	40
23	Bajo Martín	Persona física	756
23	Bajo Martín	Sociedad cooperativa	2
23	Bajo Martín	Sociedad mercantil	51
24	Campo de Daroca	Entidad pública	7
24	Campo de Daroca	Otras condiciones jurídicas	24
24	Campo de Daroca	Persona física	1179
24	Campo de Daroca	Sociedad cooperativa	4
24	Campo de Daroca	Sociedad mercantil	13
25	Jiloca	Entidad pública	29
25	Jiloca	Otras condiciones jurídicas	33
25	Jiloca	Persona física	1797
25	Jiloca	Sociedad cooperativa	12
25	Jiloca	Sociedad mercantil	23
26	Cuencas Mineras	Entidad pública	22
26	Cuencas Mineras	Otras condiciones jurídicas	17
26	Cuencas Mineras	Persona física	572
26	Cuencas Mineras	Sociedad cooperativa	4
