Provincia código	Provincia nombre	Refrigeración	Número hogares
22	Huesca	Con refrigeración	6537
22	Huesca	Sin refrigeración	67249
44	Teruel	Con refrigeración	2830
44	Teruel	Sin refrigeración	48240
50	Zaragoza	Con refrigeración	63491
50	Zaragoza	Sin refrigeración	254896
