Municipio código	Municipio nombre	Unidades trabajo-año totales	Unidades trabajo-año asalariados	Unidades trabajo-año asalariados fijos	Unidades trabajo-año asalariados eventuales	Unidades trabajo-año mano obra familiar	Unidades trabajo-año titular	Unidades trabajo-año jefe explotación	Unidades trabajo-año otros miembros familia
22001	Abiego	32,903	2,35	2,177	0,173	30,553	18,154	21,347	12,399
22002	Abizanda	29,613	7,1	6,014	1,086	22,513	12,907	13,204	9,606
22003	Adahuesca	51,581	18,693	16,156	2,537	32,888	20,225	33,496	12,663
22004	Agüero	11,508	0,92	0,877	0,043	10,588	6,013	7,617	4,575
22006	Aísa	12,492	0,691	0,691	0	11,801	10,426	10,442	1,375
22007	Albalate de Cinca	154,604	75,276	43,693	31,583	79,328	50,983	69,154	28,345
22008	Albalatillo	21,364	15,584	15,458	0,126	5,78	4,526	9,796	1,254
22009	Albelda	265,798	79,75	51,171	28,579	186,048	108,688	142,795	77,36
22011	Albero Alto	14,681	3,22	3,22	0	11,461	9,336	12,431	2,125
22012	Albero Bajo	24,601	4,421	4,421	0	20,18	14,361	18,347	5,819
22013	Alberuela de Tubo	41,622	8,127	6,766	1,361	33,495	24,37	28,669	9,125
22014	Alcalá de Gurrea	37,262	17,136	15,336	1,8	20,126	14,974	22,798	5,152
22015	Alcalá del Obispo	64,121	21,058	20,303	0,755	43,063	28,276	38,096	14,787
22016	Alcampell	161,276	45,526	41,214	4,312	115,75	72,343	96,222	43,407
22017	Alcolea de Cinca	113,319	26,957	17,009	9,948	86,362	62,114	78,196	24,248
22018	Alcubierre	64,22	17,723	15,498	2,225	46,497	27,994	38,783	18,503
22019	Alerre	8,959	1,722	0,284	1,438	7,237	4,327	4,278	2,91
22020	Alfántega	17,685	4,202	4,067	0,135	13,483	8,108	11,546	5,375
22021	Almudévar	213,819	47,528	39,546	7,982	166,291	100,49	127,663	65,801
22022	Almunia de San Juan	47,463	14,015	10,222	3,793	33,448	22,636	27,529	10,812
22023	Almuniente	91,273	38,143	36,935	1,208	53,13	38,736	52,248	14,394
22024	Alquézar	29,017	2,164	1	1,164	26,853	14,141	16,736	12,712
22025	Altorricón	178,886	83,083	60,072	23,011	95,803	65,202	96,366	30,601
22027	Angüés	35,79	5,481	4,404	1,077	30,309	17,393	22,64	12,916
22028	Ansó	20,04	3,017	3,004	0,013	17,023	15,773	18,69	1,25
22029	Antillón	32,555	6,779	5,302	1,477	25,776	15,719	17,555	10,057
22032	Aragüés del Puerto	3,044	0,004	0,004	0	3,04	2,102	2,54	0,938
22035	Arén	60,515	26,946	24,302	2,644	33,569	23,048	39,605	10,521
22036	Argavieso	16,437	2,544	2,229	0,315	13,893	8,153	10,253	5,74
22037	Arguis	17,536	7,776	7,228	0,548	9,76	6,26	8,113	3,5
22039	Ayerbe	55,147	7,774	7,15	0,624	47,373	28,177	33,503	19,196
22040	Azanuy-Alins	40,515	7,026	6,847	0,179	33,489	20,863	24,961	12,626
22041	Azara	30,704	0,27	0	0,27	30,434	14,303	14,514	16,131
22042	Azlor	25,81	0,147	0	0,147	25,663	15,328	16,222	10,335
