Comarca código	Comarca nombre	Núcleos en el hogar	Número hogares
01	La Jacetania	0	2169
01	La Jacetania	1	3860
01	La Jacetania	2	196
01	La Jacetania	3	5
02	Alto Gállego	0	1214
02	Alto Gállego	1	3060
02	Alto Gállego	2	125
02	Alto Gállego	3	1
03	Sobrarbe	0	920
03	Sobrarbe	1	1369
03	Sobrarbe	2	153
03	Sobrarbe	3	12
03	Sobrarbe	4 o más	1
04	La Ribagorza	0	1721
04	La Ribagorza	1	2479
04	La Ribagorza	2	249
04	La Ribagorza	3	8
04	La Ribagorza	4 o más	1
05	Cinco Villas	0	3250
05	Cinco Villas	1	8075
05	Cinco Villas	2	249
05	Cinco Villas	3	10
05	Cinco Villas	4 o más	4
06	Hoya de Huesca / Plana de Uesca	0	5956
06	Hoya de Huesca / Plana de Uesca	1	15215
06	Hoya de Huesca / Plana de Uesca	2	513
06	Hoya de Huesca / Plana de Uesca	3	17
07	Somontano de Barbastro	0	2366
07	Somontano de Barbastro	1	5554
07	Somontano de Barbastro	2	294
07	Somontano de Barbastro	3	7
07	Somontano de Barbastro	4 o más	1
08	Cinca Medio	0	1873
08	Cinca Medio	1	5598
08	Cinca Medio	2	286
08	Cinca Medio	3	4
09	La Litera / La Llitera	0	1708
09	La Litera / La Llitera	1	4632
09	La Litera / La Llitera	2	258
09	La Litera / La Llitera	3	3
10	Los Monegros	0	2212
10	Los Monegros	1	4871
10	Los Monegros	2	344
10	Los Monegros	3	8
11	Bajo Cinca / Baix Cinca	0	1646
11	Bajo Cinca / Baix Cinca	1	5311
11	Bajo Cinca / Baix Cinca	2	466
11	Bajo Cinca / Baix Cinca	3	3
11	Bajo Cinca / Baix Cinca	4 o más	1
12	Tarazona y el Moncayo	0	1510
12	Tarazona y el Moncayo	1	3683
12	Tarazona y el Moncayo	2	72
12	Tarazona y el Moncayo	3	2
13	Campo de Borja	0	1661
13	Campo de Borja	1	3611
13	Campo de Borja	2	88
13	Campo de Borja	3	4
13	Campo de Borja	4 o más	1
14	Aranda	0	748
14	Aranda	1	2108
14	Aranda	2	39
14	Aranda	3	1
15	Ribera Alta del Ebro	0	1988
15	Ribera Alta del Ebro	1	5903
15	Ribera Alta del Ebro	2	171
15	Ribera Alta del Ebro	3	2
15	Ribera Alta del Ebro	4 o más	1
16	Valdejalón	0	2294
16	Valdejalón	1	5930
16	Valdejalón	2	142
16	Valdejalón	3	4
17	D.C. Zaragoza	0	59074
17	D.C. Zaragoza	1	179048
17	D.C. Zaragoza	2	3080
17	D.C. Zaragoza	3	115
17	D.C. Zaragoza	4 o más	18
18	Ribera Baja del Ebro	0	1156
18	Ribera Baja del Ebro	1	2498
18	Ribera Baja del Ebro	2	60
18	Ribera Baja del Ebro	3	3
19	Bajo Aragón-Caspe / Baix Aragó-Casp	0	1345
19	Bajo Aragón-Caspe / Baix Aragó-Casp	1	3301
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2	186
19	Bajo Aragón-Caspe / Baix Aragó-Casp	3	1
20	Comunidad de Calatayud	0	4909
20	Comunidad de Calatayud	1	10021
20	Comunidad de Calatayud	2	326
20	Comunidad de Calatayud	3	3
20	Comunidad de Calatayud	4 o más	1
21	Campo de Cariñena	0	1124
21	Campo de Cariñena	1	2558
21	Campo de Cariñena	2	89
21	Campo de Cariñena	3	4
21	Campo de Cariñena	4 o más	1
22	Campo de Belchite	0	798
22	Campo de Belchite	1	1509
22	Campo de Belchite	2	40
22	Campo de Belchite	3	1
23	Bajo Martín	0	880
23	Bajo Martín	1	1978
23	Bajo Martín	2	45
23	Bajo Martín	3	1
24	Campo de Daroca	0	934
24	Campo de Daroca	1	1673
24	Campo de Daroca	2	55
24	Campo de Daroca	3	1
25	Jiloca	0	1887
25	Jiloca	1	3573
25	Jiloca	2	91
25	Jiloca	3	4
26	Cuencas Mineras	0	1047
26	Cuencas Mineras	1	2494
26	Cuencas Mineras	2	44
27	Andorra-Sierra de Arcos	0	844
27	Andorra-Sierra de Arcos	1	3043
27	Andorra-Sierra de Arcos	2	64
27	Andorra-Sierra de Arcos	3	2
28	Bajo Aragón	0	2227
28	Bajo Aragón	1	7130
28	Bajo Aragón	2	153
28	Bajo Aragón	3	3
29	Comunidad de Teruel	0	4277
29	Comunidad de Teruel	1	10958
29	Comunidad de Teruel	2	255
29	Comunidad de Teruel	3	7
30	Maestrazgo	0	538
30	Maestrazgo	1	939
30	Maestrazgo	2	26
31	Sierra de Albarracín	0	781
31	Sierra de Albarracín	1	1188
31	Sierra de Albarracín	2	49
32	Gúdar-Javalambre	0	1260
32	Gúdar-Javalambre	1	1891
32	Gúdar-Javalambre	2	53
32	Gúdar-Javalambre	3	3
33	Matarraña / Matarranya	0	1015
33	Matarraña / Matarranya	1	2204
33	Matarraña / Matarranya	2	114
33	Matarraña / Matarranya	3	2
