Mes y año	Codcom	Comarca nombre	Cuentas cotización con trabajadores
Marzo 2016	26	Cuencas Mineras	277
Marzo 2016	27	Andorra-Sierra de Arcos	336
Marzo 2016	28	Bajo Aragón	1481
Marzo 2016	29	Comunidad de Teruel	2449
Marzo 2016	30	Maestrazgo	173
Marzo 2016	31	Sierra de Albarracín	200
Marzo 2016	32	Gúdar-Javalambre	429
Marzo 2016	33	Matarraña / Matarranya	468
Marzo 2016	99	Sin clasificar	75
Diciembre 2015	01	La Jacetania	1034
Diciembre 2015	02	Alto Gállego	720
Diciembre 2015	03	Sobrarbe	431
Diciembre 2015	04	La Ribagorza	770
Diciembre 2015	05	Cinco Villas	1253
Diciembre 2015	06	Hoya de Huesca / Plana de Uesca	3855
Diciembre 2015	07	Somontano de Barbastro	1264
Diciembre 2015	08	Cinca Medio	1103
Diciembre 2015	09	La Litera / La Llitera	1094
Diciembre 2015	10	Los Monegros	925
Diciembre 2015	11	Bajo Cinca / Baix Cinca	1349
Diciembre 2015	12	Tarazona y el Moncayo	531
Diciembre 2015	13	Campo de Borja	580
Diciembre 2015	14	Aranda	283
Diciembre 2015	15	Ribera Alta del Ebro	950
Diciembre 2015	16	Valdejalón	1304
Diciembre 2015	17	Central	35227
Diciembre 2015	18	Ribera Baja del Ebro	348
Diciembre 2015	19	Bajo Aragón-Caspe / Baix Aragó-Casp	642
Diciembre 2015	20	Comunidad de Calatayud	1433
Diciembre 2015	21	Campo de Cariñena	527
Diciembre 2015	22	Campo de Belchite	201
Diciembre 2015	23	Bajo Martín	293
Diciembre 2015	24	Campo de Daroca	255
Diciembre 2015	25	Jiloca	491
Diciembre 2015	26	Cuencas Mineras	284
Diciembre 2015	27	Andorra-Sierra de Arcos	349
Diciembre 2015	28	Bajo Aragón	1470
Diciembre 2015	29	Comunidad de Teruel	2447
Diciembre 2015	30	Maestrazgo	171
Diciembre 2015	31	Sierra de Albarracín	193
Diciembre 2015	32	Gúdar-Javalambre	425
Diciembre 2015	33	Matarraña / Matarranya	472
Diciembre 2015	99	Sin clasificar	76
Septiembre 2015	01	La Jacetania	998
Septiembre 2015	02	Alto Gállego	663
Septiembre 2015	03	Sobrarbe	504
Septiembre 2015	04	La Ribagorza	754
Septiembre 2015	05	Cinco Villas	1267
Septiembre 2015	06	Hoya de Huesca / Plana de Uesca	3830
Septiembre 2015	07	Somontano de Barbastro	1261
Septiembre 2015	08	Cinca Medio	1085
Septiembre 2015	09	La Litera / La Llitera	1096
Septiembre 2015	10	Los Monegros	923
Septiembre 2015	11	Bajo Cinca / Baix Cinca	1284
Septiembre 2015	12	Tarazona y el Moncayo	535
Septiembre 2015	13	Campo de Borja	599
Septiembre 2015	14	Aranda	280
Septiembre 2015	15	Ribera Alta del Ebro	960
Septiembre 2015	16	Valdejalón	1333
Septiembre 2015	17	Central	34891
Septiembre 2015	18	Ribera Baja del Ebro	357
Septiembre 2015	19	Bajo Aragón-Caspe / Baix Aragó-Casp	697
Septiembre 2015	20	Comunidad de Calatayud	1524
Septiembre 2015	21	Campo de Cariñena	540
Septiembre 2015	22	Campo de Belchite	195
Septiembre 2015	23	Bajo Martín	293
Septiembre 2015	24	Campo de Daroca	259
Septiembre 2015	25	Jiloca	504
Septiembre 2015	26	Cuencas Mineras	284
Septiembre 2015	27	Andorra-Sierra de Arcos	345
Septiembre 2015	28	Bajo Aragón	1482
Septiembre 2015	29	Comunidad de Teruel	2457
Septiembre 2015	30	Maestrazgo	178
Septiembre 2015	31	Sierra de Albarracín	203
Septiembre 2015	32	Gúdar-Javalambre	419
Septiembre 2015	33	Matarraña / Matarranya	470
Septiembre 2015	99	Sin clasificar	82
Junio 2015	01	La Jacetania	996
Junio 2015	02	Alto Gállego	690
Junio 2015	03	Sobrarbe	516
Junio 2015	04	La Ribagorza	761
Junio 2015	05	Cinco Villas	1288
Junio 2015	06	Hoya de Huesca / Plana de Uesca	3902
Junio 2015	07	Somontano de Barbastro	1297
Junio 2015	08	Cinca Medio	1132
Junio 2015	09	La Litera / La Llitera	1127
Junio 2015	10	Los Monegros	957
Junio 2015	11	Bajo Cinca / Baix Cinca	1584
Junio 2015	12	Tarazona y el Moncayo	542
Junio 2015	13	Campo de Borja	564
Junio 2015	14	Aranda	295
Junio 2015	15	Ribera Alta del Ebro	965
Junio 2015	16	Valdejalón	1382
Junio 2015	17	Central	35317
Junio 2015	18	Ribera Baja del Ebro	353
Junio 2015	19	Bajo Aragón-Caspe / Baix Aragó-Casp	729
Junio 2015	20	Comunidad de Calatayud	1634
Junio 2015	21	Campo de Cariñena	491
Junio 2015	22	Campo de Belchite	199
Junio 2015	23	Bajo Martín	307
Junio 2015	24	Campo de Daroca	269
Junio 2015	25	Jiloca	512
Junio 2015	26	Cuencas Mineras	292
Junio 2015	27	Andorra-Sierra de Arcos	335
Junio 2015	28	Bajo Aragón	1506
Junio 2015	29	Comunidad de Teruel	2464
Junio 2015	30	Maestrazgo	178
Junio 2015	31	Sierra de Albarracín	205
Junio 2015	32	Gúdar-Javalambre	405
Junio 2015	33	Matarraña / Matarranya	493
Junio 2015	99	Sin clasificar	84
Marzo 2015	01	La Jacetania	994
Marzo 2015	02	Alto Gállego	713
Marzo 2015	03	Sobrarbe	429
Marzo 2015	04	La Ribagorza	761
Marzo 2015	05	Cinco Villas	1244
Marzo 2015	06	Hoya de Huesca / Plana de Uesca	3874
Marzo 2015	07	Somontano de Barbastro	1264
Marzo 2015	08	Cinca Medio	1096
Marzo 2015	09	La Litera / La Llitera	1073
Marzo 2015	10	Los Monegros	917
Marzo 2015	11	Bajo Cinca / Baix Cinca	1235
Marzo 2015	12	Tarazona y el Moncayo	525
Marzo 2015	13	Campo de Borja	568
Marzo 2015	14	Aranda	272
Marzo 2015	15	Ribera Alta del Ebro	929
Marzo 2015	16	Valdejalón	1272
Marzo 2015	17	Central	35352
Marzo 2015	18	Ribera Baja del Ebro	343
Marzo 2015	19	Bajo Aragón-Caspe / Baix Aragó-Casp	636
Marzo 2015	20	Comunidad de Calatayud	1447
Marzo 2015	21	Campo de Cariñena	491
Marzo 2015	22	Campo de Belchite	194
Marzo 2015	23	Bajo Martín	286
Marzo 2015	24	Campo de Daroca	247
Marzo 2015	25	Jiloca	492
Marzo 2015	26	Cuencas Mineras	268
Marzo 2015	27	Andorra-Sierra de Arcos	339
Marzo 2015	28	Bajo Aragón	1446
Marzo 2015	29	Comunidad de Teruel	2398
Marzo 2015	30	Maestrazgo	163
Marzo 2015	31	Sierra de Albarracín	191
Marzo 2015	32	Gúdar-Javalambre	410
Marzo 2015	33	Matarraña / Matarranya	447
Marzo 2015	99	Sin clasificar	87
Diciembre 2014	01	La Jacetania	1008
Diciembre 2014	02	Alto Gállego	714
Diciembre 2014	03	Sobrarbe	403
Diciembre 2014	04	La Ribagorza	748
Diciembre 2014	05	Cinco Villas	1252
Diciembre 2014	06	Hoya de Huesca / Plana de Uesca	3852
Diciembre 2014	07	Somontano de Barbastro	1238
Diciembre 2014	08	Cinca Medio	1088
Diciembre 2014	09	La Litera / La Llitera	1073
Diciembre 2014	10	Los Monegros	928
Diciembre 2014	11	Bajo Cinca / Baix Cinca	1288
Diciembre 2014	12	Tarazona y el Moncayo	520
Diciembre 2014	13	Campo de Borja	559
Diciembre 2014	14	Aranda	272
Diciembre 2014	15	Ribera Alta del Ebro	929
Diciembre 2014	16	Valdejalón	1288
Diciembre 2014	17	Central	35360
Diciembre 2014	18	Ribera Baja del Ebro	343
Diciembre 2014	19	Bajo Aragón-Caspe / Baix Aragó-Casp	629
Diciembre 2014	20	Comunidad de Calatayud	1447
Diciembre 2014	21	Campo de Cariñena	509
Diciembre 2014	22	Campo de Belchite	202
Diciembre 2014	23	Bajo Martín	289
Diciembre 2014	24	Campo de Daroca	242
Diciembre 2014	25	Jiloca	489
Diciembre 2014	26	Cuencas Mineras	274
Diciembre 2014	27	Andorra-Sierra de Arcos	341
Diciembre 2014	28	Bajo Aragón	1428
Diciembre 2014	29	Comunidad de Teruel	2402
Diciembre 2014	30	Maestrazgo	170
Diciembre 2014	31	Sierra de Albarracín	196
Diciembre 2014	32	Gúdar-Javalambre	411
Diciembre 2014	33	Matarraña / Matarranya	447
Diciembre 2014	99	Sin clasificar	93
Septiembre 2014	01	La Jacetania	970
Septiembre 2014	02	Alto Gállego	645
Septiembre 2014	03	Sobrarbe	466
Septiembre 2014	04	La Ribagorza	721
Septiembre 2014	05	Cinco Villas	1247
Septiembre 2014	06	Hoya de Huesca / Plana de Uesca	3785
Septiembre 2014	07	Somontano de Barbastro	1229
Septiembre 2014	08	Cinca Medio	1076
Septiembre 2014	09	La Litera / La Llitera	1075
Septiembre 2014	10	Los Monegros	919
Septiembre 2014	11	Bajo Cinca / Baix Cinca	1242
Septiembre 2014	12	Tarazona y el Moncayo	524
Septiembre 2014	13	Campo de Borja	556
Septiembre 2014	14	Aranda	275
Septiembre 2014	15	Ribera Alta del Ebro	928
Septiembre 2014	16	Valdejalón	1345
Septiembre 2014	17	Central	34973
Septiembre 2014	18	Ribera Baja del Ebro	345
Septiembre 2014	19	Bajo Aragón-Caspe / Baix Aragó-Casp	677
Septiembre 2014	20	Comunidad de Calatayud	1507
Septiembre 2014	21	Campo de Cariñena	539
Septiembre 2014	22	Campo de Belchite	203
Septiembre 2014	23	Bajo Martín	291
Septiembre 2014	24	Campo de Daroca	246
Septiembre 2014	25	Jiloca	508
Septiembre 2014	26	Cuencas Mineras	274
Septiembre 2014	27	Andorra-Sierra de Arcos	336
Septiembre 2014	28	Bajo Aragón	1462
Septiembre 2014	29	Comunidad de Teruel	2429
Septiembre 2014	30	Maestrazgo	179
Septiembre 2014	31	Sierra de Albarracín	196
Septiembre 2014	32	Gúdar-Javalambre	408
Septiembre 2014	33	Matarraña / Matarranya	431
Septiembre 2014	99	Sin clasificar	93
Junio 2014	01	La Jacetania	984
Junio 2014	02	Alto Gállego	660
Junio 2014	03	Sobrarbe	468
Junio 2014	04	La Ribagorza	730
Junio 2014	05	Cinco Villas	1256
Junio 2014	06	Hoya de Huesca / Plana de Uesca	3820
Junio 2014	07	Somontano de Barbastro	1262
Junio 2014	08	Cinca Medio	1118
Junio 2014	09	La Litera / La Llitera	1102
Junio 2014	10	Los Monegros	935
Junio 2014	11	Bajo Cinca / Baix Cinca	1565
Junio 2014	12	Tarazona y el Moncayo	543
Junio 2014	13	Campo de Borja	526
Junio 2014	14	Aranda	293
Junio 2014	15	Ribera Alta del Ebro	938
Junio 2014	16	Valdejalón	1382
Junio 2014	17	Central	35271
Junio 2014	18	Ribera Baja del Ebro	339
Junio 2014	19	Bajo Aragón-Caspe / Baix Aragó-Casp	720
Junio 2014	20	Comunidad de Calatayud	1631
Junio 2014	21	Campo de Cariñena	487
Junio 2014	22	Campo de Belchite	208
Junio 2014	23	Bajo Martín	298
Junio 2014	24	Campo de Daroca	272
Junio 2014	25	Jiloca	499
Junio 2014	26	Cuencas Mineras	266
Junio 2014	27	Andorra-Sierra de Arcos	331
Junio 2014	28	Bajo Aragón	1502
Junio 2014	29	Comunidad de Teruel	2463
Junio 2014	30	Maestrazgo	174
Junio 2014	31	Sierra de Albarracín	204
Junio 2014	32	Gúdar-Javalambre	408
Junio 2014	33	Matarraña / Matarranya	446
Junio 2014	99	Sin clasificar	107
Marzo 2014	01	La Jacetania	968
Marzo 2014	02	Alto Gállego	691
Marzo 2014	03	Sobrarbe	385
Marzo 2014	04	La Ribagorza	724
Marzo 2014	05	Cinco Villas	1229
Marzo 2014	06	Hoya de Huesca / Plana de Uesca	3764
Marzo 2014	07	Somontano de Barbastro	1199
Marzo 2014	08	Cinca Medio	1084
Marzo 2014	09	La Litera / La Llitera	1053
Marzo 2014	10	Los Monegros	891
Marzo 2014	11	Bajo Cinca / Baix Cinca	1241
Marzo 2014	12	Tarazona y el Moncayo	520
Marzo 2014	13	Campo de Borja	531
Marzo 2014	14	Aranda	265
Marzo 2014	15	Ribera Alta del Ebro	916
Marzo 2014	16	Valdejalón	1250
Marzo 2014	17	Central	35214
Marzo 2014	18	Ribera Baja del Ebro	334
Marzo 2014	19	Bajo Aragón-Caspe / Baix Aragó-Casp	621
Marzo 2014	20	Comunidad de Calatayud	1426
Marzo 2014	21	Campo de Cariñena	477
Marzo 2014	22	Campo de Belchite	195
Marzo 2014	23	Bajo Martín	287
Marzo 2014	24	Campo de Daroca	239
Marzo 2014	25	Jiloca	483
Marzo 2014	26	Cuencas Mineras	264
Marzo 2014	27	Andorra-Sierra de Arcos	329
Marzo 2014	28	Bajo Aragón	1411
Marzo 2014	29	Comunidad de Teruel	2415
Marzo 2014	30	Maestrazgo	163
Marzo 2014	31	Sierra de Albarracín	188
Marzo 2014	32	Gúdar-Javalambre	412
Marzo 2014	33	Matarraña / Matarranya	414
Marzo 2014	99	Sin clasificar	110
Diciembre 2013	01	La Jacetania	974
Diciembre 2013	02	Alto Gállego	706
Diciembre 2013	03	Sobrarbe	386
Diciembre 2013	04	La Ribagorza	729
Diciembre 2013	05	Cinco Villas	1213
Diciembre 2013	06	Hoya de Huesca / Plana de Uesca	3758
Diciembre 2013	07	Somontano de Barbastro	1183
Diciembre 2013	08	Cinca Medio	1061
Diciembre 2013	09	La Litera / La Llitera	1037
Diciembre 2013	10	Los Monegros	888
Diciembre 2013	11	Bajo Cinca / Baix Cinca	1248
Diciembre 2013	12	Tarazona y el Moncayo	522
Diciembre 2013	13	Campo de Borja	527
Diciembre 2013	14	Aranda	252
Diciembre 2013	15	Ribera Alta del Ebro	902
Diciembre 2013	16	Valdejalón	1253
Diciembre 2013	17	Central	35207
Diciembre 2013	18	Ribera Baja del Ebro	341
Diciembre 2013	19	Bajo Aragón-Caspe / Baix Aragó-Casp	619
Diciembre 2013	20	Comunidad de Calatayud	1404
Diciembre 2013	21	Campo de Cariñena	494
Diciembre 2013	22	Campo de Belchite	197
Diciembre 2013	23	Bajo Martín	292
Diciembre 2013	24	Campo de Daroca	244
Diciembre 2013	25	Jiloca	485
Diciembre 2013	26	Cuencas Mineras	260
Diciembre 2013	27	Andorra-Sierra de Arcos	343
Diciembre 2013	28	Bajo Aragón	1413
Diciembre 2013	29	Comunidad de Teruel	2429
Diciembre 2013	30	Maestrazgo	176
Diciembre 2013	31	Sierra de Albarracín	201
Diciembre 2013	32	Gúdar-Javalambre	423
Diciembre 2013	33	Matarraña / Matarranya	419
Diciembre 2013	99	Sin clasificar	108
Septiembre 2013	01	La Jacetania	955
Septiembre 2013	02	Alto Gállego	640
Septiembre 2013	03	Sobrarbe	445
Septiembre 2013	04	La Ribagorza	700
Septiembre 2013	05	Cinco Villas	1224
Septiembre 2013	06	Hoya de Huesca / Plana de Uesca	3726
Septiembre 2013	07	Somontano de Barbastro	1221
Septiembre 2013	08	Cinca Medio	1050
Septiembre 2013	09	La Litera / La Llitera	1066
Septiembre 2013	10	Los Monegros	898
Septiembre 2013	11	Bajo Cinca / Baix Cinca	1255
Septiembre 2013	12	Tarazona y el Moncayo	522
Septiembre 2013	13	Campo de Borja	513
Septiembre 2013	14	Aranda	260
Septiembre 2013	15	Ribera Alta del Ebro	916
Septiembre 2013	16	Valdejalón	1369
Septiembre 2013	17	Central	34904
Septiembre 2013	18	Ribera Baja del Ebro	338
Septiembre 2013	19	Bajo Aragón-Caspe / Baix Aragó-Casp	677
Septiembre 2013	20	Comunidad de Calatayud	1507
Septiembre 2013	21	Campo de Cariñena	547
Septiembre 2013	22	Campo de Belchite	199
Septiembre 2013	23	Bajo Martín	288
Septiembre 2013	24	Campo de Daroca	245
Septiembre 2013	25	Jiloca	486
Septiembre 2013	26	Cuencas Mineras	268
Septiembre 2013	27	Andorra-Sierra de Arcos	334
Septiembre 2013	28	Bajo Aragón	1440
Septiembre 2013	29	Comunidad de Teruel	2406
Septiembre 2013	30	Maestrazgo	178
Septiembre 2013	31	Sierra de Albarracín	204
Septiembre 2013	32	Gúdar-Javalambre	415
Septiembre 2013	33	Matarraña / Matarranya	427
Septiembre 2013	99	Sin clasificar	110
Junio 2013	01	La Jacetania	979
Junio 2013	02	Alto Gállego	659
Junio 2013	03	Sobrarbe	466
Junio 2013	04	La Ribagorza	696
Junio 2013	05	Cinco Villas	1226
Junio 2013	06	Hoya de Huesca / Plana de Uesca	3815
Junio 2013	07	Somontano de Barbastro	1248
Junio 2013	08	Cinca Medio	1084
Junio 2013	09	La Litera / La Llitera	1054
Junio 2013	10	Los Monegros	907
Junio 2013	11	Bajo Cinca / Baix Cinca	1506
Junio 2013	12	Tarazona y el Moncayo	527
Junio 2013	13	Campo de Borja	521
Junio 2013	14	Aranda	282
Junio 2013	15	Ribera Alta del Ebro	934
Junio 2013	16	Valdejalón	1413
Junio 2013	17	Central	35551
Junio 2013	18	Ribera Baja del Ebro	353
Junio 2013	19	Bajo Aragón-Caspe / Baix Aragó-Casp	720
Junio 2013	20	Comunidad de Calatayud	1534
Junio 2013	21	Campo de Cariñena	475
Junio 2013	22	Campo de Belchite	194
Junio 2013	23	Bajo Martín	296
Junio 2013	24	Campo de Daroca	260
Junio 2013	25	Jiloca	489
Junio 2013	26	Cuencas Mineras	276
Junio 2013	27	Andorra-Sierra de Arcos	340
Junio 2013	28	Bajo Aragón	1488
Junio 2013	29	Comunidad de Teruel	2443
Junio 2013	30	Maestrazgo	178
Junio 2013	31	Sierra de Albarracín	203
Junio 2013	32	Gúdar-Javalambre	414
Junio 2013	33	Matarraña / Matarranya	447
Junio 2013	99	Sin clasificar	116
Marzo 2013	01	La Jacetania	998
Marzo 2013	02	Alto Gállego	712
Marzo 2013	03	Sobrarbe	424
Marzo 2013	04	La Ribagorza	719
Marzo 2013	05	Cinco Villas	1213
Marzo 2013	06	Hoya de Huesca / Plana de Uesca	3792
Marzo 2013	07	Somontano de Barbastro	1207
Marzo 2013	08	Cinca Medio	1064
Marzo 2013	09	La Litera / La Llitera	1032
Marzo 2013	10	Los Monegros	856
Marzo 2013	11	Bajo Cinca / Baix Cinca	1196
Marzo 2013	12	Tarazona y el Moncayo	509
Marzo 2013	13	Campo de Borja	517
Marzo 2013	14	Aranda	256
Marzo 2013	15	Ribera Alta del Ebro	917
Marzo 2013	16	Valdejalón	1266
Marzo 2013	17	Central	35601
Marzo 2013	18	Ribera Baja del Ebro	339
Marzo 2013	19	Bajo Aragón-Caspe / Baix Aragó-Casp	627
Marzo 2013	20	Comunidad de Calatayud	1444
Marzo 2013	21	Campo de Cariñena	463
Marzo 2013	22	Campo de Belchite	193
Marzo 2013	23	Bajo Martín	277
Marzo 2013	24	Campo de Daroca	231
Marzo 2013	25	Jiloca	457
Marzo 2013	26	Cuencas Mineras	271
Marzo 2013	27	Andorra-Sierra de Arcos	337
Marzo 2013	28	Bajo Aragón	1413
Marzo 2013	29	Comunidad de Teruel	2408
Marzo 2013	30	Maestrazgo	165
Marzo 2013	31	Sierra de Albarracín	196
Marzo 2013	32	Gúdar-Javalambre	402
Marzo 2013	33	Matarraña / Matarranya	427
Marzo 2013	99	Sin clasificar	122
Diciembre 2012	01	La Jacetania	1011
Diciembre 2012	02	Alto Gállego	719
Diciembre 2012	03	Sobrarbe	403
Diciembre 2012	04	La Ribagorza	706
Diciembre 2012	05	Cinco Villas	1232
Diciembre 2012	06	Hoya de Huesca / Plana de Uesca	3772
Diciembre 2012	07	Somontano de Barbastro	1180
Diciembre 2012	08	Cinca Medio	1062
Diciembre 2012	09	La Litera / La Llitera	1016
Diciembre 2012	10	Los Monegros	872
Diciembre 2012	11	Bajo Cinca / Baix Cinca	1215
Diciembre 2012	12	Tarazona y el Moncayo	520
Diciembre 2012	13	Campo de Borja	524
Diciembre 2012	14	Aranda	255
Diciembre 2012	15	Ribera Alta del Ebro	928
Diciembre 2012	16	Valdejalón	1291
Diciembre 2012	17	Central	35774
Diciembre 2012	18	Ribera Baja del Ebro	343
Diciembre 2012	19	Bajo Aragón-Caspe / Baix Aragó-Casp	616
Diciembre 2012	20	Comunidad de Calatayud	1445
Diciembre 2012	21	Campo de Cariñena	470
Diciembre 2012	22	Campo de Belchite	196
Diciembre 2012	23	Bajo Martín	280
Diciembre 2012	24	Campo de Daroca	241
Diciembre 2012	25	Jiloca	465
Diciembre 2012	26	Cuencas Mineras	283
Diciembre 2012	27	Andorra-Sierra de Arcos	348
Diciembre 2012	28	Bajo Aragón	1433
Diciembre 2012	29	Comunidad de Teruel	2415
Diciembre 2012	30	Maestrazgo	163
Diciembre 2012	31	Sierra de Albarracín	199
Diciembre 2012	32	Gúdar-Javalambre	415
Diciembre 2012	33	Matarraña / Matarranya	430
Diciembre 2012	99	Sin clasificar	131
Septiembre 2012	01	La Jacetania	968
Septiembre 2012	02	Alto Gállego	674
Septiembre 2012	03	Sobrarbe	462
Septiembre 2012	04	La Ribagorza	696
Septiembre 2012	05	Cinco Villas	1222
Septiembre 2012	06	Hoya de Huesca / Plana de Uesca	3698
Septiembre 2012	07	Somontano de Barbastro	1171
Septiembre 2012	08	Cinca Medio	1032
Septiembre 2012	09	La Litera / La Llitera	1014
Septiembre 2012	10	Los Monegros	885
Septiembre 2012	11	Bajo Cinca / Baix Cinca	1231
Septiembre 2012	12	Tarazona y el Moncayo	521
Septiembre 2012	13	Campo de Borja	548
Septiembre 2012	14	Aranda	261
Septiembre 2012	15	Ribera Alta del Ebro	953
Septiembre 2012	16	Valdejalón	1322
Septiembre 2012	17	Central	34840
Septiembre 2012	18	Ribera Baja del Ebro	361
Septiembre 2012	19	Bajo Aragón-Caspe / Baix Aragó-Casp	680
Septiembre 2012	20	Comunidad de Calatayud	1537
Septiembre 2012	21	Campo de Cariñena	532
Septiembre 2012	22	Campo de Belchite	199
Septiembre 2012	23	Bajo Martín	278
Septiembre 2012	24	Campo de Daroca	254
Septiembre 2012	25	Jiloca	494
Septiembre 2012	26	Cuencas Mineras	279
Septiembre 2012	27	Andorra-Sierra de Arcos	357
Septiembre 2012	28	Bajo Aragón	1480
Septiembre 2012	29	Comunidad de Teruel	2394
Septiembre 2012	30	Maestrazgo	168
Septiembre 2012	31	Sierra de Albarracín	209
Septiembre 2012	32	Gúdar-Javalambre	426
Septiembre 2012	33	Matarraña / Matarranya	444
Septiembre 2012	99	Sin clasificar	120
Junio 2012	01	La Jacetania	947
Junio 2012	02	Alto Gállego	679
Junio 2012	03	Sobrarbe	463
Junio 2012	04	La Ribagorza	663
Junio 2012	05	Cinco Villas	1222
Junio 2012	06	Hoya de Huesca / Plana de Uesca	3501
Junio 2012	07	Somontano de Barbastro	1130
Junio 2012	08	Cinca Medio	1021
Junio 2012	09	La Litera / La Llitera	975
Junio 2012	10	Los Monegros	876
Junio 2012	11	Bajo Cinca / Baix Cinca	1473
Junio 2012	12	Tarazona y el Moncayo	509
Junio 2012	13	Campo de Borja	507
Junio 2012	14	Aranda	280
Junio 2012	15	Ribera Alta del Ebro	928
Junio 2012	16	Valdejalón	1322
Junio 2012	17	Central	32647
Junio 2012	18	Ribera Baja del Ebro	349
Junio 2012	19	Bajo Aragón-Caspe / Baix Aragó-Casp	704
Junio 2012	20	Comunidad de Calatayud	1543
Junio 2012	21	Campo de Cariñena	441
Junio 2012	22	Campo de Belchite	197
Junio 2012	23	Bajo Martín	285
Junio 2012	24	Campo de Daroca	236
Junio 2012	25	Jiloca	471
Junio 2012	26	Cuencas Mineras	271
Junio 2012	27	Andorra-Sierra de Arcos	352
Junio 2012	28	Bajo Aragón	1450
Junio 2012	29	Comunidad de Teruel	2329
Junio 2012	30	Maestrazgo	165
Junio 2012	31	Sierra de Albarracín	199
Junio 2012	32	Gúdar-Javalambre	408
Junio 2012	33	Matarraña / Matarranya	443
Junio 2012	99	Sin clasificar	65
Marzo 2012	01	La Jacetania	938
Marzo 2012	02	Alto Gállego	694
Marzo 2012	03	Sobrarbe	390
Marzo 2012	04	La Ribagorza	685
Marzo 2012	05	Cinco Villas	1154
Marzo 2012	06	Hoya de Huesca / Plana de Uesca	3257
Marzo 2012	07	Somontano de Barbastro	1048
Marzo 2012	08	Cinca Medio	956
Marzo 2012	09	La Litera / La Llitera	912
Marzo 2012	10	Los Monegros	836
Marzo 2012	11	Bajo Cinca / Baix Cinca	1156
Marzo 2012	12	Tarazona y el Moncayo	490
Marzo 2012	13	Campo de Borja	477
Marzo 2012	14	Aranda	265
Marzo 2012	15	Ribera Alta del Ebro	903
Marzo 2012	16	Valdejalón	1182
Marzo 2012	17	Central	29661
Marzo 2012	18	Ribera Baja del Ebro	331
Marzo 2012	19	Bajo Aragón-Caspe / Baix Aragó-Casp	585
Marzo 2012	20	Comunidad de Calatayud	1370
Marzo 2012	21	Campo de Cariñena	394
Marzo 2012	22	Campo de Belchite	191
Marzo 2012	23	Bajo Martín	270
Marzo 2012	24	Campo de Daroca	222
Marzo 2012	25	Jiloca	456
Marzo 2012	26	Cuencas Mineras	265
Marzo 2012	27	Andorra-Sierra de Arcos	322
Marzo 2012	28	Bajo Aragón	1339
Marzo 2012	29	Comunidad de Teruel	2210
Marzo 2012	30	Maestrazgo	154
Marzo 2012	31	Sierra de Albarracín	186
Marzo 2012	32	Gúdar-Javalambre	422
Marzo 2012	33	Matarraña / Matarranya	432
Marzo 2012	99	Sin clasificar	25
Diciembre 2011	01	La Jacetania	903
Diciembre 2011	02	Alto Gállego	694
Diciembre 2011	03	Sobrarbe	372
Diciembre 2011	04	La Ribagorza	624
Diciembre 2011	05	Cinco Villas	1037
Diciembre 2011	06	Hoya de Huesca / Plana de Uesca	3064
Diciembre 2011	07	Somontano de Barbastro	952
Diciembre 2011	08	Cinca Medio	897
Diciembre 2011	09	La Litera / La Llitera	850
Diciembre 2011	10	Los Monegros	683
Diciembre 2011	11	Bajo Cinca / Baix Cinca	871
Diciembre 2011	12	Tarazona y el Moncayo	466
Diciembre 2011	13	Campo de Borja	410
Diciembre 2011	14	Aranda	244
Diciembre 2011	15	Ribera Alta del Ebro	842
Diciembre 2011	16	Valdejalón	1031
Diciembre 2011	17	Central	28107
Diciembre 2011	18	Ribera Baja del Ebro	313
Diciembre 2011	19	Bajo Aragón-Caspe / Baix Aragó-Casp	485
Diciembre 2011	20	Comunidad de Calatayud	1247
Diciembre 2011	21	Campo de Cariñena	301
Diciembre 2011	22	Campo de Belchite	168
Diciembre 2011	23	Bajo Martín	237
Diciembre 2011	24	Campo de Daroca	197
Diciembre 2011	25	Jiloca	426
Diciembre 2011	26	Cuencas Mineras	252
Diciembre 2011	27	Andorra-Sierra de Arcos	317
Diciembre 2011	28	Bajo Aragón	1244
Diciembre 2011	29	Comunidad de Teruel	2126
Diciembre 2011	30	Maestrazgo	151
Diciembre 2011	31	Sierra de Albarracín	167
Diciembre 2011	32	Gúdar-Javalambre	403
Diciembre 2011	33	Matarraña / Matarranya	393
Septiembre 2011	01	La Jacetania	900
Septiembre 2011	02	Alto Gállego	637
Septiembre 2011	03	Sobrarbe	428
Septiembre 2011	04	La Ribagorza	611
Septiembre 2011	05	Cinco Villas	1060
Septiembre 2011	06	Hoya de Huesca / Plana de Uesca	3076
Septiembre 2011	07	Somontano de Barbastro	979
Septiembre 2011	08	Cinca Medio	878
Septiembre 2011	09	La Litera / La Llitera	853
Septiembre 2011	10	Los Monegros	697
Septiembre 2011	11	Bajo Cinca / Baix Cinca	890
Septiembre 2011	12	Tarazona y el Moncayo	459
Septiembre 2011	13	Campo de Borja	421
Septiembre 2011	14	Aranda	242
Septiembre 2011	15	Ribera Alta del Ebro	869
Septiembre 2011	16	Valdejalón	1058
Septiembre 2011	17	Central	28185
Septiembre 2011	18	Ribera Baja del Ebro	308
Septiembre 2011	19	Bajo Aragón-Caspe / Baix Aragó-Casp	488
Septiembre 2011	20	Comunidad de Calatayud	1279
Septiembre 2011	21	Campo de Cariñena	314
Septiembre 2011	22	Campo de Belchite	168
