Año	Sexo	Edad	Residencia CCAA código	Residencia CCAA nombre	Personas	Porcentaje
2000	Hombres	93	02	Aragón	-339	-0,00126083335729165
2000	Mujeres	93	02	Aragón	748	0,00278201578541048
2001	Hombres	93	02	Aragón	-366	-0,00136125371318213
2001	Mujeres	93	02	Aragón	819	0,00304608412867805
2002	Hombres	93	02	Aragón	-371	-0,00137985007538407
2002	Mujeres	93	02	Aragón	838	0,00311675030504543
2003	Hombres	93	02	Aragón	-319	-0,00118644790848388
2003	Mujeres	93	02	Aragón	807	0,00300145285939339
2004	Hombres	93	02	Aragón	-364	-0,00135381516830135
2004	Mujeres	93	02	Aragón	927	0,00344776555223999
2005	Hombres	93	02	Aragón	-372	-0,00138356934782446
2005	Mujeres	93	02	Aragón	950	0,00353330881836892
2006	Hombres	93	02	Aragón	-445	-0,00165507623597281
2006	Mujeres	93	02	Aragón	1025	0,00381225425139805
2007	Hombres	93	02	Aragón	-386	-0,0014356391619899
2007	Mujeres	93	02	Aragón	1012	0,003763903709673
2008	Hombres	93	02	Aragón	-393	-0,00146167406907262
2008	Mujeres	93	02	Aragón	1026	0,00381597352383843
2009	Hombres	93	02	Aragón	-409	-0,00152118242811883
2009	Mujeres	93	02	Aragón	1001	0,00372299171282873
2010	Hombres	93	02	Aragón	-391	-0,00145423552419184
2010	Mujeres	93	02	Aragón	1037	0,00385688552068271
2011	Hombres	93	02	Aragón	-398	-0,00148027043127456
2011	Mujeres	93	02	Aragón	1115	0,004146988771033
2012	Hombres	93	02	Aragón	-423	-0,00157325224228427
2012	Mujeres	93	02	Aragón	1240	0,00461189782608154
2013	Hombres	93	02	Aragón	-444	-0,00165135696353242
2013	Mujeres	93	02	Aragón	1271	0,00472719527173358
2014	Hombres	93	02	Aragón	-572	-0,00212742383590213
2014	Mujeres	93	02	Aragón	1462	0,00543757630784775
2015	Hombres	93	02	Aragón	-677	-0,0025179474421429
2015	Mujeres	93	02	Aragón	1584	0,00589132754557513
2016	Hombres	93	02	Aragón	-711	-0,00264440270511611
2016	Mujeres	93	02	Aragón	1589	0,00590992390777707
2017	Hombres	93	02	Aragón	-772	-0,0028712783239798
2017	Mujeres	93	02	Aragón	1689	0,0062818511518159
2018	Hombres	93	02	Aragón	-772	-0,0028712783239798
2018	Mujeres	93	02	Aragón	1794	0,00667237475805668
1998	Hombres	92	02	Aragón	-419	-0,00155837515252271
1998	Mujeres	92	02	Aragón	889	0,00330643319950523
1999	Hombres	92	02	Aragón	-419	-0,00155837515252271
1999	Mujeres	92	02	Aragón	898	0,00333990665146873
2000	Hombres	92	02	Aragón	-457	-0,00169970750525747
2000	Mujeres	92	02	Aragón	969	0,0036039749947363
2001	Hombres	92	02	Aragón	-493	-0,00183360131311145
2001	Mujeres	92	02	Aragón	1027	0,00381969279627882
2002	Hombres	92	02	Aragón	-437	-0,0016253220564497
2002	Mujeres	92	02	Aragón	1009	0,00375274589235183
2003	Hombres	92	02	Aragón	-449	-0,00166995332573436
2003	Mujeres	92	02	Aragón	1153	0,00428832112376775
2004	Hombres	92	02	Aragón	-458	-0,00170342677769786
