Continente	Area nacionalidad, código	Área	Nacionalidad, código	Nacionalidad, nombre	Personas	Aragón
Europa	01	UE-15	102	AUSTRIA	27	Aragón
Europa	01	UE-15	103	BELGICA	95	Aragón
Europa	01	UE-15	107	DINAMARCA	17	Aragón
Europa	01	UE-15	109	FINLANDIA	7	Aragón
Europa	01	UE-15	110	FRANCIA	981	Aragón
Europa	01	UE-15	111	GRECIA	5	Aragón
Europa	01	UE-15	113	IRLANDA	34	Aragón
Europa	01	UE-15	115	ITALIA	436	Aragón
Europa	01	UE-15	121	PAISES BAJOS	143	Aragón
Europa	01	UE-15	123	PORTUGAL	713	Aragón
Europa	01	UE-15	125	REINO UNIDO	320	Aragón
Europa	01	UE-15	126	ALEMANIA	346	Aragón
Europa	01	UE-15	131	SUECIA	20	Aragón
Europa	02	Resto de Europa	101	ALBANIA	16	Aragón
Europa	02	Resto de Europa	104	BULGARIA	806	Aragón
Europa	02	Resto de Europa	112	HUNGRIA	32	Aragón
Europa	02	Resto de Europa	118	MALTA	1	Aragón
Europa	02	Resto de Europa	119	MONACO	1	Aragón
Europa	02	Resto de Europa	120	NORUEGA	8	Aragón
Europa	02	Resto de Europa	122	POLONIA	448	Aragón
Europa	02	Resto de Europa	124	ANDORRA	4	Aragón
Europa	02	Resto de Europa	128	RUMANIA	4581	Aragón
Europa	02	Resto de Europa	132	SUIZA	60	Aragón
Europa	02	Resto de Europa	135	UCRANIA	857	Aragón
Europa	02	Resto de Europa	136	LETONIA	10	Aragón
Europa	02	Resto de Europa	137	MOLDAVA	59	Aragón
Europa	02	Resto de Europa	138	BIELORRUSIA	39	Aragón
Europa	02	Resto de Europa	139	GEORGIA	15	Aragón
Europa	02	Resto de Europa	141	ESTONIA	4	Aragón
Europa	02	Resto de Europa	142	LITUANIA	118	Aragón
Europa	02	Resto de Europa	143	REPUBLICA CHECA	54	Aragón
Europa	02	Resto de Europa	144	REPUBLICA ESLOVACA	19	Aragón
Europa	02	Resto de Europa	145	BOSNIA Y HERZEGOVINA	31	Aragón
Europa	02	Resto de Europa	146	CROACIA	5	Aragón
Europa	02	Resto de Europa	147	ESLOVENIA	6	Aragón
Europa	02	Resto de Europa	148	ARMENIA	37	Aragón
Europa	02	Resto de Europa	154	RUSIA	221	Aragón
Europa	02	Resto de Europa	155	YUGOSLAVIA	27	Aragón
Europa	02	Resto de Europa	436	TURQUIA	9	Aragón
África	03	Magreb	203	ARGELIA	2657	Aragón
África	03	Magreb	224	LIBIA	8	Aragón
África	03	Magreb	228	MARRUECOS	4641	Aragón
África	03	Magreb	230	MAURITANIA	173	Aragón
África	03	Magreb	248	TUNEZ	30	Aragón
África	04	Resto de África	201	BURKINA FASO	18	Aragón
África	04	Resto de África	202	ANGOLA	57	Aragón
África	04	Resto de África	204	BENIN	5	Aragón
África	04	Resto de África	206	BURUNDI	1	Aragón
África	04	Resto de África	207	CABO VERDE	265	Aragón
África	04	Resto de África	208	CAMERUN	89	Aragón
África	04	Resto de África	209	COMORES	1	Aragón
África	04	Resto de África	210	CONGO	32	Aragón
África	04	Resto de África	211	COSTA DE MARFIL	43	Aragón
África	04	Resto de África	213	EGIPTO	60	Aragón
África	04	Resto de África	214	ETIOPIA	1	Aragón
África	04	Resto de África	215	GABON	3	Aragón
África	04	Resto de África	216	GAMBIA	903	Aragón
África	04	Resto de África	217	GHANA	550	Aragón
África	04	Resto de África	218	GUINEA	369	Aragón
África	04	Resto de África	219	GUINEA-BISSAU	51	Aragón
África	04	Resto de África	220	GUINEA ECUATORIAL	466	Aragón
África	04	Resto de África	221	KENIA	17	Aragón
África	04	Resto de África	223	LIBERIA	41	Aragón
África	04	Resto de África	227	MALI	393	Aragón
África	04	Resto de África	231	MOZAMBIQUE	3	Aragón
África	04	Resto de África	233	NIGER	7	Aragón
África	04	Resto de África	234	NIGERIA	244	Aragón
África	04	Resto de África	235	REPUBLICA CENTROAFRICANA	3	Aragón
África	04	Resto de África	236	SUDAFRICA	12	Aragón
África	04	Resto de África	237	RUANDA	4	Aragón
África	04	Resto de África	238	SANTO TOME Y PRINCIPE	1	Aragón
África	04	Resto de África	239	SENEGAL	831	Aragón
África	04	Resto de África	241	SIERRA LEONA	21	Aragón
África	04	Resto de África	242	SOMALIA	3	Aragón
África	04	Resto de África	243	SUDAN	5	Aragón
África	04	Resto de África	246	CHAD	7	Aragón
África	04	Resto de África	247	TOGO	7	Aragón
África	04	Resto de África	250	REP.DEMOCRATICA DEL CONGO	32	Aragón
África	04	Resto de África	251	ZAMBIA	1	Aragón
América	05	América del Norte	301	CANADA	22	Aragón
América	05	América del Norte	302	ESTADOS UNIDOS DE AMERICA	362	Aragón
América	06	Resto de América	303	MEXICO	198	Aragón
América	06	Resto de América	314	COSTA RICA	10	Aragón
América	06	Resto de América	315	CUBA	680	Aragón
América	06	Resto de América	316	DOMINICA	21	Aragón
América	06	Resto de América	317	EL SALVADOR	35	Aragón
América	06	Resto de América	318	GRANADA	1	Aragón
América	06	Resto de América	319	GUATEMALA	36	Aragón
América	06	Resto de América	320	HAITI	1	Aragón
América	06	Resto de América	321	HONDURAS	98	Aragón
América	06	Resto de América	322	JAMAICA	1	Aragón
América	06	Resto de América	323	NICARAGUA	48	Aragón
América	06	Resto de América	324	PANAMA	25	Aragón
América	06	Resto de América	326	REPUBLICA DOMINICANA	750	Aragón
América	06	Resto de América	340	ARGENTINA	820	Aragón
América	06	Resto de América	341	BOLIVIA	82	Aragón
América	06	Resto de América	342	BRASIL	503	Aragón
América	06	Resto de América	343	COLOMBIA	3596	Aragón
América	06	Resto de América	344	CHILE	212	Aragón
América	06	Resto de América	345	ECUADOR	6087	Aragón
América	06	Resto de América	347	PARAGUAY	24	Aragón
América	06	Resto de América	348	PERU	428	Aragón
América	06	Resto de América	350	URUGUAY	162	Aragón
América	06	Resto de América	351	VENEZUELA	271	Aragón
Asia	07	Asia	401	AFGANISTAN	1	Aragón
Asia	07	Asia	404	BANGLADESH	11	Aragón
Asia	07	Asia	405	MYANMAR	1	Aragón
Asia	07	Asia	407	CHINA	607	Aragón
Asia	07	Asia	409	FILIPINAS	20	Aragón
Asia	07	Asia	410	INDIA	32	Aragón
Asia	07	Asia	411	INDONESIA	1	Aragón
Asia	07	Asia	412	IRAQ	1	Aragón
Asia	07	Asia	413	IRAN	8	Aragón
Asia	07	Asia	414	ISRAEL	2	Aragón
Asia	07	Asia	415	JAPON	15	Aragón
