Provincia código	Provincia nombre	Sexo	Sector actividad	Rama actividad, código	Rama actividad, descripción	Personas residentes viviendas familiares
50	Zaragoza	Hombres	Servicios	12	Transporte y comunicaciones	18476
50	Zaragoza	Hombres	Servicios	13	Finanzas y servicios a empresas	19595
50	Zaragoza	Hombres	Servicios	14	Administración pública	17381
50	Zaragoza	Hombres	Servicios	15	Educación	8571
50	Zaragoza	Hombres	Servicios	16	Sanidad	6350
50	Zaragoza	Hombres	Servicios	17	Actividades asociativas, recreativas, servicios personales, ...	5915
50	Zaragoza	Mujeres	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	2157
50	Zaragoza	Mujeres	Industria y energía	02	Extractivas, energía, gas y agua	338
50	Zaragoza	Mujeres	Industria y energía	03	Alimentación, bebidas y tabaco	3300
50	Zaragoza	Mujeres	Industria y energía	04	Textil y calzado	4251
50	Zaragoza	Mujeres	Industria y energía	05	Madera y papel	1452
50	Zaragoza	Mujeres	Industria y energía	06	Química, plásticos y otros productos minerales no metálicos	2107
50	Zaragoza	Mujeres	Industria y energía	07	Metal	9036
50	Zaragoza	Mujeres	Industria y energía	08	Manufactureras diversas	867
50	Zaragoza	Mujeres	Construcción	09	Construcción	2813
50	Zaragoza	Mujeres	Servicios	10	Comercio y reparación	25959
50	Zaragoza	Mujeres	Servicios	11	Hostelería	8888
50	Zaragoza	Mujeres	Servicios	12	Transporte y comunicaciones	5021
50	Zaragoza	Mujeres	Servicios	13	Finanzas y servicios a empresas	16934
50	Zaragoza	Mujeres	Servicios	14	Administración pública	12151
50	Zaragoza	Mujeres	Servicios	15	Educación	12936
50	Zaragoza	Mujeres	Servicios	16	Sanidad	17813
50	Zaragoza	Mujeres	Servicios	17	Actividades asociativas, recreativas, servicios personales, ...	11286
