Municipio código	Municipio nombre	Plazas garaje	Número de edificios
22001	Abiego	00	120
22001	Abiego	01	29
22001	Abiego	02	33
22001	Abiego	03 a 05	4
22002	Abizanda	00	81
22002	Abizanda	01	1
22002	Abizanda	02	3
22002	Abizanda	03 a 05	4
22003	Adahuesca	00	84
22003	Adahuesca	01	8
22003	Adahuesca	02	20
22003	Adahuesca	03 a 05	4
22004	Agüero	00	178
22004	Agüero	01	24
22004	Agüero	02	10
22004	Agüero	06 a 10	1
22006	Aísa	00	157
22006	Aísa	01	9
22006	Aísa	03 a 05	1
22006	Aísa	06 a 10	20
22006	Aísa	11 a 20	13
22006	Aísa	21 a 50	7
22006	Aísa	50 o más	1
22007	Albalate de Cinca	00	214
22007	Albalate de Cinca	01	117
22007	Albalate de Cinca	02	60
22007	Albalate de Cinca	03 a 05	19
22008	Albalatillo	00	80
22008	Albalatillo	01	24
22008	Albalatillo	02	17
22008	Albalatillo	03 a 05	5
22009	Albelda	00	182
22009	Albelda	01	144
22009	Albelda	02	99
22009	Albelda	03 a 05	10
22011	Albero Alto	00	31
22011	Albero Alto	01	11
22011	Albero Alto	02	5
22011	Albero Alto	03 a 05	3
22012	Albero Bajo	00	32
22012	Albero Bajo	01	6
22012	Albero Bajo	02	4
22012	Albero Bajo	03 a 05	2
22013	Alberuela de Tubo	00	80
22013	Alberuela de Tubo	01	34
22013	Alberuela de Tubo	02	20
22013	Alberuela de Tubo	03 a 05	2
22014	Alcalá de Gurrea	00	153
22014	Alcalá de Gurrea	01	52
22014	Alcalá de Gurrea	02	11
22015	Alcalá del Obispo	00	172
22015	Alcalá del Obispo	01	63
22015	Alcalá del Obispo	02	20
22015	Alcalá del Obispo	03 a 05	10
22015	Alcalá del Obispo	06 a 10	1
22016	Alcampell	00	242
22016	Alcampell	01	185
22016	Alcampell	02	65
22016	Alcampell	03 a 05	10
22017	Alcolea de Cinca	00	228
22017	Alcolea de Cinca	01	40
22017	Alcolea de Cinca	02	74
22017	Alcolea de Cinca	03 a 05	61
22017	Alcolea de Cinca	06 a 10	5
22018	Alcubierre	00	190
22018	Alcubierre	01	38
22018	Alcubierre	02	24
22018	Alcubierre	03 a 05	13
22019	Alerre	00	19
22019	Alerre	01	21
22019	Alerre	02	19
22019	Alerre	03 a 05	5
22020	Alfántega	00	48
22020	Alfántega	01	16
22020	Alfántega	02	4
22020	Alfántega	03 a 05	4
22021	Almudévar	00	509
22021	Almudévar	01	280
22021	Almudévar	02	178
22021	Almudévar	03 a 05	37
22021	Almudévar	06 a 10	3
22022	Almunia de San Juan	00	190
22022	Almunia de San Juan	01	113
22022	Almunia de San Juan	02	37
22022	Almunia de San Juan	03 a 05	9
22023	Almuniente	00	159
22023	Almuniente	01	76
22023	Almuniente	02	14
22023	Almuniente	03 a 05	8
22024	Alquézar	00	149
22024	Alquézar	01	17
22024	Alquézar	02	29
22024	Alquézar	03 a 05	7
22025	Altorricón	00	236
22025	Altorricón	01	103
22025	Altorricón	02	160
22025	Altorricón	03 a 05	52
22025	Altorricón	06 a 10	4
22027	Angüés	00	243
22027	Angüés	01	72
22027	Angüés	02	3
22027	Angüés	03 a 05	1
