Provincia código	Provincia nombre	Número de personas en el hogar	Número hogares
22	Huesca	01	17422
22	Huesca	02	18349
22	Huesca	03	15376
22	Huesca	04	14363
22	Huesca	05	5169
22	Huesca	06	2064
22	Huesca	07	677
22	Huesca	08	224
22	Huesca	09	78
22	Huesca	10 o más	64
44	Teruel	01	12863
44	Teruel	02	14172
44	Teruel	03	9710
44	Teruel	04	10025
44	Teruel	05	3069
44	Teruel	06	840
44	Teruel	07	240
44	Teruel	08	85
44	Teruel	09	36
44	Teruel	10 o más	30
50	Zaragoza	01	69449
50	Zaragoza	02	88408
50	Zaragoza	03	71563
50	Zaragoza	04	64469
50	Zaragoza	05	17272
50	Zaragoza	06	4675
50	Zaragoza	07	1406
50	Zaragoza	08	504
50	Zaragoza	09	278
50	Zaragoza	10 o más	363
