CCAA codigo destino	CCAA nombre destino	Provincia codigo destino	Provincia nombre destino	Municipio codigo destino	Municipio nombre destino	Sexo	Año	Variaciones
02	Aragón	22	Huesca	22001	Abiego	Hombres	2018	9
02	Aragón	22	Huesca	22001	Abiego	Mujeres	2018	8
02	Aragón	22	Huesca	22002	Abizanda	Hombres	2018	10
02	Aragón	22	Huesca	22002	Abizanda	Mujeres	2018	8
02	Aragón	22	Huesca	22003	Adahuesca	Hombres	2018	17
02	Aragón	22	Huesca	22003	Adahuesca	Mujeres	2018	11
02	Aragón	22	Huesca	22004	Agüero	Hombres	2018	6
02	Aragón	22	Huesca	22004	Agüero	Mujeres	2018	4
02	Aragón	22	Huesca	22006	Aísa	Hombres	2018	10
02	Aragón	22	Huesca	22006	Aísa	Mujeres	2018	2
02	Aragón	22	Huesca	22007	Albalate de Cinca	Hombres	2018	30
02	Aragón	22	Huesca	22007	Albalate de Cinca	Mujeres	2018	19
02	Aragón	22	Huesca	22008	Albalatillo	Hombres	2018	1
02	Aragón	22	Huesca	22008	Albalatillo	Mujeres	2018	4
02	Aragón	22	Huesca	22009	Albelda	Hombres	2018	9
02	Aragón	22	Huesca	22009	Albelda	Mujeres	2018	13
02	Aragón	22	Huesca	22011	Albero Alto	Hombres	2018	5
02	Aragón	22	Huesca	22011	Albero Alto	Mujeres	2018	9
02	Aragón	22	Huesca	22012	Albero Bajo	Hombres	2018	3
02	Aragón	22	Huesca	22012	Albero Bajo	Mujeres	2018	10
02	Aragón	22	Huesca	22013	Alberuela de Tubo	Hombres	2018	2
02	Aragón	22	Huesca	22013	Alberuela de Tubo	Mujeres	2018	6
02	Aragón	22	Huesca	22014	Alcalá de Gurrea	Hombres	2018	6
02	Aragón	22	Huesca	22014	Alcalá de Gurrea	Mujeres	2018	5
02	Aragón	22	Huesca	22015	Alcalá del Obispo	Hombres	2018	1
02	Aragón	22	Huesca	22015	Alcalá del Obispo	Mujeres	2018	11
02	Aragón	22	Huesca	22016	Alcampell	Hombres	2018	8
02	Aragón	22	Huesca	22016	Alcampell	Mujeres	2018	12
02	Aragón	22	Huesca	22017	Alcolea de Cinca	Hombres	2018	36
02	Aragón	22	Huesca	22017	Alcolea de Cinca	Mujeres	2018	16
02	Aragón	22	Huesca	22018	Alcubierre	Hombres	2018	12
02	Aragón	22	Huesca	22018	Alcubierre	Mujeres	2018	12
02	Aragón	22	Huesca	22019	Alerre	Hombres	2018	2
02	Aragón	22	Huesca	22019	Alerre	Mujeres	2018	2
02	Aragón	22	Huesca	22020	Alfántega	Hombres	2018	3
02	Aragón	22	Huesca	22020	Alfántega	Mujeres	2018	8
02	Aragón	22	Huesca	22021	Almudévar	Hombres	2018	45
02	Aragón	22	Huesca	22021	Almudévar	Mujeres	2018	54
02	Aragón	22	Huesca	22022	Almunia de San Juan	Hombres	2018	8
02	Aragón	22	Huesca	22022	Almunia de San Juan	Mujeres	2018	13
02	Aragón	22	Huesca	22023	Almuniente	Hombres	2018	9
02	Aragón	22	Huesca	22023	Almuniente	Mujeres	2018	4
02	Aragón	22	Huesca	22024	Alquézar	Hombres	2018	8
02	Aragón	22	Huesca	22024	Alquézar	Mujeres	2018	10
02	Aragón	22	Huesca	22025	Altorricón	Hombres	2018	33
02	Aragón	22	Huesca	22025	Altorricón	Mujeres	2018	21
02	Aragón	22	Huesca	22027	Angüés	Hombres	2018	10
02	Aragón	22	Huesca	22027	Angüés	Mujeres	2018	10
02	Aragón	22	Huesca	22028	Ansó	Hombres	2018	5
02	Aragón	22	Huesca	22028	Ansó	Mujeres	2018	5
02	Aragón	22	Huesca	22032	Aragüés del Puerto	Hombres	2018	3
02	Aragón	22	Huesca	22032	Aragüés del Puerto	Mujeres	2018	3
02	Aragón	22	Huesca	22035	Arén	Hombres	2018	14
02	Aragón	22	Huesca	22035	Arén	Mujeres	2018	4
02	Aragón	22	Huesca	22036	Argavieso	Hombres	2018	3
02	Aragón	22	Huesca	22036	Argavieso	Mujeres	2018	2
02	Aragón	22	Huesca	22037	Arguis	Hombres	2018	3
02	Aragón	22	Huesca	22037	Arguis	Mujeres	2018	2
02	Aragón	22	Huesca	22039	Ayerbe	Hombres	2018	28
02	Aragón	22	Huesca	22039	Ayerbe	Mujeres	2018	30
02	Aragón	22	Huesca	22040	Azanuy-Alins	Hombres	2018	3
02	Aragón	22	Huesca	22040	Azanuy-Alins	Mujeres	2018	1
02	Aragón	22	Huesca	22041	Azara	Hombres	2018	4
02	Aragón	22	Huesca	22042	Azlor	Hombres	2018	3
02	Aragón	22	Huesca	22042	Azlor	Mujeres	2018	2
02	Aragón	22	Huesca	22043	Baells	Hombres	2018	1
02	Aragón	22	Huesca	22043	Baells	Mujeres	2018	2
02	Aragón	22	Huesca	22044	Bailo	Hombres	2018	5
02	Aragón	22	Huesca	22044	Bailo	Mujeres	2018	1
02	Aragón	22	Huesca	22045	Baldellou	Hombres	2018	4
02	Aragón	22	Huesca	22045	Baldellou	Mujeres	2018	1
02	Aragón	22	Huesca	22046	Ballobar	Hombres	2018	19
02	Aragón	22	Huesca	22046	Ballobar	Mujeres	2018	14
02	Aragón	22	Huesca	22047	Banastás	Hombres	2018	6
02	Aragón	22	Huesca	22047	Banastás	Mujeres	2018	5
02	Aragón	22	Huesca	22048	Barbastro	Hombres	2018	292
02	Aragón	22	Huesca	22048	Barbastro	Mujeres	2018	325
02	Aragón	22	Huesca	22049	Barbués	Hombres	2018	4
02	Aragón	22	Huesca	22049	Barbués	Mujeres	2018	2
02	Aragón	22	Huesca	22050	Barbuñales	Mujeres	2018	5
02	Aragón	22	Huesca	22051	Bárcabo	Hombres	2018	2
02	Aragón	22	Huesca	22051	Bárcabo	Mujeres	2018	2
02	Aragón	22	Huesca	22052	Belver de Cinca	Hombres	2018	50
02	Aragón	22	Huesca	22052	Belver de Cinca	Mujeres	2018	16
02	Aragón	22	Huesca	22053	Benabarre	Hombres	2018	47
02	Aragón	22	Huesca	22053	Benabarre	Mujeres	2018	34
02	Aragón	22	Huesca	22054	Benasque	Hombres	2018	73
02	Aragón	22	Huesca	22054	Benasque	Mujeres	2018	66
02	Aragón	22	Huesca	22055	Berbegal	Hombres	2018	12
02	Aragón	22	Huesca	22055	Berbegal	Mujeres	2018	7
02	Aragón	22	Huesca	22057	Bielsa	Hombres	2018	11
02	Aragón	22	Huesca	22057	Bielsa	Mujeres	2018	7
02	Aragón	22	Huesca	22058	Bierge	Hombres	2018	7
02	Aragón	22	Huesca	22058	Bierge	Mujeres	2018	9
02	Aragón	22	Huesca	22059	Biescas	Hombres	2018	44
02	Aragón	22	Huesca	22059	Biescas	Mujeres	2018	51
02	Aragón	22	Huesca	22060	Binaced	Hombres	2018	43
