Año	Código del municipio	Nombre del municipio	Número total de explotaciones	Explotaciones sin tierras	Explotaciones con tierras labranza, pastos y otras	Explotaciones con tierras labranza y pastos	Explotaciones con tierras labranza y otras	Explotaciones con sólo tierras labranza	Explotaciones con pastos y otras tierras	Explotaciones con sólo pastos	Explotaciones con sólo otras tierras	Explotaciones con tierras
1989	22099	Esplús	167	1	0	0	74	85	0	0	7	166
1989	22102	Estada	66	0	0	0	49	10	0	0	7	66
1989	22103	Estadilla	174	5	0	0	57	106	1	0	5	169
1989	22105	Estopiñán del Castillo	105	0	8	2	70	15	0	0	10	105
1989	22106	Fago	8	0	2	1	0	0	3	2	0	8
1989	22107	Fanlo	26	0	8	0	0	0	12	0	6	26
1989	22109	Fiscal	89	0	28	5	11	4	17	0	24	89
1989	22110	Fonz	224	0	0	2	45	171	0	1	5	224
1989	22111	Foradada del Toscar	67	1	24	7	19	1	7	0	8	66
1989	22112	Fraga	1166	3	4	25	194	894	2	4	40	1163
1989	22113	Fueva (La)	257	5	32	0	133	27	5	1	54	252
1989	22114	Gistaín	67	2	11	26	2	0	10	14	2	65
1989	22115	Grado (El)	226	0	7	6	123	21	0	0	69	226
1989	22116	Grañén	264	3	17	24	74	139	2	2	3	261
1989	22117	Graus	486	1	20	0	303	38	2	1	121	485
1989	22119	Gurrea de Gállego	300	3	7	22	83	173	1	1	10	297
1989	22122	Hoz de Jaca	19	1	1	14	0	1	1	1	0	18
1989	22124	Huerto	92	1	0	2	21	64	0	0	4	91
1989	22125	Huesca	229	2	1	3	62	155	1	0	5	227
1989	22126	Ibieca	33	0	3	5	23	2	0	0	0	33
1989	22127	Igriés	32	2	0	0	6	20	0	0	4	30
1989	22128	Ilche	84	0	4	50	2	25	0	2	1	84
1989	22129	Isábena	66	0	6	29	17	4	2	5	3	66
1989	22130	Jaca	327	2	18	4	223	51	10	2	17	325
1989	22131	Jasa	14	0	6	3	0	0	0	2	3	14
1989	22133	Labuerda	48	0	9	6	13	6	1	1	12	48
1989	22135	Laluenga	79	0	0	2	13	64	0	0	0	79
1989	22136	Lalueza	312	1	4	23	41	238	0	2	3	311
1989	22137	Lanaja	295	4	5	24	52	205	1	0	4	291
1989	22139	Laperdiguera	25	0	0	1	17	7	0	0	0	25
