Año	Código de la provincia	Provincia	Total máquinas	Tractores	Motocultores	Cosechadoras	Otras máquinas	Explotaciones que usan maquinaria propia	Explotaciones con máquina en propiedad: tractor	Explotaciones con máquina en propiedad: motocultor	Explotaciones con máquina en propiedad: cosechadora	Explotaciones con máquina en propiedad: otra máquina	Explotaciones que usan maquinaria no en propiedad exclusiva	Explotaciones que usan maquinaria no en propiedad exclusiva: tractor	Explotaciones que usan maquinaria no en propiedad exclusiva: motocultor	Explotaciones que usan maquinaria no en propiedad exclusiva: cosechadora	Explotaciones que usan maquinaria no en propiedad exclusiva: otra máquina
1989	22	Huesca	24906	15122	5236	1559	2989	14454	12130	5099	1474	2514	15801	7003	497	13497	3583
1989	44	Teruel	15563	9504	2818	1291	1950	10330	8641	2786	1186	1699	15019	8511	529	10495	4064
1989	50	Zaragoza	29562	19742	6434	2102	1284	20968	17072	6251	1994	1140	38836	27608	2417	23934	4082
1999	22	Huesca	24372	15711	6935	1079	647	13764	11706	6222	1352		12834	6692	920	10024	
1999	44	Teruel	14529	9786	3578	892	273	9659	8314	3090	1089		10928	6594	750	6844	
1999	50	Zaragoza	29309	20399	6940	1557	413	19628	16614	6171	1816	0	24442	16596	1414	14260	0
