Aragón	Sexo	Sector actividad	Rama actividad, código	Rama actividad, descripción	Personas residentes viviendas familiares
Aragón	Hombres	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	30734
Aragón	Hombres	Industria y energía	02	Extractivas, energía, gas y agua	4064
Aragón	Hombres	Industria y energía	03	Alimentación, bebidas y tabaco	8103
Aragón	Hombres	Industria y energía	04	Textil y calzado	3603
Aragón	Hombres	Industria y energía	05	Madera y papel	7591
Aragón	Hombres	Industria y energía	06	Química, plásticos y otros productos minerales no metálicos	10466
Aragón	Hombres	Industria y energía	07	Metal	47103
Aragón	Hombres	Industria y energía	08	Manufactureras diversas	5193
Aragón	Hombres	Construcción	09	Construcción	45501
Aragón	Hombres	Servicios	10	Comercio y reparación	36772
Aragón	Hombres	Servicios	11	Hostelería	11546
Aragón	Hombres	Servicios	12	Transporte y comunicaciones	23672
Aragón	Hombres	Servicios	13	Finanzas y servicios a empresas	24392
Aragón	Hombres	Servicios	14	Administración pública	24902
Aragón	Hombres	Servicios	15	Educación	11146
Aragón	Hombres	Servicios	16	Sanidad	8328
Aragón	Hombres	Servicios	17	Actividades asociativas, recreativas, servicios personales, ...	7552
Aragón	Mujeres	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	4704
Aragón	Mujeres	Industria y energía	02	Extractivas, energía, gas y agua	553
Aragón	Mujeres	Industria y energía	03	Alimentación, bebidas y tabaco	4856
Aragón	Mujeres	Industria y energía	04	Textil y calzado	5930
Aragón	Mujeres	Industria y energía	05	Madera y papel	1895
Aragón	Mujeres	Industria y energía	06	Química, plásticos y otros productos minerales no metálicos	3053
Aragón	Mujeres	Industria y energía	07	Metal	10192
Aragón	Mujeres	Industria y energía	08	Manufactureras diversas	993
Aragón	Mujeres	Construcción	09	Construcción	3758
Aragón	Mujeres	Servicios	10	Comercio y reparación	34783
Aragón	Mujeres	Servicios	11	Hostelería	13361
Aragón	Mujeres	Servicios	12	Transporte y comunicaciones	6222
Aragón	Mujeres	Servicios	13	Finanzas y servicios a empresas	21294
Aragón	Mujeres	Servicios	14	Administración pública	17055
Aragón	Mujeres	Servicios	15	Educación	17774
Aragón	Mujeres	Servicios	16	Sanidad	24030
Aragón	Mujeres	Servicios	17	Actividades asociativas, recreativas, servicios personales, ...	14648
