Comarca código	Comarca nombre	Superficie útil agrupada (m2)	Número de viviendas
01	La Jacetania	045 o menos	227
01	La Jacetania	046 - 060	558
01	La Jacetania	061 - 075	1042
01	La Jacetania	076 - 090	1865
01	La Jacetania	091 - 105	964
01	La Jacetania	106 - 120	610
01	La Jacetania	121 - 150	459
01	La Jacetania	151 o más	505
02	Alto Gállego	045 o menos	110
02	Alto Gállego	046 - 060	466
02	Alto Gállego	061 - 075	803
02	Alto Gállego	076 - 090	1455
02	Alto Gállego	091 - 105	635
02	Alto Gállego	106 - 120	376
02	Alto Gállego	121 - 150	247
02	Alto Gállego	151 o más	308
03	Sobrarbe	045 o menos	41
03	Sobrarbe	046 - 060	170
03	Sobrarbe	061 - 075	219
03	Sobrarbe	076 - 090	521
03	Sobrarbe	091 - 105	446
03	Sobrarbe	106 - 120	364
03	Sobrarbe	121 - 150	274
03	Sobrarbe	151 o más	420
04	La Ribagorza	045 o menos	125
04	La Ribagorza	046 - 060	373
04	La Ribagorza	061 - 075	444
04	La Ribagorza	076 - 090	1007
04	La Ribagorza	091 - 105	839
04	La Ribagorza	106 - 120	632
04	La Ribagorza	121 - 150	506
04	La Ribagorza	151 o más	532
05	Cinco Villas	045 o menos	187
05	Cinco Villas	046 - 060	853
05	Cinco Villas	061 - 075	1440
05	Cinco Villas	076 - 090	3975
05	Cinco Villas	091 - 105	2197
05	Cinco Villas	106 - 120	1304
05	Cinco Villas	121 - 150	886
05	Cinco Villas	151 o más	746
06	Hoya de Huesca / Plana de Uesca	045 o menos	297
06	Hoya de Huesca / Plana de Uesca	046 - 060	1862
06	Hoya de Huesca / Plana de Uesca	061 - 075	3761
06	Hoya de Huesca / Plana de Uesca	076 - 090	6763
06	Hoya de Huesca / Plana de Uesca	091 - 105	3628
06	Hoya de Huesca / Plana de Uesca	106 - 120	2338
06	Hoya de Huesca / Plana de Uesca	121 - 150	1712
06	Hoya de Huesca / Plana de Uesca	151 o más	1340
07	Somontano de Barbastro	045 o menos	92
07	Somontano de Barbastro	046 - 060	407
07	Somontano de Barbastro	061 - 075	863
07	Somontano de Barbastro	076 - 090	2916
07	Somontano de Barbastro	091 - 105	1470
07	Somontano de Barbastro	106 - 120	973
07	Somontano de Barbastro	121 - 150	701
07	Somontano de Barbastro	151 o más	800
08	Cinca Medio	045 o menos	106
08	Cinca Medio	046 - 060	633
08	Cinca Medio	061 - 075	1028
08	Cinca Medio	076 - 090	2598
08	Cinca Medio	091 - 105	1516
08	Cinca Medio	106 - 120	993
08	Cinca Medio	121 - 150	554
08	Cinca Medio	151 o más	333
09	La Litera / La Llitera	045 o menos	71
09	La Litera / La Llitera	046 - 060	297
09	La Litera / La Llitera	061 - 075	830
09	La Litera / La Llitera	076 - 090	2094
09	La Litera / La Llitera	091 - 105	1409
09	La Litera / La Llitera	106 - 120	1031
09	La Litera / La Llitera	121 - 150	528
09	La Litera / La Llitera	151 o más	341
10	Los Monegros	045 o menos	50
10	Los Monegros	046 - 060	303
10	Los Monegros	061 - 075	609
10	Los Monegros	076 - 090	2138
10	Los Monegros	091 - 105	1533
10	Los Monegros	106 - 120	1237
10	Los Monegros	121 - 150	792
10	Los Monegros	151 o más	773
11	Bajo Cinca / Baix Cinca	045 o menos	156
11	Bajo Cinca / Baix Cinca	046 - 060	395
11	Bajo Cinca / Baix Cinca	061 - 075	778
11	Bajo Cinca / Baix Cinca	076 - 090	2414
11	Bajo Cinca / Baix Cinca	091 - 105	1496
11	Bajo Cinca / Baix Cinca	106 - 120	1075
11	Bajo Cinca / Baix Cinca	121 - 150	668
11	Bajo Cinca / Baix Cinca	151 o más	445
12	Tarazona y el Moncayo	045 o menos	81
12	Tarazona y el Moncayo	046 - 060	393
12	Tarazona y el Moncayo	061 - 075	966
12	Tarazona y el Moncayo	076 - 090	2097
12	Tarazona y el Moncayo	091 - 105	763
12	Tarazona y el Moncayo	106 - 120	425
12	Tarazona y el Moncayo	121 - 150	296
12	Tarazona y el Moncayo	151 o más	246
13	Campo de Borja	045 o menos	83
13	Campo de Borja	046 - 060	286
13	Campo de Borja	061 - 075	660
13	Campo de Borja	076 - 090	1761
13	Campo de Borja	091 - 105	1046
13	Campo de Borja	106 - 120	672
13	Campo de Borja	121 - 150	447
13	Campo de Borja	151 o más	410
14	Aranda	045 o menos	38
14	Aranda	046 - 060	203
14	Aranda	061 - 075	439
14	Aranda	076 - 090	1156
14	Aranda	091 - 105	490
14	Aranda	106 - 120	239
14	Aranda	121 - 150	205
14	Aranda	151 o más	126
15	Ribera Alta del Ebro	045 o menos	71
15	Ribera Alta del Ebro	046 - 060	466
15	Ribera Alta del Ebro	061 - 075	1034
15	Ribera Alta del Ebro	076 - 090	2298
15	Ribera Alta del Ebro	091 - 105	1535
15	Ribera Alta del Ebro	106 - 120	1048
15	Ribera Alta del Ebro	121 - 150	863
15	Ribera Alta del Ebro	151 o más	750
16	Valdejalón	045 o menos	240
16	Valdejalón	046 - 060	605
16	Valdejalón	061 - 075	1073
16	Valdejalón	076 - 090	2422
16	Valdejalón	091 - 105	1536
16	Valdejalón	106 - 120	1099
16	Valdejalón	121 - 150	759
16	Valdejalón	151 o más	636
17	D.C. Zaragoza	045 o menos	7130
17	D.C. Zaragoza	046 - 060	41398
17	D.C. Zaragoza	061 - 075	69489
17	D.C. Zaragoza	076 - 090	67203
17	D.C. Zaragoza	091 - 105	25871
17	D.C. Zaragoza	106 - 120	12336
17	D.C. Zaragoza	121 - 150	9927
17	D.C. Zaragoza	151 o más	7981
18	Ribera Baja del Ebro	045 o menos	42
18	Ribera Baja del Ebro	046 - 060	173
18	Ribera Baja del Ebro	061 - 075	398
18	Ribera Baja del Ebro	076 - 090	1359
18	Ribera Baja del Ebro	091 - 105	731
18	Ribera Baja del Ebro	106 - 120	469
18	Ribera Baja del Ebro	121 - 150	343
18	Ribera Baja del Ebro	151 o más	202
19	Bajo Aragón-Caspe / Baix Aragó-Casp	045 o menos	158
19	Bajo Aragón-Caspe / Baix Aragó-Casp	046 - 060	400
19	Bajo Aragón-Caspe / Baix Aragó-Casp	061 - 075	668
19	Bajo Aragón-Caspe / Baix Aragó-Casp	076 - 090	1603
19	Bajo Aragón-Caspe / Baix Aragó-Casp	091 - 105	843
19	Bajo Aragón-Caspe / Baix Aragó-Casp	106 - 120	518
19	Bajo Aragón-Caspe / Baix Aragó-Casp	121 - 150	440
19	Bajo Aragón-Caspe / Baix Aragó-Casp	151 o más	203
20	Comunidad de Calatayud	045 o menos	347
20	Comunidad de Calatayud	046 - 060	1226
20	Comunidad de Calatayud	061 - 075	2660
20	Comunidad de Calatayud	076 - 090	4890
20	Comunidad de Calatayud	091 - 105	2902
20	Comunidad de Calatayud	106 - 120	1547
20	Comunidad de Calatayud	121 - 150	1010
20	Comunidad de Calatayud	151 o más	678
21	Campo de Cariñena	045 o menos	106
21	Campo de Cariñena	046 - 060	388
21	Campo de Cariñena	061 - 075	511
21	Campo de Cariñena	076 - 090	1021
21	Campo de Cariñena	091 - 105	664
21	Campo de Cariñena	106 - 120	499
21	Campo de Cariñena	121 - 150	355
21	Campo de Cariñena	151 o más	232
22	Campo de Belchite	045 o menos	24
22	Campo de Belchite	046 - 060	112
22	Campo de Belchite	061 - 075	169
