Año	Dirección Provincial Código	Dirección Provincial Nombre	Nº Accidentes	División (2 dígitos) Código	División (2 dígitos) Descripción
2008	50	Zaragoza	3546	45	Construcción
2008	22	Huesca	1141	45	Construcción
2008	50	Zaragoza	1003	28	Fabricación de productos metálicos, excepto maquinaria y equipo
2008	50	Zaragoza	786	60	Transporte terrestre; transporte por tuberías
2008	50	Zaragoza	760	29	Industria de la construción de maquinaria y equipo mecánico
2008	50	Zaragoza	709	34	Fabricación de vehículos de motor, remolques y semirremolques
2008	50	Zaragoza	623	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas
2008	50	Zaragoza	482	75	Administración pública, defensa y seguridad social obligatoria
2008	50	Zaragoza	474	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos
2008	44	Teruel	456	45	Construcción
2008	50	Zaragoza	364	50	Venta, mantenimiento y reparación de vehículos de motor, motocicletas y ciclomotores; venta al por menor de combustible para vehículos de motor
2008	50	Zaragoza	321	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas
2008	44	Teruel	178	10	Extracción y aglomeración de antracita, hulla, lignito y turba
2008	22	Huesca	170	28	Fabricación de productos metálicos, excepto maquinaria y equipo
2008	22	Huesca	165	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas
2008	22	Huesca	161	29	Industria de la construción de maquinaria y equipo mecánico
2008	44	Teruel	160	34	Fabricación de vehículos de motor, remolques y semirremolques
2008	44	Teruel	148	26	Fabricación de otros productos minerales no metálicos
2008	22	Huesca	140	15	Industria de productos alimenticios y bebidas
2008	22	Huesca	133	60	Transporte terrestre; transporte por tuberías
2008	22	Huesca	126	75	Administración pública, defensa y seguridad social obligatoria
2008	22	Huesca	103	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas
2008	22	Huesca	95	26	Fabricación de otros productos minerales no metálicos
2008	44	Teruel	94	15	Industria de productos alimenticios y bebidas
2008	22	Huesca	89	50	Venta, mantenimiento y reparación de vehículos de motor, motocicletas y ciclomotores; venta al por menor de combustible para vehículos de motor
2008	44	Teruel	80	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas
2008	44	Teruel	74	60	Transporte terrestre; transporte por tuberías
2008	44	Teruel	64	20	Industria de la madera y del corcho, excepto muebles; cestería y espartería
2008	44	Teruel	59	28	Fabricación de productos metálicos, excepto maquinaria y equipo
2008	44	Teruel	58	75	Administración pública, defensa y seguridad social obligatoria
2007	50	Zaragoza	4209	45	Construcción
2007	22	Huesca	1397	45	Construcción
2007	50	Zaragoza	1243	28	Fabricación de productos metálicos, excepto maquinaria y equipo
2007	50	Zaragoza	902	29	Industria de la construción de maquinaria y equipo mecánico
2007	50	Zaragoza	850	60	Transporte terrestre; transporte por tuberías
2007	50	Zaragoza	815	34	Fabricación de vehículos de motor, remolques y semirremolques
2007	50	Zaragoza	699	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas
2007	44	Teruel	537	45	Construcción
2007	50	Zaragoza	464	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos
2007	50	Zaragoza	449	75	Administración pública, defensa y seguridad social obligatoria
2007	50	Zaragoza	374	36	Fabricación de muebles; otras industrias manufactureras
2007	50	Zaragoza	364	50	Venta, mantenimiento y reparación de vehículos de motor, motocicletas y ciclomotores; venta al por menor de combustible para vehículos de motor
2007	22	Huesca	219	28	Fabricación de productos metálicos, excepto maquinaria y equipo
2007	22	Huesca	183	60	Transporte terrestre; transporte por tuberías
2007	44	Teruel	176	10	Extracción y aglomeración de antracita, hulla, lignito y turba
2007	22	Huesca	158	15	Industria de productos alimenticios y bebidas
2007	22	Huesca	151	29	Industria de la construción de maquinaria y equipo mecánico
2007	22	Huesca	142	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas
2007	44	Teruel	131	60	Transporte terrestre; transporte por tuberías
2007	22	Huesca	127	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas
2007	44	Teruel	122	26	Fabricación de otros productos minerales no metálicos
2007	22	Huesca	119	75	Administración pública, defensa y seguridad social obligatoria
2007	22	Huesca	104	26	Fabricación de otros productos minerales no metálicos
2007	22	Huesca	94	50	Venta, mantenimiento y reparación de vehículos de motor, motocicletas y ciclomotores; venta al por menor de combustible para vehículos de motor
2007	44	Teruel	91	34	Fabricación de vehículos de motor, remolques y semirremolques
2007	44	Teruel	89	15	Industria de productos alimenticios y bebidas
2007	44	Teruel	82	28	Fabricación de productos metálicos, excepto maquinaria y equipo
2007	44	Teruel	76	75	Administración pública, defensa y seguridad social obligatoria
2007	44	Teruel	71	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas
2007	44	Teruel	61	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas
2006	50	Zaragoza	3809	45	Construcción
2006	22	Huesca	1261	45	Construcción
2006	50	Zaragoza	1186	28	Fabricación de productos metálicos, excepto maquinaria y equipo
2006	50	Zaragoza	917	29	Industria de la construción de maquinaria y equipo mecánico
2006	50	Zaragoza	799	60	Transporte terrestre; transporte por tuberías
2006	50	Zaragoza	741	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas
2006	50	Zaragoza	664	34	Fabricación de vehículos de motor, remolques y semirremolques
2006	50	Zaragoza	530	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos
2006	44	Teruel	496	45	Construcción
2006	50	Zaragoza	422	75	Administración pública, defensa y seguridad social obligatoria
2006	50	Zaragoza	406	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas
2006	50	Zaragoza	402	25	Fabricacion de productos de caucho y materias plasticas
2006	22	Huesca	191	28	Fabricación de productos metálicos, excepto maquinaria y equipo
2006	22	Huesca	177	60	Transporte terrestre; transporte por tuberías
2006	22	Huesca	162	15	Industria de productos alimenticios y bebidas
2006	22	Huesca	159	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas
2006	22	Huesca	150	29	Industria de la construción de maquinaria y equipo mecánico
2006	44	Teruel	148	10	Extracción y aglomeración de antracita, hulla, lignito y turba
2006	22	Huesca	121	75	Administración pública, defensa y seguridad social obligatoria
2006	22	Huesca	119	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas
2006	22	Huesca	118	26	Fabricación de otros productos minerales no metálicos
2006	44	Teruel	116	26	Fabricación de otros productos minerales no metálicos
2006	44	Teruel	97	60	Transporte terrestre; transporte por tuberías
2006	44	Teruel	91	15	Industria de productos alimenticios y bebidas
2006	22	Huesca	83	50	Venta, mantenimiento y reparación de vehículos de motor, motocicletas y ciclomotores; venta al por menor de combustible para vehículos de motor
2006	44	Teruel	73	28	Fabricación de productos metálicos, excepto maquinaria y equipo
2006	44	Teruel	72	20	Industria de la madera y del corcho, excepto muebles; cestería y espartería
2006	44	Teruel	67	34	Fabricación de vehículos de motor, remolques y semirremolques
2006	44	Teruel	66	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas
2006	44	Teruel	56	75	Administración pública, defensa y seguridad social obligatoria
2005	50	Zaragoza	3410	45	Construcción
2005	22	Huesca	1143	45	Construcción
2005	50	Zaragoza	1030	28	Fabricación de productos metálicos, excepto maquinaria y equipo
2005	50	Zaragoza	868	29	Industria de la construción de maquinaria y equipo mecánico
2005	50	Zaragoza	778	60	Transporte terrestre; transporte por tuberías
2005	50	Zaragoza	682	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas
2005	50	Zaragoza	632	34	Fabricación de vehículos de motor, remolques y semirremolques
2005	50	Zaragoza	589	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos
2005	44	Teruel	473	45	Construcción
2005	50	Zaragoza	434	75	Administración pública, defensa y seguridad social obligatoria
2005	50	Zaragoza	389	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas
2005	50	Zaragoza	345	36	Fabricación de muebles; otras industrias manufactureras
2005	22	Huesca	172	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas
2005	22	Huesca	159	15	Industria de productos alimenticios y bebidas
2005	22	Huesca	153	29	Industria de la construción de maquinaria y equipo mecánico
2005	22	Huesca	143	75	Administración pública, defensa y seguridad social obligatoria
2005	22	Huesca	142	60	Transporte terrestre; transporte por tuberías
2005	22	Huesca	137	28	Fabricación de productos metálicos, excepto maquinaria y equipo
2005	44	Teruel	120	10	Extracción y aglomeración de antracita, hulla, lignito y turba
2005	44	Teruel	114	26	Fabricación de otros productos minerales no metálicos
2005	44	Teruel	112	15	Industria de productos alimenticios y bebidas
2005	44	Teruel	106	60	Transporte terrestre; transporte por tuberías
2005	22	Huesca	101	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas
2005	22	Huesca	96	50	Venta, mantenimiento y reparación de vehículos de motor, motocicletas y ciclomotores; venta al por menor de combustible para vehículos de motor
2005	22	Huesca	90	26	Fabricación de otros productos minerales no metálicos
