Municipio código	Municipio nombre	Especie ganadería 	Subespecie ganadería	Explotaciones ganadería
22001	Abiego	Aves	Gallinas ponedoras	1
22001	Abiego	Caprinos	Cabras madres y chivas de reposición	1
22001	Abiego	Conejas madres	Conejas madres	1
22001	Abiego	Ovinos	Otros ovinos (lechales, recentales, sementales, machos castrados)	5
22001	Abiego	Ovinos	Ovejas madres y corderas para reposición	8
22001	Abiego	Porcinos	Cerdas madres y cerdas para reposición de 50 kg y más	2
22001	Abiego	Porcinos	Lechones de menos de 20 kg	1
22001	Abiego	Porcinos	Otros porcinos (verracos, cebo y reproductores de desecho)	2
22002	Abizanda	Aves	Gallinas ponedoras	2
22002	Abizanda	Bovinos	Bovinos de entre uno y dos años	1
22002	Abizanda	Bovinos	Bovinos de menos de un año	2
22002	Abizanda	Bovinos	Otros bovinos de dos años o más	1
22002	Abizanda	Bovinos	Vacas	1
22002	Abizanda	Caprinos	Cabras madres y chivas de reposición	1
22002	Abizanda	Colmenas	Colmenas	1
22002	Abizanda	Ovinos	Otros ovinos (lechales, recentales, sementales, machos castrados)	6
22002	Abizanda	Ovinos	Ovejas madres y corderas para reposición	9
22002	Abizanda	Porcinos	Otros porcinos (verracos, cebo y reproductores de desecho)	1
22003	Adahuesca	Bovinos	Bovinos de entre uno y dos años	3
22003	Adahuesca	Bovinos	Bovinos de menos de un año	10
22003	Adahuesca	Bovinos	Otros bovinos de dos años o más	3
22003	Adahuesca	Bovinos	Vacas	3
22003	Adahuesca	Caprinos	Cabras madres y chivas de reposición	1
22003	Adahuesca	Caprinos	Otros caprinos (cabritos, sementales, machos castrados)	1
22003	Adahuesca	Ovinos	Otros ovinos (lechales, recentales, sementales, machos castrados)	3
22003	Adahuesca	Ovinos	Ovejas madres y corderas para reposición	6
22003	Adahuesca	Porcinos	Cerdas madres y cerdas para reposición de 50 kg y más	1
22003	Adahuesca	Porcinos	Lechones de menos de 20 kg	1
22003	Adahuesca	Porcinos	Otros porcinos (verracos, cebo y reproductores de desecho)	2
22004	Agüero	Caprinos	Cabras madres y chivas de reposición	1
22004	Agüero	Ovinos	Otros ovinos (lechales, recentales, sementales, machos castrados)	2
22004	Agüero	Ovinos	Ovejas madres y corderas para reposición	2
22006	Aísa	Aves	Gallinas ponedoras	1
22006	Aísa	Bovinos	Bovinos de entre uno y dos años	3
22006	Aísa	Bovinos	Bovinos de menos de un año	3
22006	Aísa	Bovinos	Otros bovinos de dos años o más	3
22006	Aísa	Bovinos	Vacas	3
22006	Aísa	Caprinos	Cabras madres y chivas de reposición	3
22006	Aísa	Caprinos	Otros caprinos (cabritos, sementales, machos castrados)	2
22006	Aísa	Conejas madres	Conejas madres	1
22006	Aísa	Ovinos	Otros ovinos (lechales, recentales, sementales, machos castrados)	8
22006	Aísa	Ovinos	Ovejas madres y corderas para reposición	9
22007	Albalate de Cinca	Aves	Gallinas ponedoras	2
22007	Albalate de Cinca	Aves	Pollos de carne	1
22007	Albalate de Cinca	Bovinos	Bovinos de entre uno y dos años	6
22007	Albalate de Cinca	Bovinos	Bovinos de menos de un año	22
22007	Albalate de Cinca	Bovinos	Otros bovinos de dos años o más	5
22007	Albalate de Cinca	Bovinos	Vacas	5
22007	Albalate de Cinca	Caprinos	Cabras madres y chivas de reposición	1
22007	Albalate de Cinca	Caprinos	Otros caprinos (cabritos, sementales, machos castrados)	1
22007	Albalate de Cinca	Otros animales no de compañía	Otros animales no de compañía	1
22007	Albalate de Cinca	Ovinos	Otros ovinos (lechales, recentales, sementales, machos castrados)	1
22007	Albalate de Cinca	Ovinos	Ovejas madres y corderas para reposición	1
22007	Albalate de Cinca	Porcinos	Cerdas madres y cerdas para reposición de 50 kg y más	1
22007	Albalate de Cinca	Porcinos	Lechones de menos de 20 kg	2
22007	Albalate de Cinca	Porcinos	Otros porcinos (verracos, cebo y reproductores de desecho)	8
22008	Albalatillo	Aves	Pollos de carne	1
22008	Albalatillo	Bovinos	Bovinos de entre uno y dos años	1
22008	Albalatillo	Bovinos	Bovinos de menos de un año	6
22008	Albalatillo	Bovinos	Vacas	1
22008	Albalatillo	Porcinos	Cerdas madres y cerdas para reposición de 50 kg y más	2
22008	Albalatillo	Porcinos	Lechones de menos de 20 kg	3
22008	Albalatillo	Porcinos	Otros porcinos (verracos, cebo y reproductores de desecho)	4
22009	Albelda	Aves	Gallinas ponedoras	19
22009	Albelda	Aves	Otras aves (pavos, patos, ocas, perdices, codornices, pintadas,...)	4
22009	Albelda	Aves	Pollos de carne	6
22009	Albelda	Bovinos	Bovinos de entre uno y dos años	5
22009	Albelda	Bovinos	Bovinos de menos de un año	18
22009	Albelda	Bovinos	Vacas	4
22009	Albelda	Caprinos	Cabras madres y chivas de reposición	3
22009	Albelda	Caprinos	Otros caprinos (cabritos, sementales, machos castrados)	2
22009	Albelda	Colmenas	Colmenas	3
22009	Albelda	Conejas madres	Conejas madres	7
22009	Albelda	Equinos	Equinos (caballos, mulas y asnos)	3
22009	Albelda	Ovinos	Otros ovinos (lechales, recentales, sementales, machos castrados)	3
22009	Albelda	Ovinos	Ovejas madres y corderas para reposición	7
22009	Albelda	Porcinos	Cerdas madres y cerdas para reposición de 50 kg y más	5
22009	Albelda	Porcinos	Lechones de menos de 20 kg	8
22009	Albelda	Porcinos	Otros porcinos (verracos, cebo y reproductores de desecho)	36
22011	Albero Alto	Porcinos	Otros porcinos (verracos, cebo y reproductores de desecho)	2
22012	Albero Bajo	Bovinos	Bovinos de menos de un año	1
22012	Albero Bajo	Caprinos	Cabras madres y chivas de reposición	1
22012	Albero Bajo	Caprinos	Otros caprinos (cabritos, sementales, machos castrados)	1
22012	Albero Bajo	Ovinos	Otros ovinos (lechales, recentales, sementales, machos castrados)	1
22012	Albero Bajo	Ovinos	Ovejas madres y corderas para reposición	1
22012	Albero Bajo	Porcinos	Lechones de menos de 20 kg	1
22012	Albero Bajo	Porcinos	Otros porcinos (verracos, cebo y reproductores de desecho)	1
22013	Alberuela de Tubo	Bovinos	Bovinos de entre uno y dos años	6
22013	Alberuela de Tubo	Bovinos	Bovinos de menos de un año	2
22013	Alberuela de Tubo	Bovinos	Otros bovinos de dos años o más	1
22013	Alberuela de Tubo	Ovinos	Otros ovinos (lechales, recentales, sementales, machos castrados)	1
22013	Alberuela de Tubo	Ovinos	Ovejas madres y corderas para reposición	1
22013	Alberuela de Tubo	Porcinos	Otros porcinos (verracos, cebo y reproductores de desecho)	2
22014	Alcalá de Gurrea	Aves	Gallinas ponedoras	2
22014	Alcalá de Gurrea	Aves	Pollos de carne	1
22014	Alcalá de Gurrea	Bovinos	Bovinos de entre uno y dos años	2
22014	Alcalá de Gurrea	Colmenas	Colmenas	1
22014	Alcalá de Gurrea	Ovinos	Otros ovinos (lechales, recentales, sementales, machos castrados)	1
22014	Alcalá de Gurrea	Ovinos	Ovejas madres y corderas para reposición	2
22015	Alcalá del Obispo	Aves	Pollos de carne	1
22015	Alcalá del Obispo	Bovinos	Bovinos de entre uno y dos años	1
22015	Alcalá del Obispo	Bovinos	Bovinos de menos de un año	3
22015	Alcalá del Obispo	Bovinos	Vacas	1
22015	Alcalá del Obispo	Caprinos	Cabras madres y chivas de reposición	1
22015	Alcalá del Obispo	Caprinos	Otros caprinos (cabritos, sementales, machos castrados)	1
22015	Alcalá del Obispo	Equinos	Equinos (caballos, mulas y asnos)	1
22015	Alcalá del Obispo	Ovinos	Otros ovinos (lechales, recentales, sementales, machos castrados)	3
22015	Alcalá del Obispo	Ovinos	Ovejas madres y corderas para reposición	5
22015	Alcalá del Obispo	Porcinos	Cerdas madres y cerdas para reposición de 50 kg y más	2
22015	Alcalá del Obispo	Porcinos	Lechones de menos de 20 kg	2
22015	Alcalá del Obispo	Porcinos	Otros porcinos (verracos, cebo y reproductores de desecho)	10
22016	Alcampell	Aves	Gallinas ponedoras	4
22016	Alcampell	Aves	Pollos de carne	3
22016	Alcampell	Bovinos	Bovinos de entre uno y dos años	11
22016	Alcampell	Bovinos	Bovinos de menos de un año	15
22016	Alcampell	Bovinos	Otros bovinos de dos años o más	1
22016	Alcampell	Bovinos	Vacas	1
22016	Alcampell	Caprinos	Cabras madres y chivas de reposición	3
22016	Alcampell	Caprinos	Otros caprinos (cabritos, sementales, machos castrados)	3
22016	Alcampell	Colmenas	Colmenas	1
22016	Alcampell	Conejas madres	Conejas madres	4
22016	Alcampell	Equinos	Equinos (caballos, mulas y asnos)	1
22016	Alcampell	Ovinos	Otros ovinos (lechales, recentales, sementales, machos castrados)	3
22016	Alcampell	Ovinos	Ovejas madres y corderas para reposición	4
22016	Alcampell	Porcinos	Cerdas madres y cerdas para reposición de 50 kg y más	4
22016	Alcampell	Porcinos	Lechones de menos de 20 kg	5
22016	Alcampell	Porcinos	Otros porcinos (verracos, cebo y reproductores de desecho)	26
22017	Alcolea de Cinca	Aves	Gallinas ponedoras	1
22017	Alcolea de Cinca	Aves	Otras aves (pavos, patos, ocas, perdices, codornices, pintadas,...)	1
22017	Alcolea de Cinca	Aves	Pollos de carne	2
22017	Alcolea de Cinca	Bovinos	Bovinos de entre uno y dos años	2
22017	Alcolea de Cinca	Bovinos	Bovinos de menos de un año	5
22017	Alcolea de Cinca	Bovinos	Otros bovinos de dos años o más	3
22017	Alcolea de Cinca	Bovinos	Vacas	1
22017	Alcolea de Cinca	Caprinos	Cabras madres y chivas de reposición	3
22017	Alcolea de Cinca	Caprinos	Otros caprinos (cabritos, sementales, machos castrados)	2
22017	Alcolea de Cinca	Colmenas	Colmenas	2
22017	Alcolea de Cinca	Conejas madres	Conejas madres	1
22017	Alcolea de Cinca	Equinos	Equinos (caballos, mulas y asnos)	3
22017	Alcolea de Cinca	Ovinos	Otros ovinos (lechales, recentales, sementales, machos castrados)	4
22017	Alcolea de Cinca	Ovinos	Ovejas madres y corderas para reposición	6
22017	Alcolea de Cinca	Porcinos	Lechones de menos de 20 kg	2
22017	Alcolea de Cinca	Porcinos	Otros porcinos (verracos, cebo y reproductores de desecho)	22
22018	Alcubierre	Aves	Gallinas ponedoras	1
22018	Alcubierre	Bovinos	Bovinos de menos de un año	2
22018	Alcubierre	Caprinos	Cabras madres y chivas de reposición	4
22018	Alcubierre	Caprinos	Otros caprinos (cabritos, sementales, machos castrados)	4
22018	Alcubierre	Colmenas	Colmenas	1
22018	Alcubierre	Conejas madres	Conejas madres	1
22018	Alcubierre	Ovinos	Otros ovinos (lechales, recentales, sementales, machos castrados)	5
22018	Alcubierre	Ovinos	Ovejas madres y corderas para reposición	5
22018	Alcubierre	Porcinos	Cerdas madres y cerdas para reposición de 50 kg y más	4
22018	Alcubierre	Porcinos	Lechones de menos de 20 kg	3
22018	Alcubierre	Porcinos	Otros porcinos (verracos, cebo y reproductores de desecho)	28
22019	Alerre	Caprinos	Cabras madres y chivas de reposición	1
22019	Alerre	Caprinos	Otros caprinos (cabritos, sementales, machos castrados)	1
22019	Alerre	Ovinos	Otros ovinos (lechales, recentales, sementales, machos castrados)	2
22019	Alerre	Ovinos	Ovejas madres y corderas para reposición	2
22020	Alfántega	Aves	Gallinas ponedoras	1
22020	Alfántega	Aves	Otras aves (pavos, patos, ocas, perdices, codornices, pintadas,...)	1
22020	Alfántega	Bovinos	Bovinos de menos de un año	1
22020	Alfántega	Ovinos	Otros ovinos (lechales, recentales, sementales, machos castrados)	1
22020	Alfántega	Ovinos	Ovejas madres y corderas para reposición	1
22020	Alfántega	Porcinos	Cerdas madres y cerdas para reposición de 50 kg y más	1
22020	Alfántega	Porcinos	Lechones de menos de 20 kg	1
22020	Alfántega	Porcinos	Otros porcinos (verracos, cebo y reproductores de desecho)	6
22021	Almudévar	Aves	Gallinas ponedoras	3
22021	Almudévar	Aves	Pollos de carne	3
22021	Almudévar	Bovinos	Bovinos de entre uno y dos años	5
22021	Almudévar	Bovinos	Bovinos de menos de un año	20
22021	Almudévar	Bovinos	Otros bovinos de dos años o más	4
22021	Almudévar	Bovinos	Vacas	3
22021	Almudévar	Caprinos	Cabras madres y chivas de reposición	5
22021	Almudévar	Caprinos	Otros caprinos (cabritos, sementales, machos castrados)	5
22021	Almudévar	Colmenas	Colmenas	3
22021	Almudévar	Conejas madres	Conejas madres	1
22021	Almudévar	Equinos	Equinos (caballos, mulas y asnos)	2
22021	Almudévar	Ovinos	Otros ovinos (lechales, recentales, sementales, machos castrados)	6
22021	Almudévar	Ovinos	Ovejas madres y corderas para reposición	13
22021	Almudévar	Porcinos	Cerdas madres y cerdas para reposición de 50 kg y más	1
22021	Almudévar	Porcinos	Lechones de menos de 20 kg	2
22021	Almudévar	Porcinos	Otros porcinos (verracos, cebo y reproductores de desecho)	7
22022	Almunia de San Juan	Aves	Gallinas ponedoras	2
22022	Almunia de San Juan	Aves	Pollos de carne	1
22022	Almunia de San Juan	Bovinos	Bovinos de menos de un año	9
22022	Almunia de San Juan	Bovinos	Otros bovinos de dos años o más	3
22022	Almunia de San Juan	Bovinos	Vacas	3
22022	Almunia de San Juan	Caprinos	Cabras madres y chivas de reposición	1
22022	Almunia de San Juan	Caprinos	Otros caprinos (cabritos, sementales, machos castrados)	1
22022	Almunia de San Juan	Colmenas	Colmenas	1
22022	Almunia de San Juan	Equinos	Equinos (caballos, mulas y asnos)	2
22022	Almunia de San Juan	Ovinos	Otros ovinos (lechales, recentales, sementales, machos castrados)	3
22022	Almunia de San Juan	Ovinos	Ovejas madres y corderas para reposición	3
22022	Almunia de San Juan	Porcinos	Otros porcinos (verracos, cebo y reproductores de desecho)	4
22023	Almuniente	Aves	Gallinas ponedoras	1
22023	Almuniente	Bovinos	Bovinos de entre uno y dos años	1
22023	Almuniente	Bovinos	Bovinos de menos de un año	1
22023	Almuniente	Colmenas	Colmenas	1
22023	Almuniente	Ovinos	Otros ovinos (lechales, recentales, sementales, machos castrados)	1
22023	Almuniente	Ovinos	Ovejas madres y corderas para reposición	3
22023	Almuniente	Porcinos	Cerdas madres y cerdas para reposición de 50 kg y más	6
22023	Almuniente	Porcinos	Lechones de menos de 20 kg	5
22023	Almuniente	Porcinos	Otros porcinos (verracos, cebo y reproductores de desecho)	16
22024	Alquézar	Aves	Gallinas ponedoras	3
22024	Alquézar	Aves	Otras aves (pavos, patos, ocas, perdices, codornices, pintadas,...)	1
22024	Alquézar	Aves	Pollos de carne	2
22024	Alquézar	Bovinos	Bovinos de menos de un año	1
22024	Alquézar	Caprinos	Cabras madres y chivas de reposición	3
22024	Alquézar	Caprinos	Otros caprinos (cabritos, sementales, machos castrados)	3
22024	Alquézar	Colmenas	Colmenas	1
22024	Alquézar	Conejas madres	Conejas madres	2
22024	Alquézar	Ovinos	Otros ovinos (lechales, recentales, sementales, machos castrados)	3
22024	Alquézar	Ovinos	Ovejas madres y corderas para reposición	3
22024	Alquézar	Porcinos	Cerdas madres y cerdas para reposición de 50 kg y más	1
22024	Alquézar	Porcinos	Lechones de menos de 20 kg	1
22025	Altorricón	Aves	Gallinas ponedoras	6
22025	Altorricón	Aves	Otras aves (pavos, patos, ocas, perdices, codornices, pintadas,...)	2
22025	Altorricón	Aves	Pollos de carne	7
22025	Altorricón	Bovinos	Bovinos de entre uno y dos años	7
22025	Altorricón	Bovinos	Bovinos de menos de un año	32
22025	Altorricón	Bovinos	Otros bovinos de dos años o más	3
22025	Altorricón	Bovinos	Vacas	3
22025	Altorricón	Caprinos	Cabras madres y chivas de reposición	5
22025	Altorricón	Caprinos	Otros caprinos (cabritos, sementales, machos castrados)	5
22025	Altorricón	Conejas madres	Conejas madres	4
22025	Altorricón	Equinos	Equinos (caballos, mulas y asnos)	2
22025	Altorricón	Otros animales no de compañía	Otros animales no de compañía	1
22025	Altorricón	Ovinos	Otros ovinos (lechales, recentales, sementales, machos castrados)	7
22025	Altorricón	Ovinos	Ovejas madres y corderas para reposición	8
22025	Altorricón	Porcinos	Cerdas madres y cerdas para reposición de 50 kg y más	8
22025	Altorricón	Porcinos	Lechones de menos de 20 kg	9
22025	Altorricón	Porcinos	Otros porcinos (verracos, cebo y reproductores de desecho)	49
22027	Angüés	Aves	Pollos de carne	1
22027	Angüés	Bovinos	Bovinos de entre uno y dos años	2
22027	Angüés	Bovinos	Bovinos de menos de un año	4
22027	Angüés	Bovinos	Otros bovinos de dos años o más	1
22027	Angüés	Porcinos	Cerdas madres y cerdas para reposición de 50 kg y más	1
22027	Angüés	Porcinos	Otros porcinos (verracos, cebo y reproductores de desecho)	3
22028	Ansó	Aves	Gallinas ponedoras	1
22028	Ansó	Bovinos	Bovinos de entre uno y dos años	4
22028	Ansó	Bovinos	Bovinos de menos de un año	5
22028	Ansó	Bovinos	Otros bovinos de dos años o más	8
22028	Ansó	Bovinos	Vacas	8
22028	Ansó	Caprinos	Cabras madres y chivas de reposición	4
22028	Ansó	Caprinos	Otros caprinos (cabritos, sementales, machos castrados)	5
22028	Ansó	Conejas madres	Conejas madres	1
22028	Ansó	Equinos	Equinos (caballos, mulas y asnos)	2
22028	Ansó	Ovinos	Otros ovinos (lechales, recentales, sementales, machos castrados)	10
22028	Ansó	Ovinos	Ovejas madres y corderas para reposición	11
22028	Ansó	Porcinos	Otros porcinos (verracos, cebo y reproductores de desecho)	1
22029	Antillón	Bovinos	Bovinos de entre uno y dos años	1
22029	Antillón	Bovinos	Bovinos de menos de un año	4
22029	Antillón	Bovinos	Vacas	1
22029	Antillón	Caprinos	Cabras madres y chivas de reposición	2
22029	Antillón	Caprinos	Otros caprinos (cabritos, sementales, machos castrados)	1
22029	Antillón	Ovinos	Otros ovinos (lechales, recentales, sementales, machos castrados)	2
22029	Antillón	Ovinos	Ovejas madres y corderas para reposición	3
22029	Antillón	Porcinos	Lechones de menos de 20 kg	1
22029	Antillón	Porcinos	Otros porcinos (verracos, cebo y reproductores de desecho)	3
22032	Aragüés del Puerto	Aves	Gallinas ponedoras	2
22032	Aragüés del Puerto	Aves	Otras aves (pavos, patos, ocas, perdices, codornices, pintadas,...)	1
22032	Aragüés del Puerto	Aves	Pollos de carne	1
22032	Aragüés del Puerto	Bovinos	Bovinos de entre uno y dos años	1
22032	Aragüés del Puerto	Bovinos	Bovinos de menos de un año	1
22032	Aragüés del Puerto	Bovinos	Otros bovinos de dos años o más	1
22032	Aragüés del Puerto	Caprinos	Cabras madres y chivas de reposición	1
22032	Aragüés del Puerto	Caprinos	Otros caprinos (cabritos, sementales, machos castrados)	1
22032	Aragüés del Puerto	Conejas madres	Conejas madres	1
22032	Aragüés del Puerto	Ovinos	Otros ovinos (lechales, recentales, sementales, machos castrados)	1
22032	Aragüés del Puerto	Ovinos	Ovejas madres y corderas para reposición	1
22035	Arén	Aves	Gallinas ponedoras	5
22035	Arén	Aves	Pollos de carne	4
22035	Arén	Bovinos	Bovinos de entre uno y dos años	4
22035	Arén	Bovinos	Bovinos de menos de un año	20
22035	Arén	Bovinos	Otros bovinos de dos años o más	3
22035	Arén	Bovinos	Vacas	5
22035	Arén	Caprinos	Cabras madres y chivas de reposición	8
22035	Arén	Caprinos	Otros caprinos (cabritos, sementales, machos castrados)	5
22035	Arén	Conejas madres	Conejas madres	2
22035	Arén	Equinos	Equinos (caballos, mulas y asnos)	2
22035	Arén	Ovinos	Otros ovinos (lechales, recentales, sementales, machos castrados)	9
22035	Arén	Ovinos	Ovejas madres y corderas para reposición	14
22035	Arén	Porcinos	Cerdas madres y cerdas para reposición de 50 kg y más	3
22035	Arén	Porcinos	Lechones de menos de 20 kg	6
22035	Arén	Porcinos	Otros porcinos (verracos, cebo y reproductores de desecho)	6
22036	Argavieso	Ovinos	Otros ovinos (lechales, recentales, sementales, machos castrados)	1
22036	Argavieso	Ovinos	Ovejas madres y corderas para reposición	1
22036	Argavieso	Porcinos	Otros porcinos (verracos, cebo y reproductores de desecho)	2
22037	Arguis	Aves	Gallinas ponedoras	1
22037	Arguis	Aves	Pollos de carne	2
22037	Arguis	Bovinos	Bovinos de entre uno y dos años	4
22037	Arguis	Bovinos	Bovinos de menos de un año	4
22037	Arguis	Bovinos	Otros bovinos de dos años o más	5
22037	Arguis	Bovinos	Vacas	7
22037	Arguis	Equinos	Equinos (caballos, mulas y asnos)	1
22037	Arguis	Ovinos	Ovejas madres y corderas para reposición	1
22039	Ayerbe	Aves	Gallinas ponedoras	2
22039	Ayerbe	Bovinos	Bovinos de entre uno y dos años	2
22039	Ayerbe	Bovinos	Bovinos de menos de un año	3
22039	Ayerbe	Colmenas	Colmenas	2
22039	Ayerbe	Ovinos	Otros ovinos (lechales, recentales, sementales, machos castrados)	1
22039	Ayerbe	Ovinos	Ovejas madres y corderas para reposición	1
22039	Ayerbe	Porcinos	Cerdas madres y cerdas para reposición de 50 kg y más	1
22039	Ayerbe	Porcinos	Lechones de menos de 20 kg	1
22039	Ayerbe	Porcinos	Otros porcinos (verracos, cebo y reproductores de desecho)	1
22040	Azanuy-Alins	Aves	Gallinas ponedoras	1
22040	Azanuy-Alins	Aves	Pollos de carne	2
22040	Azanuy-Alins	Bovinos	Bovinos de entre uno y dos años	2
22040	Azanuy-Alins	Bovinos	Bovinos de menos de un año	3
22040	Azanuy-Alins	Bovinos	Vacas	1
22040	Azanuy-Alins	Caprinos	Cabras madres y chivas de reposición	2
22040	Azanuy-Alins	Caprinos	Otros caprinos (cabritos, sementales, machos castrados)	1
22040	Azanuy-Alins	Conejas madres	Conejas madres	1
22040	Azanuy-Alins	Ovinos	Otros ovinos (lechales, recentales, sementales, machos castrados)	1
22040	Azanuy-Alins	Ovinos	Ovejas madres y corderas para reposición	1
22040	Azanuy-Alins	Porcinos	Otros porcinos (verracos, cebo y reproductores de desecho)	2
22041	Azara	Aves	Gallinas ponedoras	2
22041	Azara	Caprinos	Cabras madres y chivas de reposición	1
22041	Azara	Caprinos	Otros caprinos (cabritos, sementales, machos castrados)	1
22041	Azara	Conejas madres	Conejas madres	2
22041	Azara	Otros animales no de compañía	Otros animales no de compañía	1
22041	Azara	Ovinos	Otros ovinos (lechales, recentales, sementales, machos castrados)	1
22041	Azara	Ovinos	Ovejas madres y corderas para reposición	1
22041	Azara	Porcinos	Cerdas madres y cerdas para reposición de 50 kg y más	3
22041	Azara	Porcinos	Lechones de menos de 20 kg	2
22041	Azara	Porcinos	Otros porcinos (verracos, cebo y reproductores de desecho)	2
22042	Azlor	Aves	Gallinas ponedoras	6
22042	Azlor	Aves	Pollos de carne	3
22042	Azlor	Bovinos	Bovinos de entre uno y dos años	2
22042	Azlor	Bovinos	Bovinos de menos de un año	1
22042	Azlor	Bovinos	Vacas	1
22042	Azlor	Caprinos	Cabras madres y chivas de reposición	2
22042	Azlor	Caprinos	Otros caprinos (cabritos, sementales, machos castrados)	2
22042	Azlor	Colmenas	Colmenas	2
22042	Azlor	Conejas madres	Conejas madres	3
22042	Azlor	Ovinos	Otros ovinos (lechales, recentales, sementales, machos castrados)	3
22042	Azlor	Ovinos	Ovejas madres y corderas para reposición	4
22043	Baells	Aves	Gallinas ponedoras	1
22043	Baells	Aves	Pollos de carne	1
22043	Baells	Bovinos	Bovinos de menos de un año	2
22043	Baells	Colmenas	Colmenas	1
22043	Baells	Porcinos	Cerdas madres y cerdas para reposición de 50 kg y más	1
22043	Baells	Porcinos	Lechones de menos de 20 kg	1
22043	Baells	Porcinos	Otros porcinos (verracos, cebo y reproductores de desecho)	2
22044	Bailo	Aves	Gallinas ponedoras	3
22044	Bailo	Aves	Pollos de carne	2
22044	Bailo	Bovinos	Bovinos de entre uno y dos años	2
22044	Bailo	Bovinos	Bovinos de menos de un año	3
22044	Bailo	Bovinos	Otros bovinos de dos años o más	1
22044	Bailo	Bovinos	Vacas	2
22044	Bailo	Caprinos	Cabras madres y chivas de reposición	7
22044	Bailo	Caprinos	Otros caprinos (cabritos, sementales, machos castrados)	5
22044	Bailo	Colmenas	Colmenas	1
22044	Bailo	Conejas madres	Conejas madres	3
22044	Bailo	Equinos	Equinos (caballos, mulas y asnos)	2
22044	Bailo	Otros animales no de compañía	Otros animales no de compañía	1
22044	Bailo	Ovinos	Otros ovinos (lechales, recentales, sementales, machos castrados)	17
22044	Bailo	Ovinos	Ovejas madres y corderas para reposición	20
22044	Bailo	Porcinos	Otros porcinos (verracos, cebo y reproductores de desecho)	2
22045	Baldellou	Bovinos	Bovinos de menos de un año	1
22045	Baldellou	Caprinos	Cabras madres y chivas de reposición	1
22045	Baldellou	Colmenas	Colmenas	1
22045	Baldellou	Conejas madres	Conejas madres	1
22045	Baldellou	Ovinos	Otros ovinos (lechales, recentales, sementales, machos castrados)	1
22045	Baldellou	Ovinos	Ovejas madres y corderas para reposición	1
22045	Baldellou	Porcinos	Cerdas madres y cerdas para reposición de 50 kg y más	1
22045	Baldellou	Porcinos	Otros porcinos (verracos, cebo y reproductores de desecho)	2
22046	Ballobar	Aves	Gallinas ponedoras	5
22046	Ballobar	Aves	Otras aves (pavos, patos, ocas, perdices, codornices, pintadas,...)	1
22046	Ballobar	Aves	Pollos de carne	2
22046	Ballobar	Bovinos	Bovinos de entre uno y dos años	1
22046	Ballobar	Bovinos	Bovinos de menos de un año	3
22046	Ballobar	Caprinos	Cabras madres y chivas de reposición	7
22046	Ballobar	Caprinos	Otros caprinos (cabritos, sementales, machos castrados)	6
22046	Ballobar	Conejas madres	Conejas madres	2
22046	Ballobar	Equinos	Equinos (caballos, mulas y asnos)	1
22046	Ballobar	Otros animales no de compañía	Otros animales no de compañía	1
22046	Ballobar	Ovinos	Otros ovinos (lechales, recentales, sementales, machos castrados)	12
22046	Ballobar	Ovinos	Ovejas madres y corderas para reposición	14
22046	Ballobar	Porcinos	Cerdas madres y cerdas para reposición de 50 kg y más	2
22046	Ballobar	Porcinos	Lechones de menos de 20 kg	2
22046	Ballobar	Porcinos	Otros porcinos (verracos, cebo y reproductores de desecho)	4
22047	Banastás	Ovinos	Otros ovinos (lechales, recentales, sementales, machos castrados)	1
22047	Banastás	Ovinos	Ovejas madres y corderas para reposición	1
22048	Barbastro	Aves	Gallinas ponedoras	12
22048	Barbastro	Aves	Otras aves (pavos, patos, ocas, perdices, codornices, pintadas,...)	4
22048	Barbastro	Aves	Pollos de carne	5
22048	Barbastro	Bovinos	Bovinos de entre uno y dos años	8
22048	Barbastro	Bovinos	Bovinos de menos de un año	5
22048	Barbastro	Bovinos	Vacas	1
22048	Barbastro	Caprinos	Cabras madres y chivas de reposición	9
22048	Barbastro	Caprinos	Otros caprinos (cabritos, sementales, machos castrados)	5
22048	Barbastro	Colmenas	Colmenas	1
22048	Barbastro	Conejas madres	Conejas madres	4
22048	Barbastro	Equinos	Equinos (caballos, mulas y asnos)	5
22048	Barbastro	Ovinos	Otros ovinos (lechales, recentales, sementales, machos castrados)	10
22048	Barbastro	Ovinos	Ovejas madres y corderas para reposición	13
22048	Barbastro	Porcinos	Cerdas madres y cerdas para reposición de 50 kg y más	4
22048	Barbastro	Porcinos	Lechones de menos de 20 kg	4
22048	Barbastro	Porcinos	Otros porcinos (verracos, cebo y reproductores de desecho)	13
22049	Barbués	Porcinos	Cerdas madres y cerdas para reposición de 50 kg y más	1
22049	Barbués	Porcinos	Lechones de menos de 20 kg	1
22049	Barbués	Porcinos	Otros porcinos (verracos, cebo y reproductores de desecho)	3
22051	Bárcabo	Aves	Gallinas ponedoras	3
22051	Bárcabo	Aves	Otras aves (pavos, patos, ocas, perdices, codornices, pintadas,...)	1
22051	Bárcabo	Bovinos	Bovinos de entre uno y dos años	2
22051	Bárcabo	Bovinos	Bovinos de menos de un año	33
22051	Bárcabo	Bovinos	Otros bovinos de dos años o más	1
22051	Bárcabo	Bovinos	Vacas	1
22051	Bárcabo	Colmenas	Colmenas	2
22051	Bárcabo	Conejas madres	Conejas madres	2
22051	Bárcabo	Otros animales no de compañía	Otros animales no de compañía	1
22051	Bárcabo	Ovinos	Otros ovinos (lechales, recentales, sementales, machos castrados)	4
