Mes y año	'Aragón'	Sexo	Nº parados	Grupos 1 duración demanda código	Grupos 1 duración demanda descripción
Febrero 2016	Aragón	Mujeres	9680	6	Más de 3 años
Enero 2016	Aragón	Hombres	15170	1	Hasta 3 meses
Enero 2016	Aragón	Hombres	6875	2	De 3 a 6 meses
Enero 2016	Aragón	Hombres	4721	3	De 6 a 12 meses
Enero 2016	Aragón	Hombres	5246	4	De 1 a 2 años
Enero 2016	Aragón	Hombres	2637	5	De 2 a 3 años
Enero 2016	Aragón	Hombres	6266	6	Más de 3 años
Enero 2016	Aragón	Mujeres	14905	1	Hasta 3 meses
Enero 2016	Aragón	Mujeres	7795	2	De 3 a 6 meses
Enero 2016	Aragón	Mujeres	6303	3	De 6 a 12 meses
Enero 2016	Aragón	Mujeres	7534	4	De 1 a 2 años
Enero 2016	Aragón	Mujeres	4222	5	De 2 a 3 años
Enero 2016	Aragón	Mujeres	9671	6	Más de 3 años
Diciembre 2015	Aragón	Hombres	16093	1	Hasta 3 meses
Diciembre 2015	Aragón	Hombres	5764	2	De 3 a 6 meses
Diciembre 2015	Aragón	Hombres	4552	3	De 6 a 12 meses
Diciembre 2015	Aragón	Hombres	5314	4	De 1 a 2 años
Diciembre 2015	Aragón	Hombres	2651	5	De 2 a 3 años
Diciembre 2015	Aragón	Hombres	6218	6	Más de 3 años
Diciembre 2015	Aragón	Mujeres	14345	1	Hasta 3 meses
Diciembre 2015	Aragón	Mujeres	6741	2	De 3 a 6 meses
Diciembre 2015	Aragón	Mujeres	6367	3	De 6 a 12 meses
Diciembre 2015	Aragón	Mujeres	7428	4	De 1 a 2 años
Diciembre 2015	Aragón	Mujeres	4254	5	De 2 a 3 años
Diciembre 2015	Aragón	Mujeres	9557	6	Más de 3 años
Noviembre 2015	Aragón	Hombres	16836	1	Hasta 3 meses
Noviembre 2015	Aragón	Hombres	4849	2	De 3 a 6 meses
Noviembre 2015	Aragón	Hombres	4436	3	De 6 a 12 meses
Noviembre 2015	Aragón	Hombres	5420	4	De 1 a 2 años
