Año	Comarca Código	Nº Accidentes	División (2 dígitos) Código	División (2 dígitos) Descripción	Comarca Código	Comarca Nombre
2018	17	525	43	Actividades de construcción especializada	17	D.C. Zaragoza
2018	17	443	49	Transporte terrestre y por tubería	17	D.C. Zaragoza
2018	17	419	25	Fabricación de productos metálicos, excepto maquinaria y equipo	17	D.C. Zaragoza
2018	17	326	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	17	D.C. Zaragoza
2018	17	251	52	Almacenamiento y actividades anexas al transporte	17	D.C. Zaragoza
2018	15	210	29	Fabricación de vehículos de motor, remolques y semirremolques	15	Ribera Alta del Ebro
2018	11	153	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	11	Bajo Cinca / Baix Cinca
2018	15	105	49	Transporte terrestre y por tubería	15	Ribera Alta del Ebro
2018	05	86	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	05	Cinco Villas
2018	06	72	41	Construcción de edificios	06	Hoya de Huesca / Plana de Uesca
2018	05	70	23	Fabricación de otros productos minerales no metálicos	05	Cinco Villas
2018	16	70	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	16	Valdejalón
2018	08	68	24	Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	08	Cinca Medio
2018	15	64	52	Almacenamiento y actividades anexas al transporte	15	Ribera Alta del Ebro
2018	06	63	43	Actividades de construcción especializada	06	Hoya de Huesca / Plana de Uesca
2018	29	62	10	Industria de la alimentación	29	Comunidad de Teruel
2018	19	60	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2018	06	58	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	06	Hoya de Huesca / Plana de Uesca
2018	10	58	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	10	Los Monegros
2018	09	57	10	Industria de la alimentación	09	La Litera / La Llitera
2018	09	56	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	09	La Litera / La Llitera
2018	08	51	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	08	Cinca Medio
2018	29	50	02	Silvicultura y explotación forestal	29	Comunidad de Teruel
2018	16	47	29	Fabricación de vehículos de motor, remolques y semirremolques	16	Valdejalón
2018	16	43	28	Fabricación de maquinaria y equipo n.c.o.p.	16	Valdejalón
2018	06	41	84	Administración Pública y defensa; Seguridad Social obligatoria	06	Hoya de Huesca / Plana de Uesca
2018	15	41	43	Actividades de construcción especializada	15	Ribera Alta del Ebro
2018	09	40	43	Actividades de construcción especializada	09	La Litera / La Llitera
2018	15	40	25	Fabricación de productos metálicos, excepto maquinaria y equipo	15	Ribera Alta del Ebro
2018	29	40	29	Fabricación de vehículos de motor, remolques y semirremolques	29	Comunidad de Teruel
2018	16	38	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	16	Valdejalón
2018	05	37	10	Industria de la alimentación	05	Cinco Villas
2018	16	37	47	Comercio al por menor, excepto de vehículos de motor y motocicletas	16	Valdejalón
2018	06	34	25	Fabricación de productos metálicos, excepto maquinaria y equipo	06	Hoya de Huesca / Plana de Uesca
2018	08	34	25	Fabricación de productos metálicos, excepto maquinaria y equipo	08	Cinca Medio
2018	23	33	23	Fabricación de otros productos minerales no metálicos	23	Bajo Martín
2018	05	31	41	Construcción de edificios	05	Cinco Villas
2018	29	31	43	Actividades de construcción especializada	29	Comunidad de Teruel
2018	23	30	49	Transporte terrestre y por tubería	23	Bajo Martín
2018	29	30	16	Industria de la madera y del corcho, excepto muebles; cestería y espartería	29	Comunidad de Teruel
2018	08	29	28	Fabricación de maquinaria y equipo n.c.o.p.	08	Cinca Medio
