Mes y año	Mes (código)	Mes nombre	Año	Sexo	Número de contratos	Temporalidad	Modalidad	Grupo de tipo de contrato	CCAA nombre
Septiembre 2020	202009	Septiembre	2020	Hombres	9175	Temporal	Obra o servicio	Obra o servicio	Aragón
Septiembre 2020	202009	Septiembre	2020	Mujeres	5916	Temporal	Obra o servicio	Obra o servicio	Aragón
Septiembre 2020	202009	Septiembre	2020	Hombres	13068	Temporal	Eventual por circunstancias de la producción	Eventual producción	Aragón
Septiembre 2020	202009	Septiembre	2020	Mujeres	10743	Temporal	Eventual por circunstancias de la producción	Eventual producción	Aragón
Septiembre 2020	202009	Septiembre	2020	Hombres	936	Temporal	Interinidad	Interinidad	Aragón
Septiembre 2020	202009	Septiembre	2020	Mujeres	2612	Temporal	Interinidad	Interinidad	Aragón
Septiembre 2020	202009	Septiembre	2020	Hombres	39	Temporal	Discapacitados	Temp. Minusv	Aragón
Septiembre 2020	202009	Septiembre	2020	Mujeres	19	Temporal	Discapacitados	Temp. Minusv	Aragón
Septiembre 2020	202009	Septiembre	2020	Hombres	105	Temporal	Ligados a la jubilación	Jubilación parcial	Aragón
Septiembre 2020	202009	Septiembre	2020	Hombres	26	Temporal	Ligados a la jubilación	Relevo	Aragón
Septiembre 2020	202009	Septiembre	2020	Hombres	2	Temporal	Ligados a la jubilación	Sust. Jubilación	Aragón
Septiembre 2020	202009	Septiembre	2020	Mujeres	45	Temporal	Ligados a la jubilación	Jubilación parcial	Aragón
Septiembre 2020	202009	Septiembre	2020	Mujeres	19	Temporal	Ligados a la jubilación	Relevo	Aragón
Septiembre 2020	202009	Septiembre	2020	Mujeres	4	Temporal	Ligados a la jubilación	Sust. Jubilación	Aragón
Septiembre 2020	202009	Septiembre	2020	Hombres	65	Temporal	Ligados a la formación	Formación	Aragón
Septiembre 2020	202009	Septiembre	2020	Hombres	99	Temporal	Ligados a la formación	Prácticas	Aragón
Septiembre 2020	202009	Septiembre	2020	Mujeres	18	Temporal	Ligados a la formación	Formación	Aragón
Septiembre 2020	202009	Septiembre	2020	Mujeres	86	Temporal	Ligados a la formación	Prácticas	Aragón
Septiembre 2020	202009	Septiembre	2020	Hombres	32	Temporal	Otros	Otros	Aragón
Septiembre 2020	202009	Septiembre	2020	Hombres	7	Temporal	Otros	Temp. Inserción	Aragón
Septiembre 2020	202009	Septiembre	2020	Mujeres	9	Temporal	Otros	Otros	Aragón
Septiembre 2020	202009	Septiembre	2020	Mujeres	12	Temporal	Otros	Temp. Inserción	Aragón
Septiembre 2020	202009	Septiembre	2020	Hombres	1409	Indefinido	Indefinido	Indef. Fomento	Aragón
Septiembre 2020	202009	Septiembre	2020	Hombres	1216	Indefinido	Indefinido	Indef. Ordinario	Aragón
Septiembre 2020	202009	Septiembre	2020	Mujeres	1072	Indefinido	Indefinido	Indef. Fomento	Aragón
Septiembre 2020	202009	Septiembre	2020	Mujeres	1168	Indefinido	Indefinido	Indef. Ordinario	Aragón
Septiembre 2020	202009	Septiembre	2020	Hombres	16	Indefinido	Discapacitados	Minusválidos	Aragón
Septiembre 2020	202009	Septiembre	2020	Mujeres	13	Indefinido	Discapacitados	Minusválidos	Aragón
Agosto 2020	202008	Agosto	2020	Hombres	7992	Temporal	Obra o servicio	Obra o servicio	Aragón
Agosto 2020	202008	Agosto	2020	Mujeres	4239	Temporal	Obra o servicio	Obra o servicio	Aragón
Agosto 2020	202008	Agosto	2020	Hombres	9651	Temporal	Eventual por circunstancias de la producción	Eventual producción	Aragón
Agosto 2020	202008	Agosto	2020	Mujeres	8010	Temporal	Eventual por circunstancias de la producción	Eventual producción	Aragón
Agosto 2020	202008	Agosto	2020	Hombres	695	Temporal	Interinidad	Interinidad	Aragón
Agosto 2020	202008	Agosto	2020	Mujeres	2065	Temporal	Interinidad	Interinidad	Aragón
Agosto 2020	202008	Agosto	2020	Hombres	25	Temporal	Discapacitados	Temp. Minusv	Aragón
Agosto 2020	202008	Agosto	2020	Mujeres	14	Temporal	Discapacitados	Temp. Minusv	Aragón
Agosto 2020	202008	Agosto	2020	Hombres	44	Temporal	Ligados a la jubilación	Jubilación parcial	Aragón
Agosto 2020	202008	Agosto	2020	Hombres	10	Temporal	Ligados a la jubilación	Relevo	Aragón
Agosto 2020	202008	Agosto	2020	Hombres	2	Temporal	Ligados a la jubilación	Sust. Jubilación	Aragón
Agosto 2020	202008	Agosto	2020	Mujeres	17	Temporal	Ligados a la jubilación	Jubilación parcial	Aragón
Agosto 2020	202008	Agosto	2020	Mujeres	13	Temporal	Ligados a la jubilación	Relevo	Aragón
Agosto 2020	202008	Agosto	2020	Mujeres	3	Temporal	Ligados a la jubilación	Sust. Jubilación	Aragón
Agosto 2020	202008	Agosto	2020	Hombres	73	Temporal	Ligados a la formación	Formación	Aragón
Agosto 2020	202008	Agosto	2020	Hombres	24	Temporal	Ligados a la formación	Prácticas	Aragón
Agosto 2020	202008	Agosto	2020	Mujeres	37	Temporal	Ligados a la formación	Formación	Aragón
Agosto 2020	202008	Agosto	2020	Mujeres	30	Temporal	Ligados a la formación	Prácticas	Aragón
Agosto 2020	202008	Agosto	2020	Hombres	7	Temporal	Otros	Otros	Aragón
Agosto 2020	202008	Agosto	2020	Hombres	2	Temporal	Otros	Temp. Inserción	Aragón
Agosto 2020	202008	Agosto	2020	Mujeres	4	Temporal	Otros	Otros	Aragón
Agosto 2020	202008	Agosto	2020	Mujeres	10	Temporal	Otros	Temp. Inserción	Aragón
Agosto 2020	202008	Agosto	2020	Hombres	972	Indefinido	Indefinido	Indef. Fomento	Aragón
Agosto 2020	202008	Agosto	2020	Hombres	728	Indefinido	Indefinido	Indef. Ordinario	Aragón
Agosto 2020	202008	Agosto	2020	Mujeres	646	Indefinido	Indefinido	Indef. Fomento	Aragón
Agosto 2020	202008	Agosto	2020	Mujeres	645	Indefinido	Indefinido	Indef. Ordinario	Aragón
Agosto 2020	202008	Agosto	2020	Hombres	6	Indefinido	Discapacitados	Minusválidos	Aragón
Agosto 2020	202008	Agosto	2020	Mujeres	7	Indefinido	Discapacitados	Minusválidos	Aragón
Julio 2020	202007	Julio	2020	Hombres	10454	Temporal	Obra o servicio	Obra o servicio	Aragón
Julio 2020	202007	Julio	2020	Mujeres	5983	Temporal	Obra o servicio	Obra o servicio	Aragón
Julio 2020	202007	Julio	2020	Hombres	13072	Temporal	Eventual por circunstancias de la producción	Eventual producción	Aragón
Julio 2020	202007	Julio	2020	Mujeres	10579	Temporal	Eventual por circunstancias de la producción	Eventual producción	Aragón
Julio 2020	202007	Julio	2020	Hombres	794	Temporal	Interinidad	Interinidad	Aragón
Julio 2020	202007	Julio	2020	Mujeres	2000	Temporal	Interinidad	Interinidad	Aragón
Julio 2020	202007	Julio	2020	Hombres	24	Temporal	Discapacitados	Temp. Minusv	Aragón
Julio 2020	202007	Julio	2020	Mujeres	14	Temporal	Discapacitados	Temp. Minusv	Aragón
Julio 2020	202007	Julio	2020	Hombres	73	Temporal	Ligados a la jubilación	Jubilación parcial	Aragón
Julio 2020	202007	Julio	2020	Hombres	17	Temporal	Ligados a la jubilación	Relevo	Aragón
Julio 2020	202007	Julio	2020	Hombres	3	Temporal	Ligados a la jubilación	Sust. Jubilación	Aragón
Julio 2020	202007	Julio	2020	Mujeres	27	Temporal	Ligados a la jubilación	Jubilación parcial	Aragón
Julio 2020	202007	Julio	2020	Mujeres	7	Temporal	Ligados a la jubilación	Relevo	Aragón
Julio 2020	202007	Julio	2020	Mujeres	2	Temporal	Ligados a la jubilación	Sust. Jubilación	Aragón
Julio 2020	202007	Julio	2020	Hombres	24	Temporal	Ligados a la formación	Formación	Aragón
Julio 2020	202007	Julio	2020	Hombres	86	Temporal	Ligados a la formación	Prácticas	Aragón
Julio 2020	202007	Julio	2020	Mujeres	13	Temporal	Ligados a la formación	Formación	Aragón
Julio 2020	202007	Julio	2020	Mujeres	42	Temporal	Ligados a la formación	Prácticas	Aragón
