Fuente y fecha	Año	Municipio código	Municipio nombre	Total edificios	Antes de 1950	1950-1959	1960-1969	1970-1979	1980-1989	1990-1999	2000-2009	2010 y posterior	Sin definir
Catastro (diciembre de 2019                          )	2019	22064	Blecua y Torres	199	120	9	15	8	14	5	20	7	1
Catastro (diciembre de 2019                          )	2019	22066	Boltaña	1515	384	23	45	136	166	133	506	110	12
Catastro (diciembre de 2019                          )	2019	22067	Bonansa	149	60	1	3	2	3	18	41	21	0
Catastro (diciembre de 2019                          )	2019	22068	Borau	135	78	0	2	22	4	7	11	10	1
Catastro (diciembre de 2019                          )	2019	22069	Broto	1361	308	1	16	209	30	211	556	28	2
Catastro (diciembre de 2019                          )	2019	22072	Caldearenas	443	258	4	25	69	16	12	38	19	2
Catastro (diciembre de 2019                          )	2019	22074	Campo	1076	213	9	28	27	11	87	643	58	0
Catastro (diciembre de 2019                          )	2019	22075	Camporrells	295	226	17	1	16	7	7	18	3	0
Catastro (diciembre de 2019                          )	2019	22076	Canal de Berdún	652	479	6	4	32	28	49	42	12	0
Catastro (diciembre de 2019                          )	2019	22077	Candasnos	413	121	34	67	59	37	34	57	4	0
Catastro (diciembre de 2019                          )	2019	22078	Canfranc	2461	159	79	18	9	415	976	704	101	0
Catastro (diciembre de 2019                          )	2019	22079	Capdesaso	161	62	24	30	22	9	6	5	3	0
Catastro (diciembre de 2019                          )	2019	22080	Capella	356	252	4	11	24	17	24	13	11	0
Catastro (diciembre de 2019                          )	2019	22081	Casbas de Huesca	520	367	10	9	23	9	23	60	18	1
Catastro (diciembre de 2019                          )	2019	22082	Castejón del Puente	350	122	7	36	59	57	34	25	5	5
Catastro (diciembre de 2019                          )	2019	22083	Castejón de Monegros	568	187	69	123	87	41	23	34	4	0
Catastro (diciembre de 2019                          )	2019	22084	Castejón de Sos	1230	159	7	35	98	37	212	659	21	2
Catastro (diciembre de 2019                          )	2019	22085	Castelflorite	98	24	17	21	22	8	4	2	0	0
Catastro (diciembre de 2019                          )	2019	22086	Castiello de Jaca	1241	124	14	7	20	15	386	638	37	0
Catastro (diciembre de 2019                          )	2019	22087	Castigaleu	82	50	1	6	2	2	5	10	4	2
Catastro (diciembre de 2019                          )	2019	22088	Castillazuelo	206	150	13	15	5	5	8	10	0	0
Catastro (diciembre de 2019                          )	2019	22089	Castillonroy	426	278	31	7	14	31	25	31	7	2
Catastro (diciembre de 2019                          )	2019	22090	Colungo	192	146	1	3	10	5	3	20	3	1
Catastro (diciembre de 2019                          )	2019	22094	Chalamera	136	89	6	10	6	8	3	11	2	1
Catastro (diciembre de 2019                          )	2019	22095	Chía	132	80	3	3	4	1	8	24	9	0
Catastro (diciembre de 2019                          )	2019	22096	Chimillas	207	61	0	3	11	7	21	98	6	0
Catastro (diciembre de 2019                          )	2019	22099	Esplús	606	215	70	55	133	59	25	36	13	0
Catastro (diciembre de 2019                          )	2019	22102	Estada	211	122	10	18	19	9	9	24	0	0
Catastro (diciembre de 2019                          )	2019	22103	Estadilla	821	464	6	48	60	100	44	64	34	1
Catastro (diciembre de 2019                          )	2019	22105	Estopiñán del Castillo	316	229	9	15	17	5	12	23	6	0
Catastro (diciembre de 2019                          )	2019	22106	Fago	119	101	2	0	2	1	4	5	4	0
Catastro (diciembre de 2019                          )	2019	22107	Fanlo	232	151	2	2	9	6	20	30	12	0
Catastro (diciembre de 2019                          )	2019	22109	Fiscal	581	240	10	4	39	29	59	164	33	3
Catastro (diciembre de 2019                          )	2019	22110	Fonz	900	541	51	60	45	71	54	71	6	1
Catastro (diciembre de 2019                          )	2019	22111	Foradada del Toscar	284	152	10	12	4	18	17	66	5	0
Catastro (diciembre de 2019                          )	2019	22112	Fraga	10165	600	427	1090	1639	1356	1599	3056	386	12
Catastro (diciembre de 2019                          )	2019	22113	Fueva (La)	758	442	5	20	48	43	37	111	52	0
Catastro (diciembre de 2019                          )	2019	22114	Gistaín	161	104	5	0	6	3	18	19	5	1
Catastro (diciembre de 2019                          )	2019	22115	Grado (El)	855	272	18	76	89	226	71	89	9	5
Catastro (diciembre de 2019                          )	2019	22116	Grañén	1422	371	195	299	235	161	47	98	16	0
Catastro (diciembre de 2019                          )	2019	22117	Graus	4103	1243	273	126	614	480	374	789	200	4
Catastro (diciembre de 2019                          )	2019	22119	Gurrea de Gállego	1365	437	204	102	239	167	93	106	14	3
Catastro (diciembre de 2019                          )	2019	22122	Hoz de Jaca	162	37	5	6	13	13	16	66	6	0
Catastro (diciembre de 2019                          )	2019	22124	Huerto	318	70	40	53	39	20	64	23	6	3
Catastro (diciembre de 2019                          )	2019	22125	Huesca	56010	2920	1135	4177	10401	10640	10941	12754	3024	18
Catastro (diciembre de 2019                          )	2019	22126	Ibieca	139	111	1	7	6	7	2	5	0	0
Catastro (diciembre de 2019                          )	2019	22127	Igriés	381	93	4	9	18	16	45	166	30	0
Catastro (diciembre de 2019                          )	2019	22128	Ilche	259	176	2	14	20	11	9	17	7	3
Catastro (diciembre de 2019                          )	2019	22129	Isábena	464	188	15	17	17	33	63	120	7	4
Catastro (diciembre de 2019                          )	2019	22130	Jaca	28360	2186	330	911	4774	6969	6904	5613	656	17
Catastro (diciembre de 2019                          )	2019	22131	Jasa	303	148	0	1	6	2	13	118	14	1
Catastro (diciembre de 2019                          )	2019	22133	Labuerda	246	143	7	2	6	10	25	40	11	2
Catastro (diciembre de 2019                          )	2019	22135	Laluenga	253	187	7	7	12	12	11	13	4	0
Catastro (diciembre de 2019                          )	2019	22136	Lalueza	805	226	38	242	88	73	63	65	10	0
Catastro (diciembre de 2019                          )	2019	22137	Lanaja	1252	556	57	253	77	105	108	76	17	3
Catastro (diciembre de 2019                          )	2019	22139	Laperdiguera	113	76	1	5	6	3	6	12	4	0
Catastro (diciembre de 2019                          )	2019	22141	Lascellas-Ponzano	263	196	4	4	10	11	14	17	7	0
Catastro (diciembre de 2019                          )	2019	22142	Lascuarre	227	135	1	4	8	13	14	34	18	0
Catastro (diciembre de 2019                          )	2019	22143	Laspaúles	592	217	4	5	12	21	77	212	44	0
