Mes y año	Sector código	Sector descripción	Cuentas cotización con trabajadores	Territorio: 
Septiembre 2013	3	Construcción	4153	Aragón
Septiembre 2013	4	Servicios	48679	Aragón
Junio 2013	1	Agricultura, ganadería y pesca	4192	Aragón
Junio 2013	2	Industria y energía	5067	Aragón
Junio 2013	3	Construcción	4294	Aragón
Junio 2013	4	Servicios	49541	Aragón
Marzo 2013	1	Agricultura, ganadería y pesca	3307	Aragón
Marzo 2013	2	Industria y energía	5055	Aragón
Marzo 2013	3	Construcción	4203	Aragón
Marzo 2013	4	Servicios	49486	Aragón
Diciembre 2012	1	Agricultura, ganadería y pesca	3259	Aragón
Diciembre 2012	2	Industria y energía	5152	Aragón
Diciembre 2012	3	Construcción	4339	Aragón
Diciembre 2012	4	Servicios	49603	Aragón
Septiembre 2012	1	Agricultura, ganadería y pesca	3629	Aragón
Septiembre 2012	2	Industria y energía	5224	Aragón
Septiembre 2012	3	Construcción	4682	Aragón
Septiembre 2012	4	Servicios	48175	Aragón
Junio 2012	1	Agricultura, ganadería y pesca	3981	Aragón
Junio 2012	2	Industria y energía	5282	Aragón
Junio 2012	3	Construcción	4917	Aragón
Junio 2012	4	Servicios	44871	Aragón
Marzo 2012	1	Agricultura, ganadería y pesca	3166	Aragón
Marzo 2012	2	Industria y energía	5306	Aragón
Marzo 2012	3	Construcción	4882	Aragón
Marzo 2012	4	Servicios	40824	Aragón
Diciembre 2011	1	Agricultura, ganadería y pesca	1043	Aragón
Diciembre 2011	2	Industria y energía	5391	Aragón
Diciembre 2011	3	Construcción	5014	Aragón
Diciembre 2011	4	Servicios	39026	Aragón
Septiembre 2011	1	Agricultura, ganadería y pesca	1063	Aragón
Septiembre 2011	2	Industria y energía	5436	Aragón
Septiembre 2011	3	Construcción	5409	Aragón
Septiembre 2011	4	Servicios	38886	Aragón
Junio 2011	1	Agricultura, ganadería y pesca	1076	Aragón
Junio 2011	2	Industria y energía	5533	Aragón
Junio 2011	3	Construcción	5603	Aragón
Junio 2011	4	Servicios	39163	Aragón
Marzo 2011	1	Agricultura, ganadería y pesca	1014	Aragón
Marzo 2011	2	Industria y energía	5559	Aragón
Marzo 2011	3	Construcción	5594	Aragón
Marzo 2011	4	Servicios	38953	Aragón
Diciembre 2010	1	Agricultura, ganadería y pesca	1017	Aragón
Diciembre 2010	2	Industria y energía	5618	Aragón
Diciembre 2010	3	Construcción	5631	Aragón
Diciembre 2010	4	Servicios	39154	Aragón
Septiembre 2010	1	Agricultura, ganadería y pesca	1037	Aragón
Septiembre 2010	2	Industria y energía	5633	Aragón
Septiembre 2010	3	Construcción	5989	Aragón
Septiembre 2010	4	Servicios	38927	Aragón
Junio 2010	1	Agricultura, ganadería y pesca	1043	Aragón
Junio 2010	2	Industria y energía	5720	Aragón
Junio 2010	3	Construcción	6272	Aragón
Junio 2010	4	Servicios	39117	Aragón
Marzo 2010	1	Agricultura, ganadería y pesca	1006	Aragón
Marzo 2010	2	Industria y energía	5718	Aragón
Marzo 2010	3	Construcción	6124	Aragón
Marzo 2010	4	Servicios	38937	Aragón
