Año	CCAA código	CCAA nombre	Contenedores de papel y cartón	Kg recogidos papel y cartón
2007	02	Aragón	4765	
2009	02	Aragón	5898	31088944,84
2010	02	Aragón	6342	30914552,88
2011	02	Aragón	6544	28492462,01
2012	02	Aragón	6649	25515545,85
2013	02	Aragón	6929	24146989,85
2014	02	Aragón	7425	22514117,12
2015	02	Aragón	7761	22444866
2016	02	Aragón	8033	22740506
2017	02	Aragón	10789	18483812
