Aragón	Sexo	Edad	Nivel estudios (agregado)	Nivel estudios (detalle)	Personas residentes viviendas familiares
Aragón	Mujeres	16 a 19	Analfabetos	No sabe leer o escribir	59
Aragón	Mujeres	16 a 19	Sin estudios	Sin estudios	341
Aragón	Mujeres	16 a 19	Primer grado	Primer grado	3172
Aragón	Mujeres	16 a 19	Segundo grado	FP Grado Medio	1155
Aragón	Mujeres	16 a 19	Segundo grado	FP Grado Superior	673
Aragón	Mujeres	16 a 19	Segundo grado	Bachillerato Superior	7640
Aragón	Mujeres	16 a 19	Segundo grado	ESO, EGB, Bachillerato Ele.	11686
Aragón	Mujeres	20 a 24	Analfabetos	No sabe leer o escribir	157
Aragón	Mujeres	20 a 24	Sin estudios	Sin estudios	461
Aragón	Mujeres	20 a 24	Primer grado	Primer grado	1986
Aragón	Mujeres	20 a 24	Segundo grado	FP Grado Superior	4729
Aragón	Mujeres	20 a 24	Segundo grado	FP Grado Medio	3824
Aragón	Mujeres	20 a 24	Segundo grado	ESO, EGB, Bachillerato Ele.	8072
Aragón	Mujeres	20 a 24	Segundo grado	Bachillerato Superior	11608
Aragón	Mujeres	20 a 24	Tercer grado	Licenciatura	2092
Aragón	Mujeres	20 a 24	Tercer grado	Diplomatura	7544
Aragón	Mujeres	25 a 29	Analfabetos	No sabe leer o escribir	192
Aragón	Mujeres	25 a 29	Sin estudios	Sin estudios	566
Aragón	Mujeres	25 a 29	Primer grado	Primer grado	2398
Aragón	Mujeres	25 a 29	Segundo grado	FP Grado Medio	3809
Aragón	Mujeres	25 a 29	Segundo grado	Bachillerato Superior	6231
Aragón	Mujeres	25 a 29	Segundo grado	FP Grado Superior	5409
Aragón	Mujeres	25 a 29	Segundo grado	ESO, EGB, Bachillerato Ele.	9235
Aragón	Mujeres	25 a 29	Tercer grado	Licenciatura	7293
Aragón	Mujeres	25 a 29	Tercer grado	Doctorado	235
Aragón	Mujeres	25 a 29	Tercer grado	Diplomatura	9781
Aragón	Mujeres	30 a 34	Analfabetos	No sabe leer o escribir	246
Aragón	Mujeres	30 a 34	Sin estudios	Sin estudios	665
Aragón	Mujeres	30 a 34	Primer grado	Primer grado	3170
Aragón	Mujeres	30 a 34	Segundo grado	FP Grado Medio	4112
Aragón	Mujeres	30 a 34	Segundo grado	ESO, EGB, Bachillerato Ele.	12229
Aragón	Mujeres	30 a 34	Segundo grado	FP Grado Superior	4552
Aragón	Mujeres	30 a 34	Segundo grado	Bachillerato Superior	5916
Aragón	Mujeres	30 a 34	Tercer grado	Doctorado	411
Aragón	Mujeres	30 a 34	Tercer grado	Diplomatura	7004
Aragón	Mujeres	30 a 34	Tercer grado	Licenciatura	6173
Aragón	Mujeres	35 a 39	Analfabetos	No sabe leer o escribir	290
Aragón	Mujeres	35 a 39	Sin estudios	Sin estudios	729
Aragón	Mujeres	35 a 39	Primer grado	Primer grado	4402
Aragón	Mujeres	35 a 39	Segundo grado	FP Grado Medio	3809
Aragón	Mujeres	35 a 39	Segundo grado	Bachillerato Superior	6473
Aragón	Mujeres	35 a 39	Segundo grado	ESO, EGB, Bachillerato Ele.	15507
Aragón	Mujeres	35 a 39	Segundo grado	FP Grado Superior	2886
Aragón	Mujeres	35 a 39	Tercer grado	Licenciatura	5121
Aragón	Mujeres	35 a 39	Tercer grado	Diplomatura	5703
Aragón	Mujeres	35 a 39	Tercer grado	Doctorado	441
Aragón	Mujeres	40 a 44	Analfabetos	No sabe leer o escribir	275
Aragón	Mujeres	40 a 44	Sin estudios	Sin estudios	945
Aragón	Mujeres	40 a 44	Primer grado	Primer grado	6597
Aragón	Mujeres	40 a 44	Segundo grado	FP Grado Medio	2775
Aragón	Mujeres	40 a 44	Segundo grado	Bachillerato Superior	5229
Aragón	Mujeres	40 a 44	Segundo grado	FP Grado Superior	1312
Aragón	Mujeres	40 a 44	Segundo grado	ESO, EGB, Bachillerato Ele.	17211
Aragón	Mujeres	40 a 44	Tercer grado	Doctorado	423
Aragón	Mujeres	40 a 44	Tercer grado	Diplomatura	5109
Aragón	Mujeres	40 a 44	Tercer grado	Licenciatura	3777
Aragón	Mujeres	45 a 49	Analfabetos	No sabe leer o escribir	273
Aragón	Mujeres	45 a 49	Sin estudios	Sin estudios	1277
Aragón	Mujeres	45 a 49	Primer grado	Primer grado	8738
Aragón	Mujeres	45 a 49	Segundo grado	FP Grado Medio	1701
Aragón	Mujeres	45 a 49	Segundo grado	FP Grado Superior	618
Aragón	Mujeres	45 a 49	Segundo grado	ESO, EGB, Bachillerato Ele.	16216
Aragón	Mujeres	45 a 49	Segundo grado	Bachillerato Superior	3592
Aragón	Mujeres	45 a 49	Tercer grado	Doctorado	224
Aragón	Mujeres	45 a 49	Tercer grado	Diplomatura	3500
Aragón	Mujeres	45 a 49	Tercer grado	Licenciatura	2460
Aragón	Mujeres	50 a 54	Analfabetos	No sabe leer o escribir	307
Aragón	Mujeres	50 a 54	Sin estudios	Sin estudios	2076
Aragón	Mujeres	50 a 54	Primer grado	Primer grado	11677
Aragón	Mujeres	50 a 54	Segundo grado	FP Grado Superior	534
Aragón	Mujeres	50 a 54	Segundo grado	Bachillerato Superior	2082
Aragón	Mujeres	50 a 54	Segundo grado	FP Grado Medio	1145
Aragón	Mujeres	50 a 54	Segundo grado	ESO, EGB, Bachillerato Ele.	14823
Aragón	Mujeres	50 a 54	Tercer grado	Doctorado	173
Aragón	Mujeres	50 a 54	Tercer grado	Licenciatura	1344
Aragón	Mujeres	50 a 54	Tercer grado	Diplomatura	2426
Aragón	Mujeres	55 a 59	Analfabetos	No sabe leer o escribir	359
Aragón	Mujeres	55 a 59	Sin estudios	Sin estudios	3311
Aragón	Mujeres	55 a 59	Primer grado	Primer grado	13743
Aragón	Mujeres	55 a 59	Segundo grado	Bachillerato Superior	1401
Aragón	Mujeres	55 a 59	Segundo grado	FP Grado Medio	586
Aragón	Mujeres	55 a 59	Segundo grado	ESO, EGB, Bachillerato Ele.	11876
Aragón	Mujeres	55 a 59	Segundo grado	FP Grado Superior	327
Aragón	Mujeres	55 a 59	Tercer grado	Licenciatura	741
Aragón	Mujeres	55 a 59	Tercer grado	Doctorado	82
Aragón	Mujeres	55 a 59	Tercer grado	Diplomatura	1771
Aragón	Mujeres	60 a 64	Analfabetos	No sabe leer o escribir	489
Aragón	Mujeres	60 a 64	Sin estudios	Sin estudios	4596
Aragón	Mujeres	60 a 64	Primer grado	Primer grado	13836
Aragón	Mujeres	60 a 64	Segundo grado	Bachillerato Superior	859
Aragón	Mujeres	60 a 64	Segundo grado	ESO, EGB, Bachillerato Ele.	7130
Aragón	Mujeres	60 a 64	Segundo grado	FP Grado Medio	280
Aragón	Mujeres	60 a 64	Segundo grado	FP Grado Superior	177
Aragón	Mujeres	60 a 64	Tercer grado	Diplomatura	1010
Aragón	Mujeres	60 a 64	Tercer grado	Licenciatura	344
Aragón	Mujeres	60 a 64	Tercer grado	Doctorado	44
Aragón	Mujeres	65 a 69	Analfabetos	No sabe leer o escribir	901
Aragón	Mujeres	65 a 69	Sin estudios	Sin estudios	8275
Aragón	Mujeres	65 a 69	Primer grado	Primer grado	18725
Aragón	Mujeres	65 a 69	Segundo grado	FP Grado Superior	166
Aragón	Mujeres	65 a 69	Segundo grado	Bachillerato Superior	857
Aragón	Mujeres	65 a 69	Segundo grado	ESO, EGB, Bachillerato Ele.	6344
Aragón	Mujeres	65 a 69	Segundo grado	FP Grado Medio	266
Aragón	Mujeres	65 a 69	Tercer grado	Diplomatura	853
Aragón	Mujeres	65 a 69	Tercer grado	Licenciatura	264
Aragón	Mujeres	65 a 69	Tercer grado	Doctorado	29
Aragón	Mujeres	70 a 74	Analfabetos	No sabe leer o escribir	1027
Aragón	Mujeres	70 a 74	Sin estudios	Sin estudios	10307
Aragón	Mujeres	70 a 74	Primer grado	Primer grado	17813
Aragón	Mujeres	70 a 74	Segundo grado	FP Grado Superior	126
Aragón	Mujeres	70 a 74	Segundo grado	Bachillerato Superior	690
Aragón	Mujeres	70 a 74	Segundo grado	ESO, EGB, Bachillerato Ele.	4552
Aragón	Mujeres	70 a 74	Segundo grado	FP Grado Medio	172
Aragón	Mujeres	70 a 74	Tercer grado	Licenciatura	184
Aragón	Mujeres	70 a 74	Tercer grado	Diplomatura	727
Aragón	Mujeres	70 a 74	Tercer grado	Doctorado	12
Aragón	Mujeres	75 a 79	Analfabetos	No sabe leer o escribir	1101
Aragón	Mujeres	75 a 79	Sin estudios	Sin estudios	10138
Aragón	Mujeres	75 a 79	Primer grado	Primer grado	14747
Aragón	Mujeres	75 a 79	Segundo grado	FP Grado Medio	135
Aragón	Mujeres	75 a 79	Segundo grado	FP Grado Superior	57
Aragón	Mujeres	75 a 79	Segundo grado	ESO, EGB, Bachillerato Ele.	3103
Aragón	Mujeres	75 a 79	Segundo grado	Bachillerato Superior	495
Aragón	Mujeres	75 a 79	Tercer grado	Diplomatura	454
Aragón	Mujeres	75 a 79	Tercer grado	Licenciatura	153
Aragón	Mujeres	75 a 79	Tercer grado	Doctorado	18
Aragón	Mujeres	80 a 84	Analfabetos	No sabe leer o escribir	1068
Aragón	Mujeres	80 a 84	Sin estudios	Sin estudios	7639
Aragón	Mujeres	80 a 84	Primer grado	Primer grado	9014
Aragón	Mujeres	80 a 84	Segundo grado	FP Grado Superior	57
Aragón	Mujeres	80 a 84	Segundo grado	ESO, EGB, Bachillerato Ele.	1808
Aragón	Mujeres	80 a 84	Segundo grado	FP Grado Medio	75
Aragón	Mujeres	80 a 84	Segundo grado	Bachillerato Superior	289
