Año	Residencia provincia código	Residencia provincia nombre	Nacionalidad área código	Nacionalidad área nombre	Nacionalidad país código	Nacionalidad país nombre	Edad (grandes grupos)	Extranjeros
1998	22	Huesca	01	UE-15	102	Austria	0 a 15	2
1998	22	Huesca	01	UE-15	102	Austria	16 a 64	6
1998	22	Huesca	01	UE-15	103	Bélgica	0 a 15	3
1998	22	Huesca	01	UE-15	103	Bélgica	16 a 64	16
1998	22	Huesca	01	UE-15	103	Bélgica	65 y más	2
1998	22	Huesca	01	UE-15	107	Dinamarca	16 a 64	2
1998	22	Huesca	01	UE-15	110	Francia	0 a 15	15
1998	22	Huesca	01	UE-15	110	Francia	16 a 64	188
1998	22	Huesca	01	UE-15	110	Francia	65 y más	53
1998	22	Huesca	01	UE-15	111	Grecia	16 a 64	1
1998	22	Huesca	01	UE-15	113	Irlanda	16 a 64	7
1998	22	Huesca	01	UE-15	115	Italia	0 a 15	1
1998	22	Huesca	01	UE-15	115	Italia	16 a 64	24
1998	22	Huesca	01	UE-15	115	Italia	65 y más	1
1998	22	Huesca	01	UE-15	121	Países Bajos	0 a 15	3
1998	22	Huesca	01	UE-15	121	Países Bajos	16 a 64	20
1998	22	Huesca	01	UE-15	121	Países Bajos	65 y más	1
1998	22	Huesca	01	UE-15	123	Portugal	0 a 15	6
1998	22	Huesca	01	UE-15	123	Portugal	16 a 64	47
1998	22	Huesca	01	UE-15	123	Portugal	65 y más	1
1998	22	Huesca	01	UE-15	125	Reino Unido	0 a 15	2
1998	22	Huesca	01	UE-15	125	Reino Unido	16 a 64	38
1998	22	Huesca	01	UE-15	125	Reino Unido	65 y más	5
1998	22	Huesca	01	UE-15	126	Alemania	0 a 15	6
1998	22	Huesca	01	UE-15	126	Alemania	16 a 64	36
1998	22	Huesca	02	Resto de Europa	104	Bulgaria	0 a 15	1
1998	22	Huesca	02	Resto de Europa	104	Bulgaria	16 a 64	4
1998	22	Huesca	02	Resto de Europa	112	Hungría	16 a 64	1
1998	22	Huesca	02	Resto de Europa	112	Hungría	65 y más	1
1998	22	Huesca	02	Resto de Europa	114	Islandia	16 a 64	1
1998	22	Huesca	02	Resto de Europa	122	Polonia	0 a 15	1
1998	22	Huesca	02	Resto de Europa	122	Polonia	16 a 64	5
1998	22	Huesca	02	Resto de Europa	128	Rumanía	16 a 64	3
1998	22	Huesca	02	Resto de Europa	132	Suiza	0 a 15	5
1998	22	Huesca	02	Resto de Europa	132	Suiza	16 a 64	6
1998	22	Huesca	02	Resto de Europa	132	Suiza	65 y más	3
1998	22	Huesca	02	Resto de Europa	154	Rusia	16 a 64	2
1998	22	Huesca	02	Resto de Europa	199	Países sin relaciones diplomáticas	16 a 64	2
1998	22	Huesca	03	Magreb	203	Argelia	0 a 15	1
1998	22	Huesca	03	Magreb	203	Argelia	16 a 64	62
1998	22	Huesca	03	Magreb	224	Libia	16 a 64	1
1998	22	Huesca	03	Magreb	228	Marruecos	0 a 15	36
