Año	Dirección Provincial Código	Dirección Provincial Nombre	Grupo Antigüedad	Nº Accidentes	Temporalidad
2005	22	Huesca	De 37 meses a 10 años	1	Sin clasificar
2005	22	Huesca	Más de 10 años	372	Indefinido
2005	22	Huesca	Más de 10 años	4	Temporal
2005	22	Huesca	Más de 10 años	4	Sin clasificar
2005	44	Teruel	Hasta 3 meses	44	Indefinido
2005	44	Teruel	Hasta 3 meses	377	Temporal
2005	44	Teruel	De 4 a 6 meses	56	Indefinido
2005	44	Teruel	De 4 a 6 meses	176	Temporal
2005	44	Teruel	De 7 a 9 meses	35	Indefinido
2005	44	Teruel	De 7 a 9 meses	99	Temporal
2005	44	Teruel	De 7 a 9 meses	1	Sin clasificar
2005	44	Teruel	De 10 a 12 meses	35	Indefinido
2005	44	Teruel	De 10 a 12 meses	73	Temporal
2005	44	Teruel	De 13 meses a 3 años	241	Indefinido
2005	44	Teruel	De 13 meses a 3 años	163	Temporal
2005	44	Teruel	De 13 meses a 3 años	3	Sin clasificar
2005	44	Teruel	De 37 meses a 10 años	362	Indefinido
2005	44	Teruel	De 37 meses a 10 años	69	Temporal
2005	44	Teruel	De 37 meses a 10 años	4	Sin clasificar
2005	44	Teruel	Más de 10 años	219	Indefinido
2005	44	Teruel	Más de 10 años	3	Temporal
2005	44	Teruel	Más de 10 años	11	Sin clasificar
2005	50	Zaragoza	Hasta 3 meses	335	Indefinido
2005	50	Zaragoza	Hasta 3 meses	3757	Temporal
2005	50	Zaragoza	Hasta 3 meses	1	Sin clasificar
2005	50	Zaragoza	De 4 a 6 meses	278	Indefinido
2005	50	Zaragoza	De 4 a 6 meses	1435	Temporal
2005	50	Zaragoza	De 4 a 6 meses	6	Sin clasificar
2005	50	Zaragoza	De 7 a 9 meses	271	Indefinido
2005	50	Zaragoza	De 7 a 9 meses	819	Temporal
2005	50	Zaragoza	De 7 a 9 meses	1	Sin clasificar
2005	50	Zaragoza	De 10 a 12 meses	297	Indefinido
2005	50	Zaragoza	De 10 a 12 meses	511	Temporal
2005	50	Zaragoza	De 10 a 12 meses	1	Sin clasificar
2005	50	Zaragoza	De 13 meses a 3 años	2151	Indefinido
2005	50	Zaragoza	De 13 meses a 3 años	1109	Temporal
2005	50	Zaragoza	De 13 meses a 3 años	8	Sin clasificar
2005	50	Zaragoza	De 37 meses a 10 años	3170	Indefinido
2005	50	Zaragoza	De 37 meses a 10 años	294	Temporal
2005	50	Zaragoza	De 37 meses a 10 años	10	Sin clasificar
2005	50	Zaragoza	Más de 10 años	2024	Indefinido
2005	50	Zaragoza	Más de 10 años	27	Temporal
2005	50	Zaragoza	Más de 10 años	12	Sin clasificar
2004	22	Huesca	Hasta 3 meses	68	Indefinido
2004	22	Huesca	Hasta 3 meses	749	Temporal
2004	22	Huesca	De 4 a 6 meses	69	Indefinido
2004	22	Huesca	De 4 a 6 meses	279	Temporal
2004	22	Huesca	De 7 a 9 meses	62	Indefinido
2004	22	Huesca	De 7 a 9 meses	173	Temporal
2004	22	Huesca	De 10 a 12 meses	79	Indefinido
2004	22	Huesca	De 10 a 12 meses	118	Temporal
2004	22	Huesca	De 13 meses a 3 años	351	Indefinido
2004	22	Huesca	De 13 meses a 3 años	261	Temporal
2004	22	Huesca	De 37 meses a 10 años	507	Indefinido
2004	22	Huesca	De 37 meses a 10 años	72	Temporal
2004	22	Huesca	Más de 10 años	355	Indefinido
2004	22	Huesca	Más de 10 años	7	Temporal
2004	44	Teruel	Hasta 3 meses	24	Indefinido
2004	44	Teruel	Hasta 3 meses	357	Temporal
2004	44	Teruel	Hasta 3 meses	1	
2004	44	Teruel	De 4 a 6 meses	30	Indefinido
2004	44	Teruel	De 4 a 6 meses	130	Temporal
2004	44	Teruel	De 7 a 9 meses	19	Indefinido
2004	44	Teruel	De 7 a 9 meses	96	Temporal
2004	44	Teruel	De 7 a 9 meses	1	
2004	44	Teruel	De 10 a 12 meses	29	Indefinido
2004	44	Teruel	De 10 a 12 meses	54	Temporal
2004	44	Teruel	De 13 meses a 3 años	223	Indefinido
2004	44	Teruel	De 13 meses a 3 años	166	Temporal
2004	44	Teruel	De 13 meses a 3 años	2	
2004	44	Teruel	De 37 meses a 10 años	313	Indefinido
2004	44	Teruel	De 37 meses a 10 años	70	Temporal
2004	44	Teruel	De 37 meses a 10 años	1	
2004	44	Teruel	Más de 10 años	222	Indefinido
2004	44	Teruel	Más de 10 años	5	Temporal
2004	50	Zaragoza	Hasta 3 meses	314	Indefinido
2004	50	Zaragoza	Hasta 3 meses	3693	Temporal
2004	50	Zaragoza	De 4 a 6 meses	272	Indefinido
2004	50	Zaragoza	De 4 a 6 meses	1291	Temporal
2004	50	Zaragoza	De 7 a 9 meses	262	Indefinido
2004	50	Zaragoza	De 7 a 9 meses	818	Temporal
2004	50	Zaragoza	De 10 a 12 meses	333	Indefinido
2004	50	Zaragoza	De 10 a 12 meses	531	Temporal
2004	50	Zaragoza	De 13 meses a 3 años	2065	Indefinido
2004	50	Zaragoza	De 13 meses a 3 años	1077	Temporal
2004	50	Zaragoza	De 37 meses a 10 años	2889	Indefinido
2004	50	Zaragoza	De 37 meses a 10 años	289	Temporal
2004	50	Zaragoza	Más de 10 años	2047	Indefinido
2004	50	Zaragoza	Más de 10 años	28	Temporal
2003	22	Huesca	Hasta 3 meses	84	Indefinido
2003	22	Huesca	Hasta 3 meses	846	Temporal
2003	22	Huesca	Hasta 3 meses	2	
2003	22	Huesca	De 4 a 6 meses	45	Indefinido
2003	22	Huesca	De 4 a 6 meses	281	Temporal
2003	22	Huesca	De 7 a 9 meses	42	Indefinido
2003	22	Huesca	De 7 a 9 meses	183	Temporal
2003	22	Huesca	De 10 a 12 meses	43	Indefinido
2003	22	Huesca	De 10 a 12 meses	100	Temporal
2003	22	Huesca	De 13 meses a 3 años	350	Indefinido
2003	22	Huesca	De 13 meses a 3 años	252	Temporal
2003	22	Huesca	De 37 meses a 10 años	457	Indefinido
2003	22	Huesca	De 37 meses a 10 años	71	Temporal
2003	22	Huesca	Más de 10 años	371	Indefinido
2003	22	Huesca	Más de 10 años	7	Temporal
2003	44	Teruel	Hasta 3 meses	48	Indefinido
2003	44	Teruel	Hasta 3 meses	433	Temporal
2003	44	Teruel	Hasta 3 meses	3	
2003	44	Teruel	De 4 a 6 meses	24	Indefinido
2003	44	Teruel	De 4 a 6 meses	133	Temporal
2003	44	Teruel	De 4 a 6 meses	1	
2003	44	Teruel	De 7 a 9 meses	21	Indefinido
2003	44	Teruel	De 7 a 9 meses	113	Temporal
2003	44	Teruel	De 7 a 9 meses	3	
2003	44	Teruel	De 10 a 12 meses	24	Indefinido
2003	44	Teruel	De 10 a 12 meses	72	Temporal
2003	44	Teruel	De 10 a 12 meses	1	
2003	44	Teruel	De 13 meses a 3 años	242	Indefinido
2003	44	Teruel	De 13 meses a 3 años	153	Temporal
2003	44	Teruel	De 13 meses a 3 años	3	
2003	44	Teruel	De 37 meses a 10 años	266	Indefinido
2003	44	Teruel	De 37 meses a 10 años	52	Temporal
2003	44	Teruel	De 37 meses a 10 años	3	
2003	44	Teruel	Más de 10 años	298	Indefinido
2003	44	Teruel	Más de 10 años	5	Temporal
2003	44	Teruel	Más de 10 años	3	
2003	50	Zaragoza	Hasta 3 meses	416	Indefinido
2003	50	Zaragoza	Hasta 3 meses	3798	Temporal
2003	50	Zaragoza	Hasta 3 meses	22	
2003	50	Zaragoza	De 4 a 6 meses	252	Indefinido
2003	50	Zaragoza	De 4 a 6 meses	1230	Temporal
2003	50	Zaragoza	De 4 a 6 meses	5	
2003	50	Zaragoza	De 7 a 9 meses	265	Indefinido
2003	50	Zaragoza	De 7 a 9 meses	728	Temporal
2003	50	Zaragoza	De 7 a 9 meses	3	
2003	50	Zaragoza	De 10 a 12 meses	303	Indefinido
2003	50	Zaragoza	De 10 a 12 meses	494	Temporal
2003	50	Zaragoza	De 10 a 12 meses	3	
2003	50	Zaragoza	De 13 meses a 3 años	2004	Indefinido
2003	50	Zaragoza	De 13 meses a 3 años	1115	Temporal
2003	50	Zaragoza	De 13 meses a 3 años	8	
2003	50	Zaragoza	De 37 meses a 10 años	2505	Indefinido
2003	50	Zaragoza	De 37 meses a 10 años	273	Temporal
2003	50	Zaragoza	De 37 meses a 10 años	11	
2003	50	Zaragoza	Más de 10 años	2273	Indefinido
2003	50	Zaragoza	Más de 10 años	62	Temporal
2003	50	Zaragoza	Más de 10 años	3	
