Provincia código	Provincia nombre	Edad (grandes grupos)	Sexo	Personas
22	Huesca	0 a 15	Hombres	427
22	Huesca	0 a 15	Mujeres	412
22	Huesca	16 a 64	Hombres	3112
22	Huesca	16 a 64	Mujeres	1926
22	Huesca	65 ó más	Hombres	58
22	Huesca	65 ó más	Mujeres	67
44	Teruel	0 a 15	Hombres	303
44	Teruel	0 a 15	Mujeres	264
44	Teruel	16 a 64	Hombres	1473
44	Teruel	16 a 64	Mujeres	1041
44	Teruel	65 ó más	Hombres	16
44	Teruel	65 ó más	Mujeres	19
50	Zaragoza	0 a 15	Hombres	2264
50	Zaragoza	0 a 15	Mujeres	2179
50	Zaragoza	16 a 64	Hombres	13659
50	Zaragoza	16 a 64	Mujeres	10593
50	Zaragoza	65 ó más	Hombres	199
50	Zaragoza	65 ó más	Mujeres	302
