Municipio código	Municipio nombre	Explotaciones	Cursos jefe explotación
22001	Abiego	2	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22001	Abiego	51	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22002	Abizanda	8	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22002	Abizanda	19	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22003	Adahuesca	7	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22003	Adahuesca	49	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22004	Agüero	5	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22004	Agüero	21	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22006	Aísa	4	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22006	Aísa	16	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22007	Albalate de Cinca	15	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22007	Albalate de Cinca	139	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22008	Albalatillo	3	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22008	Albalatillo	14	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22009	Albelda	42	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22009	Albelda	217	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22011	Albero Alto	4	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22011	Albero Alto	17	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22012	Albero Bajo	4	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22012	Albero Bajo	28	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22013	Alberuela de Tubo	8	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22013	Alberuela de Tubo	33	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22014	Alcalá de Gurrea	10	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22014	Alcalá de Gurrea	34	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22015	Alcalá del Obispo	15	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22015	Alcalá del Obispo	65	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22016	Alcampell	40	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22016	Alcampell	155	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22017	Alcolea de Cinca	29	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22017	Alcolea de Cinca	135	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22018	Alcubierre	8	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22018	Alcubierre	71	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22019	Alerre	3	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22019	Alerre	11	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22020	Alfántega	5	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22020	Alfántega	18	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22021	Almudévar	53	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22021	Almudévar	278	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22022	Almunia de San Juan	13	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22022	Almunia de San Juan	64	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22023	Almuniente	20	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22023	Almuniente	87	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22024	Alquézar	6	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22024	Alquézar	49	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
